username,created_at,text,likes,reposts,section
The Washington Post,2025-05-31 17:21:56,"AI is speedrunning the social media era by optimizing chatbots for engagement, user feedback, time spent. 

Evidence is mounting that this poses unintended risks, includ. chats from peer-reviewed research, OpenAI's ""sycophancy"" debacle, & Character ai lawsuits www.washingtonpost.com/technology/2...",177,74,Technology
The Washington Post,2025-05-31 15:59:59,"Four ways women are stronger than men

Good stuff from @starrevartan.bsky.social, author of The Stronger Sex

www.washingtonpost.com/health/2025/...",103,27,Health
The Washington Post,2025-05-31 16:42:41,"Breaking news: Billionaire entrepreneur Jared Isaacman, President Trump’s pick to be NASA administrator, has been told that his nomination will be rescinded, according to a person who has been briefed on it.",186,49,Politics
The Washington Post,2025-05-31 16:01:22,"Honolulu police say they are launching a review after attorneys accused officers of arresting sober drivers to meet quotas.

The ACLU of Hawaii says it has identified at least 127 people arrested from 2022 through 2024 who had blood alcohol levels of 0.00.",6236,1850,Crime
The Washington Post,2025-05-31 15:28:34,"Chatbots tuned to win people over can end up saying dangerous things to vulnerable users, a new study found.",93,33,Technology
The Washington Post,2025-05-31 14:56:32,"Some of the U.K.’s richest residents are leaving for Spain, Italy, Switzerland and the United Arab Emirates — places where taxes are lower or where they can pay a flat tax to shield their global income.",161,50,Business
The Washington Post,2025-05-31 14:12:16,"Allison Jedson graduated with her doctorate from the University of Rhode Island with her three children, who each earned bachelor's degrees. The family attended five ceremonies in three days.",254,19,Education
The Washington Post,2025-05-31 13:19:14,"Exclusive: The Justice Department is using a little-known law to criminally charge unauthorized immigrants who have failed to register their presence in the country, threatening them with potential jail time and fines.",540,247,Immigration News
The Washington Post,2025-05-31 12:35:33,"Elon Musk said he was “horsing around” with his 5-year-old son X, who struck him in the face and caused a bruise.

“I said, ‘Go ahead, punch me in the face.’ And he did,” he said.",119,26,Entertainment
The Washington Post,2025-05-31 11:28:11,Trump administration lawyers are arguing that the Library of Congress doesn’t belong to Congress — the latest move to erase the traditional lines that separate the branches of government.,758,324,Politics
The Washington Post,2025-05-31 10:40:55,"You'd expect more troops to seize more fentanyl, cutting supply and driving up prices. But seizures are down, and the drug remains cheap and plentiful in the United States.

Some security officials believe cartels are getting better at evading detection

www.washingtonpost.com/world/2025/0...",83,22,World News
The Washington Post,2025-05-31 10:20:47,"An impersonator breached the phone of White House Chief of Staff Susie Wiles, President Trump said, and pretended to be her in calls and messages received by her high-profile contacts.",330,100,Politics
The Washington Post,2025-05-31 09:45:54,Airlines appear to be charging individual passengers more than groups for seats on identical flights.,319,105,Business
The Washington Post,2025-05-30 20:22:53,Meta announced on Thursday that it will work with defense technology start-up Anduril to offer the U.S. military and its allies technology for soldiers involving augmented reality and artificial intelligence software.,68,27,Technology
The Washington Post,2025-05-30 18:26:10,"Pitching in tonight for @postsports.bsky.social for some 🏀! And it should be a fun one: Mystics-Liberty at 7:30.

Liberty’s Jonquel Jones (hamstring) went through warmups and is a game-time decision. Mystics’ Sika Koné (wrist) was upgraded to active.",27,2,Sports
The Washington Post,2025-05-30 19:13:26,Return to office five days a week except for the three weeks that the office will house soldiers for the military parade that coincides with the president's 79th birthday www.govexec.com/workforce/20...,172,43,Workforce
The Washington Post,2025-05-30 18:57:39,"Breaking news: President Donald Trump said Friday that he would double tariffs on steel imports from 25 percent to 50 percent.

The president spoke at a rally at U.S. Steel in Pennsylvania to herald the deal between the company and Japan’s Nippon Steel. wapo.st/4judrE2",114,28,Economy
The Washington Post,2025-05-30 17:30:18,"Shakira’s performance at the WorldPride Welcome Concert has been canceled.

The pop icon had been set to perform at the baseball stadium on Saturday night as part of the opening festivities for WorldPride, the largest LGBTQ+ festival in the world.",61,9,Entertainment News
The Washington Post,2025-05-30 11:11:50,"In 2007, Kari Lake won two Emmys for reporting in Cambodia.

Now in the gov't, she’s tasked with dismantling Voice of America and Radio Free Asia — the two most important independent news sources in the increasingly authoritarian country. @washingtonpost.com: 

www.washingtonpost.com/style/media/...",66,20,Media
The Washington Post,2025-05-30 15:14:40,"President Donald Trump announced he has fired the director of the National Portrait Gallery, Kim Sajet, whom he called “highly partisan.” It's unclear if Trump has the authority to fire Sajet.",136,66,Politics
The Washington Post,2025-05-30 14:06:18,"Breaking news: Contradicting HHS Secretary Robert F. Kennedy Jr., the CDC continues to recommend the coronavirus vaccines for healthy children, according to new documentation posted to the agency's website.",21708,4927,Health
The Washington Post,2025-05-30 12:44:14,"Queen of eras, master of rights: Taylor Swift now owns all of her music, ending the music ownership fight that inspired her “Taylor’s Version” re-records.",1854,209,Entertainment
The Washington Post,2025-05-30 12:21:22,A Department of Defense employee who monitored insider threats is accused of trying to trade secrets for citizenship in a foreign nation because of disagreements with the Trump administration.,49,10,National Security
The Washington Post,2025-05-30 11:46:02,"Years before Kari Lake was involved in the Trump administration, she was an Emmy Award-winning journalist.

Now, she's embracing the task of eliminating the USAGM organization’s ability to cover news abroad.",69,22,Politics
The Washington Post,2025-05-30 11:05:58,"President Trump’s second term has been volatile.

This week — with back-and-forth over his tariffs, criticism from Elon Musk and no real progress on ending wars — shows how quickly his fortunes can rise and fall.",64,16,Politics
The Washington Post,2025-05-30 10:38:49,"Breaking news: The Supreme Court cleared the way, for now, for the Trump administration to revoke the temporary legal status of more than 530,000 migrants from four countries who have been allowed to live and work in the United States while their immigration cases play out.",94,48,Politics
The Washington Post,2025-05-30 10:11:34,"Plumes of dense smoke from uncontained wildfires in Manitoba, Canada, will blow across more than a dozen central and eastern states Friday and Saturday.

A milky haze will overtake Midwestern skies Friday, reducing air quality from Minnesota to Michigan and southward to Illinois and Indiana.",312,114,Weather
The Washington Post,2025-05-30 09:42:25,U.S. Immigration and Customs Enforcement is shaking up its leadership as the Trump administration struggles to ramp up deportations and meet the president’s goal of removing 1 million unauthorized immigrants in his first year.,41,12,Immigration
The Washington Post,2025-05-30 09:02:49,"Column by Michelle Singletary: Almost a third of Americans say they’ll take on debt this summer for vacation. 

Here’s how to return home with memories, not financial remorse.",24,5,Personal Finance
The Washington Post,2025-05-30 08:39:48,"There is a peculiar charm and revelation in watching a young player on the way to becoming possibly a champion. This is especially true at Roland Garros. 

Column by @sallyjenx.bsky.social",33,5,Sports
The Washington Post,2025-05-30 08:26:52,"One of 2025’s most important primaries is drawing to a close in New Jersey, setting up a high-profile test of voters’ views on Trump’s Republican Party and a Democratic Party looking to rebuild.",41,11,Politics
The Washington Post,2025-05-30 07:55:51,"A pair of courtroom defeats has blown a hole in President Donald Trump’s plan to use historically high tariffs to reshape global trade, raise hundreds of billions of dollars in new tax revenue and boost the fortunes of domestic manufacturers.",133,28,Economy
The Washington Post,2025-05-30 07:26:40,"As soon as Faizan Zaki heard what would become his winning word at the Scripps National Spelling Bee, his eyes lit up.

Without hesitation, Faizan spelled éclaircissement, pretending to type each letter on an imaginary keyboard with signature confidence. wapo.st/3ZIvqj0",2498,334,Education
The Washington Post,2025-05-29 22:29:28,"C-H-A-M-P-I-O-N: Faizan Zaki, 13, of Texas wins the Scripps National Spelling Bee.

The runner-up from last year was competing in his fourth bee. The national spelling contest celebrated its 100th anniversary this year.",249,21,Education
The Washington Post,2025-05-29 21:30:02,"Some of the citations in the White House’s sweeping “MAHA Report” appear to have been generated using artificial intelligence, resulting in numerous garbled scientific references and invented studies, AI experts said Thursday.",416,164,Technology
The Washington Post,2025-05-29 20:47:06,"Michigan Gov. Gretchen Whitmer said President Trump would be breaking a promise if he went through with pardoning the two men who were convicted of plotting to kidnap her, claiming that he pledged not to do so during a conversation last month.",416,97,Politics
The Washington Post,2025-05-29 19:32:51,"Nine students will face off Thursday on the final night of the 2025 Scripps National Spelling Bee.

The three-day competition began with 243 spellers from across the U.S. and other areas, including Canada, Nigeria and Kuwait. 

Follow live updates here:",49,8,Education
The Washington Post,2025-05-29 18:25:11,"Tracking Trump, Day 130:

• Tariffs back on after whiplash rulings
• More pardons for convicted felons
• Does Trump always chicken out on trade?

Plus more to know for May 29: www.washingtonpost.com/the-seven-tr...

📥 Get the newsletter: www.washingtonpost.com/newsletters/...",21,3,Politics
The Washington Post,2025-05-29 17:04:56,"A new curriculum would teach Oklahoma high schoolers that there were “discrepancies” in the 2020 presidential election. Some parents opposed to the new standards are trying to remove their children from the future lessons, while others filed a lawsuit.",1009,311,Education
