username,created_at,text,likes,reposts,urls,expanded_urls,section
Chicago Tribune,2025-06-30 19:52:50,Northwestern University President Michael Schill is slated to appear for a second time before a congressional committee over alleged antisemitism on campus.,14,3,['https://www.chicagotribune.com/2025/06/30/northwestern-university-president-congress/'],['https://www.chicagotribune.com/2025/06/30/northwestern-university-president-congress/'],Politics
Chicago Tribune,2025-06-30 19:24:21,"Mayor Brandon Johnson’s already gaping budget hole will be even tougher to fill heading into next year as City Hall officials on Monday closed the book on the 2024 fiscal year, showing the city’s general fund was $161 million underwater.",11,0,['https://www.chicagotribune.com/2025/06/30/chicago-ended-2024-with-a-161m-deficit/'],['https://www.chicagotribune.com/2025/06/30/chicago-ended-2024-with-a-161m-deficit/'],Local News
Chicago Tribune,2025-06-30 19:17:51,"While the Italian American restaurant Void does whimsy well, most evident with its Spaghetti Uh-O’s and No-Lört, it’s become one of the best restaurants in Chicago right now, writes @louisachu.bsky.social.",11,1,['https://www.chicagotribune.com/2025/06/30/restaurant-review-void-chicago/'],['https://www.chicagotribune.com/2025/06/30/restaurant-review-void-chicago/'],Food
Chicago Tribune,2025-06-30 19:15:03,"As joyful and virtuosic and oddly touching as “Weird Al” Yankovic’s two-hour whirligig was on Sunday night at Ravinia Festival, I couldn’t help watch without sadness: Here is the last of the great parody kings, writes Christopher Borrelli.",52,8,['https://www.chicagotribune.com/2025/06/30/review-weird-al-yankovic-ravinia/'],['https://www.chicagotribune.com/2025/06/30/review-weird-al-yankovic-ravinia/'],Entertainment
Chicago Tribune,2025-06-30 19:12:21,"A unique comedy game show is coming to Chicago, and while anyone can watch, the show’s contestants share one commonality: Divorce.",9,1,['https://www.chicagotribune.com/2025/06/30/the-big-d-show/'],['https://www.chicagotribune.com/2025/06/30/the-big-d-show/'],Entertainment
Chicago Tribune,2025-06-30 19:11:22,"As Madhuri Shekar’s play “Dhaba on Devon Avenue” makes clear, Devon Avenue has been changing; restaurants have been facing well-documented headwinds when it comes to food and labor costs and the formality of the restaurants in the 20th century has shifted to more casual profiles.",11,2,['https://www.chicagotribune.com/2025/06/30/review-dhaba-devon-writers-theatre/'],['https://www.chicagotribune.com/2025/06/30/review-dhaba-devon-writers-theatre/'],Food and Dining
Chicago Tribune,2025-06-30 19:05:09,"From the Editorial Board: 

This year’s menu of state tax hikes features one old chestnut, plus a couple of new additions.",6,3,['https://www.chicagotribune.com/2025/06/30/taxes-tax-hike-illinois/'],['https://www.chicagotribune.com/2025/06/30/taxes-tax-hike-illinois/'],Editorial
Chicago Tribune,2025-06-30 18:30:58,Chicago Sky star Angel Reese will have to wait another week to see if she’s selected as an All-Star for the second consecutive season.,7,2,['https://www.chicagotribune.com/2025/06/30/angel-reese-chicago-sky-wnba-all-star-game/'],['https://www.chicagotribune.com/2025/06/30/angel-reese-chicago-sky-wnba-all-star-game/'],Sports
Chicago Tribune,2025-06-30 18:27:57,"Prosecutors are asking for nearly five years in prison for former ComEd executive John Hooker, saying in a filing he “corrupted the highest levels of state government” in a scheme to funnel more than $1.3 million in do-nothing payments to associates of then-House Speaker Michael Madigan.",12,3,['https://www.chicagotribune.com/2025/06/30/feds-want-nearly-5-years-for-ex-comed-exec-john-hooker/'],['https://www.chicagotribune.com/2025/06/30/feds-want-nearly-5-years-for-ex-comed-exec-john-hooker/'],Politics
Chicago Tribune,2025-06-30 18:25:08,"After three weeks in a Louisiana jail — because of an apparent error by U.S. Immigration and Customs Enforcement — Cheikh Fall arrived back home in Chicago. 

He was wrongfully arrested outside his asylum hearing in the Chicago Immigration Court on June 4.",90,30,['https://www.chicagotribune.com/2025/06/30/ice-false-arrest-asylum-chicago/'],['https://www.chicagotribune.com/2025/06/30/ice-false-arrest-asylum-chicago/'],Immigration News
Chicago Tribune,2025-06-30 17:27:43,"For the second time in three years, Charles Leto has claimed he opened fire in self-defense.

Over the weekend, prosecutors say, he shot at three unarmed teenagers in Douglass Park, killing a 15-year-old boy and seriously wounding a 14-year-old in a crowded park during a summer evening.",17,9,['https://www.chicagotribune.com/2025/06/30/man-charged-in-douglass-park-shooting-that-killed-one-is-linked-to-prior-self-defense-claim-in-shooting-of-dogs/'],['https://www.chicagotribune.com/2025/06/30/man-charged-in-douglass-park-shooting-that-killed-one-is-linked-to-prior-self-defense-claim-in-shooting-of-dogs/'],Crime
Chicago Tribune,2025-06-30 16:52:24,"Another recently departed Chicago Housing Authority executive has received a hefty payout from the agency, marking the 10th exited senior leader to obtain a settlement in the last five years and topping off the agency’s payout expenditures at more than $868,000.",7,1,['https://www.chicagotribune.com/2025/06/30/chicago-housing-authority-additional-exec-payout/'],['https://www.chicagotribune.com/2025/06/30/chicago-housing-authority-additional-exec-payout/'],Local News
Chicago Tribune,2025-06-30 15:15:28,Senators hunkered down Monday to consider proposed amendments to President Donald Trump’s big bill of tax breaks and spending cuts amid challenges including the weekend announcement from one GOP senator that he won’t run for reelection after opposing the package over its Medicaid health care cuts.,10,1,['https://www.chicagotribune.com/2025/06/30/senate-republicans-trump-big-bill/'],['https://www.chicagotribune.com/2025/06/30/senate-republicans-trump-big-bill/'],Politics
Chicago Tribune,2025-06-30 14:33:03,A Florida man with ties to Loretto Hospital on Chicago’s West Side has been charged in a massive conspiracy to fraudulently bill the federal government for more than $200 million in COVID-19 tests that were actually never performed.,128,49,['https://www.chicagotribune.com/2025/06/30/loretto-hospital-indictment-covid-fraud/'],['https://www.chicagotribune.com/2025/06/30/loretto-hospital-indictment-covid-fraud/'],Crime
Chicago Tribune,2025-06-30 13:07:46,"The future of NASCAR in Chicago is murky going into its third edition on the first weekend in July. The three-year contract between the motorsports organization and the city that was announced in 2022 has two mutual options, and their fate is unclear.",2,0,['https://www.chicagotribune.com/2025/06/30/future-of-nascar-chicago-race/'],['https://www.chicagotribune.com/2025/06/30/future-of-nascar-chicago-race/'],Sports
Chicago Tribune,2025-06-30 11:01:35,Gov. JB Pritzker is hiring. Job duties include cutting ribbons and influencing state policy. Opportunities for promotion? Pending the outcome of the 2028 presidential race.,21,4,['https://www.chicagotribune.com/2025/06/30/gov-jb-pritzker-running-mate-pick/'],['https://www.chicagotribune.com/2025/06/30/gov-jb-pritzker-running-mate-pick/'],Politics
Chicago Tribune,2025-06-30 09:03:47,"Mayor Brandon Johnson’s inner circle worked with outside lobbyists who were not registered to lobby on behalf of the city in the Illinois General Assembly, a practice his office defended.",7,0,['https://www.chicagotribune.com/2025/06/30/mayor-brandon-johnson-springfield-lobbying-questions/'],['https://www.chicagotribune.com/2025/06/30/mayor-brandon-johnson-springfield-lobbying-questions/'],Politics
Chicago Tribune,2025-06-30 08:10:46,"While Pride events in the past were largely celebrated of the rights LGBTQ folks had secured, organizers say the focus is now on girding freedoms that are being rolled back.",23,10,['https://www.chicagotribune.com/2025/06/30/pride-under-attack/'],['https://www.chicagotribune.com/2025/06/30/pride-under-attack/'],LGBTQ+ Rights
Chicago Tribune,2025-06-29 19:32:50,"The Chicago Cubs completed their challenging stretch of 26 games in 27 days, including one postponement due to rain, with a 12-13 record.",22,2,['https://www.chicagotribune.com/2025/06/29/chicago-cubs-houston-astros-takeaways/'],['https://www.chicagotribune.com/2025/06/29/chicago-cubs-houston-astros-takeaways/'],Sports
Chicago Tribune,2025-06-29 17:14:18,"Photos of Chicago's Pride Parade, the largest in the Midwest.",121,11,['https://www.chicagotribune.com/2025/06/29/photos-chicago-pride-parade-2/'],['https://www.chicagotribune.com/2025/06/29/photos-chicago-pride-parade-2/'],Lifestyle
Chicago Tribune,2025-06-29 16:28:07,A northwest Indiana man who has HIV said he is hopeful that researchers will find ways to continue pushing forward with their work in HIV/AIDS treatment and research despite cuts at the federal level.,64,14,['https://www.chicagotribune.com/2025/06/29/as-hiv-research-gutted-at-federal-level-nwi-man-shares-his-hiv-story/'],['https://www.chicagotribune.com/2025/06/29/as-hiv-research-gutted-at-federal-level-nwi-man-shares-his-hiv-story/'],Health
Chicago Tribune,2025-06-29 16:00:32,"The Tribune's Route 66 road trip ended at the beginning, at East Jackson Boulevard and South Michigan Avenue in Chicago, where a brown sign hanging 12 feet high on a light post tells people they’ve reached the venerable road’s threshold.",29,4,['https://www.chicagotribune.com/2025/06/29/route-66-the-last-or-first-300-miles-in-illinois/'],['https://www.chicagotribune.com/2025/06/29/route-66-the-last-or-first-300-miles-in-illinois/'],Travel
Chicago Tribune,2025-06-29 15:23:59,A Gary couple is on a crusade to bring cursive writing to Northwest Indiana students through their Cursive Academy.,36,6,['https://www.chicagotribune.com/2025/06/29/gary-couple-charting-comeback-for-lost-art-of-cursive-writing/'],['https://www.chicagotribune.com/2025/06/29/gary-couple-charting-comeback-for-lost-art-of-cursive-writing/'],Education
Chicago Tribune,2025-06-29 14:50:30,"With the joyful unfurling of rainbow flags in Chicago during Pride Month, it’s easy to forget the fight that led to this point.",99,28,['https://www.chicagotribune.com/2025/06/29/pride-month-protest-history-chicago/'],['https://www.chicagotribune.com/2025/06/29/pride-month-protest-history-chicago/'],LGBTQ+ News
Chicago Tribune,2025-06-29 13:05:48,Only two-thirds of the indoor cooling centers in Chicago were open at least part of the day every day during the three-day heat wave last week.,15,5,['https://www.chicagotribune.com/2025/06/29/chicago-cooling-centers-heat-wave/'],['https://www.chicagotribune.com/2025/06/29/chicago-cooling-centers-heat-wave/'],Local News
Chicago Tribune,2025-06-29 12:16:54,Loyola University researchers in partnership with local officials produced a data project that seeks to shed light on how “shocks to the system” like the pandemic have reshaped how crime and violence are handled in Chicago.,15,5,['https://www.chicagotribune.com/2025/06/29/crime-trends-cook-county-data-dashboard/'],['https://www.chicagotribune.com/2025/06/29/crime-trends-cook-county-data-dashboard/'],Local News
Chicago Tribune,2025-06-29 11:56:44,"During a porch party at an apartment building at 713 W. Wrightwood Ave. in Lincoln Park, a third-floor porch holding partygoers gave way, caving onto the second-floor porch below. Thirteen people died.",11,7,['https://www.chicagotribune.com/2025/06/29/chicago-history-june-29-2/'],['https://www.chicagotribune.com/2025/06/29/chicago-history-june-29-2/'],Breaking News
Chicago Tribune,2025-06-29 11:16:36,"Capping a tumultuous night, the Republican-controlled Senate advanced President Donald Trump’s package of tax breaks, spending cuts and increased deportation money, with more weekend work ahead as Congress races to meet his Fourth of July deadline for passage.",10,4,['https://www.chicagotribune.com/2025/06/29/trump-tax-bill-spending-cuts/'],['https://www.chicagotribune.com/2025/06/29/trump-tax-bill-spending-cuts/'],Politics
Chicago Tribune,2025-06-29 11:02:48,"Pope Leo XIV on Sunday celebrated a special feast day traditionally used by the Catholic Church to drum up donations from the faithful, with the Vatican under the first American pope rolling out a new campaign to urge ordinary Catholics to help bail out the deficit-ridden Holy See.",9,4,['https://www.chicagotribune.com/2025/06/29/pope-leo-xiv-feast-day/'],['https://www.chicagotribune.com/2025/06/29/pope-leo-xiv-feast-day/'],Religion
Chicago Tribune,2025-06-29 10:52:03,"Chicago’s annual Pride parade will kick off at 11 a.m. Sunday, starting in Northalsted and heading south to Diversey.",265,28,['https://www.chicagotribune.com/2025/06/29/chicago-pride-parade-2025/'],['https://www.chicagotribune.com/2025/06/29/chicago-pride-parade-2025/'],Local News
Chicago Tribune,2025-06-28 20:45:29,Fans looking to get a glimpse of the Chicago Bears under their new coaching staff will have 11 opportunities to do so this summer in Lake Forest.,11,0,['https://www.chicagotribune.com/2025/06/28/chicago-bears-lake-forest-training-camp/'],['https://www.chicagotribune.com/2025/06/28/chicago-bears-lake-forest-training-camp/'],Sports
Chicago Tribune,2025-06-28 20:15:15,A 55-year-old Lakeview man has been charged with murder after police said he shot two teen boys Thursday evening in Douglass Park – killing a 15-year-old and seriously wounding a 14-year-old.,10,2,['https://www.chicagotribune.com/2025/06/28/north-side-man-charged-with-killing-teen-wounding-another-at-west-side-park/'],['https://www.chicagotribune.com/2025/06/28/north-side-man-charged-with-killing-teen-wounding-another-at-west-side-park/'],Crime
Chicago Tribune,2025-06-28 19:46:14,"At some 940-pages, President Donald Trump’s signature’s domestic policy package is a sprawling collection of tax breaks, spending cuts and other Republican priorities, including new money for national defense and deportations.",26,16,['https://www.chicagotribune.com/2025/06/28/latest-version-trumps-big-bill/'],['https://www.chicagotribune.com/2025/06/28/latest-version-trumps-big-bill/'],Politics
Chicago Tribune,2025-06-28 19:00:14,Who did the Chicago Blackhawks select in the 2025 NHL draft? Meet the 8-player class.,1,0,['https://www.chicagotribune.com/2025/06/28/chicago-blackhawks-2025-nhl-draft/'],['https://www.chicagotribune.com/2025/06/28/chicago-blackhawks-2025-nhl-draft/'],Sports
Chicago Tribune,2025-06-28 18:31:11,"Democratic former Minnesota House Speaker Melissa Hortman was honored for her humanity and legislative accomplishments during a funeral Saturday, with former President Joe Biden and former Vice President Kamala Harris among those in attendance.",170,34,['https://trib.al/e5fMWq6'],['https://www.chicagotribune.com/2025/06/28/funeral-former-minnesota-house-speaker-melissa-hortman/'],Obituaries
Chicago Tribune,2025-06-28 18:02:04,"Review: These days, it seems no operatic mountain is too high for Haymarket Opera. The company’s latest enterprise, Leonardo Vinci’s “Artaserse,” is one such intimidating peak.",7,0,['https://trib.al/A6UmkD7'],['https://www.chicagotribune.com/2025/06/28/review-artaserse-haymarket-opera/'],Arts
