username,created_at,text,likes,reposts,urls,expanded_urls,section,merged_section,subsection
CNN,2025-06-30 22:01:22,"After months of speculation and multiple bids from would-be American buyers, TikTok may finally be getting a new owner.

Here’s what we know about who could buy TikTok.",42,14,['https://www.cnn.com/2025/06/30/tech/trump-tiktok-who-could-buy?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-07-01T01%3A22%3A24'],['https://www.cnn.com/2025/06/30/tech/trump-tiktok-who-could-buy?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-07-01T01%3A22%3A24'],Business,Business & Economy,
CNN,2025-06-30 21:14:03,Olivia Munn is sharing that she lives with a health condition not many people know about.,53,5,['https://www.cnn.com/2025/06/30/entertainment/olivia-munn-trichotillomania?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-07-01T00%3A32%3A57'],['https://www.cnn.com/2025/06/30/entertainment/olivia-munn-trichotillomania?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-07-01T00%3A32%3A57'],Health,Health,
CNN,2025-06-30 20:32:37,Prosecutors in northern Mexico’s Sinaloa state are investigating the discovery of 20 male bodies with gunshot wounds – including five that were decapitated – on a bridge over a federal highway.,58,19,['https://www.cnn.com/2025/06/30/americas/sinaloa-20-bodies-found-highway-intl-latam?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-07-01T00%3A01%3A38'],['https://www.cnn.com/2025/06/30/americas/sinaloa-20-bodies-found-highway-intl-latam?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-07-01T00%3A01%3A38'],Crime News,Crime,
CNN,2025-06-30 19:45:26,JUST IN: Idaho authorities have identified the two firefighters killed and a third firefighter badly wounded in Sunday's ambush in Coeur d'Alene,58,8,['https://www.cnn.com/us/live-news/idaho-coeur-dalene-firefighters-shooting#cmcjkd7c50000356mnsa0vnp7?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T23%3A44%3A55'],['https://www.cnn.com/us/live-news/idaho-coeur-dalene-firefighters-shooting#cmcjkd7c50000356mnsa0vnp7?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T23%3A44%3A55'],Breaking News,Breaking News,
CNN,2025-06-30 19:35:59,Former Presidents Barack Obama and George W. Bush delivered rare open criticism of the Trump administration — and singer Bono held back tears as he recited a poem — in an emotional video farewell with staffers of the US Agency for International Development.,631,173,['https://www.cnn.com/2025/06/30/politics/bush-obama-trump-usaid?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T22%3A33%3A56'],['https://www.cnn.com/2025/06/30/politics/bush-obama-trump-usaid?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T22%3A33%3A56'],Politics,Politics,Trump Administration
CNN,2025-06-30 19:02:34,"Bryan Kohberger, the 30-year-old accused of fatally stabbing four University of Idaho students in their apartment in 2022, has agreed to a plea deal to avoid trial in his quadruple murder case.",73,16,['https://cnn.it/3GgcjXe'],['https://www.cnn.com/2025/06/30/us/bryan-kohberger-update-plea-deal?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T23:02:20'],Crime News,Crime,
CNN,2025-06-30 18:20:24,"Paramount Global, the parent company of CBS News, may be on the verge of a settlement deal with President Trump, much to the chagrin of its own news employees.",67,24,['https://cnn.it/4lxGvfo'],['https://www.cnn.com/2025/06/30/media/paramount-trump-settlement-talks?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T22:20:09'],Politics,Politics,Trump Administration
CNN,2025-06-30 17:59:22,"Lara Trump, President Donald Trump's daughter-in-law, is the leading potential candidate to run for Senate in North Carolina with Donald Trump's backing, multiple sources tell CNN.",63,17,['https://cnn.it/4lxFeoC'],['https://www.cnn.com/2025/06/30/politics/lara-trump-north-carolina-republican-senate-race?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T21:59:00'],Politics,Politics,Elections
CNN,2025-06-30 17:34:27,"""Following American airstrikes against Iranian nuclear facilities last week, and then the imposition of a ceasefire, it’s time to step back and assess what has changed in the Middle East, and the chances of translating military success into lasting strategic gains,"" writes Brett McGurk. | Analysis",28,2,['https://cnn.it/4kllQub'],['https://www.cnn.com/2025/06/30/politics/iran-israel-military-success-path-diplomacy-analysis?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T21:33:52'],Analysis,Analysis,
CNN,2025-06-30 17:05:33,"As the Senate debated President Donald Trump’s “Big, Beautiful Bill” on Monday before a final vote, Elon Musk issued a stark warning via his social media platform X.",189,53,['https://cnn.it/4no5yU5'],['https://www.cnn.com/2025/06/30/media/elon-musk-bill-primary-threat?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T20:56:38'],Politics,Politics,Trump Administration
CNN,2025-06-30 16:55:11,"New satellite images show continuing work at Iran’s Fordow nuclear enrichment plant, which was struck by US B-2 bombers just over a week ago.",149,56,['https://cnn.it/4kjjMmj'],['https://www.cnn.com/2025/06/30/middleeast/satellite-imagery-iranian-nuclear-site-latam-intl?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T20:38:57'],International News,World,
CNN,2025-06-30 16:38:24,"The House Judiciary Committee has subpoenaed a former Pfizer executive who is considered central to its investigation into an allegation that clinical testing related to the development of the company’s Covid-19 vaccine was purposefully delayed until after the 2020 election, according to documents.",44,19,['https://cnn.it/3TioXba'],['https://www.cnn.com/2025/06/30/politics/pfizer-covid-vaccine-philip-dormitzer?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T20:37:39'],Politics,Politics,Elections
CNN,2025-06-30 15:16:43,The Justice Department is suing the city of Los Angeles over its so-called “sanctuary city” policy passed in the weeks following Donald Trump’s 2024 presidential election victory that prevents city resources from going toward immigration enforcement,52,19,['https://www.cnn.com/2025/06/30/politics/los-angeles-sanctuary-city-lawsuit?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T19%3A16%3A05'],['https://www.cnn.com/2025/06/30/politics/los-angeles-sanctuary-city-lawsuit?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T19%3A16%3A05'],Politics,Politics,Immigration
CNN,2025-06-30 14:31:45,"President Donald Trump says he might impose higher tariffs on Japanese exports, claiming the country won't buy America's rice",67,27,['https://www.cnn.com/2025/06/30/business/trump-japan-rice-tariffs?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T18%3A31%3A31'],['https://www.cnn.com/2025/06/30/business/trump-japan-rice-tariffs?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T18%3A31%3A31'],Economy,Business & Economy,
CNN,2025-06-30 14:01:01,"An 82-year-old woman injured in the Boulder, Colorado, antisemitic attack earlier this month has died, prosecutors say",58,24,['https://www.cnn.com/2025/06/30/us/boulder-firebomb-attack-woman-death?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T18%3A00%3A45'],['https://www.cnn.com/2025/06/30/us/boulder-firebomb-attack-woman-death?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T18%3A00%3A45'],Breaking News,Breaking News,
CNN,2025-06-30 13:17:07,"Wimbledon baked in its hottest-ever opening day on Monday, but the unprecedented London heat didn’t stop players from putting on a show on the grass: cnn.it/40r3ZdR",56,5,['https://cnn.it/40r3ZdR'],['https://www.cnn.com/2025/06/30/sport/wimbledon-record-temperature-tennis-spt-intl?utm_medium=social&utm_source=blueskyCNN&utm_content=2025-06-30T17:16:20'],Sports,Sports,
