username,created_at,text,likes,reposts,urls,expanded_urls,section
HuffPost,2025-06-30 22:18:09,The president unveiled a new line of scents at an exorbitant price.,25,6,['https://www.huffpost.com/entry/trump-colognes-perfumes_n_68633564e4b0f166350cec14?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/trump-colognes-perfumes_n_68633564e4b0f166350cec14?utm_campaign=bluesky_feed'],Lifestyle
HuffPost,2025-06-30 21:30:13,"Wess Roley, 20, was found dead with a gun nearly six hours after the attack, and investigators say he acted alone, according to the Associated Press.",11,1,['https://www.huffpost.com/entry/wess-roley-idaho-shooter-firefighter-ambush_n_6862f8a3e4b02e5da2069e1e?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/wess-roley-idaho-shooter-firefighter-ambush_n_6862f8a3e4b02e5da2069e1e?utm_campaign=bluesky_feed'],Crime
HuffPost,2025-06-30 20:35:56,"Trump took a break from terrorizing immigrants and trying to rip health care from millions of Americans to promote new additions to his fragrance line on Monday.
www.huffpost.com/entry/trump-...",51,19,"['https://www.huffpost.com/entry/trump-iran-live-updates_n_68598197e4b0b1387932337c/liveblog_68631ec4e4b0aa65edba921e?utm_medium=Social&utm_source=bluesky&utm_campaign=us_main', 'https://www.huffpost.com/entry/trump-iran-live-updates_n_68598197e4b0b1387932337c/liveblog_68631ec4e4b0aa65edba921e']","['https://www.huffpost.com/entry/trump-iran-live-updates_n_68598197e4b0b1387932337c/liveblog_68631ec4e4b0aa65edba921e?utm_medium=Social&utm_source=bluesky&utm_campaign=us_main', 'https://www.huffpost.com/entry/trump-iran-live-updates_n_68598197e4b0b1387932337c/liveblog_68631ec4e4b0aa65edba921e']",Politics
HuffPost,2025-06-30 19:44:31,The U.N. and aid groups say the disappearance and torture of Palestinian medical workers is part of Israel's wider attack on Gaza's health care system.,21,7,['https://www.huffpost.com/entry/israel-free-hundreds-detained-palestinian-health-workers-gaza_n_68630765e4b060bc661e484d?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/israel-free-hundreds-detained-palestinian-health-workers-gaza_n_68630765e4b060bc661e484d?utm_campaign=bluesky_feed'],International News
HuffPost,2025-06-30 19:11:15,"Guests at the Amazon founder’s Venice wedding included Oprah Winfrey, Kim Kardashian, Ivanka Trump and Leonardo DiCaprio.",36,3,['https://www.huffpost.com/entry/charlize-theron-uses-1-harash-word-to-describe-jeff-bezos-and-his-wedding-guests_n_6862e8e0e4b02e5da2069204?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/charlize-theron-uses-1-harash-word-to-describe-jeff-bezos-and-his-wedding-guests_n_6862e8e0e4b02e5da2069204?utm_campaign=bluesky_feed'],Entertainment
HuffPost,2025-06-30 19:06:23,The president basically asked to speak to the manager at AT&T — not that he knew who that was.,25,4,['https://www.huffpost.com/entry/donald-trump-goes-full-karen-demands-att-ceo-john-stankey-do-tech-support-for-him_n_6862f9fee4b060bc661e3289?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/donald-trump-goes-full-karen-demands-att-ceo-john-stankey-do-tech-support-for-him_n_6862f9fee4b060bc661e3289?utm_campaign=bluesky_feed'],Politics
HuffPost,2025-06-30 18:51:08,The former Fox News host targeted the former first lady — but one expert warns that her attacks can cause harm to listeners at home.,8,1,['https://www.huffpost.com/entry/megyn-kelly-michelle-obama-parody-experts_n_6862d990e4b08e0b4a750757?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/megyn-kelly-michelle-obama-parody-experts_l_6862d990e4b08e0b4a750757'],Politics
HuffPost,2025-06-30 18:51:08,The graduate student was charged with the four counts of first-degree murder following the 2022 stabbings of the Idaho college students.,11,4,['https://www.huffpost.com/entry/bryan-kohberger-idaho-guilty-plea_n_68630ebae4b02e5da206ca69?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/bryan-kohberger-idaho-guilty-plea_n_68630ebae4b02e5da206ca69?utm_campaign=bluesky_feed'],Crime News
HuffPost,2025-06-30 18:23:24,"""I shouldn’t say this because it’s politically incorrect,” Trump told the reporter, before saying it anyway.",14,6,['https://www.huffpost.com/entry/donald-trump-calls-african-reporter-beautiful_n_6862e24be4b08e0b4a751553?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/donald-trump-calls-african-reporter-beautiful_n_6862e24be4b08e0b4a751553?utm_campaign=bluesky_feed'],Politics
HuffPost,2025-06-30 18:06:52,"""It’s hard not to feel a chill down your back when you imagine all of the possibilities that could come out of this case.""",8,0,['https://www.huffpost.com/entry/scotus-mahmoud-v-taylor-authors-speak-out_l_685d4aa1e4b0f78c57383b27?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/scotus-mahmoud-v-taylor-authors-speak-out_l_685d4aa1e4b0f78c57383b27?utm_campaign=bluesky_feed'],Crime
HuffPost,2025-06-30 17:51:30,"The actor made rare comments about her relationship with the football star during an appearance on ""Armchair Expert With Dax Shepard.""",2,0,['https://www.huffpost.com/entry/olivia-munn-aaron-rodgers-family-drama_n_6862f3ace4b08e0b4a751f5e?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/olivia-munn-aaron-rodgers-family-drama_n_6862f3ace4b08e0b4a751f5e?utm_campaign=bluesky_feed'],Entertainment
HuffPost,2025-06-30 17:34:22,"By declining to defend the rule, Trump’s Federal Trade Commission would ensure employers could continue locking workers in their jobs.",15,11,['https://www.huffpost.com/entry/trump-ftc-noncompete-ban_n_6862d5cfe4b060bc661e0e62?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/trump-ftc-noncompete-ban_n_6862d5cfe4b060bc661e0e62?utm_campaign=bluesky_feed'],Business
HuffPost,2025-06-30 17:34:21,One particular comment from Nelly infuriated the internet.,0,0,['https://www.huffpost.com/entry/nelly-ashanti-we-belong-together-peacock_n_6862e6b7e4b060bc661e249a?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/nelly-ashanti-we-belong-together-peacock_n_6862e6b7e4b060bc661e249a?utm_campaign=bluesky_feed'],Entertainment
HuffPost,2025-06-30 16:02:37,It's not the first time Dorking Wanderers manager Marc White has been suspended for abusive language.,5,0,['https://www.huffpost.com/entry/english-soccer-manager-suspended-for-sexist-remark_n_6862cd6fe4b02e5da2066fbb?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/english-soccer-manager-suspended-for-sexist-remark_n_6862cd6fe4b02e5da2066fbb?utm_campaign=bluesky_feed'],Sports News
HuffPost,2025-06-30 15:44:38,"They probably won’t stop the bill, of course, but these are the guys who supposedly don’t like it.",12,5,['https://www.huffpost.com/entry/trump-tax-medicaid-bill-no-votes_n_6862dab5e4b08e0b4a7507de?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/trump-tax-medicaid-bill-no-votes_n_6862dab5e4b08e0b4a7507de?utm_campaign=bluesky_feed'],Politics
HuffPost,2025-06-30 15:16:25,The decisions so far show that the conservative court isn’t going to act as a resistance to an increasingly autocratic president.,21,8,['https://www.huffpost.com/entry/supreme-court-trump_n_6862d368e4b08e0b4a74feaf?utm_campaign=bluesky_feed'],['https://www.huffpost.com/entry/supreme-court-trump_n_6862d368e4b08e0b4a74feaf?utm_campaign=bluesky_feed'],Politics
