username,created_at,text,likes,reposts,section,merged_section
HuffPost,2025-05-31 18:23:29,"After her flippant reply to constituents' worries about health care and food assistance cuts, Sen. Joni Ernst followed up with a brazen video filmed in a cemetery.",60,13,Politics,Politics
HuffPost,2025-05-31 17:39:06,"""Vermin were not a problem” at the the U.S. Institute of Peace before Elon Musk’s Department of Government Efficiency took over the building.",40,10,Politics,Politics
HuffPost,2025-05-31 16:58:29,"The newspaper reported that Musk had been taking ketamine, ecstasy, mushrooms, Ambient, Adderall and other drugs while on the job.",38,14,Entertainment,Entertainment
HuffPost,2025-05-31 16:03:19,"The ""Real Time"" host claimed to “understand” why leaving an abuser can be ""difficult for women,” only to make a series of callous statements.",10,11,Entertainment,Entertainment
HuffPost,2025-05-31 13:52:31,"""If you feel sorry for him, don’t feel so sorry, because he’s vicious,"" President Donald Trump said of Joe Biden during a press conference.",15,7,Politics,Politics
HuffPost,2025-05-31 13:30:44,"Trump said he planned to increase tariffs on imported steel and aluminum to 50% from 25%, deepening his trade war.",13,5,Economy,Business & Economy
HuffPost,2025-05-31 12:56:52,"Don't worry. The duck, now known as Jimmy, is safe. And so is the neighborhood.",10,1,Local News,Local News
HuffPost,2025-05-31 12:56:51,"The disgraced music mogul was indicted in September on federal charges, including sex trafficking, and is currently on trial in New York.",11,12,Entertainment News,Entertainment
HuffPost,2025-05-31 08:07:34,“I’ve been deathly allergic to being exposed to even a minuscule amount.”,4,2,Health,Health
HuffPost,2025-05-31 08:01:46,"The star of Hulu's “Mid-Century Modern” will be celebrated at the 13th annual “Night of a Thousand Judys,” set to take place June 2 in New York.",9,4,Entertainment,Entertainment
HuffPost,2025-05-31 07:06:44,Happy reviewers swear they saw incredible results in just a few days.,2,0,Health & Wellness,Health
HuffPost,2025-05-31 07:06:43,And dermatologists explain exactly why it works so well.,2,1,Health,Health
HuffPost,2025-05-31 07:06:40,"Medical experts recommend taking face masks, hand sanitizer, tweezers, tape and more whenever you travel.",4,1,Health,Health
HuffPost,2025-05-31 07:06:39,These slipups could be why your drink is watered down and full of funky flavors.,0,1,Food & Drink,Food & Lifestyle
HuffPost,2025-05-31 07:06:38,"""Weaponized incompetence"" — or ""strategic incompetence"" — is wearing women out, especially during the pandemic.",10,4,Gender Issues,Gender Issues
HuffPost,2025-05-31 07:06:37,Weigh-ins can sometimes lead to avoiding health checkups altogether. Here's how to ask your provider to skip the scale.,4,1,Health,Health
HuffPost,2025-05-31 07:06:36,The biggest warning signs of drowning are not what you think.,2,2,Health,Health
HuffPost,2025-05-31 07:06:35,"It's not actually a layoff, but it's not a great sign if this happens to you.",2,1,Business,Business & Economy
HuffPost,2025-05-31 07:06:34,Taking these steps will deepen the grandparent-grandchild connection.,1,0,Family,Lifestyle
HuffPost,2025-05-31 07:06:34,Beautiful views and exciting activities aren't just for the parks. These accommodations also have their own charms.,4,0,Travel,Food & Lifestyle
HuffPost,2025-05-30 19:55:40,"After the agency posted on X asking people to reach out if they were ""harmed by an alien,"" users responded with extraterrestrial memes.",58,22,Entertainment,Entertainment
HuffPost,2025-05-30 19:49:21,State senators are asking ex-CBS leaders to talk about it.,48,11,Politics,Politics
HuffPost,2025-05-30 19:22:05,"Swedish actor Hans Crispin claims he has — locked in a bank vault — a full copy of ""The Day The Clown Cried,"" where Lewis plays a clown in a concentration camp.",14,3,Entertainment,Entertainment
HuffPost,2025-05-30 19:22:03,"Emilie Kiser “desperately” wanted to grieve in private after her child's accidental drowning, her lawsuit says, but social media became obsessed with the tragedy.",5,0,Local News,Local News
HuffPost,2025-05-30 18:42:17,"Former President Joe Biden told reporters that everyone ""is very optimistic"" about his recovery from prostate cancer.",57,6,Health News,Health
HuffPost,2025-05-30 18:40:17,It's impossible to say if the president will stick with his latest decision.,19,5,Politics,Politics
HuffPost,2025-05-30 18:38:31,Trump's portrait has not yet been put on display since he is still in office.,21,7,Politics,Politics
HuffPost,2025-05-30 18:13:20,The former Fox News host slammed Queen Bey — and might've tried to rewrite history in the process. One expert weighs in.,11,3,Entertainment,Entertainment
HuffPost,2025-05-30 17:22:50,"""wow i absolutely love your outfit the black really brings out the pet hair on it""",7,0,Fashion,Arts & Culture
HuffPost,2025-05-30 17:11:09,Who conspired to make the FBI director sit in that giant chair?,12,2,Politics,Politics
HuffPost,2025-05-30 17:01:04,Kerik led the NYPD through 9/11 before going to prison for tax fraud and joining Trump’s election denial movement.,5,0,Politics,Politics
HuffPost,2025-05-30 16:30:51,"In other news, in a fit of rage after losing another court case, Trump lashed out at ""sleazebag"" Leonard Leo who ""probably hates America."" www.huffpost.com/entry/donald...",80,13,Politics,Politics
HuffPost,2025-05-30 16:34:10,"Indiana Lt. Gov. Micah Beckwith said Pride Month isn't about ""tolerance"" but instead ""a state-corporate-pagan alliance to reprogram society.""",21,9,Politics,Politics
HuffPost,2025-05-30 16:34:08,HuffPost drafted an email for Musk to send the president to summarize his work in government.,13,6,Politics,Politics
HuffPost,2025-05-30 15:45:08,"ICYMI: Pam Bondi told the American Bar Assn she's ending its access to nonpublic info about Trump's judicial nominees as it ""no longer functions as a fair arbiter of nominees’ qualifications.""

Join me in remembering the qualifications of Trump's first-term picks. 😃
www.huffpost.com/entry/pam-bo...",223,120,Politics,Politics
HuffPost,2025-05-30 16:01:47,"The prominent conservative legal activist is “a bad person who, in his own way, probably hates America,” the president fumed on social media about his former ally.",16,4,Politics,Politics
HuffPost,2025-05-30 15:50:41,A man who told people not to take his medical advice is now trying to take away vaccine access for healthy pregnant people — and that's dangerous.,33,4,Health,Health
HuffPost,2025-05-30 15:45:52,"We monitor every price drop, and these are the best markdowns live right now.",2,0,Deals,Deals
HuffPost,2025-05-30 15:23:37,"Trump also railed against Biden as ""vicious"" and ""not a smart person.""",8,2,Politics,Politics
HuffPost,2025-05-30 15:17:43,Could the state of the economy be seen in the state of your nails? Nail artists and an economist weigh in on the TikTok trend.,6,0,Lifestyle,Lifestyle
HuffPost,2025-05-30 14:57:21,"Trump struggled to give a straight answer when a reporter asked him if he'd consider pardoning Sean ""Diddy"" Combs if he's convicted on sex crimes.",9,5,Politics,Politics
HuffPost,2025-05-30 14:54:01,It's unclear whether his consumption habits changed once he became an unelected bureaucrat.,21,3,Politics,Politics
HuffPost,2025-05-30 14:53:59,The billionaire head of DOGE appeared with a purplish bruise at a press conference alongside the president Friday.,3,1,Business,Business & Economy
HuffPost,2025-05-30 14:48:20,"Sen. Joni Ernst (R-Iowa) made an unforced error on Friday when she told a voter worried about Medicaid cuts, “Well, we all are going to die.”",37,11,Politics,Politics
HuffPost,2025-05-30 14:38:42,"While Musk boasted of being able to cut $2 trillion from the federal budget during the campaign, the DOGE website lists $175 billion — less than 10% of that goal.",12,5,Politics,Politics
