username,created_at,text,likes,reposts,urls,expanded_urls,section
Los Angeles Times,2025-06-30 23:47:04,"134 cats found crammed into a U-Haul van, pressed against the front windshield",18,4,['https://www.latimes.com/california/story/2025-06-30/cats-found-in-van-animal-cruelty-arrest'],['https://www.latimes.com/california/story/2025-06-30/cats-found-in-van-animal-cruelty-arrest'],Local News
Los Angeles Times,2025-06-30 23:27:04,Nonprofit employee suspected of smuggling drugs into L.A. juvenile hall,9,3,['https://www.latimes.com/california/story/2025-06-30/los-angeles-juvenile-hall-drugs-nonprofit-employee'],['https://www.latimes.com/california/story/2025-06-30/los-angeles-juvenile-hall-drugs-nonprofit-employee'],Crime
Los Angeles Times,2025-06-30 23:07:04,"Lakers lose Dorian Finney-Smith, sign Jake LaRavia",2,1,['https://www.latimes.com/sports/lakers/story/2025-06-30/lakers-dorian-finney-smith-jake-laravia'],['https://www.latimes.com/sports/lakers/story/2025-06-30/lakers-dorian-finney-smith-jake-laravia'],Sports
Los Angeles Times,2025-06-30 22:47:03,Newsom pushes major housing reform through California Legislature,110,17,['https://www.latimes.com/california/story/2025-06-30/newsom-pushes-major-housing-reform-through-california-legislature'],['https://www.latimes.com/california/story/2025-06-30/newsom-pushes-major-housing-reform-through-california-legislature'],Politics
Los Angeles Times,2025-06-30 22:27:04,Nicolas Batum poised to return to Clippers on a two-year deal worth $11.5 million,3,0,['https://www.latimes.com/sports/clippers/story/2025-06-30/nicolas-batum-is-returning-to-the-clippers'],['https://www.latimes.com/sports/clippers/story/2025-06-30/nicolas-batum-is-returning-to-the-clippers'],Sports
Los Angeles Times,2025-06-30 22:07:03,Apple Music to open a studio in Culver City,14,1,['https://www.latimes.com/business/story/2025-06-30/apple-music-to-open-a-new-studio-in-culver-city'],['https://www.latimes.com/business/story/2025-06-30/apple-music-to-open-a-new-studio-in-culver-city'],Entertainment
Los Angeles Times,2025-06-30 21:47:04,Eaton fire's 18th victim has been identified; He was an actor and a teacher,18,6,['https://www.latimes.com/california/story/2025-06-30/eaton-fires-18th-victim-has-been-identified-he-was-an-actor-and-a-teacher'],['https://www.latimes.com/california/story/2025-06-30/eaton-fires-18th-victim-has-been-identified-he-was-an-actor-and-a-teacher'],Obituaries
Los Angeles Times,2025-06-30 21:27:03,Two brothers went missing three weeks ago. They were found dead along a California highway,11,2,['https://www.latimes.com/california/story/2025-06-30/two-brothers-went-missing-three-weeks-ago-they-were-found-dead-off-a-california-highway'],['https://www.latimes.com/california/story/2025-06-30/two-brothers-went-missing-three-weeks-ago-they-were-found-dead-off-a-california-highway'],Local News
Los Angeles Times,2025-06-30 21:07:03,2 adults and a 4-year-old are  pulled from the L.A. River. Another adult and a dog don't make it,10,2,['https://www.latimes.com/california/story/2025-06-30/three-rescued-one-dead-in-los-angeles-river-drowning-incident'],['https://www.latimes.com/california/story/2025-06-30/three-rescued-one-dead-in-los-angeles-river-drowning-incident'],Local News
Los Angeles Times,2025-06-30 20:47:04,"Interception! Steelers nab Jalen Ramsey, ending talk of him returning to the Rams",2,0,['https://www.latimes.com/sports/story/2025-06-30/jalen-ramsey-trade-to-steelers-minkah-fitzpatrick-to-dolphins-all-pro-dbs-rams'],['https://www.latimes.com/sports/story/2025-06-30/jalen-ramsey-trade-to-steelers-minkah-fitzpatrick-to-dolphins-all-pro-dbs-rams'],Sports
