username,created_at,text,likes,reposts,urls,expanded_urls,section
MSNBC,2025-06-30 20:55:03,"As continued ICE raids and detentions spread fear throughout Los Angeles, NBC News' @jacobsoboroff.bsky.social met with volunteers from the community organization Unión del Barrio — a part of a large community self-defense coalition providing rapid response to the raids.",748,280,[],[],Local News
MSNBC,2025-06-30 20:43:14,TONIGHT: @schumer.senate.gov joins @lawrenceodonnell.msnbc.com on The #LastWord at 10pm ET.,127,11,[],[],Politics
MSNBC,2025-06-30 18:11:33,Trump drops lawsuit against Iowa pollster Ann Selzer and Des Moines Register newspaper www.nbcnews.com/politics/don...,132,29,['https://www.nbcnews.com/politics/donald-trump/trump-lawsuit-iowa-poll-ann-selzer-des-moines-register-kamala-harris-rcna216078'],['https://www.nbcnews.com/politics/donald-trump/trump-lawsuit-iowa-poll-ann-selzer-des-moines-register-kamala-harris-rcna216078'],Politics
MSNBC,2025-06-30 18:05:43,"On this week's NEW episode of ""The Best People with @nicollewallace.bsky.social,"" Nicolle is joined by best-selling author Glennon Doyle and global soccer icon Abby Wambach.

WATCH NOW: youtu.be/QVeWQ57wOgA?...",134,18,['https://youtu.be/QVeWQ57wOgA?si=F9aUS-9ysRhJBwFQ'],['https://www.youtube.com/watch?si=F9aUS-9ysRhJBwFQ&v=QVeWQ57wOgA&feature=youtu.be'],Entertainment
MSNBC,2025-06-30 17:33:43,"“I think it's a moral obscenity.""

Senator Cory Booker, D-N.J., joins Deadline White House with @aliciamenendez.bsky.social to discuss his take on the GOP domestic policy bill and the ongoing ""vote-a-rama"" in the Senate.",297,66,[],[],Politics
MSNBC,2025-06-30 17:07:15,Musk criticizes the GOP bill and bashes Republicans: 'PORKY PIG PARTY',161,41,['https://www.nbcnews.com/politics/trump-administration/live-blog/trump-agenda-bill-se[…]igration-live-updates-rcna215837/rcrd83987?canonicalCard=true'],['https://www.nbcnews.com/politics/trump-administration/live-blog/trump-agenda-bill-se%5B%E2%80%A6%5Digration-live-updates-rcna215837/rcrd83987?canonicalCard=true'],Politics
MSNBC,2025-06-30 16:13:30,"Elon Musk resumes attacks on Trump's budget bill calling it ""insane.""",194,39,[],[],Politics
MSNBC,2025-06-30 14:04:52,"WATCH LIVE: Senate 'vote-a-rama' on Trump's massive agenda bill is underway

www.youtube.com/live/Zmus-PW...",24,9,['https://www.youtube.com/live/Zmus-PWAVQg'],['https://www.youtube.com/live/Zmus-PWAVQg'],Politics
MSNBC,2025-06-30 13:22:50,WATCH LIVE: White House briefs as Senate holds “vote-a-rama” on Trump’s massive bill,20,6,['https://www.youtube.com/live/UFXqp0Lb3fs'],['https://www.youtube.com/live/UFXqp0Lb3fs'],Politics
MSNBC,2025-06-30 13:18:53,"2 firefighters killed in Idaho after suspected gunman started fire as an ambush, authorities say. 
www.nbcnews.com/news/us-news...",37,8,['https://www.nbcnews.com/news/us-news/2-firefighters-killed-idaho-suspected-gunman-started-fire-ambush-autho-rcna215860'],['https://www.nbcnews.com/news/us-news/2-firefighters-killed-idaho-suspected-gunman-started-fire-ambush-autho-rcna215860'],Breaking News
MSNBC,2025-06-30 13:17:19,BREAKING: DOJ reveals results of healthcare fraud investigations,44,12,[],[],Health News
MSNBC,2025-06-30 12:59:14,"House Minority Leader Hakeem Jeffries, a New York Democrat, is not ready to endorse Zohran Mamdani, for mayor of New York.

Jeffries said he does not know Mamdani well. He also said Mamdani needs to “clarify” his position on using the phrase ""Globalize the intifada.”",41,12,[],[],Politics
