username,created_at,text,likes,reposts,section,merged_section
MSNBC,2025-05-31 17:37:20,BREAKING: White House to replace Trump pick for NASA administrator,46,16,Politics,Politics
MSNBC,2025-05-31 17:01:54,"@nicollewallace.bsky.social is sitting down with some of the smartest, funniest, and wisest people she knows in her new podcast, “The Best People with Nicolle Wallace.” 

New episodes drop Mondays. Subscribe to MSNBC Premium on Apple Podcasts for early access, ad-free listening, and bonus content.",125,17,Entertainment,Entertainment
MSNBC,2025-05-31 11:44:53,Gabbard considering ways to revamp Trump's intelligence briefing,56,27,Politics,Politics
MSNBC,2025-05-31 11:30:23,"Sunday, MSNBC Films presents the final episode of ""David Frost Vs."" 

The series concludes with the historical conflict in the Middle East, featuring conversations with key leaders. 

Watch the final episode of ""David Frost Vs” Sunday at 9pm ET on @MSNBC.",30,5,Television/Entertainment,Television/Entertainment
MSNBC,2025-05-30 20:39:11,"DON'T MISS IT: @nicollewallace.bsky.social is sitting down with some of the smartest and funniest people she knows in her new podcast, “The Best People with Nicolle Wallace.” She’ll speak with guests like Jason Bateman, Sarah Jessica Parker, and more. 

FOLLOW: podcasts.apple.com/us/podcast/t...",74,16,Entertainment,Entertainment
MSNBC,2025-05-30 18:54:56,Trump nominates former podcast host with history of inflammatory comments for top ethics job,60,32,Politics,Politics
MSNBC,2025-05-30 18:18:16,"NEW: President Trump announces he is going to increase tariffs on steel imports to 50% from 25% during his event at a U.S. Steel plant in West Mifflin, PA.",65,16,Economy,Business & Economy
MSNBC,2025-05-30 18:05:09,NAACP calls for emergency shutdown of Musk’s supercomputer in Memphis,539,212,Technology,Technology
MSNBC,2025-05-30 17:14:30,BREAKING: PBS sues Trump administration over executive order that cut its funding www.nbcnews.com/politics/tru...,274,35,Politics,Politics
MSNBC,2025-05-30 16:29:11,"Former president Joe Biden told reporters that he feels ""good” and “all the folks are very optimistic” about his prostate cancer diagnosis, which he announced earlier this month.

Biden shared that he has begun treatment and “it’s all a matter of taking a pill.”",243,40,Health News,Health
MSNBC,2025-05-30 15:20:33,Trump throws another punch at Harvard — demands more social media vetting of visa applicants www.nbcnews.com/news/us-news...,39,16,Politics,Politics
MSNBC,2025-05-30 14:58:08,"President Donald Trump’s “big, beautiful bill” is now in the Senate’s hands. While in a press event with Elon Musk, Trump outlined his concerns and suggested changes he'd like to see in the Senate version.",29,9,Politics,Politics
MSNBC,2025-05-30 13:58:14,WATCH LIVE: President Trump and Elon Musk hold press event at White House www.youtube.com/watch?v=Leig...,16,1,Politics,Politics
MSNBC,2025-05-30 13:12:36,"OPINION by @stevebenen.com:

“The Iowa Republican is up for re-election next year. It’s a safe bet locals haven’t heard the last of this one.”

READ MORE:
www.msnbc.com/rachel-maddo...",124,42,Politics,Politics
MSNBC,2025-05-30 12:40:10,"OPINION by @brianjmoylan.bsky.social:

Brian notes what Trump is really getting out of his Chisleys pardon.

“Trump likely guessed he could use the Chrisleys and their story unlike, say, Jen Shah’s tale of woe.“

READ MORE:
www.msnbc.com/opinion/msnb...",40,9,Opinion,Opinion
MSNBC,2025-05-30 11:48:38,"@nicollewallace.bsky.social is sitting down with some of the smartest and funniest people she knows on her new podcast, “The Best People with Nicolle Wallace.” 

She’ll speak with guests like Jason Bateman, Sarah Jessica Parker, and more. 

LISTEN to the trailer: podcasts.apple.com/us/podcast/i...",197,19,Entertainment,Entertainment
MSNBC,2025-05-30 11:35:13,BREAKING: Former President Joe Biden delivers his first remarks since the announcement of his cancer diagnosis at a Memorial Day event in Delaware.,74,10,Politics,Politics
MSNBC,2025-05-30 10:41:43,"BREAKING: Supreme Court allows Trump admin. to end protections for 500,000 migrants

www.msnbc.com/deadline-whi...",47,22,Politics,Politics
MSNBC,2025-05-30 09:55:43,"OPINION by @stevebenen.com:

“In a normal administration functioning in a healthy political environment, a fiasco like this would lead to multiple resignations. But in the Trump era, officials play the game by a different set of rules.”

READ MORE:
www.msnbc.com/rachel-maddo...",116,39,Opinion,Opinion
MSNBC,2025-05-30 09:39:36,"JUST IN: Markets dip after Trump claimed China “violated a preliminary trade agreement” with the U.S.

On #MorningJoe, @andrewrsorkin.bsky.social said investors fear “an escalation” amid stalled talks and mixed signals from the White House. www.nbcnews.com/business/bus...",44,9,Business,Business & Economy
MSNBC,2025-05-30 09:33:56,"BREAKING: Stocks fall as Trump says China has violated trade agreement

WATCH LIVE: www.youtube.com/watch?v=9NnS...",51,18,Business,Business & Economy
MSNBC,2025-05-30 09:26:39,"BREAKING: President Trump sent stock futures diving early Friday after he accused China of breaking the handshake pact the two countries made in Geneva earlier this month that had helped reset a trade standoff.
www.nbcnews.com/business/bus...",39,8,Business,Business & Economy
MSNBC,2025-05-30 08:01:22,"OPINION by @hayesbrown.bsky.social:

“Kennedy’s blatant positioning of himself as the ultimate judge of how to keep Americans healthy goes beyond the pale.“

READ MORE:
www.msnbc.com/opinion/msnb...",293,97,Opinion,Opinion
MSNBC,2025-05-30 07:49:52,"OPINION by @jamescdownie.bsky.social:

“Investors quickly realized that Trump is still Trump, and chaos still reigns.”

READ MORE:
www.msnbc.com/opinion/msnb...",55,11,Opinion,Opinion
MSNBC,2025-05-30 07:47:08,"Go beyond the headlines with the MSNBC app. Read, listen and watch live breaking news and analysis, anytime, anywhere. 

Download the app now at msnbc.com/app or click here: smart.link/2ae2q1ckqc5bx",10,2,News,General News
MSNBC,2025-05-30 07:37:32,"Trump admin. LIVE updates:
President Trump will hold a press event in the Oval Office with Elon Musk, who is leaving the White House after spearheading DOGE's effort to slash wasteful federal spending.
www.nbcnews.com/politics/tru...",20,5,Politics,Politics
MSNBC,2025-05-30 07:34:11,"This election cycle could potentially see three sitting senators running for governor — something that hasn’t happened in modern history.
www.nbcnews.com/politics/202...",101,41,Politics,Politics
MSNBC,2025-05-29 21:05:09,Inside the scramble to keep FEMA alive ahead of hurricane season www.nbcnews.com/politics/nat...,49,26,Politics,Politics
MSNBC,2025-05-29 19:49:43,"10 times Trump has threatened, then backtracked on, tariffs as 'TACO trade' jab gains traction www.nbcnews.com/politics/tru...",147,37,Politics,Politics
MSNBC,2025-05-29 18:05:46,"Federal appeals court pauses rulings on Trump tariffs, allowing them to continue — for now www.nbcnews.com/politics/tru...",46,10,Politics,Politics
MSNBC,2025-05-29 15:44:13,BREAKING: A federal appeals court temporarily paused rulings by a panel of judges that halted several of Trump's tariffs on international trading partners.,62,20,Politics,Politics
MSNBC,2025-05-29 14:56:19,"OPINION by @stevebenen.com:

“Any document reflecting his (Robert F. Kennedy, Jr.) ideas related to health care policy should reflexively be treated with skepticism.”

READ MORE:
www.msnbc.com/rachel-maddo...",120,32,Opinion,Opinion
MSNBC,2025-05-29 14:43:09,"@nicollewallace.bsky.social is sitting down with some of the smartest, funniest, and wisest people she knows in her new podcast, “The Best People with Nicolle Wallace.” 

New episodes drop Mondays. Subscribe to MSNBC Premium on Apple Podcasts for early access, ad-free listening, and bonus content.",299,54,Entertainment,Entertainment
MSNBC,2025-05-29 14:36:11,"Early battle lines are forming over a centerpiece of the sprawling domestic policy bill that House Republicans narrowly passed, with Medicaid spending cuts emerging as a flash point that could define the 2026 midterm elections.

www.nbcnews.com/politics/202...",81,27,Politics,Politics
MSNBC,2025-05-29 14:18:26,"OPINION by @michaelsteele.bsky.social:

Michael notes how Trump’s megabill could be the death knell of the GOP.

“Let’s be clear: This isn’t a battle over fiscal prudence. It is a battle over obedience.”

READ MORE:
www.msnbc.com/opinion/msnb...",124,41,Opinion,Opinion
MSNBC,2025-05-29 13:17:38,WATCH LIVE: White House briefs press after Elon Musk officially leaves the Trump admin.,38,4,Politics,Politics
MSNBC,2025-05-29 12:40:00,"Michigan Gov. Gretchen Whitmer on Thursday said that she's ""very disappointed"" that President Donald Trump is considering pardoning the men who were convicted of conspiring to kidnap her in 2020. www.nbcnews.com/politics/pol...",144,43,Politics,Politics
MSNBC,2025-05-29 12:14:00,"BREAKING: Judge extends order blocking Trump from revoking Harvard’s ability to enroll foreign students

www.nbcnews.com/news/us-news...",1422,293,Politics,Politics
MSNBC,2025-05-29 11:57:40,"@anacabrera.bsky.social & @joycewhitevance.bsky.social discuss the pardons Trump has issued this week, including his idea to review the convictions of the men who plotted to kidnap MI Gov. Whitmer.

www.msnbc.com/opinion/msnb...",41,12,Politics,Politics
MSNBC,2025-05-29 11:22:38,"NEW: @nicollewallace.bsky.social is sitting down with some of the smartest and funniest people she knows on her new podcast, “The Best People with Nicolle Wallace.” 

New episodes drop Monday.
Listen to the trailer and follow:
podcasts.apple.com/us/podcast/i...",226,37,Entertainment,Entertainment
MSNBC,2025-05-29 10:34:34,"Harvard holds commencement while facing Trump administration pressure. @ahylton26.bsky.social  is on the ground with the latest.

www.msnbc.com/opinion/msnb...",108,17,Politics,Politics
MSNBC,2025-05-29 10:34:28,"In a win for business interests that chafe at burdensome environmental studies, the Supreme Court on Thursday gave a boost to a planned 88-mile railroad project that would transport crude oil in Utah.
www.nbcnews.com/politics/sup...",24,7,Politics,Politics
MSNBC,2025-05-29 10:24:34,BREAKING: DHS files motion to give Harvard 30 days to show it should keep enrolling foreign students,57,14,Education,Education
MSNBC,2025-05-29 09:44:54,"BREAKING: U.S. markets react after Federal court blocks several Trump tariffs

WATCH LIVE:",53,7,Business News,Business & Economy
MSNBC,2025-05-29 09:30:40,"Each week on “The Best People,” starting Monday, @nicollewallace.bsky.social will have lengthy conversations with actors, musicians, thought leaders and other figures outside of politics.
www.latimes.com/entertainmen...",249,41,Entertainment,Entertainment
MSNBC,2025-05-29 09:26:47,"@nicollewallace.bsky.social is getting her first podcast, 'The Best People,' which will be an interview series bowing on June 2.
www.hollywoodreporter.com/business/dig...",51,8,Entertainment,Entertainment
MSNBC,2025-05-29 09:05:05,"JUST IN: The Trump administration has asked the Court of International Trade to pause its ruling blocking the President’s tariffs, as the White House prepares to appeal the decision. www.msnbc.com/morning-joe/...",58,8,Politics,Politics
MSNBC,2025-05-29 08:20:46,"OPINION by @speechboy71.bsky.social:

Michael highlights a new report suggesting a simple reason for the Democrats’ 2024 loss. 

“Female support for the Democratic ticket was constant throughout these four elections; only male support for Democrats fluctuated.”

READ MORE:",50,15,Politics,Politics
MSNBC,2025-05-29 08:02:43,"Trump administration LIVE updates: Federal trade court rules against several Trump tariffs
www.nbcnews.com/politics/tru...",81,21,Politics,Politics
MSNBC,2025-05-29 07:30:23,"OPINION by @michelenorris.bsky.social:

Michele notes how this year’s college graduates face an uncertain future — largely because of Trump’s chaos.

READ MORE:
www.msnbc.com/opinion/msnb...",35,12,Opinion,Opinion
MSNBC,2025-05-29 07:16:39,"Democratic former Rep. Abigail Spanberger is launching her first TV ad of the 2025 Virginia governor's race, detailing her background as she ramps up her campaign in one of the most closely watched elections of the year.
www.nbcnews.com/politics/ele...",158,34,Politics,Politics
MSNBC,2025-05-28 22:16:41,"BREAKING: U.S. will 'aggressively' revoke Chinese students' visas, Rubio says",81,40,Politics,Politics
MSNBC,2025-05-28 21:23:37,"NEW: Elon Musk acknowledged the imminent end of his White House role on X, where he called for the “DOGE mission” to become ""a way of life throughout the government"" a day after he criticized a Republican bill to fund much of Trump's agenda.",98,15,Politics,Politics
MSNBC,2025-05-28 21:14:04,"A three-judge panel on the Court of International Trade has declared several of Trump’s tariff-related executive orders to be “invalid, as contrary to law.” @jenpsaki.msnbc.com reports on @briefingwithpsaki.bsky.social.",306,71,Politics,Politics
MSNBC,2025-05-28 20:23:58,NEW: Court of International Trade rules several of Trump's tariffs as contrary to law www.nbcnews.com/politics/tru...,235,47,Politics,Politics
MSNBC,2025-05-28 18:15:16,4-year-old girl's life-saving treatment at risk after family's legal immigration status is revoked www.nbcnews.com/news/latino/...,88,45,Health,Health
MSNBC,2025-05-28 14:45:01,"Missouri state abortion ban back in effect after the state's top court ordered new rulings in the tumultuous legal saga over a ban that voters struck down last November.

www.nbcnews.com/news/us-news...",52,17,Politics,Politics
MSNBC,2025-05-28 13:31:37,BREAKING: Trump says he will 'take a look' at possible pardons for men convicted of plotting to kidnap Michigan Gov. Gretchen Whitmer,75,43,Politics,Politics
MSNBC,2025-05-28 13:21:55,"President Donald Trump addressed Wall Street analysts' newly coined term ""TACO trade"" or ""Trump Always Chickens Out,"" while taking questions from reporters during a Wednesday event in the Oval Office.",156,35,Politics,Politics
MSNBC,2025-05-28 12:53:43,"""We're going to find out if he's tapping us along or not.""

MOMENTS AGO: Trump talks about Putin and Ukraine peace talks",31,7,Politics,Politics
