username,created_at,text,likes,reposts,urls,expanded_urls,section,merged_section,subsection
NBC News,2025-06-30 20:01:21,"A woman working as a housekeeper was detained by federal agents in plain clothes in the parking lot of the San Diego hotel where she works, ‪@nbcsandiego.com reports.",120,79,[],[],Local News,Local News,
NBC News,2025-06-30 19:01:09,The State Department says it has banned U.S. visas for the English punk duo Bob Vylan after they appeared to lead a crowd in chants wishing “death” upon Israeli forces during a performance at Glastonbury Festival.,30,9,[],[],International News,World,
NBC News,2025-06-30 17:22:51,"Vote-a-rama update: Senate is burning through amendments.

Republicans can spare max 3 votes.

PAUL & TILLIS are NO.

COLLINS is leaning against. MURKOWSKI uncertain. Both, notably, have voted for some Dem health care amndmts.

+ JOHNSON, LEE & SCOTT want changes.

This is not a done deal yet.",227,69,[],[],Politics,Politics,Healthcare
NBC News,2025-06-30 18:01:28,"Federal agents blasted their way into a Los Angeles home with two children inside, @nbcla.com reports.",333,192,[],[],Crime,Crime,
NBC News,2025-06-30 17:38:15,"The legislation for President Trump's agenda on taxes, health care, immigration, energy and more would add $3.3 trillion to the deficit over a decade, according to the Congressional Budget Office.",78,35,['https://nbcnews.to/3I5Y73u'],['https://www.nbcnews.com/politics/congress/trump-big-beautiful-bill-senate-tax-medicaid-cuts-rcna216024?link_source=ta_bluesky_link&taid=686303c520991e000130e18e&utm_campaign=trueanthem&utm_medium=social&utm_source=bluesky'],Politics,Politics,Taxes
NBC News,2025-06-30 16:00:40,Clean energy stocks fell Monday as President Trump’s spending bill now abruptly phases out key credits.,29,17,['https://nbcnews.to/4lxwgrs'],['https://www.nbcnews.com/business/business-news/clean-energy-stocks-fall-trump-bill-taxes-components-china-phases-cred-rcna216018?link_source=ta_bluesky_link&taid=6862ece520991e000130e034&utm_campaign=trueanthem&utm_medium=social&utm_source=bluesky'],Business,Business & Economy,
NBC News,2025-06-30 15:40:08,"Aryna Sabalenka wouldn’t want women’s tennis to move to best-of-five-set matches at Grand Slam tournaments, fearing higher injury risks.",10,0,['https://nbcnews.to/4lyksVZ'],['https://www.nbcnews.com/sports/tennis/wimbledon-aryna-sabalenka-best-of-five-tennis-rcna216051?link_source=ta_bluesky_link&taid=6862e81720991e000130dfd8&utm_campaign=trueanthem&utm_medium=social&utm_source=bluesky'],Sports,Sports,
NBC News,2025-06-30 15:00:26,The U.S. and Israel have shifted their focus toward an ambitious diplomatic push they hope will translate into the kind of enduring political stability that has evaded the region for decades.,10,6,['https://nbcnews.to/3TDC5b7'],['https://www.nbcnews.com/world/middle-east/dust-settles-iran-israel-focuses-diplomacy-mideast-neighbors-rcna215485?link_source=ta_bluesky_link&taid=6862dec920991e000130df53&utm_campaign=trueanthem&utm_medium=social&utm_source=bluesky'],International Relations,World,
NBC News,2025-06-30 14:40:07,A father and child are rescued from the water after going overboard a Disney Cruise Line ship.,31,5,['https://nbcnews.to/45IGwZk'],['https://www.nbcnews.com/news/us-news/disney-dream-overboard-rescue-rcna215994?link_source=ta_bluesky_link&taid=6862da0620991e000130df05&utm_campaign=trueanthem&utm_medium=social&utm_source=bluesky'],Breaking News,Breaking News,
NBC News,2025-06-30 14:20:13,"Harvard is ""in violent violation"" of Title VI of the Civil Rights Act, the federal government’s Task Force to Combat Anti-Semitism alleges, in a letter threatening to cut all the university's federal funding if changes aren't made.",23,11,['https://nbcnews.to/3ZZ4QCB'],['https://www.nbcnews.com/news/us-news/harvard-university-found-violent-violation-civil-rights-act-anti-semit-rcna216007?link_source=ta_bluesky_link&taid=6862d55c20991e000130dec7&utm_campaign=trueanthem&utm_medium=social&utm_source=bluesky'],Education,Education,
NBC News,2025-06-30 14:00:59,"Cierra Matthews, a single mom of two, was shocked to hear her Medicaid benefits could be at risk under GOP plans to change the social safety net. 

But she’s not alone — health care providers, physicians, hospital associations and some Republicans are raising concerns. 
nbcnews.to/40rdTMA",158,85,['https://nbcnews.to/40rdTMA'],['https://www.nbcnews.com/politics/congress/rural-communities-brace-medicaid-cuts-republicans-big-bill-rcna214524'],Health News,Health,
NBC News,2025-06-30 14:00:07,"The “big, beautiful bill,” a 900-page long legislation, is making its way through the Senate, with the potential to have wide-ranging effects across the economy.",12,8,['https://nbcnews.to/3I8pytK'],['https://www.nbcnews.com/politics/congress/republican-big-beautiful-bill-win-loses-rcna215910?link_source=ta_bluesky_link&taid=6862d0a620991e000130de5c&utm_campaign=trueanthem&utm_medium=social&utm_source=bluesky'],Politics,Politics,Biden Administration
NBC News,2025-06-30 13:20:08,"The State Department announces it has banned an English rapper and his rap punk duo from performing in the U.S. after they appeared to lead a crowd in chants supporting Gaza residents and wishing ""death"" upon Israeli forces, officials say.",23,10,['https://nbcnews.to/3TN0YRw'],['https://www.nbcnews.com/news/us-news/state-department-bans-visas-english-punk-duo-bob-vylan-glastonbury-per-rcna215996?link_source=ta_bluesky_link&taid=6862c74820991e000130ddfd&utm_campaign=trueanthem&utm_medium=social&utm_source=bluesky'],Politics,Politics,Foreign Policy
NBC News,2025-06-30 13:13:27,"BREAKING: Trump administration sues Los Angeles over its immigration policies, claiming that the city's law discriminates against federal law enforcement by treating them differently from other law enforcement authorities.",77,46,['https://nbcnews.to/3Im7ImQ'],['https://www.nbcnews.com/politics/justice-department/trump-administration-sues-los-angeles-sanctuary-city-immigration-polic-rcna216011?link_source=ta_bluesky_link&taid=6862c5b620991e000130ddef&utm_campaign=trueanthem&utm_medium=social&utm_source=bluesky'],Politics,Politics,Immigration
