username,created_at,text,likes,reposts,section,merged_section
NPR,2025-05-31 22:26:57,"""I just didn't think it would take this long,"" one veteran head of diversity, who's been job-hunting since last summer, tells NPR.",705,171,Business,Business & Economy
NPR,2025-05-31 21:38:49,Your state DMV probably won't text you about unpaid fees — but scammers will.,666,156,Scams,Scams
NPR,2025-05-31 19:46:20,The extreme sport of ultrarunning is known for seemingly impossible feats. But Stephanie Case's recent performance — six months after giving birth — is making waves far beyond the running community.,718,88,Sports,Sports
NPR,2025-05-31 19:17:59,Would-be homebuyers are finding lots of reasons to wait.,419,79,Real Estate,Infrastructure
NPR,2025-05-31 18:38:16,"To maintain old friends, focus less on what they're doing (or not doing) for the relationship and focus on your own efforts, says Nina Badzin, host of a friendship podcast.",334,35,Lifestyle,Lifestyle
NPR,2025-05-31 18:21:22,Far-Flung Postcards is a weekly series in which NPR's international correspondents share snapshots of moments from their lives and work around the world.,304,26,International News,World
NPR,2025-05-31 17:07:00,Investors are worried about the ongoing trade war — and rethinking the safety and soundness of U.S. government debt.,516,121,Economy,Business & Economy
NPR,2025-05-31 15:53:20,Four super-rich tech leaders gather for a poker weekend in a mountain mansion while AI technology leads to global chaos in the new HBO film from Succession creator Jesse Armstrong.,449,38,Entertainment,Entertainment
NPR,2025-05-31 15:30:03,The Republican senator offered a glib response to constituent questions at a town hall regarding cuts to Medicaid under the Trump-endorsed One Big Beautiful Bill Act.,630,160,Politics,Politics
NPR,2025-05-31 14:10:06,"Videos show armed agents in tactical gear, a crowd of locals and what appear to be smoke devices deployed.",635,234,Breaking News,Breaking News
NPR,2025-05-31 13:41:35,"'Memory cafes' are small social gatherings for individuals with dementia — and their caregivers, too. As public health funding shrinks, memory cafes are cheap to run and can offer measurable benefits.",717,130,Health,Health
NPR,2025-05-31 13:26:05,"After All Things Considered producer Mia Venkat became a fan of Survivor, she and her friend group play their own version every year.",154,14,Entertainment,Entertainment
NPR,2025-05-31 13:08:06,More than a thousand people who worked to keep American agriculture free of pests and disease have left the federal workforce in President Trump's massive government downsizing.,660,295,Agriculture,Agriculture
NPR,2025-05-31 12:39:44,"While the militant group says it will release 10 living and 18 deceased hostages still held in Gaza, there appear to be other details that need to be worked out before a ceasefire is declared.",167,37,World News,World
NPR,2025-05-31 12:29:41,Existing evidence on the safety and efficacy of getting a COVID vaccine in pregnancy all points the same way: the shot is important for maternal and fetal health.,827,258,Health,Health
NPR,2025-05-31 11:46:54,Raising two kids while living with an autonomic nervous system disorder taught Jessica Slice to embrace interdependence. Her story is a reminder to parents of the power of asking for help.,353,46,Health,Health
NPR,2025-05-31 11:27:56,The White House said it's reached deals with nine law firms to provide about $1 billion in pro bono services. But the details of those agreements remain murky.,368,99,Legal News,Crime
NPR,2025-05-31 11:08:59,"At an international forum in Singapore, Defense Secretary Pete Hegseth said the U.S. is refocusing its strength and policies on deterring China, and coaxed China's neighbors and U.S. allies to help.",147,25,International Relations,World
NPR,2025-05-31 10:36:23,"President Trump has promised to attack drug gangs and called for the death penalty for street dealers. But he has also pardoned more than 20 people serving time for serious drug crimes, some involving violence.",1111,417,Politics,Politics
NPR,2025-05-31 10:05:39,Current and former Meta employees fear the new automation push comes at the cost of allowing AI to make tricky determinations about how Meta's apps could lead to real world harm.,317,106,Technology,Technology
NPR,2025-05-31 10:02:40,"The coming months will bring a 28 Days Later sequel and a new John Wick movie starring Ana de Armas. Midsommar's Ari Aster has a new Western thriller, and Pixar goes intergalactic.",143,7,Entertainment,Entertainment
NPR,2025-05-31 08:01:46,"Hungarian Prime Minister Viktor Orbán has been called ""Trump before there was a Trump."" Here's why his reshaping of Hungary's political institutions inspires U.S. conservatives.",322,98,Politics,Politics
NPR,2025-05-31 06:53:27,"The home improvement chain broke from many other retailers, who say they cannot afford to absorb new tariffs. President Trump recently attacked Walmart for warning of price hikes.",438,92,Business,Business & Economy
NPR,2025-05-31 04:49:41,"Valerie ran off while she was on a camping trip with her owners back in 2023 on a remote island in Australia. They had lost hope until locals spotted her more than a year later, surviving in the wild.",1113,142,Human Interest,Human Interest
NPR,2025-05-30 21:56:02,Joe Walsh is the first Alzheimer's patient to be treated with an experimental nasal spray designed to reduce inflammation in the brain.,1087,223,Health,Health
NPR,2025-05-30 21:06:59,"Following his HBO series Succession, Jesse Armstrong's latest project, Mountainhead, is a film about four tech billionaires whose mountain retreat is disrupted by a global catastrophe.",320,24,Entertainment,Entertainment
NPR,2025-05-30 20:42:34,RFK Jr. announced this week that the federal government is removing the recommendation that kids and pregnant women get routine COVID-19 vaccines. But CDC advice is more nuanced.,2304,548,Health,Health
NPR,2025-05-30 19:48:30,"Court rulings against President Trump's tariffs could spell relief for many American importers — if the decisions hold. For now, the uncertainty remains.",347,56,Business,Business & Economy
NPR,2025-05-30 19:24:02,Last summer a federal judge ruled that Google had monopolized the search market. Now the Justice Department and the tech giant had one last chance to argue over what the penalties should be.,253,26,Business News,Business & Economy
NPR,2025-05-30 19:16:03,"Food aid is moldering in warehouses in Jordan, the main hub for humanitarian aid to Gaza. Other foods and medicines are loaded on trucks that have waited for months at Israeli border crossings.",688,374,International News,World
NPR,2025-05-30 18:50:08,"Before fighting broke out over two years ago, Khartoum had nearly 100 public and private medical facilities. Today, not a single one remains operational.",301,87,Health,Health
NPR,2025-05-30 18:27:52,JUST IN: Trump made the announcement as he celebrated a multi-billion dollar deal between the iconic American steelmaker U.S. Steel and the Japanese company Nippon Steel.,206,58,Business,Business & Economy
NPR,2025-05-30 18:11:15,The extreme sport of ultrarunning is known for seemingly impossible feats. But Stephanie Case's recent performance — six months after giving birth — is making waves far beyond the running community.,443,43,Sports,Sports
NPR,2025-05-30 16:20:29,BREAKING NEWS: PBS and Lakeland PBS in rural Minnesota are suing President Trump over his executive order demanding that the Corporation for Public Broadcasting kill all funding for the public television network.,1648,249,Politics,Politics
NPR,2025-05-30 16:17:52,"JUST IN: The move to grant a stay in the case means that the Cubans, Haitian, Nicaraguans and Venezuelans who were granted temporary parole under the program known as CHNV would lose their temporary legal status to be in the U.S.",212,85,Immigration News,World
NPR,2025-05-30 16:01:51,"President Trump nominated Paul Ingrassia to lead the Office of Special Counsel, a government agency that enforces ethics law and protects whistleblowers, despite Ingrassia's links to extremists.",419,192,Politics,Politics
NPR,2025-05-30 15:41:33,"UPDATE: Elon Musk is leaving the Department of Government Efficiency effort. His 130 day tenure was marked by legal setbacks, overstated savings claims and little evidence DOGE made things more efficient.",523,85,Business,Business & Economy
NPR,2025-05-30 15:25:16,"The pop star's early catalog was acquired in 2019 and sold again in 2020, igniting a years-long saga in which Swift set out to re-record new versions of the albums to compete with the originals.",652,40,Entertainment,Entertainment
NPR,2025-05-30 15:07:03,"The Manitoba wildfires have forced 17,000 people to flee the province. Plumes of heavy smoke are expected to drift into the United States over Friday and Saturday, affecting millions of Americans.",376,110,Breaking News,Breaking News
NPR,2025-05-30 14:32:33,President Trump travels to Pittsburgh Friday to celebrate a deal between U.S. Steel and the Japanese company Nippon Steel — a deal he helped broker after campaigning that he would block it.,241,76,Politics,Politics
NPR,2025-05-30 14:25:04,"Adams sued over an allegation in a 2016 documentary that he sanctioned the 2006 killing of a British spy in Ireland. A jury in Dublin's High Court awarded Adams damages of 100,000 euros ($113,000).",143,20,Legal News,Crime
NPR,2025-05-30 14:04:52,KXT's Jackson Wisdorf joins Stephen Thompson to discuss their favorite records out this week — and shed a few tears in the process.,51,4,Music,Entertainment
NPR,2025-05-30 13:31:35,"Benicio Del Toro plays a globe-trotting tycoon trying to convince his estranged daughter (Mia Threapleton) to be his heir. The film is darker, angrier and more violent than Anderson's usual fare.",325,28,Entertainment,Entertainment
NPR,2025-05-30 13:14:45,"France to ban smoking at beaches, parks and outside schools from July 1st to protect children.",529,46,Health,Health
