username,created_at,text,likes,reposts,section,merged_section
The New York Times,2025-05-31 17:44:25,"A storm spinning off the coast of Baja California in Mexico will bring thunderstorms and brief heavy downpours to the Southwest U.S. Rainfall could even reach Phoenix on Sunday and Monday, a rarity for this time of year.",230,32,Weather,Weather
The New York Times,2025-05-31 17:31:18,Federal officers entered Rep. Jerry Nadler’s office in Lower Manhattan on Wednesday and handcuffed and briefly detained one of his aides. The confrontation happened shortly after the aide observed federal agents detaining migrants in a public hallway outside an immigration courtroom.,10875,4508,Politics,Politics
The New York Times,2025-05-31 17:25:42,"Breaking News: President Trump plans to withdraw his nomination of Jared Isaacman, a billionaire entrepreneur and close associate of Elon Musk’s, who was on track to be the next NASA administrator.",297,74,Politics,Politics
The New York Times,2025-05-31 16:51:26,"Paris Saint-Germain reach the holy grail.

After coming so close in 2020, they finally win the Champions League for the first time in their history, demolishing Inter 5-0 to become the 24th club to lift old big ears.",438,69,Sports,Sports
The New York Times,2025-05-31 16:35:43,"Kell Morris does not remember exactly how he started tumbling or how he ended up on his stomach, but he remembers when a 700-pound boulder hit his back — the jolt of pain it caused as it pinned him down, and how instantly he knew he was in trouble.",139,23,Sports,Sports
The New York Times,2025-05-31 16:09:48,A tight presidential election this weekend in Poland hinges heavily on young voters. But the two candidates facing off in a runoff election on Sunday share a big problem: Young Poles do not much like either of them.,188,48,Politics,Politics
The New York Times,2025-05-31 16:03:06,"Valerie Mahaffey, an actress with a knack for playing eccentric women who sometimes revealed themselves to be sinister in TV shows like “Desperate Housewives,” “Northern Exposure” and “Devious Maids,” died on Friday. She was 71.",1423,174,Obituaries,Obituaries
The New York Times,2025-05-31 15:53:17,"Breaking News: The Israeli military said it had killed Muhammad Sinwar, one of Hamas’s top military commanders in Gaza, during airstrikes this month.",106,24,World News,World
The New York Times,2025-05-31 15:28:35,The ACLU asked a federal appeals court early Saturday morning to stop President Trump from using a rarely invoked 18th-century law to deport scores of Venezuelans accused of being gang members to a prison in El Salvador.,239,54,Legal News,Crime
The New York Times,2025-05-31 15:01:32,"Thousands of people have evacuated their homes across parts of the Canadian provinces of Saskatchewan and Manitoba, where officials have declared a state of emergency and crews are working to contain dozens of out-of-control wildfires. Here’s what to know.",614,211,Breaking News,Breaking News
The New York Times,2025-05-31 14:50:51,"Molly Jong-Fast’s new memoir, “How to Lose Your Mother,” offers an unsparing account about life with her famous mother, Erica Jong, and her mother’s decline into dementia. www.nytimes.com/2025/05/31/s...",1698,223,Books,Arts & Culture
The New York Times,2025-05-31 14:19:00,A former spy tells us what Tom Cruise gets right and wrong in the “Mission: Impossible” franchise.,80,11,Entertainment,Entertainment
The New York Times,2025-05-31 14:04:24,"Paris Saint-Germain and Inter meet for the first time ever in a competitive fixture and there is no stage bigger.

Follow the #UCLfinal live from the Allianz Arena here ⬇️

🔗 bit.ly/3SuFNTK",57,7,Sports,Sports
The New York Times,2025-05-31 13:56:03,"This Missouri town was all in for President Trump. Then ICE detained a beloved member of the community, forcing residents to face the reality of his policies. www.nytimes.com/2025/05/28/u...",494,162,National,Politics
