username,created_at,text,likes,reposts,urls,expanded_urls,section,merged_section,subsection
The Guardian,2025-06-30 23:43:18,The spiritual economy: young Chinese turn to fortune tellers as anxiety about the future rises,48,15,['https://www.theguardian.com/world/2025/jul/01/china-fortune-tellers-young-people-mysticism?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751339849'],['https://www.theguardian.com/world/2025/jul/01/china-fortune-tellers-young-people-mysticism?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751339849'],Lifestyle,Lifestyle,
The Guardian,2025-06-30 23:06:12,Clashes and arrests in Turkey over magazine cartoon allegedly depicting prophet Muhammad,45,13,['https://www.theguardian.com/world/2025/jul/01/istanbul-turkey-leman-magazine-alleged-prophet-muhammad-cartoon-protests-arrests?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/world/2025/jul/01/istanbul-turkey-leman-magazine-alleged-prophet-muhammad-cartoon-protests-arrests?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],World News,World,
The Guardian,2025-06-30 21:30:52,Vivienne Westwood and Rei Kawakubo paired for the first time in blockbuster exhibition at the NGV,61,8,['https://www.theguardian.com/fashion/2025/jul/01/vivienne-westwood-rei-kawakubo-ngv-exhibition?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751332991'],['https://www.theguardian.com/fashion/2025/jul/01/vivienne-westwood-rei-kawakubo-ngv-exhibition?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751332991'],Fashion,Arts & Culture,
The Guardian,2025-06-30 20:45:10,Ukraine war briefing: Russia claims to have seized all of Luhansk region; Kim Jong-un mourns war dead,55,26,['https://www.theguardian.com/world/2025/jul/01/ukraine-war-briefing-russia-claims-to-have-seized-all-of-luhansk-region-and-first-village-in-dnipropetrovsk?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/world/2025/jul/01/ukraine-war-briefing-russia-claims-to-have-seized-all-of-luhansk-region-and-first-village-in-dnipropetrovsk?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],World News,World,
The Guardian,2025-06-30 19:15:09,King Charles to receive £132m next year after crown estate makes £1.1bn profit,73,26,['https://www.theguardian.com/uk-news/2025/jul/01/king-charles-crown-estate-profit-land-property?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/uk-news/2025/jul/01/king-charles-crown-estate-profit-land-property?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],Royal News,Royal News,
The Guardian,2025-06-30 19:15:05,Susan Sarandon ‘terrified but excited’ to make UK theatrical debut in September,106,10,['https://www.theguardian.com/stage/2025/jul/01/susan-sarandon-uk-theatrical-debut-mary-page-marlowe-old-vic-andrea-riseborough?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/stage/2025/jul/01/susan-sarandon-uk-theatrical-debut-mary-page-marlowe-old-vic-andrea-riseborough?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],Entertainment,Entertainment,
The Guardian,2025-06-30 18:39:10,Scottish firefighters tackle wildfires for third day as risk to life grows,116,40,['https://www.theguardian.com/uk-news/2025/jun/30/scottish-firefighters-tackle-wildfires-for-third-day-as-risk-to-life-grows?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/uk-news/2025/jun/30/scottish-firefighters-tackle-wildfires-for-third-day-as-risk-to-life-grows?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],Local News,Local News,
The Guardian,2025-06-30 18:39:07,Carlos Alcaraz escapes first-round scare as Fabio Fognini tests his limits,19,0,['https://www.theguardian.com/sport/2025/jun/30/carlos-alcaraz-escapes-first-round-scare-as-fabio-fognini-forces-him-the-distance?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/sport/2025/jun/30/carlos-alcaraz-escapes-first-round-scare-as-fabio-fognini-forces-him-the-distance?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],Sports,Sports,
The Guardian,2025-06-30 18:27:07,Crime Scene Cleaners review – Warning! This show is truly vomit-inducing,23,3,['https://www.theguardian.com/tv-and-radio/2025/jun/30/scene-cleaners-review-warning-this-show-is-truly-vomit-inducing?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751322154'],['https://www.theguardian.com/tv-and-radio/2025/jun/30/scene-cleaners-review-warning-this-show-is-truly-vomit-inducing?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751322154'],Television Reviews,Entertainment,
The Guardian,2025-06-30 17:45:05,Gov.uk smartphone app to launch with limited functionality,17,5,['https://www.theguardian.com/technology/2025/jun/30/gov-uk-smartphone-app-launch-functionality?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/technology/2025/jun/30/gov-uk-smartphone-app-launch-functionality?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],Technology,Technology,
The Guardian,2025-06-30 17:27:11,Royal train to be retired as King Charles seeks to modernise monarchy,111,14,['https://www.theguardian.com/uk-news/2025/jun/30/royal-train-to-be-retired-as-king-charles-seeks-to-modernise-monarchy?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/uk-news/2025/jun/30/royal-train-to-be-retired-as-king-charles-seeks-to-modernise-monarchy?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],Royal News,Royal News,
The Guardian,2025-06-30 15:57:10,Israel launches waves of Gaza airstrikes after new displacement orders,49,52,['https://www.theguardian.com/world/2025/jun/30/israel-launches-waves-of-gaza-airstrikes-after-new-displacement-orders?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/world/2025/jun/30/israel-launches-waves-of-gaza-airstrikes-after-new-displacement-orders?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],World News,World,
The Guardian,2025-06-30 15:03:13,UK food delivery firms step up checks after claims of illegal workers,29,3,['https://www.theguardian.com/business/2025/jun/30/uk-food-delivery-companies-increase-checks-illegal-workers?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/business/2025/jun/30/uk-food-delivery-companies-increase-checks-illegal-workers?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],Business,Business & Economy,
The Guardian,2025-06-30 14:53:53,Liz Kendall is a listening kind of woman but can’t seem to hear Labour discontent on welfare bill | John Crace,48,7,['https://www.theguardian.com/politics/2025/jun/30/liz-kendall-labour-welfare-bill?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751309359'],['https://www.theguardian.com/politics/2025/jun/30/liz-kendall-labour-welfare-bill?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751309359'],Politics,Politics,Politician
The Guardian,2025-06-30 14:24:21,"Palestine Action spraying paint is not terrorism. As ministers abuse their powers, I feel a duty to speak out | Juliet Stevenson",383,130,['https://www.theguardian.com/commentisfree/2025/jun/30/palestine-action-spraying-paint-terrorism-ministers-abuse-powers-gaza?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751307612'],['https://www.theguardian.com/commentisfree/2025/jun/30/palestine-action-spraying-paint-terrorism-ministers-abuse-powers-gaza?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751307612'],Opinion,Opinion,
The Guardian,2025-06-30 13:51:07,"Most women in England and Wales report abusive behaviour to them or others, poll finds",84,18,['https://www.theguardian.com/society/2025/jun/30/most-women-in-england-and-wales-have-seen-abusive-male-behaviour-in-the-past-year-poll-finds?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/society/2025/jun/30/most-women-in-england-and-wales-have-seen-abusive-male-behaviour-in-the-past-year-poll-finds?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],Crime,Crime,
The Guardian,2025-06-30 13:43:27,Ben Jennings on Keir Starmer’s first year as prime minister – cartoon,19,7,['https://www.theguardian.com/commentisfree/picture/2025/jun/30/ben-jennings-keir-starmer-first-year-prime-minister-cartoon?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751305147'],['https://www.theguardian.com/commentisfree/picture/2025/jun/30/ben-jennings-keir-starmer-first-year-prime-minister-cartoon?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751305147'],Cartoons,Cartoons,
The Guardian,2025-06-30 13:33:02,"Revised Labour welfare measures could still push 150,000 into poverty",47,17,['https://www.theguardian.com/politics/2025/jun/30/welfare-reforms-could-push-150000-into-poverty-despite-concessions-impact-report-shows?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/politics/2025/jun/30/welfare-reforms-could-push-150000-into-poverty-despite-concessions-impact-report-shows?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],Economy,Business & Economy,
The Guardian,2025-06-30 13:15:08,"Norway lottery operator apologises to 47,000 people it told they won in error",53,7,['https://www.theguardian.com/world/2025/jun/30/norway-lottery-error-apology?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/world/2025/jun/30/norway-lottery-error-apology?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],Business,Business & Economy,
The Guardian,2025-06-30 13:08:00,Jurassic World Rebirth review – Scarlett Johansson runs show as near-extinct franchise roars back to life,91,16,['https://www.theguardian.com/film/2025/jun/30/jurassic-world-rebirth-review-scarlett-johansson-runs-show-as-near-extinct-franchise-roars-back-to-life?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751302076'],['https://www.theguardian.com/film/2025/jun/30/jurassic-world-rebirth-review-scarlett-johansson-runs-show-as-near-extinct-franchise-roars-back-to-life?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751302076'],Entertainment,Entertainment,
The Guardian,2025-06-30 12:39:10,"The Vivienne died from cardio-respiratory arrest due to ketamine use, inquest finds",53,6,['https://www.theguardian.com/society/2025/jun/30/the-vivienne-died-from-cardio-respiratory-arrest-due-to-ketamine-use-inquest-finds?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/society/2025/jun/30/the-vivienne-died-from-cardio-respiratory-arrest-due-to-ketamine-use-inquest-finds?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],Health,Health,
The Guardian,2025-06-30 12:37:41,"How gen Z is rewriting money rules: ‘I thrift, I splurge, I save 25%’",40,4,['https://www.theguardian.com/money/2025/jun/30/gen-z-money-budgeting-thrift-save?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751301071'],['https://www.theguardian.com/money/2025/jun/30/gen-z-money-budgeting-thrift-save?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751301071'],Finance,Business & Economy,
The Guardian,2025-06-30 12:21:05,Speed restrictions imposed on two main train lines amid UK heatwave,45,9,['https://www.theguardian.com/uk-news/2025/jun/30/speed-restrictions-train-lines-uk-heatwave?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/uk-news/2025/jun/30/speed-restrictions-train-lines-uk-heatwave?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],Transport,Transport,
The Guardian,2025-06-30 11:45:07,Jurors in Sean ‘Diddy’ Combs’s sex-trafficking trial begin deliberations,24,2,['https://www.theguardian.com/music/2025/jun/30/diddy-trial-jury-deliberation?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],['https://www.theguardian.com/music/2025/jun/30/diddy-trial-jury-deliberation?utm_source=dlvr.it&utm_medium=bluesky&CMP=bsky_gu'],Entertainment News,Entertainment,
The Guardian,2025-06-30 11:42:52,‘Smellmaxxing’ and ‘frag heads’: how the gen Z perfume boom came up roses for indie brands,19,0,['https://www.theguardian.com/fashion/2025/jun/30/perfume-boom-gen-z-independent-brands?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751294494'],['https://www.theguardian.com/fashion/2025/jun/30/perfume-boom-gen-z-independent-brands?utm_term=Autofeed&CMP=bsky_gu&utm_medium=&utm_source=Bluesky#Echobox=1751294494'],Lifestyle,Lifestyle,
