username,created_at,text,likes,reposts,urls,expanded_urls,section,merged_section
The Washington Post,2025-06-30 21:31:03,"Pattie Gonia has amassed a sizable fan base, booking club dates through the end of September. But she is best known for something few other queens attempt: turning drag looks in the great outdoors.

The goal?

“To create an environmental movement that’s for everyone,” Gonia said. wapo.st/447VEya",171,10,['https://wapo.st/447VEya'],['https://wapo.st/447VEya'],Lifestyle,Lifestyle
The Washington Post,2025-06-30 20:34:34,The decisions by Rep. Don Bacon (Nebraska) and Sen. Thom Tillis (North Carolina) to not seek reelection illustrate how little room there is in the party for dissenting voices and complicate the GOP’s path to keeping its majorities in the midterms.,421,118,['https://www.washingtonpost.com/politics/2025/06/30/bacon-tillis-trump-republicans-retire/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/politics/2025/06/30/bacon-tillis-trump-republicans-retire/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Politics,Politics
The Washington Post,2025-06-30 20:04:53,"Bryan Kohberger has agreed to plead guilty to murdering four University of Idaho students as part of a deal with prosecutors to avoid the death penalty, multiple media outlets reported.",58,15,['https://www.washingtonpost.com/national/2025/06/30/kohberger-idaho-students-killed/ea03eb4a-5567-11f0-b45b-dc9aeb848c03_story.html?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/national/2025/06/30/kohberger-idaho-students-killed/ea03eb4a-5567-11f0-b45b-dc9aeb848c03_story.html?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Crime News,Crime
The Washington Post,2025-06-30 19:00:19,Crew members for Disney Cruise Line rescued a father and his 5-year-old daughter from the ocean Sunday after the two passengers went overboard while returning to South Florida from the Bahamas.,664,103,['https://www.washingtonpost.com/travel/2025/06/30/man-daughter-overboard-disney-cruise/?utm_campaign=wp_main&utm_source={SOCIAL_NETWORK}&utm_medium=social'],['https://www.washingtonpost.com/travel/2025/06/30/man-daughter-overboard-disney-cruise/?utm_campaign=wp_main&utm_source={SOCIAL_NETWORK}&utm_medium=social'],Local News,Local News
The Washington Post,2025-06-30 18:30:39,"The man suspected of killing two firefighters and gravely wounding a third in an ambush-style attack as they responded to a fire in Northern Idaho on Sunday was identified as 20-year-old Wess Roley, Kootenai County Sheriff Robert Norris said.",2355,729,['https://www.washingtonpost.com/nation/2025/06/30/wess-roley-idaho-firefighter-shooting-suspect/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],['https://www.washingtonpost.com/nation/2025/06/30/wess-roley-idaho-firefighter-shooting-suspect/?utm_campaign=wp_main&utm_medium=social&utm_source=bluesky'],Breaking News,Breaking News
The Washington Post,2025-06-30 18:02:07,"The NBA’s summer free agency period officially opens Monday at 6 p.m. Eastern, when eligible players are able to start agreeing to deals with teams.

Follow live updates here.",12,2,['https://www.washingtonpost.com/sports/2025/06/30/nba-free-agency/?utm_campaign=wp_main&utm_source={SOCIAL_NETWORK}&utm_medium=social'],['https://www.washingtonpost.com/sports/2025/06/30/nba-free-agency/?utm_campaign=wp_main&utm_source={SOCIAL_NETWORK}&utm_medium=social'],Sports,Sports
The Washington Post,2025-06-30 17:32:43,"Due to the ongoing U.S. measles outbreak, a Texas man worried that his young son was at risk and took him to get vaccinated.

The cost of the shot? $1,400.",11994,5227,['https://wapo.st/3GmA4Ng'],['https://wapo.st/3GmA4Ng'],Health,Health
The Washington Post,2025-06-30 16:55:16,We love @washingtonpost.com vertical video explainers of what’s in the “One Big Beautiful Bill.”,146,68,[],[],Politics,Politics
The Washington Post,2025-06-30 16:18:59,"The highest income earners would overwhelmingly benefit the most from President Donald Trump and Senate Republicans’ sprawling tax and immigration package, according to data released Monday. wapo.st/46kiALY",200,123,['https://wapo.st/46kiALY'],['https://wapo.st/46kiALY'],Politics,Politics
The Washington Post,2025-06-30 16:01:28,"The Senate is on the verge of advancing President Trump and congressional Republicans’ massive budget bill, which could reshape much of the federal government and the U.S. economy.

Here’s what’s in it: wapo.st/4keseTX",29,14,['https://wapo.st/4keseTX'],['https://wapo.st/4keseTX'],Politics,Politics
