outlet,platform,date,entity,sentiment
abc,twitter,2025-07-02,lone wolf actor,0.04545454545454545
abc,twitter,2025-07-02,Fourth of July,0.04545454545454545
abc,twitter,2025-07-02,ABC News,0.04545454545454545
abc,twitter,2025-07-02,"the Jan. 6, 2021",0.1875
abc,twitter,2025-07-02,the Justice Department,0.1875
abc,twitter,2025-07-02,Weaponization Working Group,0.1875
abc,twitter,2025-07-02,last month,-0.03333333333333333
abc,twitter,2025-07-02,the Houston Police Department,-0.03333333333333333
abc,twitter,2025-07-02,Magellanic,-0.004166666666666666
abc,twitter,2025-07-02,Scooter Braun,-0.15555555555555556
abc,twitter,2025-07-02,HYBE America,-0.15555555555555556
abc,twitter,2025-07-02,four years,-0.15555555555555556
abc,twitter,2025-07-02,Alcatraz,0.1518939393939394
abc,twitter,2025-07-02,2050,0.14166666666666666
abc,twitter,2025-07-02,the American Association for Cancer Research,0.14166666666666666
abc,twitter,2025-07-02,Bahamas,-0.3833333333333333
abc,twitter,2025-07-02,The University of Pennsylvania,0.0
abc,twitter,2025-07-02,Department of Education,0.0
abc,twitter,2025-07-02,Thom Tillis,-0.06666666666666667
abc,twitter,2025-07-02,2026,-0.06666666666666667
abc,twitter,2025-07-02,Idaho,0.0875
abc,twitter,2025-07-02,ABC News,0.0875
abc,twitter,2025-07-02,The White House,0.3
abc,twitter,2025-07-01,one year,-0.02840909090909091
abc,twitter,2025-07-01,ABC News,0.07673611111111112
abc,twitter,2025-07-01,over 100,0.0
abc,twitter,2025-07-01,U-Haul,0.0
abc,twitter,2025-07-01,60-day,0.016666666666666666
abc,twitter,2025-07-01,Hamas,0.016666666666666666
abc,twitter,2025-07-01,The Department of Justice,0.0
abc,twitter,2025-07-01,The White House,0.1787878787878788
abc,twitter,2025-07-01,Hakeem Jeffries,-1.0
abc,twitter,2025-07-01,Karen Bass,-0.15000000000000002
abc,twitter,2025-07-01,The Justice Department,-0.15000000000000002
abc,twitter,2025-07-01,the enforcement of federal immigration,-0.15000000000000002
abc,twitter,2025-07-01,Lululemon,0.55
abc,twitter,2025-07-01,Costco,0.55
abc,twitter,2025-07-01,last month,-0.03333333333333333
abc,twitter,2025-07-01,DIDDY,0.21212121212121213
abc,twitter,2025-07-01,9 a.m.,0.21212121212121213
abc,twitter,2025-07-01,ABC News',0.0909090909090909
abc,twitter,2025-07-01,Reena Roy,0.0909090909090909
abc,twitter,2025-07-01,"Diddy"" Combs",0.0909090909090909
