outlet,platform,date,entity,sentiment
bbc,tiktok,2025-06-02,later this year,0.04375
bbc,tiktok,2025-06-02,BBC Newsnight’s,0.04375
bbc,tiktok,2025-06-02,Victoria Derbyshire,0.04375
bbc,tiktok,2025-06-02,Rotherham,0.04375
bbc,tiktok,2025-06-02,Yorkshire,0.04375
bbc,tiktok,2025-06-02,Zara,0.04375
bbc,tiktok,2025-06-02,24 year,0.04375
bbc,tiktok,2025-06-02,#Police #,0.04375
bbc,tiktok,2025-06-02,Newsnight #News #,0.04375
bbc,tiktok,2025-06-02,BBCNews,0.04375
bbc,tiktok,2025-06-02,Madeleine McCann,-0.10000000000000002
bbc,tiktok,2025-06-02,two years ago,-0.10000000000000002
bbc,tiktok,2025-06-02,31 miles,-0.10000000000000002
bbc,tiktok,2025-06-02,#MadeleineMcCann #,-0.10000000000000002
bbc,tiktok,2025-06-02,BBCNews,-0.10000000000000002
bbc,tiktok,2025-06-02,20-year-old,0.0
bbc,tiktok,2025-06-02,Mazyar Azarbonyad,0.0
bbc,tiktok,2025-06-02,CountyDurham,0.0
bbc,tiktok,2025-06-02,BBCNews,0.0
bbc,tiktok,2025-06-02,the House of Lords,0.0
bbc,tiktok,2025-06-02,AIMusic,0.0
bbc,tiktok,2025-06-02,LittleMix,0.0
bbc,tiktok,2025-06-02,CopyrightMusic,0.0
bbc,tiktok,2025-06-02,MusicCopyright,0.0
bbc,tiktok,2025-06-02,BBCNews,0.0
bbc,tiktok,2025-06-02,Green Party,-0.05
bbc,tiktok,2025-06-02,Antoniazzi,-0.05
bbc,tiktok,2025-06-02,#Pregnancy #,-0.05
bbc,tiktok,2025-06-02,#Law #,-0.05
bbc,tiktok,2025-06-02,BBCNews,-0.05
bbc,tiktok,2025-06-02,Keir Starmer,-0.1
bbc,tiktok,2025-06-02,UKPolitics,-0.1
bbc,tiktok,2025-06-02,#Warfare #,-0.1
bbc,tiktok,2025-06-02,UKPolitics,-0.1
bbc,tiktok,2025-06-02,BBCNews,-0.1
bbc,tiktok,2025-06-02,"Around 20,000",0.15000000000000002
bbc,tiktok,2025-06-02,the Gran Tomatina Colombia,0.15000000000000002
bbc,tiktok,2025-06-02,GranTomatina,0.15000000000000002
bbc,tiktok,2025-06-02,Tomatina,0.15000000000000002
bbc,tiktok,2025-06-02,SouthAmerica,0.15000000000000002
bbc,tiktok,2025-06-02,BBCNews,0.15000000000000002
bbc,tiktok,2025-06-02,#BBL #,-0.3333333333333333
bbc,tiktok,2025-06-02,#Surgery #,-0.3333333333333333
bbc,tiktok,2025-06-02,BBCNews,-0.3333333333333333
bbc,tiktok,2025-06-02,#SecretLivesOfMormonWives #,0.0
bbc,tiktok,2025-06-02,JessiNgatikaura,0.0
bbc,tiktok,2025-06-02,RealityShow,0.0
bbc,tiktok,2025-06-02,BBCNews,0.0
bbc,tiktok,2025-06-02,Mount Etna,0.0
bbc,tiktok,2025-06-02,MountEtna,0.0
bbc,tiktok,2025-06-02,BBCNews,0.0
bbc,tiktok,2025-06-02,#Vaper #,0.0
bbc,tiktok,2025-06-02,BBCNews,0.0
bbc,tiktok,2025-06-02,Smiler,0.0
