outlet,platform,date,entity,sentiment
dailywire,tiktok,2025-06-02,holyairball,0.0
dailywire,tiktok,2025-06-11,6x,0.5
dailywire,tiktok,2025-06-12,😔,0.0
dailywire,tiktok,2025-06-16,8 hours,0.020833333333333332
dailywire,tiktok,2025-06-18,10 years,0.15
dailywire,tiktok,2025-06-18,Eric Trump,0.15
dailywire,tiktok,2025-06-18,the last 10 years,0.15
dailywire,tiktok,2025-06-19,Juneteenth,0.0
dailywire,tiktok,2025-06-23,🇺,0.0
dailywire,tiktok,2025-06-23,🇸,0.0
dailywire,tiktok,2025-06-23,Al Udeid Airbase,0.13636363636363635
dailywire,tiktok,2025-06-24,the Middle East,0.0
dailywire,tiktok,2025-06-27,Biden,0.0
dailywire,tiktok,2025-06-30,the summer,0.0
