outlet,platform,date,entity,sentiment
dailywire,twitter,2025-06-30,the White House,0.25727272727272726
dailywire,twitter,2025-06-30,Karoline Leavitt,0.25727272727272726
dailywire,twitter,2025-07-01,"the 'Big, Beautiful Bill",0.21249999999999997
dailywire,twitter,2025-07-01,51-50,0.21249999999999997
dailywire,twitter,2025-07-01,VP JD Vance,0.21249999999999997
dailywire,twitter,2025-07-01,Trump Scores Major,0.30416666666666664
dailywire,twitter,2025-07-01,Vance Helps Push,0.30416666666666664
dailywire,twitter,2025-07-01,Zohran Mamdani’s,0.30333333333333334
dailywire,twitter,2025-07-01,the Democratic Party,0.30333333333333334
dailywire,twitter,2025-07-01,Trump’s Big,0.30333333333333334
dailywire,twitter,2025-07-01,Beautiful Bill,0.30333333333333334
dailywire,twitter,2025-07-01,Elon Musk,-0.4
dailywire,twitter,2025-07-01,DOGE,-0.4
dailywire,twitter,2025-07-01,DOGE,-0.4
dailywire,twitter,2025-07-01,Musk,-0.4
dailywire,twitter,2025-07-01,Alcatraz,-0.6666666666666666
dailywire,twitter,2025-07-01,Round 2,-0.2
dailywire,twitter,2025-06-30,B-2,0.0
dailywire,twitter,2025-06-30,the White House,0.0
dailywire,twitter,2025-06-30,"Friday, July 4",0.0
dailywire,twitter,2025-06-30,@realDailyWire,0.0
dailywire,twitter,2025-06-30,The Daily Wire’s,0.24727272727272726
dailywire,twitter,2025-06-30,Mary Margaret Olohan,0.24727272727272726
dailywire,twitter,2025-06-30,Karoline Leavitt,0.24727272727272726
dailywire,twitter,2025-06-30,the White House,0.0
dailywire,twitter,2025-06-30,July 7,0.0
dailywire,twitter,2025-06-30,@realDailyWire,0.0
dailywire,twitter,2025-06-30,ICEBlock,0.1875
dailywire,twitter,2025-06-30,the summer,0.0
dailywire,twitter,2025-06-30,The American Medical Establishment’s Bitter Refusal To Rethink Trans Procedures For Kids,-0.03333333333333333
dailywire,twitter,2025-06-30,U.S. State Department,0.0
dailywire,twitter,2025-06-30,Bob Vylan,0.0
dailywire,twitter,2025-06-30,the Trump Administration,0.0
dailywire,twitter,2025-06-29,The State Department,0.0
dailywire,twitter,2025-06-29,Bobby Vylan’s,0.0
dailywire,twitter,2025-06-29,The State Department,0.5
dailywire,twitter,2025-06-29,Bob Vylan,0.5
dailywire,twitter,2025-06-29,IDF,0.5
dailywire,twitter,2025-06-29,Glastonbury,0.5
dailywire,twitter,2025-06-29,The State Department,0.0
dailywire,twitter,2025-06-29,Bobby Vylan,0.0
dailywire,twitter,2025-06-29,The Daily Wire,0.0
dailywire,twitter,2025-06-29,@KassyAkiva,0.35
dailywire,twitter,2025-06-29,Trump Predicts,0.5
dailywire,twitter,2025-06-29,Abraham Accords,0.5
dailywire,twitter,2025-06-28,FTC,0.0
dailywire,twitter,2025-06-28,FTC,0.04999999999999999
dailywire,twitter,2025-06-27,one year,0.0
dailywire,twitter,2025-06-27,Biden,0.0
dailywire,twitter,2025-06-27,Akhtar,0.3
dailywire,twitter,2025-06-27,the California EPA,0.3
dailywire,twitter,2025-06-27,GARM,0.1
dailywire,twitter,2025-06-27,GARM,0.1
dailywire,twitter,2025-06-27,$$$,0.1
dailywire,twitter,2025-06-27,this morning,0.0
dailywire,twitter,2025-06-27,RFK,0.16818181818181818
dailywire,twitter,2025-06-27,@AmandaPresto,0.16818181818181818
dailywire,twitter,2025-06-26,Joe Abraham,-0.153125
dailywire,twitter,2025-06-26,Tom Homan,-0.153125
dailywire,twitter,2025-06-26,the Big Beautiful Bill,-0.153125
dailywire,twitter,2025-06-26,the White House,0.26
dailywire,twitter,2025-06-26,Chris Cuomo,-0.1
dailywire,twitter,2025-06-26,Zohran,0.2
dailywire,twitter,2025-06-26,Tulsi Gabbard,-0.125
dailywire,twitter,2025-06-26,Vance,-0.125
dailywire,twitter,2025-06-26,The White House,0.11212121212121212
dailywire,twitter,2025-06-26,the Abraham Accords,0.11212121212121212
dailywire,twitter,2025-06-26,Laurel Libby,0.15
dailywire,twitter,2025-06-26,The American Medical Association,-0.03888888888888889
dailywire,twitter,2025-06-26,@AmandaPresto,-0.03888888888888889
dailywire,twitter,2025-06-26,Hamas,0.15
dailywire,twitter,2025-06-26,Karoline Leavitt,0.3666666666666667
dailywire,twitter,2025-06-26,Naomi Epps Best,0.6590909090909091
dailywire,twitter,2025-06-26,Santa Clara University,0.6590909090909091
dailywire,twitter,2025-06-26,@SteveMiran,0.425
dailywire,twitter,2025-06-26,@maireadelordi,0.0
dailywire,twitter,2025-06-26,Ted Cruz Exposes,0.0
dailywire,twitter,2025-06-25,@realDailyWire,-0.08333333333333333
dailywire,twitter,2025-06-25,the Middle East,-0.08333333333333333
dailywire,twitter,2025-06-25,Hamas,0.25
dailywire,twitter,2025-06-25,New Jerusalem,-0.07765151515151517
dailywire,twitter,2025-06-25,@realDailyWire,0.06818181818181818
dailywire,twitter,2025-06-25,"1,100",0.06818181818181818
dailywire,twitter,2025-06-25,every day,0.06818181818181818
dailywire,twitter,2025-06-25,over $2M,0.06818181818181818
dailywire,twitter,2025-06-25,@PAAUNOW,0.22727272727272724
dailywire,twitter,2025-06-25,Cesare Santangelo,0.22727272727272724
dailywire,twitter,2025-06-25,Foggy Bottom,0.22727272727272724
dailywire,twitter,2025-06-25,B-2,0.0
dailywire,twitter,2025-06-25,the “Bomb Iran,0.0
dailywire,twitter,2025-06-25,Barbara Ann,0.0
dailywire,twitter,2025-06-24,NYC,0.30000000000000004
dailywire,twitter,2025-06-24,CRAZIEST,0.30000000000000004
dailywire,twitter,2025-06-24,$65 Million,-0.4
dailywire,twitter,2025-06-24,Trans the Kids,-0.4
dailywire,twitter,2025-06-24,Zohran Mamdani,-0.4
dailywire,twitter,2025-06-24,Arlington,0.10153061224489794
dailywire,twitter,2025-06-24,Roe,0.10153061224489794
dailywire,twitter,2025-06-24,June 24,0.0
dailywire,twitter,2025-06-24,the United States Supreme Court,0.0
dailywire,twitter,2025-06-24,Roe v. Wade,0.0
dailywire,twitter,2025-06-24,Georgetown University,-0.3
dailywire,twitter,2025-06-24,Be'er Sheva,0.007142857142857131
dailywire,twitter,2025-06-24,three hours,0.007142857142857131
dailywire,twitter,2025-06-24,6 hours,-0.2
dailywire,twitter,2025-06-24,About a minute,0.0
dailywire,twitter,2025-06-23,12 Day War,0.0
dailywire,twitter,2025-06-23,Michael Reacts,0.0
dailywire,twitter,2025-06-23,Trump Announces ‘Complete And Total Ceasefire,0.05
dailywire,twitter,2025-06-23,nan,0.0
dailywire,twitter,2025-06-23,Emir,0.2
dailywire,twitter,2025-06-23,Zohran Mamdani,0.06818181818181818
dailywire,twitter,2025-06-23,$65 million,0.06818181818181818
dailywire,twitter,2025-06-23,Americas,0.02500000000000001
dailywire,twitter,2025-06-23,the Middle East,0.02500000000000001
dailywire,twitter,2025-06-23,DOD,-0.15000000000000002
dailywire,twitter,2025-06-23,@realDailyWire,-0.15000000000000002
dailywire,twitter,2025-06-23,al Udeid,-0.15000000000000002
dailywire,twitter,2025-06-23,Qatari,0.13636363636363635
dailywire,twitter,2025-06-23,Ministry of Defense,-0.025000000000000022
dailywire,twitter,2025-06-23,Al-Udeid Air Base,-0.025000000000000022
dailywire,twitter,2025-06-23,U.S. Bases ',0.0
dailywire,twitter,2025-06-23,Fatah,0.0
dailywire,twitter,2025-06-23,Ain al-Assad,0.0
dailywire,twitter,2025-06-23,Bahrain,0.0
dailywire,twitter,2025-06-23,Kuwait,0.0
dailywire,twitter,2025-06-23,The White House,-0.06893939393939395
dailywire,twitter,2025-06-23,DOD,-0.06893939393939395
dailywire,twitter,2025-06-23,Al Udeid,-0.06893939393939395
dailywire,twitter,2025-06-23,@realDailyWire,-0.06893939393939395
dailywire,twitter,2025-06-23,Doha,0.2857142857142857
dailywire,twitter,2025-06-23,Axios,0.0
dailywire,twitter,2025-06-23,Kilmar Abrego Garcia,-0.14999999999999997
dailywire,twitter,2025-06-23,@TriciaOhio,-0.14999999999999997
dailywire,twitter,2025-06-23,@realDailyWire,-0.14999999999999997
dailywire,twitter,2025-06-23,Abrego Garcia,-0.14999999999999997
dailywire,twitter,2025-06-23,the U.S. Embassy,-0.12337662337662339
dailywire,twitter,2025-06-23,the Middle East,-0.12337662337662339
dailywire,twitter,2025-06-23,FTC,0.25312500000000004
dailywire,twitter,2025-06-23,Trump FTC Secures Landmark Agreement,0.0
dailywire,twitter,2025-06-23,FTC,0.16666666666666666
dailywire,twitter,2025-06-23,FTC,0.16666666666666666
dailywire,twitter,2025-06-23,@realDailyWire,0.2
dailywire,twitter,2025-06-23,The LA County Sheriff’s,-0.375
dailywire,twitter,2025-06-23,The State Department,0.0
dailywire,twitter,2025-06-23,the Middle East,0.0
dailywire,twitter,2025-06-22,Abbas Araghchi,-0.125
dailywire,twitter,2025-06-22,Jonathan Skrmetti,0.02500000000000001
dailywire,twitter,2025-06-22,@AGTennessee,0.02500000000000001
dailywire,twitter,2025-06-22,"Chloe Cole 
@ChoooCole",0.02500000000000001
dailywire,twitter,2025-06-22,the Supreme Court,0.02500000000000001
dailywire,twitter,2025-06-22,Watergate,-0.05
dailywire,twitter,2025-06-22,Biden,-0.05
dailywire,twitter,2025-06-22,JD Vance,0.0
dailywire,twitter,2025-06-22,the Strait of Hormuz,0.0
dailywire,twitter,2025-06-22,90-mile,0.0
dailywire,twitter,2025-06-22,the Persian Gulf,0.0
dailywire,twitter,2025-06-22,About 1/5,0.0
dailywire,twitter,2025-06-22,Supreme National Security Council,0.0
dailywire,twitter,2025-06-22,Hegseth,0.0
dailywire,twitter,2025-06-22,Fordo,0.0
dailywire,twitter,2025-06-22,Hegseth,0.25
dailywire,twitter,2025-06-22,Soleimani,0.25
dailywire,twitter,2025-06-22,60 days,0.25
dailywire,twitter,2025-06-22,60 days,0.25
dailywire,twitter,2025-06-22,Pete Hegseth,0.42000000000000004
dailywire,twitter,2025-06-22,Operation Midnight Hammer,0.0
dailywire,twitter,2025-06-22,DNI,0.0
dailywire,twitter,2025-06-22,@realDailyWire,0.0
dailywire,twitter,2025-06-22,Tulsi Gabbard,0.0
dailywire,twitter,2025-06-22,Trump Warns Iran,0.0
dailywire,twitter,2025-06-22,the last eight days,0.25
dailywire,twitter,2025-06-22,@realDailyWire,0.10606060606060606
dailywire,twitter,2025-06-22,a week,0.10606060606060606
dailywire,twitter,2025-06-22,@KassyAkiva,0.10606060606060606
dailywire,twitter,2025-06-22,Shabbat,0.10606060606060606
dailywire,twitter,2025-06-22,the Middle East,0.31111111111111106
dailywire,twitter,2025-06-22,"Fordow, Natanz",0.06818181818181818
dailywire,twitter,2025-06-22,Isfahan,0.06818181818181818
dailywire,twitter,2025-06-22,@michaeljknowles,0.06818181818181818
dailywire,twitter,2025-06-22,June 12,0.09659090909090909
dailywire,twitter,2025-06-22,The United States,0.0
dailywire,twitter,2025-06-22,@realDailyWire,0.0
dailywire,twitter,2025-06-22,Thune,0.375
dailywire,twitter,2025-06-22,Mike Johnson,0.0
dailywire,twitter,2025-06-22,@JenGriffinFNC,-0.04642857142857143
dailywire,twitter,2025-06-22,the White House,-0.04642857142857143
dailywire,twitter,2025-06-22,the last few days,-0.04642857142857143
dailywire,twitter,2025-06-22,the White House,0.0
dailywire,twitter,2025-06-22,The White House,0.0
dailywire,twitter,2025-06-22,about 6:45,0.0
dailywire,twitter,2025-06-22,10 pm tonight,0.25284090909090906
dailywire,twitter,2025-06-21,America’s Largest Medical Association Sides With Child Mutilation After SCOTUS Ruling,0.03409090909090909
dailywire,twitter,2025-06-21,The American Medical Association's,0.03409090909090909
dailywire,twitter,2025-06-21,Bobby Mukkamala,0.03409090909090909
dailywire,twitter,2025-06-21,America’s Largest Medical Association Sides With Child Mutilation After SCOTUS Ruling,0.06818181818181818
dailywire,twitter,2025-06-20,Gavin Newsom,0.2
dailywire,twitter,2025-06-20,@JayCollinsFL,-0.1
dailywire,twitter,2025-06-20,six days,-0.1
dailywire,twitter,2025-06-20,"just under 5,000",-0.1
dailywire,twitter,2025-06-20,Vance,-0.1
dailywire,twitter,2025-06-20,the Federal Building Command Center,-0.1
dailywire,twitter,2025-06-20,3pm,0.0
dailywire,twitter,2025-06-20,Vance,-0.06666666666666667
dailywire,twitter,2025-06-20,the Federal Building Command Center,-0.06666666666666667
dailywire,twitter,2025-06-20,FBI Mobile Command Center,-0.06666666666666667
dailywire,twitter,2025-06-20,JBA,0.0
dailywire,twitter,2025-06-20,VP Vance,-0.015909090909090914
dailywire,twitter,2025-06-20,Federal Joint Operations Center,-0.015909090909090914
dailywire,twitter,2025-06-20,Federal Mobile Command Center,-0.015909090909090914
dailywire,twitter,2025-06-20,Marines,-0.015909090909090914
dailywire,twitter,2025-06-20,VP,-0.015909090909090914
dailywire,twitter,2025-06-19,Juneteenth,0.0
dailywire,twitter,2025-06-19,14 year old,0.033333333333333326
dailywire,twitter,2025-06-19,Juneteenth,1.0
dailywire,twitter,2025-06-19,Karoline Leavitt,0.19999999999999998
dailywire,twitter,2025-06-19,Jasmine Crockett,0.19999999999999998
dailywire,twitter,2025-06-19,nearly 80 million,0.19999999999999998
dailywire,twitter,2025-06-19,Jasmine Crockett,0.19999999999999998
dailywire,twitter,2025-06-19,Jasmine Crockett,-0.1714285714285714
dailywire,twitter,2025-06-19,the Democrat Party,-0.1714285714285714
dailywire,twitter,2025-06-19,the Republican Party,-0.1714285714285714
dailywire,twitter,2025-06-19,@PressSec,0.025
dailywire,twitter,2025-06-19,the next two weeks,0.025
dailywire,twitter,2025-06-19,the next two weeks,0.025
dailywire,twitter,2025-06-19,@realDailyWire,-0.2638888888888889
dailywire,twitter,2025-06-19,Skrmetti,-0.2638888888888889
dailywire,twitter,2025-06-19,the White House,0.06818181818181818
dailywire,twitter,2025-06-19,Karoline Leavitt,0.06818181818181818
dailywire,twitter,2025-06-19,the United States,0.06818181818181818
dailywire,twitter,2025-06-19,Trump Explains,0.0
dailywire,twitter,2025-06-19,Surrender Looks,0.0
dailywire,twitter,2025-06-18,Riley Gaines,0.0
dailywire,twitter,2025-06-18,Caitlin Clark,0.0
dailywire,twitter,2025-06-18,Matt Walsh,0.1
dailywire,twitter,2025-06-18,Riley Gaines,0.0
dailywire,twitter,2025-06-18,Outkick,0.0
dailywire,twitter,2025-06-18,The Film Room’,0.0
dailywire,twitter,2025-06-18,The Blind Side,0.0
dailywire,twitter,2025-06-18,@benshapiro,0.0
dailywire,twitter,2025-06-18,Barrett,1.0
dailywire,twitter,2025-06-18,an X Space,0.0
dailywire,twitter,2025-06-18,the Supreme Court's,0.0
dailywire,twitter,2025-06-18,Skrmetti,0.0
dailywire,twitter,2025-06-18,ALITO,0.25
dailywire,twitter,2025-06-18,"the Supreme Court.⁩

SCOTUS",0.005681818181818177
dailywire,twitter,2025-06-18,6-3,0.015000000000000003
dailywire,twitter,2025-06-18,Skrmetti,0.0
dailywire,twitter,2025-06-18,The Supreme Court,0.39999999999999997
dailywire,twitter,2025-06-18,Three years ago,0.0
dailywire,twitter,2025-06-18,Vanderbilt,0.0
dailywire,twitter,2025-06-18,the Supreme Court,0.0
dailywire,twitter,2025-06-18,the Supreme Court,0.28750000000000003
dailywire,twitter,2025-06-18,Vanderbilt University’s,0.28750000000000003
dailywire,twitter,2025-06-18,Transgender Drugs For Children,0.0
dailywire,twitter,2025-06-18,the Supreme Court,0.27999999999999997
dailywire,twitter,2025-06-18,"@AGTennessee
 &",0.27999999999999997
dailywire,twitter,2025-06-18,Nathan McCormack,-0.125
dailywire,twitter,2025-06-18,the Joint Chiefs of Staff,-0.125
dailywire,twitter,2025-06-18,anti-Israel,-0.125
dailywire,twitter,2025-06-18,Judeo,-0.125
dailywire,twitter,2025-06-18,@benshapiro,0.5
dailywire,twitter,2025-06-18,Leo XIV,0.5
dailywire,twitter,2025-06-18,@realDailyWire,0.5
dailywire,twitter,2025-06-18,Ayatollah Khamenei,0.0
dailywire,twitter,2025-06-18,Trump Has Been Clear,0.09999999999999999
dailywire,twitter,2025-06-18,14 Years,0.09999999999999999
dailywire,twitter,2025-06-17,80%,0.18409090909090908
dailywire,twitter,2025-06-17,the United States,0.18409090909090908
dailywire,twitter,2025-06-17,72%,0.18409090909090908
dailywire,twitter,2025-06-17,the United States,0.18409090909090908
dailywire,twitter,2025-06-17,Bullshit,0.0
dailywire,twitter,2025-06-17,Tulsi Gabbard,0.0
dailywire,twitter,2025-06-17,a long night,0.043181818181818175
dailywire,twitter,2025-06-17,Biden,-0.1
dailywire,twitter,2025-06-17,USAID,-0.1
dailywire,twitter,2025-06-17,nearly $1 billion,-0.1
dailywire,twitter,2025-06-17,DEI,-0.1
dailywire,twitter,2025-06-17,USAID,-0.1
dailywire,twitter,2025-06-17,USAID,-0.1
dailywire,twitter,2025-06-17,Tulsi Gabbard,0.14285714285714285
dailywire,twitter,2025-06-17,Tulsi,0.14285714285714285
dailywire,twitter,2025-06-17,ten years,0.06428571428571428
dailywire,twitter,2025-06-17,@DonaldJTrumpJr,0.06428571428571428
dailywire,twitter,2025-06-17,IDF,0.07878787878787878
dailywire,twitter,2025-06-17,@POTUS,0.35
dailywire,twitter,2025-06-17,Buddecke,0.35
dailywire,twitter,2025-06-17,@realDailyWire,0.35
dailywire,twitter,2025-06-17,the Middle East,0.2333333333333333
dailywire,twitter,2025-06-17,@DonaldJTrumpJr,0.2333333333333333
dailywire,twitter,2025-06-17,Vance,0.024999999999999998
dailywire,twitter,2025-06-17,@AmandaPresto,-0.15555555555555556
dailywire,twitter,2025-06-17,Mike Huckabee,0.21212121212121213
dailywire,twitter,2025-06-17,Iranians,0.16026936026936026
dailywire,twitter,2025-06-17,Kilmar Abrego Garcia,0.16026936026936026
dailywire,twitter,2025-06-17,@DonaldJTrumpJr,0.136
dailywire,twitter,2025-06-16,Iranians,0.13636363636363635
dailywire,twitter,2025-06-16,Trump Tells,0.13636363636363635
dailywire,twitter,2025-06-16,Iranians,0.13636363636363635
dailywire,twitter,2025-06-16,at least 14,-0.0375
dailywire,twitter,2025-06-16,the past 24 hours,-0.0375
dailywire,twitter,2025-06-16,around 200,-0.31666666666666665
dailywire,twitter,2025-06-16,250th,0.03409090909090909
dailywire,twitter,2025-06-16,8 hours,0.020833333333333332
