outlet,platform,date,entity,sentiment
dailywire,youtube,2025-05-30,Elon Musk,0.0
dailywire,youtube,2025-05-30,the end of Musk,0.0
dailywire,youtube,2025-05-30,the Department of Government Efficiency,0.0
dailywire,youtube,2025-05-30,#DailyWire #,0.0
dailywire,youtube,2025-05-30,#DailyWire #,0.0
dailywire,youtube,2025-05-29,Karoline Leavitt,0.06818181818181818
dailywire,youtube,2025-05-29,Liberation Day,0.06818181818181818
dailywire,youtube,2025-05-29,#DailyWire #,0.06818181818181818
dailywire,youtube,2025-05-29,#DailyWire #,0.0
dailywire,youtube,2025-05-29,#DailyWire #,0.0
dailywire,youtube,2025-05-28,#DailyWire #,0.0
dailywire,youtube,2025-05-22,#DailyWire #,0.0
dailywire,youtube,2025-05-22,Karoline Leavitt,0.17329545454545453
dailywire,youtube,2025-05-22,"Washington, D.C",0.17329545454545453
dailywire,youtube,2025-05-22,#DailyWire #,0.17329545454545453
dailywire,youtube,2025-05-21,#DailyWire #,0.0
dailywire,youtube,2025-05-19,Karoline Leavitt,0.17481060606060606
dailywire,youtube,2025-05-19,late-night,0.17481060606060606
dailywire,youtube,2025-05-19,#DailyWire #,0.17481060606060606
dailywire,youtube,2025-05-15,#DailyWire #,0.0
dailywire,youtube,2025-05-14,#DailyWire #,0.0
dailywire,youtube,2025-05-13,#DailyWire #,0.0
dailywire,youtube,2025-05-12,#DailyWire #,0.0
dailywire,youtube,2025-05-12,HHS,0.13636363636363635
dailywire,youtube,2025-05-12,Robert F. Kennedy Jr.,0.13636363636363635
dailywire,youtube,2025-05-12,#DailyWire #,0.13636363636363635
dailywire,youtube,2025-05-09,#DailyWire #,0.0
dailywire,youtube,2025-05-09,Karoline Leavitt,0.09111111111111111
dailywire,youtube,2025-05-09,#DailyWire #,0.09111111111111111
dailywire,youtube,2025-05-08,#DailyWire #,0.0
dailywire,youtube,2025-05-07,#DailyWire #,0.0
dailywire,youtube,2025-05-07,#DailyWire #,0.0
dailywire,youtube,2025-05-06,Mark Carney,0.0
dailywire,youtube,2025-05-06,North American,0.0
dailywire,youtube,2025-05-06,#DailyWire #,0.0
dailywire,youtube,2025-05-02,#DailyWire #,0.0
dailywire,youtube,2025-05-01,#DailyWire #,0.0
dailywire,youtube,2025-05-01,Karoline Leavitt,0.1125
dailywire,youtube,2025-05-01,Stephen Miller,0.1125
dailywire,youtube,2025-05-01,#DailyWire #,0.1125
