outlet,platform,date,entity,sentiment
latimes,twitter,2025-07-01,Felix Contreras,-0.0625
latimes,twitter,2025-07-01,Eaton,-0.07500000000000001
latimes,twitter,2025-07-01,three weeks ago,-0.2
latimes,twitter,2025-07-01,Ryan Gosling,0.0
latimes,twitter,2025-07-01,Dorian Finney-Smith,0.0
latimes,twitter,2025-07-01,Jake LaRavia,0.0
latimes,twitter,2025-06-30,National Guard,-0.1
latimes,twitter,2025-06-30,Kayleigh McEnany,0.18727272727272726
latimes,twitter,2025-06-30,The Writers Guild of America West,0.2
latimes,twitter,2025-06-30,Randall Emmett,0.2
latimes,twitter,2025-06-30,"630,000",0.2
latimes,twitter,2025-06-30,Alec Baldwin,-0.125
latimes,twitter,2025-06-30,Nicolas Batum,0.3
latimes,twitter,2025-06-30,two-year,0.3
latimes,twitter,2025-06-30,$11.5 million,0.3
latimes,twitter,2025-06-30,Mt. Whitney,-0.15000000000000002
latimes,twitter,2025-06-30,120-foot,-0.15000000000000002
latimes,twitter,2025-06-30,Blue Shield's,0.16666666666666666
latimes,twitter,2025-06-30,Karen Garcia,0.35
latimes,twitter,2025-06-30,John Travolta,0.35
latimes,twitter,2025-06-30,Grease,0.35
latimes,twitter,2025-06-30,Hollywood Bowl,0.35
latimes,twitter,2025-06-30,Danny Zuko,0.35
latimes,twitter,2025-06-30,U.S. Department of Justice,-0.15000000000000002
latimes,twitter,2025-06-30,Karen Bass,-0.15000000000000002
latimes,twitter,2025-06-30,Dodgers,0.3
latimes,twitter,2025-06-30,Max Muncy,0.3
latimes,twitter,2025-06-29,Mike Lee,0.125
latimes,twitter,2025-06-29,more than a million,0.125
latimes,twitter,2025-06-29,last night,0.125
latimes,twitter,2025-06-29,Hazing,-0.05681818181818182
latimes,twitter,2025-06-30,Aidan Zingg,0.0
latimes,twitter,2025-06-30,Dick Van Dyke,-0.2375
latimes,twitter,2025-06-30,Malik Beasley,0.0
latimes,twitter,2025-06-30,Manuel Quintero,-0.6666666666666666
latimes,twitter,2025-06-30,Adrian Quesada,0.13636363636363635
latimes,twitter,2025-06-30,LP 'Boleros Psicodélicos II',0.13636363636363635
latimes,twitter,2025-06-30,Angels,0.125
latimes,twitter,2025-06-30,only five,0.125
latimes,twitter,2025-06-30,this season,0.125
latimes,twitter,2025-06-29,Reputed Mexican Mafia,0.0
latimes,twitter,2025-06-29,Snuffy,0.0
latimes,twitter,2025-06-30,COVID,-0.15555555555555556
latimes,twitter,2025-06-30,L.A. County,0.0
latimes,twitter,2025-06-30,Pat Tillman Award,0.0
latimes,twitter,2025-06-30,L.A. County,0.35
latimes,twitter,2025-06-30,Montgomery County,0.4
latimes,twitter,2025-06-30,Insurer Blue Shield,0.06818181818181818
latimes,twitter,2025-06-30,Sparks,0.35
latimes,twitter,2025-06-30,Skelton,0.0
latimes,twitter,2025-06-30,Lake Tahoe,0.0
latimes,twitter,2025-06-30,Sean Combs,-0.3333333333333333
latimes,twitter,2025-06-30,James Harden,0.0
latimes,twitter,2025-06-30,two-year,0.0
latimes,twitter,2025-06-30,$81.5 million,0.0
latimes,twitter,2025-06-29,.500,0.0
latimes,twitter,2025-06-29,Chicago Sky,0.0
latimes,twitter,2025-06-29,Candace Parker's,0.0
latimes,twitter,2025-06-29,MLB,0.5
latimes,twitter,2025-06-29,48 hours,0.5
latimes,twitter,2025-06-29,Justin Wrobleski,0.75
latimes,twitter,2025-06-29,Dodgers,0.75
latimes,twitter,2025-06-29,Vin Diesel,0.2
latimes,twitter,2025-06-29,Paul Walker's,0.2
latimes,twitter,2025-06-29,Brian O'Conner,0.2
latimes,twitter,2025-06-29,D. Wayne Lukas,0.0
latimes,twitter,2025-06-29,M3GAN,-0.025000000000000022
latimes,twitter,2025-06-29,a day,-0.025000000000000022
latimes,twitter,2025-06-29,Adrien Morot,-0.025000000000000022
latimes,twitter,2025-06-29,LACMA,0.1431818181818182
latimes,twitter,2025-06-29,David Geffen,0.1431818181818182
latimes,twitter,2025-06-29,Chávez,0.5
latimes,twitter,2025-06-29,Jake Paul,0.5
latimes,twitter,2025-06-29,YouTuber,0.5
latimes,twitter,2025-06-29,Montgomery County,0.14285714285714285
latimes,twitter,2025-06-29,LeBron James,0.25
latimes,twitter,2025-06-29,$52.6 million,0.25
latimes,twitter,2025-06-29,Brad Pitt,0.0
latimes,twitter,2025-06-29,F1 The Movie',0.0
latimes,twitter,2025-06-29,$55.6 million,0.0
latimes,twitter,2025-06-29,Snuffy,0.06727272727272726
latimes,twitter,2025-06-29,the Mexican Mafia’s,0.06727272727272726
latimes,twitter,2025-06-29,Candace Parker,0.5
latimes,twitter,2025-06-29,WNBA,0.5
latimes,twitter,2025-06-29,Rob Pelinka,0.5
latimes,twitter,2025-06-29,JJ Redick,0.5
latimes,twitter,2025-06-29,Dodgers,0.5
latimes,twitter,2025-06-29,RFK Jr.,0.0
latimes,twitter,2025-06-29,Gen Z,0.0
latimes,twitter,2025-06-29,Dow Janes,0.0
latimes,twitter,2025-06-29,478 acres,0.0
latimes,twitter,2025-06-29,San Bernardino County,0.0
latimes,twitter,2025-06-29,Palisades,0.13636363636363635
latimes,twitter,2025-06-29,Santa Barbara,0.0
latimes,twitter,2025-06-29,100 years ago,0.0
latimes,twitter,2025-06-29,Luke Fahey,0.38
latimes,twitter,2025-06-29,477 acres,0.0
latimes,twitter,2025-06-29,San Bernardino County,0.0
latimes,twitter,2025-06-29,the L.A. Zoo,0.15
latimes,twitter,2025-06-29,a few dollars,0.15
latimes,twitter,2025-06-29,405,0.0
latimes,twitter,2025-06-29,L.A. County,-0.125
latimes,twitter,2025-06-28,Evan McCalister,0.04999999999999999
latimes,twitter,2025-06-28,Valencia,0.04999999999999999
latimes,twitter,2025-06-28,Shohei Ohtani,-0.125
latimes,twitter,2025-06-28,Dodgers,-0.125
latimes,twitter,2025-06-28,Jake Paul,0.0
latimes,twitter,2025-06-28,Julio César Chávez Jr.,0.0
latimes,twitter,2025-06-28,CHP,0.0
latimes,twitter,2025-06-28,M3GAN,0.09
latimes,twitter,2025-06-28,Getty Villa,0.0
latimes,twitter,2025-06-28,2050,0.0
latimes,twitter,2025-06-28,The Social Security Fairness Act,0.03333333333333333
latimes,twitter,2025-06-28,Lakers and Clippers,0.4
latimes,twitter,2025-06-28,Dodger Stadium,-0.15555555555555556
latimes,twitter,2025-06-28,New L.A. Trader Joe's,0.13636363636363635
latimes,twitter,2025-06-28,Trader Joe's,0.13636363636363635
latimes,twitter,2025-06-28,Granderson,0.0
latimes,twitter,2025-06-28,Hims & Hers',-0.35
latimes,twitter,2025-06-28,Wegovy,-0.35
latimes,twitter,2025-06-28,LACMA,0.14545454545454548
latimes,twitter,2025-06-28,Jake Brasch's,-0.6
latimes,twitter,2025-06-28,Reservoir,-0.6
latimes,twitter,2025-06-28,the Geffen Playhouse,-0.6
latimes,twitter,2025-06-28,Deceit,0.0
latimes,twitter,2025-06-28,Johnnie Cochran,0.0
latimes,twitter,2025-06-28,Christopher Knight,0.4232323232323232
latimes,twitter,2025-06-28,LACMA,0.4232323232323232
latimes,twitter,2025-06-28,Border Patrol,0.0
latimes,twitter,2025-06-28,Huntington Park,0.0
latimes,twitter,2025-06-28,Three years,0.0
latimes,twitter,2025-06-28,Pac-12,0.0
latimes,twitter,2025-06-28,Texas State,0.0
latimes,twitter,2025-06-28,MAGA,0.0
latimes,twitter,2025-06-28,Huntington Beach,0.0
latimes,twitter,2025-06-28,Wildfire,0.1
latimes,twitter,2025-06-28,L.A. County,0.1
latimes,twitter,2025-06-28,Edison,0.03125
latimes,twitter,2025-06-28,Sylmar,0.03125
latimes,twitter,2025-06-28,last six years,0.03125
latimes,twitter,2025-06-28,Julio César Chávez Jr.,0.2
latimes,twitter,2025-06-28,Jake Paul,0.2
latimes,twitter,2025-06-28,Ken Holland,0.0
latimes,twitter,2025-06-28,Dodgers,0.46666666666666673
latimes,twitter,2025-06-28,MLB,0.46666666666666673
