outlet,platform,date,entity,sentiment
msnbc,youtube,2025-05-31,Rob Bonta,0.24664502164502164
msnbc,youtube,2025-05-31,Al Sharpton,0.24664502164502164
msnbc,youtube,2025-05-31,MSNBC,0.24664502164502164
msnbc,youtube,2025-05-31,MSNBC,0.24664502164502164
msnbc,youtube,2025-05-31,MSNBC,0.24664502164502164
msnbc,youtube,2025-05-31,MSNBC,0.24664502164502164
msnbc,youtube,2025-05-31,MSNBC,0.24664502164502164
msnbc,youtube,2025-05-31,The Rachel Maddow Show,0.24664502164502164
msnbc,youtube,2025-05-31,The Briefing with Jen Psaki,0.24664502164502164
msnbc,youtube,2025-05-31,Weeknight,0.24664502164502164
msnbc,youtube,2025-05-31,The Last Word,0.24664502164502164
msnbc,youtube,2025-05-31,The 11th Hour,0.24664502164502164
msnbc,youtube,2025-05-31,MSNBC,0.24664502164502164
msnbc,youtube,2025-05-31,the MSNBC Daily Newsletter,0.24664502164502164
msnbc,youtube,2025-05-31,Ro Khanna,0.2305785123966942
msnbc,youtube,2025-05-31,PoliticsNation,0.2305785123966942
msnbc,youtube,2025-05-31,Elon Musk's,0.2305785123966942
msnbc,youtube,2025-05-31,MSNBC,0.2305785123966942
msnbc,youtube,2025-05-31,MSNBC,0.2305785123966942
msnbc,youtube,2025-05-31,MSNBC,0.2305785123966942
msnbc,youtube,2025-05-31,MSNBC,0.2305785123966942
msnbc,youtube,2025-05-31,MSNBC,0.2305785123966942
msnbc,youtube,2025-05-31,The Rachel Maddow Show,0.2305785123966942
msnbc,youtube,2025-05-31,The Briefing with Jen Psaki,0.2305785123966942
msnbc,youtube,2025-05-31,Weeknight,0.2305785123966942
msnbc,youtube,2025-05-31,The Last Word,0.2305785123966942
msnbc,youtube,2025-05-31,The 11th Hour,0.2305785123966942
msnbc,youtube,2025-05-31,MSNBC,0.2305785123966942
msnbc,youtube,2025-05-31,the MSNBC Daily Newsletter,0.2305785123966942
msnbc,youtube,2025-05-31,MSNBC,0.253030303030303
msnbc,youtube,2025-05-31,MSNBC,0.253030303030303
msnbc,youtube,2025-05-31,MSNBC,0.253030303030303
msnbc,youtube,2025-05-31,MSNBC,0.253030303030303
msnbc,youtube,2025-05-31,MSNBC,0.253030303030303
msnbc,youtube,2025-05-31,MSNBC,0.253030303030303
msnbc,youtube,2025-05-31,The Rachel Maddow Show,0.253030303030303
msnbc,youtube,2025-05-31,The Briefing with Jen Psaki,0.253030303030303
msnbc,youtube,2025-05-31,Weeknight,0.253030303030303
msnbc,youtube,2025-05-31,The Last Word,0.253030303030303
msnbc,youtube,2025-05-31,The 11th Hour,0.253030303030303
msnbc,youtube,2025-05-31,MSNBC,0.253030303030303
msnbc,youtube,2025-05-31,the MSNBC Daily Newsletter,0.253030303030303
msnbc,youtube,2025-05-31,the White House Office of Public Liaison,0.17822966507177032
msnbc,youtube,2025-05-31,Manigault Newman,0.17822966507177032
msnbc,youtube,2025-05-31,Alex Witt,0.17822966507177032
msnbc,youtube,2025-05-31,MSNBC,0.17822966507177032
msnbc,youtube,2025-05-31,MSNBC,0.17822966507177032
msnbc,youtube,2025-05-31,MSNBC,0.17822966507177032
msnbc,youtube,2025-05-31,MSNBC,0.17822966507177032
msnbc,youtube,2025-05-31,MSNBC,0.17822966507177032
msnbc,youtube,2025-05-31,The Rachel Maddow Show,0.17822966507177032
msnbc,youtube,2025-05-31,The Briefing with Jen Psaki,0.17822966507177032
msnbc,youtube,2025-05-31,Weeknight,0.17822966507177032
msnbc,youtube,2025-05-31,The Last Word,0.17822966507177032
msnbc,youtube,2025-05-31,The 11th Hour,0.17822966507177032
msnbc,youtube,2025-05-31,MSNBC,0.17822966507177032
msnbc,youtube,2025-05-31,the MSNBC Daily Newsletter,0.17822966507177032
msnbc,youtube,2025-05-31,Elon Musk,0.261038961038961
msnbc,youtube,2025-05-31,Musk,0.261038961038961
msnbc,youtube,2025-05-31,Debbie Wasserman Schultz,0.261038961038961
msnbc,youtube,2025-05-31,Alex Witt,0.261038961038961
msnbc,youtube,2025-05-31,FEMA,0.261038961038961
msnbc,youtube,2025-05-31,MSNBC,0.261038961038961
msnbc,youtube,2025-05-31,MSNBC,0.261038961038961
msnbc,youtube,2025-05-31,MSNBC,0.261038961038961
msnbc,youtube,2025-05-31,MSNBC,0.261038961038961
msnbc,youtube,2025-05-31,MSNBC,0.261038961038961
msnbc,youtube,2025-05-31,The Rachel Maddow Show,0.261038961038961
msnbc,youtube,2025-05-31,The Briefing with Jen Psaki,0.261038961038961
msnbc,youtube,2025-05-31,Weeknight,0.261038961038961
msnbc,youtube,2025-05-31,The Last Word,0.261038961038961
msnbc,youtube,2025-05-31,The 11th Hour,0.261038961038961
msnbc,youtube,2025-05-31,MSNBC,0.261038961038961
msnbc,youtube,2025-05-31,the MSNBC Daily Newsletter,0.261038961038961
