outlet,platform,date,entity,sentiment
nowthis,bluesky,2025-05-30,Biden,-0.2517857142857143
nowthis,bluesky,2025-05-30,earlier this month,-0.2517857142857143
nowthis,bluesky,2025-05-30,Classy,-0.2517857142857143
nowthis,bluesky,2025-05-30,MAGA,0.2
nowthis,bluesky,2025-05-30,Dan Bongino,-0.3888888888888889
nowthis,bluesky,2025-05-30,Savannah Chrisley,0.8
nowthis,bluesky,2025-05-30,Jimmy Kimmel,0.8
nowthis,bluesky,2025-05-30,Trump’s,0.0
nowthis,bluesky,2025-05-30,RFK Jr.’s Health and Human Services Department,0.18125
nowthis,bluesky,2025-05-29,Trump a ....,0.0
nowthis,bluesky,2025-05-29,Chambers of Mothers,0.25
nowthis,bluesky,2025-05-29,130 days,0.2683035714285714
nowthis,bluesky,2025-05-29,Ashley Hinson,0.0
nowthis,bluesky,2025-05-29,Hinson,0.0
nowthis,bluesky,2025-05-29,Elon Musk’s,0.15625
nowthis,bluesky,2025-05-29,the White House,0.15625
nowthis,bluesky,2025-05-29,Lawrence O’Donnell,0.24888888888888888
nowthis,bluesky,2025-05-29,The Last Word,0.24888888888888888
nowthis,bluesky,2025-05-29,Trump a ....,0.0
nowthis,bluesky,2025-05-28,26 years old,0.18
nowthis,bluesky,2025-05-28,Sesame,0.3208333333333333
nowthis,bluesky,2025-05-28,the Elevate Catalyst Award,0.3208333333333333
nowthis,bluesky,2025-05-28,the Make Good Famous Summit,0.3208333333333333
nowthis,bluesky,2025-05-28,LGB,0.0
nowthis,bluesky,2025-05-28,HHS,0.0
nowthis,bluesky,2025-05-28,RFK Jr.,0.0
nowthis,bluesky,2025-05-28,26 years old,0.18
nowthis,bluesky,2025-05-28,RFK Jr.,0.08333333333333333
nowthis,bluesky,2025-05-28,CDC,0.08333333333333333
nowthis,bluesky,2025-05-28,COVID-19,0.08333333333333333
nowthis,bluesky,2025-05-27,Marjorie Taylor Greene,0.0
nowthis,bluesky,2025-05-27,the U.S. Constitution,0.19375
nowthis,bluesky,2025-05-27,Kamala Harris,0.11666666666666665
nowthis,bluesky,2025-05-27,Elon Musk,0.11666666666666665
nowthis,bluesky,2025-05-27,Joe Rogan’s,0.11666666666666665
nowthis,bluesky,2025-05-27,Jasmine Crockett,0.0
nowthis,bluesky,2025-05-27,Trump’s West Point,0.0
nowthis,bluesky,2025-05-27,About 27 minutes,0.0
nowthis,bluesky,2025-05-27,Jay Bhattacharya,0.0
nowthis,bluesky,2025-05-27,NIH,0.0
nowthis,bluesky,2025-05-27,NIH,0.0
nowthis,bluesky,2025-05-27,381,0.1875
nowthis,bluesky,2025-05-27,only 20,0.1875
nowthis,bluesky,2025-05-27,Trump’s DEI,0.1875
nowthis,bluesky,2025-05-23,hurricane season,-0.3333333333333333
nowthis,bluesky,2025-05-23,the National Weather Service,-0.3333333333333333
nowthis,bluesky,2025-05-23,"5,200",0.125
nowthis,bluesky,2025-05-23,2.9B,0.125
nowthis,bluesky,2025-05-23,Mac Miller,-0.06666666666666667
nowthis,bluesky,2025-05-23,Kermit,0.5
nowthis,bluesky,2025-05-23,Steve Madden,0.0
nowthis,bluesky,2025-05-23,Harvard University,0.078125
nowthis,bluesky,2025-05-23,the White House’s,0.078125
nowthis,bluesky,2025-05-23,25%,0.25
nowthis,bluesky,2025-05-23,iPhones,0.25
nowthis,bluesky,2025-05-23,Kermit,0.0
nowthis,bluesky,2025-05-23,Frank Bisignano’s,0.16666666666666666
nowthis,bluesky,2025-05-22,Albuquerque,-0.03333333333333333
nowthis,bluesky,2025-05-22,NM,-0.03333333333333333
nowthis,bluesky,2025-05-22,this month,-0.03333333333333333
nowthis,bluesky,2025-05-22,a year,-0.03333333333333333
nowthis,bluesky,2025-05-22,The Allianz Trade Global Survey 2025,-0.09722222222222222
nowthis,bluesky,2025-05-22,54%,-0.09722222222222222
nowthis,bluesky,2025-05-22,45%,-0.09722222222222222
nowthis,bluesky,2025-05-22,3.8,0.125
nowthis,bluesky,2025-05-22,the next decade,0.125
nowthis,bluesky,2025-05-22,Amy Poehler,0.0
nowthis,bluesky,2025-05-22,the Kennedy Center,-0.13749999999999998
nowthis,bluesky,2025-05-22,2025–2026 season,-0.13749999999999998
nowthis,bluesky,2025-05-21,Josh Hawley,0.08333333333333333
nowthis,bluesky,2025-05-21,FEMA,0.08333333333333333
nowthis,bluesky,2025-05-21,just months ago,0.08333333333333333
nowthis,bluesky,2025-05-21,over $1.6 billion,0.08333333333333333
nowthis,bluesky,2025-05-21,Hawley,0.08333333333333333
nowthis,bluesky,2025-05-21,Bring Your Child to Work Day,0.0
nowthis,bluesky,2025-05-21,the White House,0.0
nowthis,bluesky,2025-05-21,Elon Musk,0.45
nowthis,bluesky,2025-05-21,over $250,0.45
nowthis,bluesky,2025-05-21,Donald Trump’s,0.45
nowthis,bluesky,2025-05-21,more than $21,0.45
nowthis,bluesky,2025-05-21,Brad Schimel,0.45
nowthis,bluesky,2025-05-21,2025,0.45
nowthis,bluesky,2025-05-21,Wisconsin Supreme Court,0.45
nowthis,bluesky,2025-05-21,"less than $100,000",-0.011111111111111108
nowthis,bluesky,2025-05-21,the Ludwig Institute for Shared Economic Prosperity,-0.011111111111111108
nowthis,bluesky,2025-05-21,Kash Patel,-0.3
nowthis,bluesky,2025-05-21,Jessica Guthrie’s,0.1875
nowthis,bluesky,2025-05-21,Constance,0.1875
nowthis,bluesky,2025-05-21,Guthrie,0.1875
nowthis,bluesky,2025-05-21,late at night,-0.175
nowthis,bluesky,2025-05-21,Elon Musk,-0.04999999999999999
nowthis,bluesky,2025-05-21,Grok,0.2785714285714285
nowthis,bluesky,2025-05-21,Elon Musk,0.2785714285714285
nowthis,bluesky,2025-05-21,MAGA,0.2785714285714285
nowthis,bluesky,2025-05-20,almost 7 million,0.375
nowthis,bluesky,2025-05-20,LaMonica McIver,0.0
nowthis,bluesky,2025-05-20,Newark,0.0
nowthis,bluesky,2025-05-20,n’t,0.5
nowthis,bluesky,2025-05-20,FEMA,0.5
nowthis,bluesky,2025-05-20,NY,0.21666666666666667
nowthis,bluesky,2025-05-20,Kathy Hochul,0.21666666666666667
nowthis,bluesky,2025-05-20,Moody’s,0.0
nowthis,bluesky,2025-05-20,the Take It Down Act,0.044444444444444446
nowthis,bluesky,2025-05-19,Donald Trump Jr.,0.5
