outlet,platform,date,entity,sentiment
nowthis,tiktok,2025-06-02,Elon Musk,0.0
nowthis,tiktok,2025-06-02,the White House,0.0
nowthis,tiktok,2025-06-02,Luca Strobel,0.05
nowthis,tiktok,2025-06-02,anti-trans,0.05
nowthis,tiktok,2025-06-02,the United States,0.05
nowthis,tiktok,2025-06-01,MAGA,0.2
nowthis,tiktok,2025-06-03,Over 100,-0.029999999999999992
nowthis,tiktok,2025-06-03,the Trevor Project’s,-0.029999999999999992
nowthis,tiktok,2025-06-03,HHS,-0.029999999999999992
nowthis,tiktok,2025-06-03,988,-0.029999999999999992
nowthis,tiktok,2025-06-03,the Trevor Project,-0.029999999999999992
nowthis,tiktok,2025-06-03,more than 1.8 million,-0.029999999999999992
nowthis,tiktok,2025-06-03,each year,-0.029999999999999992
nowthis,tiktok,2025-06-03,at least one,-0.029999999999999992
nowthis,tiktok,2025-06-03,every 45 seconds,-0.029999999999999992
nowthis,tiktok,2025-06-03,988,-0.029999999999999992
nowthis,tiktok,2025-06-03,the Trevor Project,-0.029999999999999992
nowthis,tiktok,2025-06-03,MAGA,0.03333333333333336
nowthis,tiktok,2025-06-03,Palantir,0.03333333333333336
nowthis,tiktok,2025-06-03,Marcelo Gomes da Silva,0.09916666666666667
nowthis,tiktok,2025-06-03,the next day,0.09916666666666667
nowthis,tiktok,2025-06-03,James Talarico,0.5
nowthis,tiktok,2025-06-03,Juliet,0.5
nowthis,tiktok,2025-06-03,Meet Peter Thiel,0.0
nowthis,tiktok,2025-06-03,Palantir,0.0
nowthis,tiktok,2025-06-04,"Trump’s Big, Beautiful",0.1736111111111111
nowthis,tiktok,2025-06-04,@Congressman Greg Casar,0.12222222222222222
nowthis,tiktok,2025-06-04,Linda McMahon,0.12222222222222222
nowthis,tiktok,2025-06-04,@Congressman Greg Casar,0.3
nowthis,tiktok,2025-06-04,Linda McMahon,0.3
nowthis,tiktok,2025-06-04,Pete Hegseth,0.08333333333333333
nowthis,tiktok,2025-06-04,MAGA,0.08333333333333333
nowthis,tiktok,2025-06-04,Joni Ernst,0.25
nowthis,tiktok,2025-06-04,Tea Party,0.15
nowthis,tiktok,2025-06-04,Joe Walsh,0.15
nowthis,tiktok,2025-06-04,Substack,0.15
nowthis,tiktok,2025-06-05,Love Island’s Yulissa,0.27777777777777773
nowthis,tiktok,2025-06-05,Elon Musk,0.07857142857142858
nowthis,tiktok,2025-06-05,Epstein,0.07857142857142858
nowthis,tiktok,2025-06-05,DOGE,0.07857142857142858
nowthis,tiktok,2025-06-05,Andy Cohen,0.00625
nowthis,tiktok,2025-06-05,the White House,0.00625
nowthis,tiktok,2025-06-05,Elon Musk,0.00625
nowthis,tiktok,2025-06-05,National Weather Service,0.5
nowthis,tiktok,2025-06-05,Yulissa,-0.014062499999999999
nowthis,tiktok,2025-06-05,Love Island USA,-0.014062499999999999
nowthis,tiktok,2025-06-05,Karoline Leavitt,0.2125
nowthis,tiktok,2025-06-05,MAGA,0.2125
nowthis,tiktok,2025-06-05,Linda McMahon,0.0
nowthis,tiktok,2025-06-06,Biden,0.040740740740740744
nowthis,tiktok,2025-06-06,Gianmarco Soresi,0.0
nowthis,tiktok,2025-06-06,Epstein,0.0
nowthis,tiktok,2025-06-06,Madeleine Dean,0.0
nowthis,tiktok,2025-06-06,Howard Lutnick,0.0
nowthis,tiktok,2025-06-06,Lutnick,0.0
nowthis,tiktok,2025-06-06,n’t,0.0
nowthis,tiktok,2025-06-06,MAGA,0.3666666666666667
nowthis,tiktok,2025-06-06,Hypocrisy,0.3666666666666667
nowthis,tiktok,2025-06-06,Friedrich Merz,0.08888888888888889
nowthis,tiktok,2025-06-06,Friedrich Trump,0.08888888888888889
nowthis,tiktok,2025-06-06,Elon Musk,0.5333333333333333
nowthis,tiktok,2025-06-06,@SiembraNC,0.0
nowthis,tiktok,2025-06-06,AOC,1.0
nowthis,tiktok,2025-06-06,West Virginia,-0.15833333333333335
nowthis,tiktok,2025-06-06,Raleigh County,-0.15833333333333335
nowthis,tiktok,2025-06-06,Tom Truman,-0.15833333333333335
nowthis,tiktok,2025-06-06,Jonathan Joss,-0.2571428571428572
nowthis,tiktok,2025-06-07,Denzel Washington,0.09999999999999998
nowthis,tiktok,2025-06-07,The Late Show,0.08333333333333333
nowthis,tiktok,2025-06-07,Stephen Colbert,0.08333333333333333
nowthis,tiktok,2025-06-08,Steph Spiers,0.0
nowthis,tiktok,2025-06-08,MAGA,0.0
nowthis,tiktok,2025-06-08,MAGA,-0.03611111111111111
nowthis,tiktok,2025-06-08,the last 6 months,-0.03611111111111111
nowthis,tiktok,2025-06-09,Stephen Miller,-0.1
nowthis,tiktok,2025-06-09,the National Guard,-0.21018518518518517
nowthis,tiktok,2025-06-09,Angelinos,-0.21018518518518517
nowthis,tiktok,2025-06-09,Finneas,0.0
nowthis,tiktok,2025-06-09,🤔,0.5
nowthis,tiktok,2025-06-09,Gavin Newsom,-0.07777777777777778
nowthis,tiktok,2025-06-09,Gavin Newsom,0.31666666666666665
nowthis,tiktok,2025-06-09,Tom Homan,0.31666666666666665
nowthis,tiktok,2025-06-09,the United States,0.31666666666666665
nowthis,tiktok,2025-06-10,Selma,0.0
nowthis,tiktok,2025-06-10,the National Guard,0.0
nowthis,tiktok,2025-06-10,RFK Jr.,-0.3
nowthis,tiktok,2025-06-10,Kamala,0.042857142857142844
nowthis,tiktok,2025-06-10,"January 6, 2021",0.25
nowthis,tiktok,2025-06-10,January 6,0.25
nowthis,tiktok,2025-06-10,Doechii,0.2619047619047619
nowthis,tiktok,2025-06-10,the BET Awards,0.2619047619047619
nowthis,tiktok,2025-06-10,Chris Murphy,0.018750000000000003
nowthis,tiktok,2025-06-11,Adriana Smith,0.14722222222222223
nowthis,tiktok,2025-06-11,9 weeks,0.14722222222222223
nowthis,tiktok,2025-06-11,Alexa,0.0
nowthis,tiktok,2025-06-11,Manchild,0.0
nowthis,tiktok,2025-06-11,Sabrina Carpenter,0.0
nowthis,tiktok,2025-06-11,’s ego,0.051190476190476196
nowthis,tiktok,2025-06-11,January 6,0.049999999999999996
nowthis,tiktok,2025-06-11,Mike Johnson,0.049999999999999996
nowthis,tiktok,2025-06-11,the National Institutes of Health,-0.012500000000000002
nowthis,tiktok,2025-06-11,NIH,-0.012500000000000002
nowthis,tiktok,2025-06-11,$18 billion,-0.012500000000000002
nowthis,tiktok,2025-06-11,nearly 40%,-0.012500000000000002
nowthis,tiktok,2025-06-11,Dick Durbin,-0.012500000000000002
nowthis,tiktok,2025-06-11,George H.W. Bush,0.3
nowthis,tiktok,2025-06-11,MAGA,0.3
nowthis,tiktok,2025-06-11,Boo,0.0
nowthis,tiktok,2025-06-12,Greta Thunberg,0.1
nowthis,tiktok,2025-06-12,Alex Padilla,-0.045454545454545456
nowthis,tiktok,2025-06-12,Department of Homeland Security,-0.045454545454545456
nowthis,tiktok,2025-06-12,Kristi Noem,-0.045454545454545456
nowthis,tiktok,2025-06-12,3.5%,-0.045454545454545456
nowthis,tiktok,2025-06-12,the ‘3.5%,-0.045454545454545456
nowthis,tiktok,2025-06-12,Sudan,-0.045454545454545456
nowthis,tiktok,2025-06-12,Algeria,-0.045454545454545456
nowthis,tiktok,2025-06-12,nearly half,-0.045454545454545456
nowthis,tiktok,2025-06-12,"almost 2,000",-0.045454545454545456
nowthis,tiktok,2025-06-12,the Kennedy Center,-0.05000000000000001
nowthis,tiktok,2025-06-12,this weekend,0.0
nowthis,tiktok,2025-06-12,red states,0.08333333333333333
nowthis,tiktok,2025-06-12,two decades,0.08333333333333333
nowthis,tiktok,2025-06-12,Stephen Miller,-0.16666666666666666
nowthis,tiktok,2025-06-13,Ryan Garcia,0.0
nowthis,tiktok,2025-06-13,Donald Trump’s,0.0
nowthis,tiktok,2025-06-13,Tipp Hill,0.14761904761904762
nowthis,tiktok,2025-06-13,💚 Ed,0.17202380952380955
nowthis,tiktok,2025-06-13,Sheeran,0.17202380952380955
nowthis,tiktok,2025-06-13,CO₂,0.17202380952380955
nowthis,tiktok,2025-06-13,just one hour,0.17202380952380955
nowthis,tiktok,2025-06-13,an entire year,0.17202380952380955
nowthis,tiktok,2025-06-13,Pete Hegseth,0.0
nowthis,tiktok,2025-06-13,Qatari,0.0
nowthis,tiktok,2025-06-13,Air Force One,0.0
nowthis,tiktok,2025-06-14,79 years old,-0.057500000000000016
nowthis,tiktok,2025-06-15,Obama’s,0.09363636363636366
nowthis,tiktok,2025-06-15,"over 800,000",0.09363636363636366
