outlet,platform,date,entity,sentiment
npr,bluesky,2025-05-31,last summer,-0.016666666666666666
npr,bluesky,2025-05-31,DMV,0.2
npr,bluesky,2025-05-31,Stephanie Case's,-0.17291666666666666
npr,bluesky,2025-05-31,six months,-0.17291666666666666
npr,bluesky,2025-05-31,Nina Badzin,0.17777777777777778
npr,bluesky,2025-05-31,Far-Flung Postcards,0.0
npr,bluesky,2025-05-31,a poker weekend,0.06818181818181818
npr,bluesky,2025-05-31,Jesse Armstrong,0.06818181818181818
npr,bluesky,2025-05-31,Mia Venkat,0.6
npr,bluesky,2025-05-31,every year,0.6
npr,bluesky,2025-05-31,More than a thousand,0.18
npr,bluesky,2025-05-31,Jessica Slice,0.0
npr,bluesky,2025-05-31,The White House,0.0
npr,bluesky,2025-05-31,about $1 billion,0.0
npr,bluesky,2025-05-31,Pete Hegseth,0.0
npr,bluesky,2025-05-31,more than 20,0.08333333333333334
npr,bluesky,2025-05-31,Meta,0.08409090909090909
npr,bluesky,2025-05-31,Meta,0.08409090909090909
npr,bluesky,2025-05-31,The coming months,0.06818181818181818
npr,bluesky,2025-05-31,28 Days,0.06818181818181818
npr,bluesky,2025-05-31,John Wick,0.06818181818181818
npr,bluesky,2025-05-31,Ana de Armas,0.06818181818181818
npr,bluesky,2025-05-31,Midsommar,0.06818181818181818
npr,bluesky,2025-05-31,Ari Aster,0.06818181818181818
npr,bluesky,2025-05-31,Pixar,0.06818181818181818
npr,bluesky,2025-05-31,Hungarian,0.0
npr,bluesky,2025-05-31,Viktor Orbán,0.0
npr,bluesky,2025-05-31,Trump before there,0.0
npr,bluesky,2025-05-31,Walmart,0.1278409090909091
npr,bluesky,2025-05-31,Valerie,0.1
npr,bluesky,2025-05-31,2023,0.1
npr,bluesky,2025-05-31,more than a year later,0.1
npr,bluesky,2025-05-30,Joe Walsh,0.175
npr,bluesky,2025-05-30,Jesse Armstrong,0.16666666666666666
npr,bluesky,2025-05-30,about four,0.16666666666666666
npr,bluesky,2025-05-30,RFK Jr.,0.41666666666666663
npr,bluesky,2025-05-30,CDC,0.41666666666666663
npr,bluesky,2025-05-30,Last summer,0.0
npr,bluesky,2025-05-30,the Justice Department,0.0
npr,bluesky,2025-05-30,two years ago,0.027142857142857146
npr,bluesky,2025-05-30,Khartoum,0.027142857142857146
npr,bluesky,2025-05-30,nearly 100,0.027142857142857146
npr,bluesky,2025-05-30,multi-billion dollar,0.2125
npr,bluesky,2025-05-30,U.S. Steel,0.2125
npr,bluesky,2025-05-30,Nippon Steel,0.2125
npr,bluesky,2025-05-30,Stephanie Case's,-0.17291666666666666
npr,bluesky,2025-05-30,six months,-0.17291666666666666
npr,bluesky,2025-05-30,PBS,0.0
npr,bluesky,2025-05-30,Lakeland,0.0
npr,bluesky,2025-05-30,PBS,0.0
npr,bluesky,2025-05-30,the Corporation for Public Broadcasting,0.0
npr,bluesky,2025-05-30,Cubans,0.2
npr,bluesky,2025-05-30,Haitian,0.2
npr,bluesky,2025-05-30,Nicaraguans,0.2
npr,bluesky,2025-05-30,Venezuelans,0.2
npr,bluesky,2025-05-30,CHNV,0.2
npr,bluesky,2025-05-30,Paul Ingrassia,0.35714285714285715
npr,bluesky,2025-05-30,the Office of Special Counsel,0.35714285714285715
npr,bluesky,2025-05-30,Ingrassia,0.35714285714285715
npr,bluesky,2025-05-30,Elon Musk,0.153125
npr,bluesky,2025-05-30,the Department of Government Efficiency,0.153125
npr,bluesky,2025-05-30,130 day,0.153125
npr,bluesky,2025-05-30,Manitoba,-0.19999999999999998
npr,bluesky,2025-05-30,"17,000",-0.19999999999999998
npr,bluesky,2025-05-30,the United States,-0.19999999999999998
npr,bluesky,2025-05-30,U.S. Steel,0.0
npr,bluesky,2025-05-30,Nippon Steel,0.0
npr,bluesky,2025-05-30,"100,000",0.05333333333333334
npr,bluesky,2025-05-30,"113,000",0.05333333333333334
npr,bluesky,2025-05-30,KXT,0.15
npr,bluesky,2025-05-30,Jackson Wisdorf,0.15
npr,bluesky,2025-05-30,Stephen Thompson,0.15
npr,bluesky,2025-05-30,Benicio Del Toro,-0.18333333333333335
npr,bluesky,2025-05-30,Mia Threapleton,-0.18333333333333335
npr,bluesky,2025-05-30,July 1st,0.0
npr,bluesky,2025-05-30,Jesse Armstrong,0.16666666666666666
npr,bluesky,2025-05-30,about four,0.16666666666666666
npr,bluesky,2025-05-30,More than a thousand,0.18
npr,bluesky,2025-05-30,Harrison Ruffin Tyler,0.0
npr,bluesky,2025-05-30,the White House,0.0
npr,bluesky,2025-05-30,The National Association of the Deaf,-0.2027777777777778
npr,bluesky,2025-05-30,the White House's,-0.2027777777777778
npr,bluesky,2025-05-30,The Supreme Court,0.0
npr,bluesky,2025-05-30,Julie Leon,-0.07500000000000001
npr,bluesky,2025-05-30,"June 28, 2021",-0.07500000000000001
npr,bluesky,2025-05-30,the hottest day,-0.07500000000000001
npr,bluesky,2025-05-30,Joe Walsh,0.175
