outlet,platform,date,entity,sentiment
nytimes,tiktok,2025-06-02,Sicily,0.016666666666666656
nytimes,tiktok,2025-06-02,Mount Etna,0.016666666666666656
nytimes,tiktok,2025-06-02,aurora borealis,0.35
nytimes,tiktok,2025-06-02,auroraborealis,0.35
nytimes,tiktok,2025-06-02,Harvard University,0.15
nytimes,tiktok,2025-06-02,Boulder,-0.04166666666666666
nytimes,tiktok,2025-06-02,Boulder,-0.04166666666666666
nytimes,tiktok,2025-06-02,Creatine,0.19444444444444442
nytimes,tiktok,2025-06-02,Julia Calderone,0.19444444444444442
nytimes,tiktok,2025-06-01,Siberia,-0.13999999999999999
nytimes,tiktok,2025-06-01,at least 12,-0.13999999999999999
nytimes,tiktok,2025-06-01,Miley Cyrus,0.2518181818181818
nytimes,tiktok,2025-06-01,Dolly Parton,0.2518181818181818
nytimes,tiktok,2025-06-01,@Miley Cyrus,0.2518181818181818
nytimes,tiktok,2025-06-01,The Interview” on,0.2518181818181818
nytimes,tiktok,2025-06-01,Eddie Costas,0.2518181818181818
nytimes,tiktok,2025-06-01,Alfredo Chiarappa,0.2518181818181818
nytimes,tiktok,2025-06-01,Pat Gunther,0.2518181818181818
nytimes,tiktok,2025-06-01,tattoos,0.2518181818181818
nytimes,tiktok,2025-06-01,"more than 2,600",0.2592171717171717
nytimes,tiktok,2025-06-01,the Supreme Court,0.2592171717171717
nytimes,tiktok,2025-06-01,Christina Thornell,0.2592171717171717
nytimes,tiktok,2025-06-01,David Seekamp,0.2592171717171717
nytimes,tiktok,2025-06-01,Laura Salaberry,0.2592171717171717
nytimes,tiktok,2025-06-01,#mexico #,0.2592171717171717
nytimes,tiktok,2025-06-01,Eastern Conference,0.34659090909090906
nytimes,tiktok,2025-06-01,Knicks,0.34659090909090906
nytimes,tiktok,2025-06-01,25 years,0.34659090909090906
nytimes,tiktok,2025-06-03,Geert Wilders,0.175
nytimes,tiktok,2025-06-03,11-month,0.175
nytimes,tiktok,2025-06-03,Make America Healthy Again,0.22191142191142188
nytimes,tiktok,2025-06-03,Robert F. Kennedy Jr.,0.22191142191142188
nytimes,tiktok,2025-06-03,Emma Goldberg,0.22191142191142188
nytimes,tiktok,2025-06-03,MAHA,0.22191142191142188
nytimes,tiktok,2025-06-03,Emma Goldberg,0.22191142191142188
nytimes,tiktok,2025-06-03,Melanie Bencosme,0.22191142191142188
nytimes,tiktok,2025-06-03,Karen Hanley,0.22191142191142188
nytimes,tiktok,2025-06-03,Gabriel Blanco,0.22191142191142188
nytimes,tiktok,2025-06-03,David Jouppi,0.22191142191142188
nytimes,tiktok,2025-06-03,James Surdam,0.22191142191142188
nytimes,tiktok,2025-06-03,#maha #,0.22191142191142188
nytimes,tiktok,2025-06-03,The Red Cross,-0.004895104895104901
nytimes,tiktok,2025-06-03,at least 27,-0.004895104895104901
nytimes,tiktok,2025-06-03,three days,-0.004895104895104901
nytimes,tiktok,2025-06-03,Rafah,-0.004895104895104901
nytimes,tiktok,2025-06-03,GazaAid,-0.004895104895104901
nytimes,tiktok,2025-06-03,IsraeliMilitary,-0.004895104895104901
nytimes,tiktok,2025-06-04,At least 10,-0.037500000000000006
nytimes,tiktok,2025-06-04,as tens of thousands,-0.037500000000000006
nytimes,tiktok,2025-06-04,PremierLeague,-0.037500000000000006
nytimes,tiktok,2025-06-04,Shamsa Sharawe,-0.2236111111111111
nytimes,tiktok,2025-06-04,@Official Araweelo Photos,-0.2236111111111111
nytimes,tiktok,2025-06-04,Nariman El-Mofty,-0.2236111111111111
nytimes,tiktok,2025-06-04,the Upper Midwest,-0.05
nytimes,tiktok,2025-06-04,Lee Jae-myung,-0.1106060606060606
nytimes,tiktok,2025-06-04,South Korea's,-0.1106060606060606
nytimes,tiktok,2025-06-04,Lee’s,-0.1106060606060606
