outlet,platform,date,entity,sentiment
vox,youtube,2025-05-26,Sean Illing,0.075
vox,youtube,2025-05-26,Erica Benner,0.075
vox,youtube,2025-05-26,Machiavelli,0.075
vox,youtube,2025-05-26,Machiavelli,0.075
vox,youtube,2025-05-26,nearly 500 years,0.075
vox,youtube,2025-05-26,Erica Benner,0.075
vox,youtube,2025-05-26,Niccolo Machiavelli’s,0.075
vox,youtube,2025-05-26,Machiavelli,0.075
vox,youtube,2025-05-12,Sigal Samuel,0.2860526315789474
vox,youtube,2025-05-12,Rutger Bregman,0.2860526315789474
vox,youtube,2025-05-12,Moral Ambition,0.2860526315789474
vox,youtube,2025-05-12,Rutger Bregman,0.2860526315789474
vox,youtube,2025-05-12,Bregman,0.2860526315789474
vox,youtube,2025-05-12,Sigal Samuel,0.2860526315789474
vox,youtube,2025-05-12,"Interview

Subscribe",0.2860526315789474
vox,youtube,2025-05-08,Vox,0.10206790123456794
vox,youtube,2025-05-08,the 90s,0.10206790123456794
vox,youtube,2025-05-08,Tulsa,0.10206790123456794
vox,youtube,2025-05-08,NIEER,0.10206790123456794
vox,youtube,2025-05-08,The Early Childhood Education Institute,0.10206790123456794
vox,youtube,2025-05-08,William Gormley,0.10206790123456794
vox,youtube,2025-05-08,Tulsa,0.10206790123456794
vox,youtube,2025-05-08,more than 20 years,0.10206790123456794
vox,youtube,2025-05-08,Georgetown University,0.10206790123456794
vox,youtube,2025-05-08,Tulsa,0.10206790123456794
vox,youtube,2025-05-05,Sean Illing,0.17446732954545455
vox,youtube,2025-05-05,Leor Zmigrod,0.17446732954545455
vox,youtube,2025-05-05,The Ideological Brain,0.17446732954545455
vox,youtube,2025-05-05,Leor Zmigrod,0.17446732954545455
vox,youtube,2025-05-05,The Ideological Brain,0.17446732954545455
vox,youtube,2025-05-05,Leor,0.17446732954545455
