outlet,platform,date,entity,sentiment
washingtonpost,bluesky,2025-05-31,OpenAI,-0.03333333333333334
washingtonpost,bluesky,2025-05-31,& Character,-0.03333333333333334
washingtonpost,bluesky,2025-05-31,Jared Isaacman,0.0
washingtonpost,bluesky,2025-05-31,Honolulu,-0.09999999999999999
washingtonpost,bluesky,2025-05-31,ACLU,-0.09999999999999999
washingtonpost,bluesky,2025-05-31,at least 127,-0.09999999999999999
washingtonpost,bluesky,2025-05-31,0.00,-0.09999999999999999
washingtonpost,bluesky,2025-05-31,the United Arab Emirates,-0.0125
washingtonpost,bluesky,2025-05-31,Allison Jedson,0.0
washingtonpost,bluesky,2025-05-31,the University of Rhode Island,0.0
washingtonpost,bluesky,2025-05-31,three days,0.0
washingtonpost,bluesky,2025-05-31,The Justice Department,-0.25
washingtonpost,bluesky,2025-05-31,Elon Musk,0.0
washingtonpost,bluesky,2025-05-31,5-year-old,0.0
washingtonpost,bluesky,2025-05-31,the United States,0.15634920634920638
washingtonpost,bluesky,2025-05-31,Susie Wiles,0.0
washingtonpost,bluesky,2025-05-30,Meta,-0.35
washingtonpost,bluesky,2025-05-30,Anduril,-0.35
washingtonpost,bluesky,2025-05-30,Mystics-Liberty,0.08333333333333333
washingtonpost,bluesky,2025-05-30,7:30,0.08333333333333333
washingtonpost,bluesky,2025-05-30,Liberty’s Jonquel Jones,0.08333333333333333
washingtonpost,bluesky,2025-05-30,five days,-0.175
washingtonpost,bluesky,2025-05-30,the three weeks,-0.175
washingtonpost,bluesky,2025-05-30,79th,-0.175
washingtonpost,bluesky,2025-05-30,25 percent to 50 percent,0.0
washingtonpost,bluesky,2025-05-30,U.S. Steel,0.0
washingtonpost,bluesky,2025-05-30,Japan’s Nippon Steel,0.0
washingtonpost,bluesky,2025-05-30,the WorldPride Welcome Concert,0.8
washingtonpost,bluesky,2025-05-30,WorldPride,0.8
washingtonpost,bluesky,2025-05-30,Kari Lake,0.325
washingtonpost,bluesky,2025-05-30,Cambodia,0.325
washingtonpost,bluesky,2025-05-30,Voice of America,0.325
washingtonpost,bluesky,2025-05-30,Radio Free Asia,0.325
washingtonpost,bluesky,2025-05-30,@washingtonpost.com,0.325
washingtonpost,bluesky,2025-05-30,the National Portrait Gallery,0.16
washingtonpost,bluesky,2025-05-30,Kim Sajet,0.16
washingtonpost,bluesky,2025-05-30,Sajet,0.16
washingtonpost,bluesky,2025-05-30,HHS,0.3181818181818182
washingtonpost,bluesky,2025-05-30,Robert F. Kennedy Jr.,0.3181818181818182
washingtonpost,bluesky,2025-05-30,CDC,0.3181818181818182
washingtonpost,bluesky,2025-05-30,Taylor Swift,0.0
washingtonpost,bluesky,2025-05-30,Taylor’s Version,0.0
washingtonpost,bluesky,2025-05-30,Department of Defense,-0.125
washingtonpost,bluesky,2025-05-30,USAGM,0.0
washingtonpost,bluesky,2025-05-30,Trump’s,0.07777777777777777
washingtonpost,bluesky,2025-05-30,Elon Musk,0.07777777777777777
washingtonpost,bluesky,2025-05-30,The Supreme Court,0.27878787878787875
washingtonpost,bluesky,2025-05-30,"more than 530,000",0.27878787878787875
washingtonpost,bluesky,2025-05-30,the United States,0.27878787878787875
washingtonpost,bluesky,2025-05-30,Manitoba,0.25
washingtonpost,bluesky,2025-05-30,more than a dozen,0.25
washingtonpost,bluesky,2025-05-30,Midwestern,0.25
washingtonpost,bluesky,2025-05-30,southward,0.25
washingtonpost,bluesky,2025-05-30,U.S. Immigration,0.25
washingtonpost,bluesky,2025-05-30,1 million,0.25
washingtonpost,bluesky,2025-05-30,his first year,0.25
washingtonpost,bluesky,2025-05-30,Michelle Singletary,0.0
washingtonpost,bluesky,2025-05-30,Almost a third,0.0
washingtonpost,bluesky,2025-05-30,this summer,0.0
washingtonpost,bluesky,2025-05-30,Roland Garros,0.3125
washingtonpost,bluesky,2025-05-30,2025,0.34545454545454546
washingtonpost,bluesky,2025-05-30,Trump’s Republican Party,0.34545454545454546
washingtonpost,bluesky,2025-05-30,hundreds of billions of dollars,0.0740909090909091
washingtonpost,bluesky,2025-05-30,Faizan Zaki,0.5
washingtonpost,bluesky,2025-05-30,the Scripps National Spelling Bee,0.5
washingtonpost,bluesky,2025-05-30,Faizan,0.5
washingtonpost,bluesky,2025-05-29,C-H-A-M-P-I-O-N:,0.16249999999999998
washingtonpost,bluesky,2025-05-29,Faizan Zaki,0.16249999999999998
washingtonpost,bluesky,2025-05-29,the Scripps National Spelling Bee,0.16249999999999998
washingtonpost,bluesky,2025-05-29,last year,0.16249999999999998
washingtonpost,bluesky,2025-05-29,the White House’s,-0.19999999999999998
washingtonpost,bluesky,2025-05-29,Gretchen Whitmer,0.0
washingtonpost,bluesky,2025-05-29,last month,0.0
washingtonpost,bluesky,2025-05-29,the final night,0.0037878787878787845
washingtonpost,bluesky,2025-05-29,2025,0.0037878787878787845
washingtonpost,bluesky,2025-05-29,Scripps National Spelling Bee,0.0037878787878787845
washingtonpost,bluesky,2025-05-29,three-day,0.0037878787878787845
washingtonpost,bluesky,2025-05-29,243,0.0037878787878787845
washingtonpost,bluesky,2025-05-29,Kuwait,0.0037878787878787845
washingtonpost,bluesky,2025-05-29,• Does Trump,0.1
washingtonpost,bluesky,2025-05-29,May 29,0.1
washingtonpost,bluesky,2025-05-29,DOGE,0.03125
washingtonpost,bluesky,2025-05-29,Musk,0.03125
washingtonpost,bluesky,2025-05-29,United’s MileagePlus and,0.13636363636363635
washingtonpost,bluesky,2025-05-29,JetBlue’s TrueBlue,0.13636363636363635
washingtonpost,bluesky,2025-05-29,this fall,0.13636363636363635
washingtonpost,bluesky,2025-05-29,2-year-old,0.0
washingtonpost,bluesky,2025-05-29,Poté,0.0
washingtonpost,bluesky,2025-05-29,Marina Dias,0.0
washingtonpost,bluesky,2025-05-29,Court of International Trade,0.015625
washingtonpost,bluesky,2025-05-29,the Court of International Trade,0.015625
washingtonpost,bluesky,2025-05-29,Bahamas,0.22
washingtonpost,bluesky,2025-05-29,WMO,-0.004545454545454547
washingtonpost,bluesky,2025-05-29,1.5C,-0.004545454545454547
washingtonpost,bluesky,2025-05-29,2027,-0.004545454545454547
washingtonpost,bluesky,2025-05-29,just two years,-0.004545454545454547
washingtonpost,bluesky,2025-05-29,this morning,0.8
washingtonpost,bluesky,2025-05-29,at least 11,0.03333333333333335
washingtonpost,bluesky,2025-05-29,The Supreme Court,0.30625
washingtonpost,bluesky,2025-05-29,billions of gallons,0.30625
washingtonpost,bluesky,2025-05-29,Newtok,0.0
washingtonpost,bluesky,2025-05-29,the United States,0.0
washingtonpost,bluesky,2025-05-29,ProPublica,0.0
washingtonpost,bluesky,2025-05-29,KYUK,0.0
washingtonpost,bluesky,2025-05-29,Elon Musk,0.0
washingtonpost,bluesky,2025-05-29,the U.S. DOGE Service,0.0
washingtonpost,bluesky,2025-05-29,Manitoba,0.0
washingtonpost,bluesky,2025-05-29,the United States,0.0
washingtonpost,bluesky,2025-05-29,tens of thousands,0.0
washingtonpost,bluesky,2025-05-29,Midwestern,0.0
washingtonpost,bluesky,2025-05-29,Jamie Raskin,0.27999999999999997
washingtonpost,bluesky,2025-05-29,the House Judiciary Committee,0.27999999999999997
washingtonpost,bluesky,2025-05-29,Ben Golliver,0.03749999999999999
washingtonpost,bluesky,2025-05-29,Oklahoma City’s,0.03749999999999999
washingtonpost,bluesky,2025-05-29,124,0.03749999999999999
washingtonpost,bluesky,2025-05-29,the Minnesota Timberwolves,0.03749999999999999
washingtonpost,bluesky,2025-05-29,Game 5,0.03749999999999999
washingtonpost,bluesky,2025-05-29,the Western Conference,0.03749999999999999
washingtonpost,bluesky,2025-05-29,the Golden State Warriors,0.03749999999999999
washingtonpost,bluesky,2025-05-29,Guatemalan,-0.08333333333333333
washingtonpost,bluesky,2025-05-29,the United States,-0.08333333333333333
washingtonpost,bluesky,2025-05-29,more than a dozen,0.11704545454545454
washingtonpost,bluesky,2025-05-28,Elon Musk,0.11562499999999999
washingtonpost,bluesky,2025-05-28,the U.S. DOGE Service,0.11562499999999999
washingtonpost,bluesky,2025-05-28,A day earlier,0.11562499999999999
washingtonpost,bluesky,2025-05-28,Musk,0.11562499999999999
washingtonpost,bluesky,2025-05-28,Mahmoud Khalil,0.13636363636363635
washingtonpost,bluesky,2025-05-28,Columbia University,0.13636363636363635
washingtonpost,bluesky,2025-05-28,Khalil,0.13636363636363635
washingtonpost,bluesky,2025-05-28,Marco Rubio,0.0
washingtonpost,bluesky,2025-05-28,the State Department,0.0
washingtonpost,bluesky,2025-05-28,the Chinese Communist Party,0.0
washingtonpost,bluesky,2025-05-28,Air Force One,0.03333333333333333
washingtonpost,bluesky,2025-05-28,The Court of International Trade,0.0
washingtonpost,bluesky,2025-05-28,Health and Human Services,0.27777777777777773
washingtonpost,bluesky,2025-05-28,Robert F. Kennedy Jr.’s,0.27777777777777773
washingtonpost,bluesky,2025-05-28,129,0.5
washingtonpost,bluesky,2025-05-28,May 28,0.5
washingtonpost,bluesky,2025-05-28,the Treasury Department’s,0.07878787878787878
washingtonpost,bluesky,2025-05-28,Elon Musk,-0.1125
washingtonpost,bluesky,2025-05-28,at least 40 hours,-0.1125
washingtonpost,bluesky,2025-05-28,the past year,-0.1125
washingtonpost,bluesky,2025-05-28,ALS,0.07878787878787878
washingtonpost,bluesky,2025-05-28,Planned Parenthood,-0.053571428571428575
washingtonpost,bluesky,2025-05-28,last November,-0.053571428571428575
washingtonpost,bluesky,2025-05-28,$44 billion,0.0
washingtonpost,bluesky,2025-05-28,2023-2024 school year,0.0
washingtonpost,bluesky,2025-05-28,The New York Fed,0.4454545454545455
washingtonpost,bluesky,2025-05-28,more than 9 million,0.4454545454545455
washingtonpost,bluesky,2025-05-28,www.washingtonpost.com/business/202,0.4454545454545455
washingtonpost,bluesky,2025-05-28,Venezuelan,0.0
washingtonpost,bluesky,2025-05-28,DC Streetcars,-0.125
washingtonpost,bluesky,2025-05-28,Muriel Bowser,-0.125
washingtonpost,bluesky,2025-05-28,Glenn Kessler,0.08333333333333333
washingtonpost,bluesky,2025-05-28,Anahad O'Connor,0.8
washingtonpost,bluesky,2025-05-28,Caitlin Clark,0.0024999999999999953
washingtonpost,bluesky,2025-05-28,last week,0.125
washingtonpost,bluesky,2025-05-28,next year,0.125
washingtonpost,bluesky,2025-05-28,Elon Musk,0.06666666666666667
washingtonpost,bluesky,2025-05-28,the U.S. DOGE Service,0.06666666666666667
washingtonpost,bluesky,2025-05-28,wapo.st/4kFrCY1,0.06666666666666667
washingtonpost,bluesky,2025-05-28,Michelle Singletary,0.0
washingtonpost,bluesky,2025-05-28,the Treasury Department’s,0.11666666666666665
washingtonpost,bluesky,2025-05-28,the Labor Department,-0.02121212121212122
washingtonpost,bluesky,2025-05-28,Anthony D’Esposito,-0.02121212121212122
washingtonpost,bluesky,2025-05-28,Health and Human Services,0.0
washingtonpost,bluesky,2025-05-28,Robert F. Kennedy Jr.,0.0
washingtonpost,bluesky,2025-05-27,a week,0.04
