outlet,platform,date,entity,sentiment
washingtonpost,youtube,2025-05-31,Post Reports,0.175
washingtonpost,youtube,2025-05-31,the morning,0.2333333333333333
washingtonpost,youtube,2025-05-31,The Washington Post,0.2333333333333333
washingtonpost,youtube,2025-05-31,Aisha Bowe,0.0
washingtonpost,youtube,2025-05-31,Blue Origin,0.0
washingtonpost,youtube,2025-05-31,Carolyn Hax,0.13636363636363635
washingtonpost,youtube,2025-05-31,The Washington Post,0.13636363636363635
washingtonpost,youtube,2025-05-30,May 30,0.25
washingtonpost,youtube,2025-05-30,The Washington Post,0.25
washingtonpost,youtube,2025-05-30,Diddy” Combs,0.1
washingtonpost,youtube,2025-05-30,Sidebar,-0.15555555555555556
washingtonpost,youtube,2025-05-30,The Washington Post,-0.15555555555555556
washingtonpost,youtube,2025-05-30,The Washington Post,0.5
washingtonpost,youtube,2025-05-30,Albania,0.3333333333333333
washingtonpost,youtube,2025-05-30,this summer,0.3333333333333333
washingtonpost,youtube,2025-05-30,The Washington Post,0.3333333333333333
washingtonpost,youtube,2025-05-30,Memorial Day weekend,0.1111111111111111
washingtonpost,youtube,2025-05-30,Lilo & Stitch,0.1111111111111111
washingtonpost,youtube,2025-05-30,Drew Goins,0.1111111111111111
washingtonpost,youtube,2025-05-30,Molly Roberts,0.1111111111111111
washingtonpost,youtube,2025-05-30,Will Leitch,0.1111111111111111
washingtonpost,youtube,2025-05-30,May 29,0.13636363636363635
washingtonpost,youtube,2025-05-30,New Yorkers,0.13636363636363635
washingtonpost,youtube,2025-05-30,The Washington Post,0.13636363636363635
washingtonpost,youtube,2025-05-30,Yassamin Ansari,-0.05
washingtonpost,youtube,2025-05-30,May 29,-0.05
washingtonpost,youtube,2025-05-30,"Friday, May 30",0.0
washingtonpost,youtube,2025-05-29,U.S. Health and Human Services,0.08333333333333333
washingtonpost,youtube,2025-05-29,Robert F. Kennedy Jr.,0.08333333333333333
washingtonpost,youtube,2025-05-29,The Washington Post's,-0.008506944444444449
washingtonpost,youtube,2025-05-29,Libby Casey,-0.008506944444444449
washingtonpost,youtube,2025-05-29,Rhonda Colvin,-0.008506944444444449
washingtonpost,youtube,2025-05-29,James Hohmann,-0.008506944444444449
washingtonpost,youtube,2025-05-29,Dan Lamothe,-0.008506944444444449
washingtonpost,youtube,2025-05-29,Pete Hegseth,-0.008506944444444449
washingtonpost,youtube,2025-05-29,Hegseth,-0.008506944444444449
washingtonpost,youtube,2025-05-29,Elon Musk,-0.008506944444444449
washingtonpost,youtube,2025-05-29,Pete Hegseth's,-0.008506944444444449
washingtonpost,youtube,2025-05-29,8:35,-0.008506944444444449
washingtonpost,youtube,2025-05-29,14:18,-0.008506944444444449
