create_time,username,video_description,view_count,like_count,share_count,comment_count,region_code,id,section,merged_section,subsection
2025-06-02 18:17:12,dailywire,don’t think we’re on the same page here #holyairball,792665,134517,8618,973,US,7511417543878348078,Sports,Sports,
2025-06-03 19:56:54,dailywire,"Spoiling your children sets them up for failure. @dr.jordan.b.peterson helps parents confront their children’s entitlement in ‘Parenting,’ out now on DailyWire+. Link in bio to watch.",45112,1506,252,32,US,7511814380288249134,Parenting,Lifestyle,
2025-06-09 21:58:41,dailywire,deja vu anyone?,1889257,258600,34587,8316,US,7514072248446340398,Entertainment,Entertainment,
2025-06-10 17:52:18,dailywire,changing federal immigration policy one stolen iphone at a time❤️,6871244,876198,146838,16524,US,7514379849608351022,Politics,Politics,Immigration
2025-06-11 17:40:55,dailywire,bill clinton deported 6x more people than trump… but who’s counting,11881088,1521338,143861,23258,US,7514747984660286763,Politics,Politics,Immigration
2025-06-12 00:09:35,dailywire,sometimes you just gotta let it out 😔,158375,10258,1121,152,US,7514848161157074222,Lifestyle,Lifestyle,
2025-06-16 20:38:16,dailywire,if only there were other places to protest besides the middle of the highway :(,577385,116592,15227,1188,US,7516649170866933006,Traffic News,Infrastructure,
2025-06-16 17:55:25,dailywire,"Do you like memes, doomscrolling, and staring at a screen for 8 hours a day? You’re in luck - the Daily Wire social media team is hiring! Link in bio to apply.",15863,1258,20,29,US,7516607177767881997,Job Opportunities,Job Opportunities,
2025-06-17 18:03:37,dailywire,they said ‘no kings’ but they never said ‘no queens’ 😭,67797,6953,392,176,US,7516980493691243807,Entertainment,Entertainment,
2025-06-18 16:04:06,dailywire,Our children are protected.,14664,1577,34,57,US,7517320650457894199,Education,Education,
2025-06-18 01:33:11,dailywire,10 years since Donald Trump stepped onto that golden escalator—and into history. @marymargaretolohan talks with @donaldjtrumpjr and Eric Trump as they reflect on the last 10 years.,10667,409,6,19,US,7517096311959620878,Politics,Politics,Trump Administration
2025-06-19 22:12:37,dailywire,How are you celebrating Juneteenth? 😊✊,41727,3230,423,129,US,7517786732562107662,Culture,Arts & Culture,
2025-06-20 21:40:08,dailywire,Cry harder.,25312,2548,90,123,US,7518149540948512014,Opinion,Opinion,
2025-06-23 23:53:19,dailywire,Peace through strength 🇺🇸,862682,90648,10074,1297,US,7519296997132635447,Politics,Politics,Foreign Policy
2025-06-23 22:22:43,dailywire,just in time for summer 😍,27610,1464,72,31,US,7519273683710381326,Lifestyle,Lifestyle,
2025-06-23 19:35:07,dailywire,Qatar has condemned this attack on Al Udeid Airbase. Link in bio to follow along with live updates.,364103,30199,1388,258,US,7519230457460968717,World News,World,
2025-06-24 16:25:06,dailywire,another trump tweet I will in fact be quoting 🕊️,38561,1343,20,15,US,7519552662136704287,Politics,Politics,Trump Administration
2025-06-24 15:02:17,dailywire,President Trump is determined to honor the ceasefire in the Middle East.,25728,1808,91,27,US,7519531177502461239,International News,World,
2025-06-25 22:36:34,dailywire,who's your daddy?,691396,74563,18061,1228,US,7520019428222717197,Entertainment,Entertainment,
2025-06-26 19:06:29,dailywire,rip nyc,172589,11921,1939,718,US,7520336447732190519,Obituaries,Obituaries,
2025-06-27 22:10:54,dailywire,Biden might not remember… but we do.,190363,26717,3698,290,US,7520754940977990926,Politics,Politics,Biden Administration
2025-06-30 16:58:50,dailywire,Did we just write the song of the summer?,23896,2452,257,143,US,7521787913206500622,Entertainment,Entertainment,
