create_time,username,video_description,view_count,like_count,share_count,comment_count,region_code,id,section,merged_section,subsection
2025-06-02 23:06:38,foxnews,"Dr. Marie Russell, a dog bite expert, testified during Karen Read's retrial that the wounds discovered on John O'Keefe's arm ""were inflicted as the result of a dog attack.""",112960,3379,234,443,US,7511492260035317022,Crime News,Crime,
2025-06-02 22:32:46,foxnews,Secretary of State Marco Rubio vows to go after the family of terrorists in the United States on visas.,37310,1693,17,252,US,7511483547018874143,Politics,Politics,Immigration
2025-06-02 22:24:59,foxnews,"50 Cent wrote in a since-deleted social media post that Diddy ""said some really bad things about Trump, it’s not OK. I’m gonna reach out so he knows how I feel about this guy."" The rapper's comments come after Trump was asked if he'd consider a Diddy pardon. ",319968,8183,242,533,US,7511481521782525214,Entertainment News,Entertainment,
2025-06-02 22:10:01,foxnews,"""He said he wanted them all to die, he had no regrets and he would go back and do it again."" Authorities shared more details and unveiled a slew of charges against the suspect in the terror attack targeting a pro-Israel group in Boulder, Colorado, yesterday.",55100,1310,24,162,US,7511477682262019358,Crime News,Crime,
2025-06-02 21:31:00,foxnews,The Democratic governor says Massachusetts is *not* a sanctuary state – but ICE says it sure acts like one. | @AlexisMcAdamsTV ,237576,5737,207,478,US,7511467609532026142,Politics,Politics,Immigration
2025-06-02 20:53:09,foxnews,"Sen. Fetterman (D-PA) slammed the liberal media's ""smear"" campaign against him during a forum moderated by FOX News’ Shannon Bream.",143351,2141,19,152,US,7511457848216374558,Politics,Politics,Politician
2025-06-02 18:14:23,foxnews,"'CALL IT WHAT IT IS': @johnfetterman and Sen. Dave McCormick unload against college campuses for allowing the ""terrorizing and intimidating"" of Jewish students. The two senators joined together to deliver a clear message to @democrats — antisemitic rhetoric is not ""free speech."" @foxnation",290878,9785,211,709,US,7511416939663674655,Politics,Politics,Education
2025-06-02 17:11:05,foxnews,"FAST FEUD: An emerging restaurant chain in the Lone Star State is making waves — specifically, red ones — with a menu and décor inspired by none other than @President Donald J Trump.",163479,4372,72,807,US,7511400638283009311,Entertainment,Entertainment,
2025-06-02 15:15:10,foxnews,"YOU'RE FIRED! The @President Donald J Trump on is slashing red tape to terminate federal workers over serious misconduct. The new process, inspired by DOGE, is set to crack down on employees who evade taxes, leak sensitive information and hurt ""the public trust.""",173694,2709,66,286,US,7511370713547246878,Politics,Politics,Trump Administration
2025-06-02 14:26:04,foxnews,"TALE OF THE TAPE: @corybooker fuels internet debate over his ""salute"" to Democrats at a rally — as conservatives mocked the Democrat and questioned his motion after Elon Musk performed a similar gesture on Trump's inauguration day, which yielded widespread scorn from liberals and mainstream media.",3881643,138141,11926,15098,US,7511358031402175775,Politics,Politics,Elections
2025-06-02 11:41:56,foxnews,"Bystanders capture the moment police arrest the suspect at the scene of a gruesome terror attack that injured eight people in Colorado. The man, who came into America under Joe Biden and overstayed his visa, allegedly set his victims on fire as they peacefully rallied on behalf of Israeli hostages held by Hamas.",212357,12952,123,378,US,7511315661105253662,Breaking News,Breaking News,
2025-06-02 01:48:01,foxnews,"Lawmakers called for a full investigation after a man shouting ""Free Palestine""  injured six people in a terror attack in Boulder, Colorado. Three sources told FOX News the suspect, 45-year-old Mohamed Sabry Soliman, is in the country illegally.",230351,4489,173,483,US,7511162769668902174,Crime,Crime,
2025-06-01 21:52:22,foxnews,Todd and Julie Chrisley are expected to call Nashville home once again now that they're free from prison.,212246,5312,40,775,US,7511102055809928478,Entertainment,Entertainment,
2025-06-01 21:31:27,foxnews,"Six people have been criminally charged with a fraud scheme that allegedly generated more than $66 million in unauthorized transactions under the food stamps program, U.S. Secretary of Agriculture Brooke Rollins says. ""This is not the one and only. There are going to be many more to come, and we're gonna make sure that we're delivering on our promises to the taxpayers.""",263742,9004,315,808,US,7511096646948687134,Crime,Crime,
2025-06-01 21:08:05,foxnews,"""It's time Americans come first."" DHS Secretary Kristi Noem slams migrants taking Americans jobs as the @realdonaldtrumpadministration cracks down on illegal immigration.",301927,4775,306,3588,US,7511090619498958111,Politics,Politics,Immigration
