create_time,username,video_description,view_count,like_count,share_count,comment_count,region_code,id,section,merged_section
2025-06-02 23:57:23,msnbc,"The first two episodes of Nicolle Wallace's new chart-topping podcast, ""The Best People with Nicolle Wallace” are out NOW! Listen to the episodes, featuring Jason Bateman and Rachel Maddow, wherever you get your podcasts and at the link in our bio.",20029,548,15,40,US,7511505232858189099,Entertainment,Entertainment
2025-06-02 22:11:48,msnbc,"""We fully intend to hold Mr. Soliman accountable for his actions and these charges are the first step."" Acting U.S. Attorney for the District of Colorado J. Bishop Grewell announces Mohamed Sabry Soliman, the man suspected of launching a fire attack on a group calling for the release of Israeli hostages in Gaza, is being charged with the commission of a hate crime. He was also charged in Colorado with attempted first-degree murder. A total of 12 people were injured and ranged in age from 52 to 88.",292387,14690,471,1701,US,7511478025884667182,Crime News,Crime News
2025-06-02 19:26:56,msnbc,"Several of the nation’s largest LGBTQ Pride celebrations are down hundreds of thousands of dollars in corporate sponsorships this year, with some event organizers saying promised funds have been withdrawn or reduced and others saying they’ve been ghosted by longtime corporate partners. Pride organizers say some companies fear being targeted by the Trump administration over participation in diversity, equity and inclusion initiatives, while others are preserving cash in a tumultuous economy. #news #politics #trump #lgbtq  #pridemonth ",450639,34375,911,2443,US,7511435520665472302,Business,Business
2025-06-02 18:54:47,msnbc,"Sicily’s Mount Etna erupted, sending smoke and ash several kilometers (miles) into the air, officials said the activity posed no danger to the population. #news  #italy  #sicily ",71783,947,86,22,US,7511427219227561259,Environment,Environment
2025-06-02 18:51:33,msnbc,"NEW: A man who law enforcement officials say used a “makeshift flamethrower” to injure eight people in Boulder, Colorado, on Sunday marching for the release of Hamas-held Israeli hostages has been charged with a federal hate crime. NBC News' Morgan Chesky reports.",80154,990,44,119,US,7511426454006189358,Crime,Law & Order
2025-06-02 18:05:18,msnbc,"NBC News exclusive: President Donald Trump’s intelligence chief is exploring ways to revamp his routine intelligence briefing in order to build his trust in the material and make it more aligned with how he likes to consume information, according to five people with direct knowledge of the discussions. One idea that’s been discussed is possibly creating a video version of the PDB that’s made to look and feel like a Fox News broadcast, four of the people with direct knowledge of the discussions said. NBC News’ Courtney Kube has the latest. #trump #intel  #gabbard #nationalsecurity #politics #government #news",2353747,101441,6483,8337,US,7511414496133598510,Politics,Politics
2025-06-02 18:03:55,msnbc,"Sen. Joni Ernst (R-Iowa) was repeatedly pressed at a town hall last week over House GOP cuts to Medicaid and pushed back when told the cuts would lead to deaths, saying, “We all are going to die.” The next day Ernst posted a video doubling down on her remarks — invoking Jesus and the Tooth Fairy.  On #MorningJoe, Joe Scarborough reacts to her comments: “How has she become this type of legislator? I'm just I'm at a loss.” #news #healthcare #politics #trump #jodiernst #washington ",1029292,85980,7479,7298,US,7511414085305797934,Politics,Politics
2025-06-02 16:17:20,msnbc,"Eight people were injured in an attack on advocates for Israeli hostages in Boulder, Colorado. A suspect is in custody and could face murder charges despite no confirmed deaths at this time. Colorado Attorney General Phil Weiser joins Ana Cabrera to discuss the ongoing investigation. #news  #colorado ",37305,582,22,151,US,7511386628246736174,Breaking News,Breaking News
2025-06-02 16:09:37,msnbc,"Ukraine’s Security Service said it has struck at least 40 Russian bombers deep inside Russian territory in what would be one of the largest and most audacious attacks on Russian territory in the years long conflict. Ukraine managed to smuggle 117 aerial drones on the backs of trucks that deposited them at the perimeter of four Russian air bases — one of them deep inside Siberia some 2,500 miles from Ukraine’s borders, according to Ukrainian officials. Some military commentators and pro-Russian bloggers have called it the country’s “Pearl Harbor.” It came Sunday, a day before the latest round of direct peace talks between Ukraine and Russia on Monday. #ukraine #russia #drones #worldnews #news #zelenskyy #putin",69216,1896,34,162,US,7511384693955202347,Military News,Military News
2025-06-02 15:45:13,msnbc,Speaker Mike Johnson on Sunday said President Trump’s “big beautiful bill” will not add to the federal deficit despite estimates showing it will add nearly $4 trillion to the national debt. Joe Scarborough offers his thoughts on the Speaker’s claims. #news  #morningjoe  #politics ,552094,41897,4920,4728,US,7511378381036850475,Politics,Politics
2025-06-02 15:17:46,msnbc,"Sen. Chuck Schumer (D-NY) responds to the Boulder, CO attack that left at least eight people injured on Sunday and the rise of anti-Semitism across the U.S. #news  #schumer  #colorado ",180300,1930,65,1587,US,7511371285767900462,Politics,Politics
2025-06-02 13:03:07,msnbc,"Eight people were hospitalized with burns after a man attacked a peaceful rally in Boulder, Colorado, using a makeshift flamethrower and incendiary devices. The event was held to raise awareness for Israeli hostages held in Gaza. Authorities say the suspect shouted “Free Palestine” during the assault and is now facing terrorism-related charges. One victim remains in critical condition. #news  #colorado  #morningjoe ",80143,1493,105,350,US,7511336492934057262,Breaking News,Breaking News
2025-06-02 11:28:05,msnbc,The FBI is investigating the attack against advocates for Israeli hostages in Gaza as an “act of terrorism.” The suspect used a makeshift flamethrower and threw an incendiary device. He was heard to have yelled “Free Palestine” during the attack. Six victims are hospitalized. #news #msnbc ,62390,1199,77,270,US,7511311833135910186,Breaking News,Breaking News
2025-06-02 03:38:16,msnbc,"Chris Hayes breaks down the ""real cost"" of Trump's tariffs on @All In with Chris Hayes following the president floating the idea of 50% tariff hikes on the European Union, then delaying that by more than a month over the weekend. Hayes calls it another example of the Trump administration ""setting a fire, kind of putting it out."" #trump #tariffs #europe ",163319,5839,79,191,US,7511191048031391019,Economics,Economics
2025-06-02 02:28:50,msnbc,"On May 30, Taylor Swift announced that she had bought back the rights to her first six albums after a long battle over her music. She acquired the masters from private equity firm Shamrock Capital. This is the first time her music is fully under her control since her former record label Big Machine sold it to Scooter Braun in 2019. “The passionate support you showed those albums and the success story you turned The Eras Tour into is why I was able to buy back my music,” Swift wrote in a letter to fans posted on her website. “I can’t thank you enough for helping to reunite me with this art that I have dedicated my life to, but have never owned until now.” #taylorswift #reputation #taylorsversion ",25599,980,17,34,US,7511173210054905134,Entertainment News,Entertainment News
2025-06-02 02:14:11,msnbc,"The Centers for Disease Control and Prevention will no longer recommend routine COVID-19 vaccinations for healthy children and pregnant women, Health and Human Services Secretary Robert F. Kennedy Jr. announced. MSNBC medical contributor and former White House policy director under the Obama administration, Dr. Kavita Patel, explains what this change means for healthcare providers and patients. #health #vaccine #covid ",30039,715,19,82,US,7511169439694409003,Health,Health
