create_time,username,video_description,view_count,like_count,share_count,comment_count,region_code,id,section,merged_section
2025-06-02 19:00:28,nowthisimpact,Elon Musk has left his role at the White House and doesn’t want to talk about it anymore.,2917266,209023,12853,2596,US,7511428754602741038,Politics,Politics
2025-06-02 18:16:59,nowthisimpact,"Despite getting permission to use the women’s restroom at a bar in South Carolina, Luca Strobel, a trans man, was spied on in the bathroom stall, called anti-trans slurs, and charged with public intoxication and disorderly conduct — even though he was sober and did not resist police. His story underscores broader concerns about trans people’s safety in the United States — even in states without restrictive bathroom laws like South Carolina.",821177,83744,2564,1838,US,7511417491596512558,News,General News
2025-06-02 18:00:25,nowthisimpact,The lie detector test determined … it was all a lie.,4682389,382873,36985,6015,US,7511413200521579822,Crime,Crime
2025-06-02 17:00:27,nowthisimpact,This is........ Unexpected.,396982,19603,1255,863,US,7511397770901720362,Breaking News,Breaking News
2025-06-01 16:00:22,nowthisimpact,MAGA is really upset about this one.,9687458,1298914,71630,23061,US,7511011137853394219,Politics,Politics
2025-06-03 23:00:22,nowthisimpact,The priorities are clear when you see what we’re cutting — all in the name of tax cuts for the wealthy.,57934,3849,126,48,US,7511861682185096494,Politics,Politics
2025-06-03 22:17:59,nowthisimpact,"Over 100 celebrities have signed the Trevor Project’s open letter urging protections for federal funds dedicated to LGBTQ+ youth suicide prevention services. The letter comes after a leaked HHS budget draft reportedly included plans to eliminate all funding for LGBTQ+ youth prevention services through 988 — the federal program that provides crisis support. According to the Trevor Project, more than 1.8 million LGBTQ+ young people in the U.S. seriously consider suicide each year, with at least one attempt every 45 seconds. Cutting funding for 988 would put even more LGBTQ+ youth at risk. Jaymes Black, CEO of the Trevor Project, thanked those who signed the letter, saying: ‘I am deeply grateful to the influential voices in entertainment who are speaking out and reminding the public that suicide prevention is about people — not politics.’",140208,12087,133,70,US,7511850777564941610,Health,Health
2025-06-03 20:34:55,nowthisimpact,"MAGA supporters are reacting to reports that Trump has enlisted tech firm Palantir to build the largest government database for tracking Americans. Some Trump supporters dismissed the news as ‘fake,’ but those who looked closer weren’t happy.",6418994,458166,41455,14318,US,7511824084456623406,Politics,Politics
2025-06-03 19:15:09,nowthisimpact,"Marcelo Gomes da Silva, a Brazilian teenager, was arrested by ICE on his way to volleyball practice. He was supposed to play in the Milford High School band at graduation the next day. ICE officials admitted he was not the target of the operation, and no local officials were notified of the raid. Students at Gomes da Silva’s high school responded by staging a walkout, holding signs that said, ‘Free Marcelo.’ Other members of his community have spoken out, pleading for his release.",1145981,67992,2393,3197,US,7511803651610938670,Local News,Local News
2025-06-03 19:00:22,nowthisimpact,"Texas Republicans passed a bill banning books that are ‘inconsistent with community values’ in schools — whatever that means. The law would put school boards, not librarians, in charge of deciding what books are allowed in libraries. When Rep. James Talarico questioned the bill’s author, he admitted the law could even ban ‘Romeo and Juliet.’ This is what lawmakers are focused on while most Americans are living paycheck to paycheck.",2017683,153829,2332,1774,US,7511799799268740398,Education,Education
2025-06-03 18:00:21,nowthisimpact,"Meet Peter Thiel, co-founder of Palantir — the tech company Trump has enlisted to build the largest government surveillance system in U.S. history.",1894730,240202,27973,4089,US,7511784328519716142,Technology,Technology
2025-06-04 23:10:57,nowthisimpact,"Thank you to @theaudreyandjeremyshow for breaking down why access to health care matters. Trump’s Big, Beautiful, Bill would cost millions of people the care they need — especially those with disabilities who rely on government programs.",413942,66994,3874,902,US,7512235483003391275,Health Care,Health
2025-06-04 22:57:59,nowthisimpact,We’ve seen how these stories play out — why are we copying them?,120238,6249,721,283,US,7512232121637817642,Opinion,Opinion
2025-06-04 22:12:20,nowthisimpact,"If kids don’t have a roof over their heads, access to food, or quality health care, how are they supposed to get a good education? That was @Congressman Greg Casar’s question for Secretary of Education Linda McMahon, who’s been called out for being seriously underqualified — but definitely overpaid.",1399450,133624,2286,3371,US,7512220341079592238,Education,Education
2025-06-04 21:43:22,nowthisimpact,@Congressman Greg Casar asks Secretary of Education Linda McMahon: How is it worth it for kids to lose access to health care just so the ultra-rich can get even richer?,279716,37405,624,463,US,7512212886261894446,Politics,Politics
2025-06-04 21:20:01,nowthisimpact,"Why would Pete Hegseth want to scrub these names from Navy ships? Simple — they represent everything the MAGA movement fears: progress, equality, and the belief that America can be better than its past",134870,7425,193,469,US,7512206854815042859,Politics,Politics
2025-06-04 21:00:19,nowthisimpact,Perfect response to Sen. Joni Ernst carelessly saying ‘we all are going to die’ while trying to defend Medicaid cuts.,146720,15008,261,685,US,7512201766583242026,Politics,Politics
