create_time,username,video_description,view_count,like_count,share_count,comment_count,region_code,id,section,merged_section
2025-06-02 22:50:00,nytimes,"Tourists on the Italian island of Sicily were forced to flee on Monday from the slopes of Mount Etna, one of Europe’s largest and most active volcanoes, after an eruption sent clouds of gas, rock and ash billowing into the sky. #etna #sicily #eruption #volcano",68391,799,86,16,US,7511481811470519598,World News,World News
2025-06-02 17:27:54,nytimes,"If you missed the northern lights on Sunday, here's your chance: This time-lapse video shows how streaks of colorful light painted the night sky across parts of the U.S. as a geomagnetic storm made the northern lights, or aurora borealis, visible. #northernlights #auroraborealis",12550,408,16,8,US,7511404138169683246,Science/Environment,Science/Environment
2025-06-02 17:02:43,nytimes,"Presidential threats. Onerous investigations. Extensive funding cuts. The Trump administration has wielded all three against Harvard University, and the battle has continued to escalate. Tap the link for a full look at all the actions Trump has taken against Harvard so far. #harvard #trump #donaldtrump",17416,783,12,23,US,7511398343336267054,Politics,Politics
2025-06-02 08:30:11,nytimes,"Eight people were hospitalized, and two of them were in serious condition, after a man in Boulder, Colorado, used a “makeshift flamethrower” on Sunday to attack a crowd of peaceful demonstrators honoring Israeli hostages in Gaza. The authorities said they were investigating the attack as an act of terrorism. #Boulder #Colorado",127962,2637,336,150,US,7511265826079804718,Breaking News,Breaking News
2025-06-02 01:56:57,nytimes,"Creatine has long been a popular supplement among athletes and body builders. But on social media, claims about creatine go beyond the weight room. Julia Calderone, an editor for Well, explains. #creatine #wellness #supplements #muscles #exercise #health  ",78952,3043,312,97,US,7511164998735908142,Health,Health
2025-06-01 23:25:35,nytimes,"Ukraine launched on Sunday one of its broadest aerial assaults of the war against air bases inside Russia, a coordinated operation that targeted sites from eastern Siberia to Russia’s western border. Russia also struck a Ukrainian military training base on Sunday, killing at least 12 soldiers. Read the latest at the link in our bio. #russia #ukraine ",19967,375,14,19,US,7511126040069147950,World News,World News
2025-06-01 18:28:08,nytimes,"Miley Cyrus said we could ask her anything. In an in-depth conversation with The New York Times, she discussed stardom, rage, therapy, Dolly Parton, her new album and more. Watch our full conversation with @Miley Cyrus for “The Interview” on YouTube at the link in our bio. Video by Eddie Costas, Alfredo Chiarappa, Pat Gunther, Felice León and Brooke Minters/The New York Times #mileycyrus #somethingbeautiful #tattoos ",90344,4646,113,33,US,7511049335207939370,Entertainment,Entertainment
2025-06-01 17:12:34,nytimes,"For the first time in Mexico’s history, voters will elect more than 2,600 judges and magistrates, including those who will sit on the Supreme Court and hundreds of other federal, state and local tribunals. Our reporter breaks down why the new approach is so controversial. Learn more about the election at the link in our bio. Video by Emiliano Rodriguez Mega, Christina Thornell, David Seekamp and Laura Salaberry/The New York Times #mexico #elections  ",31408,2140,132,141,US,7511029844432407850,Politics,Politics
2025-06-01 14:46:10,nytimes,"The Pacers came in as the returning Eastern Conference finalist most had forgotten about. After ousting the Knicks and booking their first Finals ticket in 25 years, all of New York, and the basketball world, remembers them now. Read more from @The Athletic at the link in our bio. #pacers #knicks #nba #playoffs",12034,166,1,8,US,7510992011504241966,Sports,Sports
2025-06-03 23:50:00,nytimes,"The governing coalition in the Netherlands collapsed on Tuesday after the populist leader Geert Wilders withdrew his party over a dispute about migration policy, ending a rocky 11-month rule by the country’s first far-right government and triggering early elections. #netherlands",29550,964,52,24,US,7511869351494946094,Politics,Politics
2025-06-03 17:14:05,nytimes,"Raw milk. Vaccine skepticism. Natural births. The so-called ""Make America Healthy Again"" movement, associated with Health Secretary Robert F. Kennedy Jr., is changing the kind of information parents see on their social media feeds, including misinformation. Emma Goldberg, a reporter covering societal change for The New York Times, talks with a mom about how MAHA ideas are resonating and how the trend is changing the way parents raise their kids. Video by Emma Goldberg, Melanie Bencosme, Karen Hanley, Gabriel Blanco, David Jouppi, James Surdam, Shivani Khattar/The New York Times #maha #healthy #rfk",17164,683,29,22,US,7511772325214735662,Health,Health
2025-06-03 15:56:57,nytimes,"Israeli soldiers opened fire Tuesday morning near crowds of Palestinians walking toward a new food distribution site in southern Gaza, the Israeli military said. The Red Cross and Gaza health ministry said at least 27 people had been killed. This is the second large-scale deadly shooting in three days near the distribution site in the southern city of Rafah, where thousands of Palestinians have tried to secure aid. #Gaza #GazaAid #IsraeliMilitary",27772,1481,119,97,US,7511752413469183278,World News,World News
2025-06-04 17:03:08,nytimes,"At least 10 people were killed and dozens were injured on Wednesday in a crowd crush outside a stadium in the Indian city of Bengaluru as tens of thousands celebrated a Premier League cricket championship, officials said. #Cricket #India #PremierLeague",11551,252,4,20,US,7512140642085096747,Breaking News,Breaking News
2025-06-04 16:17:47,nytimes,"As a child, Shamsa Sharawe was brutally cut. As an adult, she underwent hours of reconstruction surgery. As a mother, she vowed to protect her daughter from female genital cutting. And now as a social media influencer, she is persuading others to do the same. @Official Araweelo Photos by Nariman El-Mofty ",910030,29926,320,36,US,7512129040568864031,Health,Health
2025-06-04 09:45:25,nytimes,"Smoke from Canadian wildfires is expected to shroud parts of the Northeast on Wednesday, creating airborne pollution and hazy skies that had passed through sections of the Upper Midwest on Tuesday.",11707,166,7,8,US,7512027351157574958,Environment,Environment
2025-06-04 03:30:00,nytimes,"Lee Jae-myung has won South Korea's presidential election by a wide margin, after the country faced months of political turmoil. Lee’s campaign has ridden a wave of anger against former President Yoon Suk Yeol after he tried to impose martial law in December. Video by Choe Sang-Hun and Nikolay Nikolov/The New York Times. #SouthKorea #Elections #LeeJaemyung",80953,6876,297,100,US,7511794221658115374,Politics,Politics
2025-06-05 21:52:27,nytimes,"Elon Musk and President Trump’s unlikely alliance deteriorated in a remarkably swift and public fashion over the course of a few hours on Thursday, with each posting about the other from their own social media platforms, escalating their feud with attacks over matters significant and petty. #Trump #Musk",2733,44,5,4,US,7512586416782691626,Politics,Politics
2025-06-05 20:57:11,nytimes,"The Nintendo Switch 2 is out now — and the company is relying on 90’s nostalgia and celebrity power to market its new console. Zachary Small, a culture reporter for The New York Times, analyzes Nintendo’s marketing over the years and what it tells us about the company. Video by Zachary Small, Claire Hogan and David Jouppi/The New York Times #nintendo #switch2 #videogames",1134290,115624,3844,1355,US,7512572188357266734,Entertainment,Entertainment
2025-06-05 20:28:07,nytimes,"In the first debate of the New York City mayoral primary, former Gov. Andrew Cuomo faced a barrage of attacks from his Democratic rivals. The two-hour debate descended into chaos on more than one occasion, as the candidates shouted at one another, the cacophony worsening when the moderators jumped in to interrupt. #nyc #nycmayoraldebate #nycmayor ",148157,3148,102,104,US,7512564698307464490,Politics,Politics
