create_time,username,video_description,view_count,like_count,share_count,comment_count,region_code,id,section,merged_section,subsection
2025-06-02 22:00:00,reuters,Much of the conversation on this year's Canadian Screen Awards red carpet focused on the resurgence of Canadian nationalism amid tensions with the United States over tariffs and threats to Canadian sovereignty. #kardinaloffishall #brookelynnhytes #anarali #tv #television #film #canada #cdnscreenawards #entertainment,3688,65,1,9,US,7511452924778843438,Entertainment,Entertainment,
2025-06-02 19:00:00,reuters,"Tony nominees Daniel Dae Kim and Francis Jue reflect on the warm reception to their Broadway show ""Yellow Face"" — and how it's resonating with the Asian American community and communities of color. Kim is the first Asian American to be nominated in the category of best leading actor in a play. #Tonys #YellowFace #DanielDaeKim #francisjue#Broadway #AsianAmerican",12282,88,2,11,US,7511424114041589035,Entertainment,Entertainment,
2025-06-02 18:30:00,reuters,Norwegian chess grandmaster Magnus Carlsen slammed his fist into a table after suffering his first defeat to world champion Gukesh Dommaraju at the Norway Chess 2025 tournament in Stavanger. #chess #norway #grandmaster #tournament #magnuscarlsen #gukeshdommaraju,23201,199,8,25,US,7511407753357692203,Sports,Sports,
2025-06-02 15:01:03,reuters,"Mount Etna, an active volcano on the east coast of Sicily, erupted, sending columns of volcanic steam and ash into the sky. #volcano #etna #sicily #italy #eruption #ash",21780,266,22,10,US,7511366978825620782,Environment,Climate & Environment,
2025-06-02 17:30:00,reuters,"""The Apprentice,"" a biopic about Donald Trump's early years as a real estate mogul, won best motion picture at the Canadian Screen Awards. Producer Daniel Bekerman spoke to Reuters about Trump's proposed tariffs on foreign productions, which have cast a shadow over the global film industry. #theapprentice #trump #tariffs #cdnscreenawards #movie #film",12467,127,1,20,US,7511364832608685354,Entertainment,Entertainment,
2025-06-02 16:30:00,reuters,"A town in northern Colombia transformed one of its main streets into a giant slide, providing a thrill for both locals and visitors. Bucarasica is a town with some 6,000 residents located in the Norte de Santander region, which previously made headlines due to the violent conflict affecting the Catatumbo region between the National Liberation Army guerrillas and dissident factions of the Revolutionary Armed Forces of Colombia. The area, rich in natural resources and bordering Venezuela, is strategically significant for both illegal drug trafficking and illicit mining. #colombia #slide #tourism #sports #water",16313,155,3,18,US,7511332557695372590,Human Interest,Human Interest,
2025-06-02 15:30:00,reuters,"Pope Leo XIV wished riders of the Giro d'Italia luck in Vatican City, where the final stage of the 108th edition symbolically began. #pope #leo #vatican #religion #catholic #giroditalia #cycling",13229,678,22,30,US,7511331248762096938,Sports,Sports,
2025-06-02 14:30:00,reuters,Tomatoes flew through the air as the Gran Tomatina food-fight festival returned to Colombia. #colombia #foodfight #tomato #festival #culture,21707,215,15,23,US,7511323765704494382,Lifestyle,Lifestyle,
2025-06-02 13:30:00,reuters,"Marriage is not an ideal, but “the canon of true love between man and woman,” Pope Leo XIV said during the Mass for the Jubilee of Families in St. Peter's Square. #pope #vatican #religion #catholic #marriage #lgbtq",575336,12595,598,1221,US,7511322870082096430,Religion,Religion,
2025-06-02 12:30:00,reuters,"Poland's new president-elect, Karol Nawrocki, is ""definitely pro-Trump,"" analyst Krzysztof Izdebski said as he dissected the country's future after the nationalist candidate won the election.    🔗 Read more at our link in bio   #poland #politics #trump #nawrocki #europe",80448,2534,81,310,US,7511321943170157870,Politics,Politics,Elections
