create_time,username,video_description,view_count,like_count,share_count,comment_count,region_code,id,section,merged_section
2025-06-01 23:42:13,vice,Why Prayers vocalist Leafer Seyer joined a gang at 13 years old. Tap the link in bio to watch the full video.,185076,8697,919,149,US,7511130286462143787,Entertainment,Entertainment
2025-06-01 15:15:14,vice,"The mainstream Mormon church abandoned polygamy over 100 years ago, but splinter groups across Utah still practice plural marriage. One such group is the Kingston Clan, known to members as The Order. The Kingstons live in Salt Lake City and run their religion like a secretive business empire. Back in 2016, VICE met Joe Robinson, a young man banished from The Order. This is his story. Tap the link in bio to watch.",460758,32398,1997,434,US,7510999642293767470,Religion,Religion
2025-06-01 00:09:10,vice,“It’s just me and Macklemore out here.” Revisit the full episode of The People vs Mac Miller from 2014 at the link in bio.,47403,2921,162,61,US,7510766124095769902,Entertainment,Entertainment
2025-06-03 23:43:09,vice,"Go to an underground hardcore show in South Korea. The New York hardcore scene extends way beyond the Big Apple. Watch the full episode of Beyond the Influence, originally published in 2015, at the link in bio.",103641,5103,496,57,US,7511872709135961386,Music,Entertainment
2025-06-03 00:05:10,vice,"Don’t ask Tyler, the Creator ’is the album good?’ Tap the link in bio to revisit VICE's episode of 'Ask Tyler Anything' from 2013.",43190,1043,25,23,US,7511507272728644907,Music,Entertainment
2025-06-04 17:22:09,vice,"Only in Florida... Dillon purchased a bumper sticker in May of 2019. Little did he know that sticker would get him arrested, turn him into a viral news sensation, and cause him to become a champion for the First Amendment of our nation’s Constitution. Lake City, Florida will never be the same. Tap the link in bio to watch.",11585511,763671,33566,9950,US,7512145622464466222,Human Interest,Human Interest
2025-06-05 00:01:19,vice,“Don’t protest. Don’t go outside and start a revolution. Go and comment on YouTube. That’s how you can make a real change in the world.” Mac Miller shared his thoughts on religion and trying to make a change via YouTube comments. Watch the full interview from 2014 at the link in bio.,404738,2544,65,122,US,7512248493080104238,Entertainment,Entertainment
2025-06-06 00:03:27,vice,"‘Keith Ape is artistry.’ Revisit how the US embraced his sound and style in an episode of Noisey Raps, originally published in 2015, at the link in bio.",93790,271,4,13,US,7512620088655088942,Music,Entertainment
2025-06-07 16:05:07,vice,"""I have 36 kids with 6 more on the way..."" Men like Kyle are meeting the sperm donor demand that spiked during the pandemic as more women are getting fed up with expensive sperm banks. Back in 2021, VICE followed Kyle to find out what this lifestyle is really like. Tap the link in bio to watch.",53431,1160,260,38,US,7513238922755968298,Lifestyle,Lifestyle
2025-06-08 18:25:07,vice,"Why are so many young men taking ED medication? We asked dealers, doctors, men, and women to find out what’s fueling this trend. Tap the link in bio to watch.",16156,334,11,7,US,7513646174667050282,Health,Health
2025-06-08 00:06:10,vice,That time Issa Gold from The Underachievers had to do acid in front of cops. Tap the link in bio to watch more.,17525,149,1,2,US,7513362927144160558,Entertainment,Entertainment
2025-06-09 00:10:10,vice,Vanessa Carlton’s mom knew ‘A Thousand Miles’ would be a hit the first time she heard it. Tap the link in bio to hear the full story behind the song.,11449,228,7,6,US,7513735051872423210,Entertainment,Entertainment
2025-06-10 00:38:08,vice,"Who Shot Biggie? Back in 2019, Greg Kading, the LAPD Detective who investigated the murders of both Tupac and Biggie, shared his theory. Tap the link in bio to watch more.",1148546,32614,932,657,US,7514113356983373102,Entertainment,Entertainment
2025-06-11 18:25:10,vice,"Caitlin AKA @manicpixiemom cleans old gravestones and shares stories about the lives and deaths of the people who lie underneath them. Using the Internet, she has researched the best methods to bring a gravestone back to life, and she’s inspiring her followers to do the same. Tap the link in bio to watch.",18146,582,2,4,US,7514759397332077870,Lifestyle,Lifestyle
