create_time,username,video_description,view_count,like_count,share_count,comment_count,region_code,id,section,merged_section
2025-06-01 17:00:31,vox,Young people are getting more religious. 🎧 Listen to this episode of Explain It to Me wherever you get your podcasts.,29602,1314,49,161,US,7511026773556137262,Religion,Religion
2025-06-03 17:29:59,vox,How the US created an ambulance crisis. (Presented by @T-Mobile),32573,2472,87,36,US,7511776497707928878,Health,Health
2025-06-06 22:03:03,vox,Trump just banned international students at Harvard.,3384,185,1,3,US,7512960162609499434,Education,Education
2025-06-09 15:00:31,vox,Why Katy Perry is the queen of “recession pop”,2569,56,1,5,US,7513964427620879662,Entertainment,Entertainment
2025-06-10 23:10:48,vox,And when can a president deploy the National Guard?,9282,488,5,14,US,7514462021866229022,Politics,Politics
2025-06-13 19:58:30,vox,"A very big, very beautiful military parade is happening on Trump’s birthday.",64231,3649,97,54,US,7515525561289116971,Politics,Politics
2025-06-13 19:14:07,vox,Over 50% of rural hospitals in the United States are operating in the red. The problem lies in the reimbursement model. Presented by @Tmobile.,6435,412,15,3,US,7515514199251094830,Health,Health
2025-06-22 18:05:38,vox,To summer camp or not to summer camp 🤔 Listen to this episode of Explain It to Me wherever you get your podcasts. 🎧,2723,57,2,2,US,7518836274246028557,Lifestyle,Lifestyle
2025-06-24 15:00:47,vox,"Vox reader Ellen sent in the question: Are probiotic yogurts a gimmick? Aren’t all yogurts probiotic? Is calling it probiotic just a ploy to get you to pay more for yogurt? Ellen didn’t leave a way to get in contact with her, but it’s a good question! So we thought we’d get to the bottom of it, on behalf of all Ellens who may have ever wondered this same thing. In this video, we break down what probiotics actually are, whether they do what they claim, and how yogurt fits into the picture. Are all yogurts probiotic? Are probiotics even worth it? Or is it all just a marketing scam?",2326,88,3,2,US,7519530833489726775,Health,Health
2025-06-24 01:50:01,vox,Things that could make Trump’s attack on Iran spiral out of control.,3669,180,7,6,US,7519327065972231438,International Relations,International Relations
2025-06-25 21:34:33,vox,"The US volunteer fire and ambulance shortage, explained. (Presented by @tmobile)",3466,223,3,2,US,7520003500588174623,Health,Health
2025-06-27 19:50:35,vox,RFK Jr. just purged and replaced all of the vaccine advisers at the CDC.,2961,135,8,2,US,7520718809523572023,Health,Health
