date,content,tweet_url,embedded_links,section,merged_section,subsection
2025-07-02 04:28:09+00:00,"A lone wolf actor poses the biggest threat to Fourth of July celebrations in New York and San Francisco, according to multiple intelligence bulletins obtained by ABC News.",https://x.com/ABC/status/1940266219170328929,"['https://abcnews.go.com/US/lone-wolf-actor-biggest-threat-4th-july-festivities/story?id=123382868&cid=social_twitter_abcn', 'https://abcnews.go.com/US/lone-wolf-actor-biggest-threat-4th-july-festivities/story?id=123382868&cid=social_twitter_abcn']",National Security,Defense & Security,
2025-07-02 04:03:23+00:00,"A former FBI agent accused of egging on rioters to attack police during the Jan. 6, 2021 U.S. Capitol attack is now serving in the Justice Department as part of the so-called ""Weaponization Working Group,"" sources familiar with the appointment confirm.",https://x.com/ABC/status/1940259986367455737,"['https://abcnews.go.com/Politics/former-fbi-agent-pardoned-trump-jan-6-charges/story?id=123397023&cid=social_twitter_abcn', 'https://abcnews.go.com/Politics/former-fbi-agent-pardoned-trump-jan-6-charges/story?id=123397023&cid=social_twitter_abcn']",Politics,Politics,Crime
2025-07-02 03:41:53+00:00,"A man in Texas is now in custody after allegedly posing as a U.S. Marshal during an attempted robbery outside a liquor store last month, according to the Houston Police Department.",https://x.com/ABC/status/1940254573324603467,"['https://abcnews.go.com/US/man-arrested-allegedly-posing-us-marshal-attempted-burglary/story?id=123378648&cid=social_twitter_abcn', 'https://abcnews.go.com/US/man-arrested-allegedly-posing-us-marshal-attempted-burglary/story?id=123378648&cid=social_twitter_abcn']",Crime,Crime,
2025-07-02 03:32:04+00:00,"A Magellanic penguin was spotted at the beach in Brazil over the weekend, drawing attention from beachgoers who shared images of the unusual visitor on social media.

The penguin likely diverted from its usual migratory route. https://abcnews.visitlink.me/TX69j_",https://x.com/ABC/status/1940252103806693400,['https://abcnews.go.com/?cid=social_twitter_abcn&utm_source=twitter&utm_medium=social&utm_campaign=dhtwitter&utm_content=app.dashsocial.com%2Fabcnews%2Flibrary%2Fmedia%2F549294521'],Wildlife,Climate & Environment,
2025-07-02 03:18:00+00:00,Scooter Braun is stepping down as HYBE America CEO after four years at the entertainment and media company.,https://x.com/ABC/status/1940248562874360300,"['https://www.goodmorningamerica.com/culture/story/scooter-braun-steps-hybe-america-ceo-after-4-123387644?cid=social_twitter_abcn', 'https://www.goodmorningamerica.com/culture/story/scooter-braun-steps-hybe-america-ceo-after-4-123387644?cid=social_twitter_abcn']",Entertainment,Entertainment,
2025-07-02 02:52:14+00:00,"President Trump said Tuesday he would like to see more facilities similar to the so-called ""Alligator Alcatraz"" migrant detention center opened in other states.

Here’s what to know about the new detention facility in Florida's Everglades.

Read more: https://abcnews.link/q05Amty",https://x.com/ABC/status/1940242081403822410,['https://abcnews.go.com/Politics/trump-visit-new-alligator-alcatraz-migrant-detention-center/story?id=123347684&cid=social_twitter_abcn'],Immigration,World,
2025-07-02 02:32:54+00:00,"Uterine cancer cases in the U.S. will rise significantly by 2050, with Black women three times more likely to die from it, a study from the American Association for Cancer Research projects.",https://x.com/ABC/status/1940237215205888245,"['https://www.goodmorningamerica.com/wellness/story/uterine-cancer-projected-rise-us-2050-black-women-123350729?cid=social_twitter_abcn', 'https://www.goodmorningamerica.com/wellness/story/uterine-cancer-projected-rise-us-2050-black-women-123350729?cid=social_twitter_abcn']",Health,Health,
2025-07-02 02:12:31+00:00,"Senate Republicans on Tuesday wrangled just enough votes to pass President Trump's major tax and immigration bill.

Here is what's next for the bill as it heads to the House for final approval:",https://x.com/ABC/status/1940232084750061884,"['https://abcnews.go.com/Politics/trumps-sweeping-policy-bill-house-takes-senate-version/story?id=123375389&cid=social_twitter_abcn', 'https://abcnews.go.com/Politics/trumps-sweeping-policy-bill-house-takes-senate-version/story?id=123375389&cid=social_twitter_abcn']",Politics,Politics,Taxes
2025-07-02 01:52:02+00:00,A Disney cruise to the Bahamas ended with a terrifying twist over the weekend after a young girl fell overboard and her father jumped in to save her.,https://x.com/ABC/status/1940226928864079937,"['https://abcnews.go.com/GMA/News/disney-cruise-rescue-dad-daughter-overboard/story?id=123332660&cid=social_twitter_abcn', 'https://abcnews.go.com/GMA/News/disney-cruise-rescue-dad-daughter-overboard/story?id=123332660&cid=social_twitter_abcn']",Breaking News,Breaking News,
2025-07-02 01:28:13+00:00,"The University of Pennsylvania has resolved violations a Department of Education civil rights investigation found involving transgender athletes competing in women's sports, the school and Trump administration announced Tuesday.",https://x.com/ABC/status/1940220938403914205,"['https://abcnews.go.com/US/university-pennsylvania-trump-admin-agreement-transgender-athletes-case/story?id=123393803&cid=social_twitter_abcn', 'https://abcnews.go.com/US/university-pennsylvania-trump-admin-agreement-transgender-athletes-case/story?id=123393803&cid=social_twitter_abcn']",Sports News,Sports,
2025-07-02 01:08:01+00:00,"Republican Sen. Thom Tillis' decision not to seek reelection is jolting what was already expected to be a fierce battle in North Carolina to either challenge him or flip his seat, which will now be wide open in 2026.",https://x.com/ABC/status/1940215852374090100,"['https://abcnews.go.com/Politics/lara-trump-roy-cooper-mix-tillis-retirement-ignites/story?id=123385729&cid=social_twitter_abcn', 'https://abcnews.go.com/Politics/lara-trump-roy-cooper-mix-tillis-retirement-ignites/story?id=123385729&cid=social_twitter_abcn']",Politics,Politics,Elections
2025-07-02 00:47:34+00:00,"As the investigation into the deadly firefighter ambush in Idaho over the weekend continues, police are still trying to piece together why the suspected gunman instigated the attack, a source familiar told ABC News.",https://x.com/ABC/status/1940210705816334660,"['https://abcnews.go.com/US/probe-idaho-firefighter-ambush-suspect-digging-childhood-gun/story?id=123389416&cid=social_twitter_abcn', 'https://abcnews.go.com/US/probe-idaho-firefighter-ambush-suspect-digging-childhood-gun/story?id=123389416&cid=social_twitter_abcn']",Breaking News,Breaking News,
2025-07-02 00:22:58+00:00,"The White House confirmed Tuesday that it has stopped the shipment of some air defense and precision guided weapons that were on track to be sent to Ukraine.

Officials said the decision followed an assessment of U.S. stockpiles.

Read more: https://abcnews.link/VpVJjLr",https://x.com/ABC/status/1940204514000191608,['https://abcnews.go.com/US/live-updates/trump-admin-live-updates-senate-begin-big-beautiful/?id=123330663&entryId=123393309&cid=social_twitter_abcn'],Politics,Politics,Foreign Policy
2025-07-01 23:58:04+00:00,"The federal government attempted to deport a stateless Palestinian woman on Monday for the second time, despite a court order barring her removal from a Texas district, according to court documents.",https://x.com/ABC/status/1940198249907798394,"['https://abcnews.go.com/US/government-attempts-deport-stateless-palestinian-woman-despite-court/story?id=123390915&cid=social_twitter_abcn', 'https://abcnews.go.com/US/government-attempts-deport-stateless-palestinian-woman-despite-court/story?id=123390915&cid=social_twitter_abcn']",Immigration,World,
2025-07-01 23:52:24+00:00,"Anyone under 18 who's found guilty of bullying or cyberbullying in juvenile court will lose their driving privileges for one year under a new Tennessee law.

Read more: https://abcnews.link/Mc2kiUA",https://x.com/ABC/status/1940196825165631495,['https://abcnews.go.com/US/bullying-tennessee-now-new-penalty-teens-losing-driving/story?id=123388452&cid=social_twitter_abcn'],Legislation,Legislation,
2025-07-01 23:51:04+00:00,"A major federal climate website has been shut down by the Trump administration, multiple agencies have confirmed with ABC News.",https://x.com/ABC/status/1940196488811786632,"['https://abcnews.go.com/US/trump-administration-shutters-major-federal-climate-website/story?id=123389318&cid=social_twitter_abcn', 'https://abcnews.go.com/US/trump-administration-shutters-major-federal-climate-website/story?id=123389318&cid=social_twitter_abcn']",Politics,Politics,Trump Administration
2025-07-01 23:40:47+00:00,"A woman was arrested after leaving over 100 cats inside a U-Haul in a Southern California parking lot, officials said.",https://x.com/ABC/status/1940193901790269863,"['https://abcnews.go.com/US/woman-allegedly-leaves-100-cats-inside-haul-arrested/story?id=123388827&cid=social_twitter_abcn', 'https://abcnews.go.com/US/woman-allegedly-leaves-100-cats-inside-haul-arrested/story?id=123388827&cid=social_twitter_abcn']",Local News,Local News,
2025-07-01 23:20:32+00:00,"BREAKING: Israel has agreed to “necessary conditions” to finalize a 60-day cease-fire with Hamas, President Trump said in a post on his social media platform.",https://x.com/ABC/status/1940188803357900971,"['https://abcnews.go.com/US/live-updates/trump-admin-live-updates-senate-begin-big-beautiful/?id=123330663&entryId=123394378&cid=social_twitter_abcn', 'https://abcnews.go.com/US/live-updates/trump-admin-live-updates-senate-begin-big-beautiful/?id=123330663&entryId=123394378&cid=social_twitter_abcn']",International News,World,
2025-07-01 23:17:13+00:00,"The Department of Justice is suing the city of Los Angeles over its sanctuary city policy, alleging it interferes with the enforcement of federal immigration laws, officials announced on Monday.",https://x.com/ABC/status/1940187969249300514,"['https://abcnews.go.com/Politics/doj-suing-los-angeles-sanctuary-city-policy/story?id=123348526&cid=social_twitter_abcn', 'https://abcnews.go.com/Politics/doj-suing-los-angeles-sanctuary-city-policy/story?id=123348526&cid=social_twitter_abcn']",Politics,Politics,Immigration
2025-07-01 22:56:04+00:00,"President Trump continued on Tuesday to float his idea, which some legal experts say is unconstitutional, to deport U.S. citizens who commit crimes.",https://x.com/ABC/status/1940182647986127135,"['https://abcnews.go.com/Politics/trump-brings-idea-deporting-us-citizens-crimes/story?id=123385213&cid=social_twitter_abcn', 'https://abcnews.go.com/Politics/trump-brings-idea-deporting-us-citizens-crimes/story?id=123385213&cid=social_twitter_abcn']",Politics,Politics,Immigration
2025-07-01 22:47:31+00:00,NEW: The White House confirmed Tuesday that it has stopped the shipment of some air defense and precision guided weapons that were on track to be sent to Ukraine.,https://x.com/ABC/status/1940180494584365365,"['https://abcnews.go.com/US/live-updates/trump-admin-live-updates-senate-begin-big-beautiful/?id=123330663&entryId=123393309&cid=social_twitter_abcn', 'https://abcnews.go.com/US/live-updates/trump-admin-live-updates-senate-begin-big-beautiful/?id=123330663&entryId=123393309&cid=social_twitter_abcn']",Politics,Politics,Foreign Policy
2025-07-01 22:31:50+00:00,"House Minority Leader Hakeem Jeffries condemned Senate Republicans for passing Pres. Trump’s megabill, calling the legislation a “disgusting abomination.”

https://abcnews.link/vJflB5V",https://x.com/ABC/status/1940176548675436560,['https://abcnews.go.com/US/live-updates/trump-admin-live-updates-senate-begin-big-beautiful/?id=123330663&cid=social_twitter_abcn'],Politics,Politics,Trump Administration
2025-07-01 21:57:29+00:00,"Los Angeles Mayor Karen Bass said Tuesday she would not be ""intimidated"" by the Trump administration's lawsuit over the city's sanctuary policies. The Justice Department is alleging the policy interferes with the enforcement of federal immigration laws. https://abcnews.link/ncxzZbi",https://x.com/ABC/status/1940167903065907647,['https://abcnews.go.com/Politics/doj-suing-los-angeles-sanctuary-city-policy/story?id=123348526'],Politics,Politics,Immigration
2025-07-01 21:54:29+00:00,"Lululemon has filed a lawsuit against Costco that accuses the wholesale club operator of selling lower-priced duplicates of some of its popular athleisure clothing.

Read more: https://abcnews.link/fypTPSG",https://x.com/ABC/status/1940167147788947555,['https://www.goodmorningamerica.com/news/story/lululemon-sues-costco-allegedly-selling-dupes-popular-products-123372018?utm_source=facebook&utm_medium=social&utm_campaign=dhfacebook&utm_content=app.dashsocial.com/abcnews/library/media/549153288'],Business,Business & Economy,
2025-07-01 21:43:41+00:00,"A man in Texas is in custody after allegedly posing as a U.S. Marshal during an attempted robbery outside a liquor store last month, according to police in Houston. https://abcnews.link/kSezzlb",https://x.com/ABC/status/1940164430756774010,['https://abcnews.go.com/US/man-arrested-allegedly-posing-us-marshal-attempted-burglary/story?id=123378648'],Crime,Crime,
2025-07-01 21:31:41+00:00,"""DIDDY"" LATEST: The jury in the Sean Combs trial has sent back a note saying that they plan to go home for the day.
The jury will return at 9 a.m. on Wednesday to resume deliberations.

Follow live updates:",https://x.com/ABC/status/1940161410731819051,"['https://abcnews.go.com/US/live-updates/sean-diddy-combs-trial-updates-jury-begin-deliberations/?id=123334874&cid=social_twitter_abcn', 'https://abcnews.go.com/US/live-updates/sean-diddy-combs-trial-updates-jury-begin-deliberations/?id=123334874&cid=social_twitter_abcn']",Entertainment News,Entertainment,
2025-07-01 21:18:18+00:00,"ABC News' Reena Roy reports from outside the New York City courthouse where the jury in the Sean ""Diddy"" Combs trial will be instructed to continue to deliberate.

Follow live updates: https://abcnews.link/54V2VkM",https://x.com/ABC/status/1940158042776940984,['https://abcnews.go.com/US/live-updates/sean-diddy-combs-trial-updates-jury-begin-deliberations?id=123334874'],Legal News,Crime,
2025-07-01 21:15:42+00:00,"""DIDDY"" LATEST: The jury has reached a partial verdict in the trial of Sean Combs.

The jury has reached a verdict on Counts 2, 3, 4 and 5.

Judge Arun Subramanian said he will not take a partial verdict.

Follow live updates: https://abcnews.link/ELaeGfU",https://x.com/ABC/status/1940157389702840808,['https://abcnews.go.com/US/live-updates/sean-diddy-combs-trial-updates-jury-begin-deliberations?id=123334874&cid=social_twitter_abcn'],Entertainment News,Entertainment,
2025-07-01 20:56:39+00:00,"NEW: Judge Arun Subramanian says he will not take a partial verdict in the ""Diddy"" trial. Once the lawyers work out the language, the judge will call the jurors into the courtroom and instruct them to keep deliberating.",https://x.com/ABC/status/1940152596611694860,"['https://abcnews.go.com/US/live-updates/sean-diddy-combs-trial-updates-jury-begin-deliberations?id=123334874&entryId=123391126', 'https://abcnews.go.com/US/live-updates/sean-diddy-combs-trial-updates-jury-begin-deliberations?id=123334874&entryId=123391126']",Legal News,Crime,
2025-07-01 20:41:04+00:00,The State Department is taking over programs previously run by USAID in a move officials say will restructure U.S. foreign assistance and reorient it toward national interests.,https://x.com/ABC/status/1940148674731954604,"['https://abcnews.go.com/Health/usaid-programs-now-run-state-department-agency-ends/story?id=123373289&cid=social_twitter_abcn', 'https://abcnews.go.com/Health/usaid-programs-now-run-state-department-agency-ends/story?id=123373289&cid=social_twitter_abcn']",Foreign Affairs,World,
2025-07-01 20:40:19+00:00,"JUST IN: The jury has reached a partial verdict in the Sean ""Diddy"" Combs trial.

Read more:",https://x.com/ABC/status/1940148486109872580,"['https://abcnews.go.com/US/live-updates/sean-diddy-combs-trial-updates-jury-begin-deliberations/?id=123334874', 'https://abcnews.go.com/US/live-updates/sean-diddy-combs-trial-updates-jury-begin-deliberations/?id=123334874']",Entertainment News,Entertainment,
2025-07-01 20:20:27+00:00,"A severe thunderstorm turned deadly Monday night in Wilmington, Delaware, when a falling tree killed a 79-year-old woman riding in a car, Delaware State Police said.",https://x.com/ABC/status/1940143483034931620,"['https://abcnews.go.com/US/woman-killed-tree-falls-car-delaware-east-coast/story?id=123376774&cid=social_twitter_abcn', 'https://abcnews.go.com/US/woman-killed-tree-falls-car-delaware-east-coast/story?id=123376774&cid=social_twitter_abcn']",Local News,Local News,
2025-07-01 19:59:01+00:00,"Gathered on the Senate floor after a 26-hour, record-breaking vote-a-rama series, senators voted hastily on two final Republican-led amendments before getting to the main event: final passage of President Donald Trump's ""big, beautiful bill.""",https://x.com/ABC/status/1940138089319440423,"['https://abcnews.go.com/Politics/inside-final-passage-trumps-big-beautiful-bill/story?id=123382846&cid=social_twitter_abcn', 'https://abcnews.go.com/Politics/inside-final-passage-trumps-big-beautiful-bill/story?id=123382846&cid=social_twitter_abcn']",Politics,Politics,Trump Administration
2025-07-01 19:50:46+00:00,President Trump threatened New York state lawmaker Zohran Mamdani with arrest if the presumptive Democratic nominee for New York City mayor defies ICE operations.,https://x.com/ABC/status/1940136015957524859,"['https://abcnews.go.com/Politics/trump-threatens-arrest-mamdani-nyc-ice/story?id=123382676&cid=social_twitter_abcn', 'https://abcnews.go.com/Politics/trump-threatens-arrest-mamdani-nyc-ice/story?id=123382676&cid=social_twitter_abcn']",Politics,Politics,Immigration
2025-07-01 19:33:40+00:00,"The Department of Justice is prioritizing revoking citizenship from some naturalized Americans who commit certain crimes, according to a DOJ memo.",https://x.com/ABC/status/1940131709497811388,"['https://abcnews.go.com/US/doj-revoke-citizenship-naturalized-americans-commit-crimes/story?id=123381238&cid=social_twitter_abcn', 'https://abcnews.go.com/US/doj-revoke-citizenship-naturalized-americans-commit-crimes/story?id=123381238&cid=social_twitter_abcn']",Legal News,Crime,
2025-07-01 19:26:41+00:00,"President Trump told reporters Tuesday his administration will ""have to take a look"" at deporting Elon Musk after the billionaire reignited the feud with the president over his spending bill. https://abcnews.link/38VXGJF",https://x.com/ABC/status/1940129954576105828,['https://abcnews.go.com/Politics/trump-hell-deporting-musk-feud-reignites/story?id=123372908'],Politics,Politics,Trump Administration
2025-07-01 19:15:38+00:00,"President Trump announced the opening of a migrant detention facility to hold up to 5,000 people called ""Alligator Alcatraz"" in Florida's Everglades.

""We're surrounded by miles of treacherous swampland and the only way out is really deportation."" https://abcnews.visitlink.me/xeZFFZ",https://x.com/ABC/status/1940127174956392949,['https://abcnews.go.com/Politics/trump-visit-new-alligator-alcatraz-migrant-detention-center/story?utm_source=facebook&utm_medium=social&utm_campaign=dhfacebook&utm_content=app.dashsocial.com/abcnews/library/media/549118458&id=123347684'],Politics,Politics,Immigration
