date,content,tweet_url,embedded_links,section,merged_section
2025-07-01 04:10:04+00:00,Editorial: Is Brandon Johnson pitching Wall Streeters on moving to Chicago post-Mamdani? We thought not.,https://x.com/chicagotribune/status/1939899277712445780,"['https://www.chicagotribune.com/2025/06/30/editorial-new-york-brandon-johnson-mamdani-ken-griffin/', 'https://www.chicagotribune.com/2025/06/30/editorial-new-york-brandon-johnson-mamdani-ken-griffin/']",Editorial,Opinion
2025-07-01 03:40:03+00:00,"As Madhuri Shekar’s play “Dhaba on Devon Avenue” makes clear, Devon Avenue has been changing; restaurants have been facing well-documented headwinds when it comes to food and labor costs and the formality of the restaurants in the 20th century has shifted.",https://x.com/chicagotribune/status/1939891724572144102,"['https://www.chicagotribune.com/2025/06/30/review-dhaba-devon-writers-theatre/', 'https://www.chicagotribune.com/2025/06/30/review-dhaba-devon-writers-theatre/']",Arts & Culture,Arts & Culture
2025-07-01 03:20:05+00:00,Chicago Housing Authority gives another big payout to terminated executive,https://x.com/chicagotribune/status/1939886701628764240,"['https://www.chicagotribune.com/2025/06/30/chicago-housing-authority-additional-exec-payout/', 'https://www.chicagotribune.com/2025/06/30/chicago-housing-authority-additional-exec-payout/']",Local News,Local News
2025-07-01 02:46:06+00:00,"A more defensive Pride: Activists say celebrations are more critical as US, conservative states such as Indiana rescind LGBTQ protections",https://x.com/chicagotribune/status/1939878149321335247,"['https://www.chicagotribune.com/2025/06/30/pride-under-attack/', 'https://www.chicagotribune.com/2025/06/30/pride-under-attack/']",LGBTQ+ News,Social Issues
2025-07-01 02:32:07+00:00,The 52-page filing is the first sentencing request in the so-called “ComEd Four” case and comes as former ComEd executive John Hooker and his three co-defendants are finally nearing sentencing more than two years after they were convicted at trial.,https://x.com/chicagotribune/status/1939874628102406217,"['https://www.chicagotribune.com/2025/06/30/feds-want-nearly-5-years-for-ex-comed-exec-john-hooker/', 'https://www.chicagotribune.com/2025/06/30/feds-want-nearly-5-years-for-ex-comed-exec-john-hooker/']",Legal News,Crime
2025-07-01 02:18:04+00:00,"South and southwest suburban school districts are using the summer to prepare to implement several artificial intelligence tools, training or guidelines in the classroom, embracing the technology as it becomes harder to outright ban it.",https://x.com/chicagotribune/status/1939871092635545712,"['https://www.chicagotribune.com/2025/06/30/south-southwest-suburban-schools-ai-programs/', 'https://www.chicagotribune.com/2025/06/30/south-southwest-suburban-schools-ai-programs/']",Education,Education
2025-07-01 01:47:04+00:00,Gov. JB Pritzker is running for reelection. Who will he pick as his No. 2?,https://x.com/chicagotribune/status/1939863294161883373,"['https://www.chicagotribune.com/2025/06/30/gov-jb-pritzker-running-mate-pick/', 'https://www.chicagotribune.com/2025/06/30/gov-jb-pritzker-running-mate-pick/']",Politics,Politics
2025-07-01 01:43:56+00:00,"The Senate’s long day of voting churned toward evening Monday, with Republican leaders grasping for ways to shore up support for President Donald Trump’s big bill of tax breaks and spending cuts.",https://x.com/chicagotribune/status/1939862502533107912,"['https://www.chicagotribune.com/2025/06/30/senate-republicans-trump-big-bill/', 'https://www.chicagotribune.com/2025/06/30/senate-republicans-trump-big-bill/']",Politics,Politics
2025-07-01 01:34:05+00:00,"For the second time in three years, Charles Leto has claimed he opened fire in self-defense.

Over the weekend, prosecutors say, he shot at three unarmed teenagers in Douglass Park, killing a 15-year-old boy and seriously wounding a 14-year-old.",https://x.com/chicagotribune/status/1939860026258038865,"['https://www.chicagotribune.com/2025/06/30/man-charged-in-douglass-park-shooting-that-killed-one-is-linked-to-prior-self-defense-claim-in-shooting-of-dogs/', 'https://www.chicagotribune.com/2025/06/30/man-charged-in-douglass-park-shooting-that-killed-one-is-linked-to-prior-self-defense-claim-in-shooting-of-dogs/']",Crime,Crime
2025-07-01 01:16:03+00:00,"While the Italian American restaurant Void does whimsy well, most evident with its Spaghetti Uh-O’s and No-Lört, it’s become one of the best restaurants in Chicago right now, writes Tribune food critic Louisa Kung Liu Chu.",https://x.com/chicagotribune/status/1939855485340905598,"['https://www.chicagotribune.com/2025/06/30/restaurant-review-void-chicago/', 'https://www.chicagotribune.com/2025/06/30/restaurant-review-void-chicago/']",Food,Food & Lifestyle
