date,content,tweet_url,embedded_links,section,merged_section
2025-06-30 23:44:01+00:00,Idaho authorities have identified the two firefighters killed and a third firefighter badly wounded in Sunday's ambush in Coeur d'Alene,https://x.com/CNN/status/1939832324910195103,"['https://www.cnn.com/us/live-news/idaho-coeur-dalene-firefighters-shooting?Date=20250630&Profile=CNN&utm_content=1751327035&utm_medium=social&utm_source=twitter', 'https://www.cnn.com/us/live-news/idaho-coeur-dalene-firefighters-shooting?Date=20250630&Profile=CNN&utm_content=1751327035&utm_medium=social&utm_source=twitter']",Local News,Local News
2025-06-30 22:58:38+00:00,"Bryan Kohberger, accused of killing 4 Idaho college students, has accepted a plea deal to avoid the death penalty, according to the Idaho Statesman",https://x.com/CNN/status/1939820903728119991,"['https://www.cnn.com/2025/06/30/us/bryan-kohberger-update-plea-deal?Date=20250630&Profile=CNN&utm_content=1751324316&utm_medium=social&utm_source=twitter', 'https://www.cnn.com/2025/06/30/us/bryan-kohberger-update-plea-deal?Date=20250630&Profile=CNN&utm_content=1751324316&utm_medium=social&utm_source=twitter']",Crime,Law & Order
2025-06-30 15:45:41+00:00,"Jury begins deliberations in the Sean ""Diddy"" Combs federal sex trafficking trial. Follow live updates:",https://x.com/CNN/status/1939711950578971074,"['https://www.cnn.com/entertainment/live-news/sean-diddy-combs-trial-06-30-25?Date=20250630&Profile=CNN&utm_content=1751298294&utm_medium=social&utm_source=twitter', 'https://www.cnn.com/entertainment/live-news/sean-diddy-combs-trial-06-30-25?Date=20250630&Profile=CNN&utm_content=1751298294&utm_medium=social&utm_source=twitter']",Crime,Law & Order
2025-06-30 14:00:03+00:00,Supreme Court agrees to hear a Republican-backed effort to lift caps on campaign spending,https://x.com/CNN/status/1939685367113765192,"['https://www.cnn.com/2025/06/30/politics/campaign-spending-supreme-court?Date=20250630&Profile=cnnbrk&utm_content=1751291906&utm_medium=social&utm_source=twitter', 'https://www.cnn.com/2025/06/30/politics/campaign-spending-supreme-court?Date=20250630&Profile=cnnbrk&utm_content=1751291906&utm_medium=social&utm_source=twitter']",Politics,Politics
2025-06-30 11:00:12+00:00,"Zohran Mamdani, the favorite to become New York City's next mayor after winning the Democratic primary, has a contentious plan to create a network of city-owned grocery stores. But it's less radical than critics portray, some food policy and grocery industry experts say.",https://x.com/CNN/status/1939640105620131928,[],Politics,Politics
2025-06-30 05:04:27+00:00,Canada will rescind a digital services tax to restart US trade talks,https://x.com/CNN/status/1939550579589550347,"['https://www.cnn.com/2025/06/29/economy/canada-rescind-digital-tax-us-trade-talks?Date=20250630&Profile=cnnbrk&utm_content=1751259831&utm_medium=social&utm_source=twitter', 'https://www.cnn.com/2025/06/29/economy/canada-rescind-digital-tax-us-trade-talks?Date=20250630&Profile=cnnbrk&utm_content=1751259831&utm_medium=social&utm_source=twitter']",Economy,Economy
2025-06-29 23:56:54+00:00,"Two people have been killed in the Coeur d'Alene, Idaho, attack. Police remain under fire by high-powered rifles.",https://x.com/CNN/status/1939473181951025443,"['https://www.cnn.com/2025/06/29/us/coeur-dalene-idaho-shooter?Date=20250629&Profile=CNN&utm_content=1751241407&utm_medium=social&utm_source=twitter', 'https://www.cnn.com/2025/06/29/us/coeur-dalene-idaho-shooter?Date=20250629&Profile=CNN&utm_content=1751241407&utm_medium=social&utm_source=twitter']",Breaking News,Breaking News
2025-06-29 22:33:10+00:00,"Multiple firefighters shot in Coeur d'Alene, Idaho, while responding to a brush fire, CNN affiliate reports",https://x.com/CNN/status/1939452109658767449,"['https://www.cnn.com/2025/06/29/us/coeur-dalene-idaho-shooter?Date=20250629&Profile=CNN&utm_content=1751236382&utm_medium=social&utm_source=twitter', 'https://www.cnn.com/2025/06/29/us/coeur-dalene-idaho-shooter?Date=20250629&Profile=CNN&utm_content=1751236382&utm_medium=social&utm_source=twitter']",Breaking News,Breaking News
2025-06-29 19:30:36+00:00,"President Donald Trump says there's a potential TikTok buyer that he will reveal in ""about two weeks""",https://x.com/CNN/status/1939406164720013427,"['https://www.cnn.com/2025/06/29/politics/trump-tiktok-buyer-bytedance-ban?Date=20250629&Profile=CNN&utm_content=1751225407&utm_medium=social&utm_source=twitter', 'https://www.cnn.com/2025/06/29/politics/trump-tiktok-buyer-bytedance-ban?Date=20250629&Profile=CNN&utm_content=1751225407&utm_medium=social&utm_source=twitter']",Business News,Business News
2025-06-29 17:53:34+00:00,Republican Sen. Thom Tillis won't seek reelection. The news comes a day after the North Carolina lawmaker voted against Trump's domestic policy bill.,https://x.com/CNN/status/1939381745557602688,"['https://www.cnn.com/2025/06/29/politics/thom-tillis-not-seeking-reelection?Date=20250629&Profile=CNN&utm_content=1751219602&utm_medium=social&utm_source=twitter', 'https://www.cnn.com/2025/06/29/politics/thom-tillis-not-seeking-reelection?Date=20250629&Profile=CNN&utm_content=1751219602&utm_medium=social&utm_source=twitter']",Politics,Politics
