date,content,tweet_url,embedded_links,section,merged_section
2025-07-03 22:50:10+00:00,Biden claims he's 'getting calls' from European leaders wanting him to 'get engaged',https://x.com/FoxNews/status/1940905938287829033,"['https://www.foxnews.com/media/biden-claims-hes-getting-calls-from-european-leaders-wanting-him-get-engaged?intcmp=tw_fnc&taid=686709222f9e6e0001946069&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter', 'https://www.foxnews.com/media/biden-claims-hes-getting-calls-from-european-leaders-wanting-him-get-engaged?intcmp=tw_fnc&taid=686709222f9e6e0001946069&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter']",Politics,Politics
2025-07-03 22:40:11+00:00,Trump administration torpedoes SCOTUS with emergency rulings and sees surprising success,https://x.com/FoxNews/status/1940903425224433974,"['https://www.foxnews.com/politics/trump-administration-torpedoes-scotus-emergency-requests-sees-surprising-success', 'https://www.foxnews.com/politics/trump-administration-torpedoes-scotus-emergency-requests-sees-surprising-success']",Politics,Politics
2025-07-03 22:38:29+00:00,"“You can’t beat him, can’t beat him with a stick.”
GOP Rep. 
@timburchett
 credits his one-on-one negotiations with President 
@realdonaldtrump
 as his reason for flipping from no to yes on the ‘big, beautiful bill’.",https://x.com/FoxNews/status/1940902995849253286,[],Politics,Politics
2025-07-03 22:20:13+00:00,Dem ignites showdown after declaring GOP is only pro-life so kids can grow up and 'get shot in school’,https://x.com/FoxNews/status/1940898398963384582,"['https://www.foxnews.com/politics/dem-ignites-showdown-after-declaring-gop-only-pro-life-so-kids-can-grow-up-get-shot-school?intcmp=tw_fnc&taid=6867021d0f347d00019afd8c&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter', 'https://www.foxnews.com/politics/dem-ignites-showdown-after-declaring-gop-only-pro-life-so-kids-can-grow-up-get-shot-school?intcmp=tw_fnc&taid=6867021d0f347d00019afd8c&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter']",Politics,Politics
2025-07-03 22:10:11+00:00,SEE IT: Small plane flips over in South Carolina backyard after pilot's deliberate maneuver,https://x.com/FoxNews/status/1940895874441224199,"['https://www.foxnews.com/us/see-it-small-plane-flips-over-south-carolina-backyard-after-pilots-deliberate-maneuver?intcmp=tw_fnc&taid=6866ffc3f62d0a00014ed316&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter', 'https://www.foxnews.com/us/see-it-small-plane-flips-over-south-carolina-backyard-after-pilots-deliberate-maneuver?intcmp=tw_fnc&taid=6866ffc3f62d0a00014ed316&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter']",Local News,Local News
2025-07-03 21:55:09+00:00,First lady Melania Trump makes 'heartwarming' visit to kids at hospital for 'Be Best' event,https://x.com/FoxNews/status/1940892091938136161,"['https://www.foxnews.com/health/first-lady-melania-trump-makes-heartwarming-visit-kids-hospital-be-best-event?intcmp=tw_fnc&taid=6866fc3d8197b70001ed4513&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter', 'https://www.foxnews.com/health/first-lady-melania-trump-makes-heartwarming-visit-kids-hospital-be-best-event?intcmp=tw_fnc&taid=6866fc3d8197b70001ed4513&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter']",Lifestyle,Lifestyle
2025-07-03 21:50:11+00:00,Democrats frustrated over lack of a heads-up from Hakeem Jeffries on delaying Trump’s spending bill,https://x.com/FoxNews/status/1940890840521429154,"['https://www.foxnews.com/media/democrats-frustrated-over-lack-heads-up-from-hakeem-jeffries-delaying-trumps-spending-bill?intcmp=tw_fnc&taid=6866fb122f9e6e0001945eef&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter', 'https://www.foxnews.com/media/democrats-frustrated-over-lack-heads-up-from-hakeem-jeffries-delaying-trumps-spending-bill?intcmp=tw_fnc&taid=6866fb122f9e6e0001945eef&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter']",Politics,Politics
2025-07-03 21:49:40+00:00,".
@FLOTUS
 decorates the Bunny Mellon Healing Garden for July Fourth with kids at the Children's National Hospital in DC.",https://x.com/FoxNews/status/1940890711894704567,[],Lifestyle,Lifestyle
2025-07-03 21:45:11+00:00,"Abrego Garcia says he endured beatings, torture in Salvadoran prison ahead of criminal trial",https://x.com/FoxNews/status/1940889582062477634,"['https://www.foxnews.com/politics/abrego-garcia-says-he-endured-beatings-torture-salvadoran-prison-ahead-criminal-trial?intcmp=tw_fnc&taid=6866f9e62f9e6e0001945ed3&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter', 'https://www.foxnews.com/politics/abrego-garcia-says-he-endured-beatings-torture-salvadoran-prison-ahead-criminal-trial?intcmp=tw_fnc&taid=6866f9e62f9e6e0001945ed3&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter']",Crime,Law & Order
2025-07-03 21:40:11+00:00,"Fox News True Crime Newsletter: Bryan Kohberger's plea, Barry Morphew's charges, Rockefeller heir's last words",https://x.com/FoxNews/status/1940888327919431699,"['https://www.foxnews.com/us/fox-news-true-crime-newsletter-bryan-kohberger-plea-barry-morphew-charges-rockefeller-heirs-last-words?intcmp=tw_fnc&taid=6866f8bb0f347d00019afc8b&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter', 'https://www.foxnews.com/us/fox-news-true-crime-newsletter-bryan-kohberger-plea-barry-morphew-charges-rockefeller-heirs-last-words?intcmp=tw_fnc&taid=6866f8bb0f347d00019afc8b&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter']",True Crime,True Crime
