date,content,tweet_url,embedded_links,section,merged_section,subsection
2025-07-01 03:00:10+00:00,"Via 
@delosLAtimes
: NPR's Felix Contreras opened minds to Latin alternative music. He's finally getting his due",https://x.com/latimes/status/1939881688533753897,"['https://www.latimes.com/delos/story/2025-06-30/npr-felix-contreras-journalism-hispanic-heritage-awards-2025', 'https://www.latimes.com/delos/story/2025-06-30/npr-felix-contreras-journalism-hispanic-heritage-awards-2025']",Arts & Culture,Arts & Culture,
2025-07-01 02:30:10+00:00,NASA's next frontier: A Netflix streaming deal,https://x.com/latimes/status/1939874139625374121,"['https://www.latimes.com/entertainment-arts/business/story/2025-06-30/nasa-netflix-streaming', 'https://www.latimes.com/entertainment-arts/business/story/2025-06-30/nasa-netflix-streaming']",Entertainment,Entertainment,
2025-07-01 01:37:04+00:00,Eaton fire's 18th victim has been identified; He was an actor and a teacher,https://x.com/latimes/status/1939860775075496127,"['https://www.latimes.com/california/story/2025-06-30/eaton-fires-18th-victim-has-been-identified-he-was-an-actor-and-a-teacher', 'https://www.latimes.com/california/story/2025-06-30/eaton-fires-18th-victim-has-been-identified-he-was-an-actor-and-a-teacher']",Obituaries,Obituaries,
2025-07-01 01:07:04+00:00,Two brothers went missing three weeks ago. They were found dead along a California highway,https://x.com/latimes/status/1939853225001107927,"['https://www.latimes.com/california/story/2025-06-30/two-brothers-went-missing-three-weeks-ago-they-were-found-dead-off-a-california-highway', 'https://www.latimes.com/california/story/2025-06-30/two-brothers-went-missing-three-weeks-ago-they-were-found-dead-off-a-california-highway']",Local News,Local News,
2025-07-01 00:37:04+00:00,Ryan Gosling reluctantly goes to space in 'Project Hail Mary' trailer,https://x.com/latimes/status/1939845674398261314,"['https://www.latimes.com/entertainment-arts/story/2025-06-30/project-hail-mary-trailer-ryan-gosling-space-alien', 'https://www.latimes.com/entertainment-arts/story/2025-06-30/project-hail-mary-trailer-ryan-gosling-space-alien']",Entertainment,Entertainment,
2025-07-01 00:07:05+00:00,"Lakers lose Dorian Finney-Smith, sign Jake LaRavia",https://x.com/latimes/status/1939838129097035999,"['https://www.latimes.com/sports/lakers/story/2025-06-30/lakers-dorian-finney-smith-jake-laravia', 'https://www.latimes.com/sports/lakers/story/2025-06-30/lakers-dorian-finney-smith-jake-laravia']",Sports,Sports,
2025-06-30 23:37:04+00:00,U.S. military asks Trump administration to return some National Guard troops to California command,https://x.com/latimes/status/1939830575352754330,"['https://www.latimes.com/california/story/2025-06-30/military-requests-200-national-guard-troops-return-to-ca-command', 'https://www.latimes.com/california/story/2025-06-30/military-requests-200-national-guard-troops-return-to-ca-command']",Military News,Defense & Security,
2025-06-30 23:07:04+00:00,Kayleigh McEnany of Fox News has a new baby. Big sis is thrilled; big bro not so much,https://x.com/latimes/status/1939823025681047834,"['https://www.latimes.com/entertainment-arts/story/2025-06-30/kayleigh-mcenany-baby-girl-fox-news-channel', 'https://www.latimes.com/entertainment-arts/story/2025-06-30/kayleigh-mcenany-baby-girl-fox-news-channel']",Entertainment,Entertainment,
2025-06-30 22:37:04+00:00,"Contributor: Taxing remittances is a big risk for very little reward (via 
@latimesopinion
 )",https://x.com/latimes/status/1939815478139961708,"['https://www.latimes.com/opinion/story/2025-06-30/house-senate-budget-tax-remittances', 'https://www.latimes.com/opinion/story/2025-06-30/house-senate-budget-tax-remittances']",Opinion,Opinion,
2025-06-30 22:06:54+00:00,"The Writers Guild of America West has removed Randall Emmett from its “strike list” after the film producer paid $630,000 to resolve a judgment in a long-standing dispute over unpaid compensation.",https://x.com/latimes/status/1939807887259222314,"['https://www.latimes.com/entertainment-arts/business/story/2025-06-30/randall-emmett-pays-wga-debt-off-strike-list?utm_medium=social&utm_source=twitter_latimes', 'https://www.latimes.com/entertainment-arts/business/story/2025-06-30/randall-emmett-pays-wga-debt-off-strike-list?utm_medium=social&utm_source=twitter_latimes']",Entertainment News,Entertainment,
2025-06-30 22:02:04+00:00,Alec Baldwin and other 'Rust' producers settle crew members' lawsuit,https://x.com/latimes/status/1939806668688072785,"['https://www.latimes.com/entertainment-arts/business/story/2025-06-30/rust-producers-alec-baldwin-settle-crew-members-lawsuit', 'https://www.latimes.com/entertainment-arts/business/story/2025-06-30/rust-producers-alec-baldwin-settle-crew-members-lawsuit']",Entertainment,Entertainment,
2025-06-30 21:31:04+00:00,Nicolas Batum poised to return to Clippers on a two-year deal worth $11.5 million,https://x.com/latimes/status/1939798870021615771,"['https://www.latimes.com/sports/clippers/story/2025-06-30/nicolas-batum-is-returning-to-the-clippers', 'https://www.latimes.com/sports/clippers/story/2025-06-30/nicolas-batum-is-returning-to-the-clippers']",Sports,Sports,
2025-06-30 21:01:06+00:00,"Teen Mt. Whitney hiker who walked off 120-foot cliff in delirium makes slow recovery, family says",https://x.com/latimes/status/1939791328566542722,"['https://www.latimes.com/california/story/2025-06-30/teen-mt-whitney-hiker-who-walked-off-120-foot-cliff-in-delirium-makes-slow-recovery-family-says', 'https://www.latimes.com/california/story/2025-06-30/teen-mt-whitney-hiker-who-walked-off-120-foot-cliff-in-delirium-makes-slow-recovery-family-says']",Local News,Local News,
2025-06-30 20:30:15+00:00,"Blue Shield's restructuring is reviving a debate about whether one of the state's largest insurers is reinvesting enough of its profits to lower its rates, better serve low-income residents and provide coverage for underserved areas of the state.",https://x.com/latimes/status/1939783563685114289,"['https://www.latimes.com/business/story/2025-06-30/blue-shield-of-california-delaware-restructuring-charitable-obligations?utm_medium=social&utm_source=twitter_latimes', 'https://www.latimes.com/business/story/2025-06-30/blue-shield-of-california-delaware-restructuring-charitable-obligations?utm_medium=social&utm_source=twitter_latimes']",Health Care,Health,
2025-06-30 19:50:00+00:00,"You can’t always stop wildfires from starting, but you can prepare for them. In this seven-part newsletter series, breaking news reporter Karen Garcia will guide you through preparing your home, property and loved ones for wildfires.",https://x.com/latimes/status/1939773435153990014,"['https://www.latimes.com/archives/sign-up-for-in-case-of-fire-our-fire-preparation-newsletter-course?utm_medium=social&utm_source=twitter_latimes', 'https://www.latimes.com/archives/sign-up-for-in-case-of-fire-our-fire-preparation-newsletter-course?utm_medium=social&utm_source=twitter_latimes']",Environment,Climate & Environment,
2025-06-30 19:08:03+00:00,John Travolta crashes 'Grease' sing-along at Hollywood Bowl in full Danny Zuko flair,https://x.com/latimes/status/1939762877721727224,"['https://www.latimes.com/entertainment-arts/movies/story/2025-06-30/john-travolta-grease-sing-along-hollywood-bowl-danny-zuko', 'https://www.latimes.com/entertainment-arts/movies/story/2025-06-30/john-travolta-grease-sing-along-hollywood-bowl-danny-zuko']",Entertainment,Entertainment,
2025-06-30 18:38:03+00:00,California fire season off to a furious start and experts say it's just the beginning,https://x.com/latimes/status/1939755328016420955,"['https://www.latimes.com/california/story/2025-06-30/california-fire-season-off-to-hot-start', 'https://www.latimes.com/california/story/2025-06-30/california-fire-season-off-to-hot-start']",Environment,Climate & Environment,
2025-06-30 18:08:04+00:00,"U.S. Department of Justice sues L.A. Mayor Karen Bass, City Council over sanctuary policy",https://x.com/latimes/status/1939747780882317387,"['https://www.latimes.com/california/story/2025-06-30/department-of-justice-sues-los-angeles', 'https://www.latimes.com/california/story/2025-06-30/department-of-justice-sues-los-angeles']",Politics,Politics,Immigration
2025-06-30 17:38:06+00:00,More than the glasses: How a lightbulb moment made Dodgers' Max Muncy a 'complete hitter' again,https://x.com/latimes/status/1939740241339760937,"['https://www.latimes.com/sports/dodgers/story/2025-06-30/dodgers-max-muncy-hitting-tear-glasses-swing', 'https://www.latimes.com/sports/dodgers/story/2025-06-30/dodgers-max-muncy-hitting-tear-glasses-swing']",Sports,Sports,
