date,content,tweet_url,embedded_links,section,merged_section,subsection
2025-07-02 02:30:01+00:00,"A bipartisan group of senators has demanded answers from former Defense Secretary Lloyd Austin regarding his swift transition into private consulting, accusing him of violating ethics pledges and posing serious national security risks.",https://x.com/NEWSMAX/status/1940236489428017541,"['https://www.newsmax.com/newsfront/llyod-austin-rick-scott-elizabeth-warren/2025/07/01/id/1217259/', 'https://www.newsmax.com/newsfront/llyod-austin-rick-scott-elizabeth-warren/2025/07/01/id/1217259/']",Politics,Politics,Biden Administration
2025-07-02 02:30:00+00:00,".
@RobFinnertyUSA
 breaks down the details of 'Alligator Alcatraz' saying that ""the only way out is by deportation unless of course you escape,"" where scorpions, alligators, black bears, and other deadly animals will be waiting.",https://x.com/NEWSMAX/status/1940236485195968721,[],Wildlife News,Climate & Environment,
2025-07-02 02:00:01+00:00,More than 20 House Republicans are threatening to tank the reconciliation budget package that was narrowly approved by the Senate on Tuesday.,https://x.com/NEWSMAX/status/1940228938833465454,"['https://www.newsmax.com/newsfront/mike-johnson-house-speaker-big-beautiful-bill/2025/07/01/id/1217257/', 'https://www.newsmax.com/newsfront/mike-johnson-house-speaker-big-beautiful-bill/2025/07/01/id/1217257/']",Politics,Politics,Biden Administration
2025-07-02 01:30:01+00:00,"The Department of Energy has pulled the entire set of energy project permitting rules and regulations covered by the National Environmental Policy Act, or NEPA.",https://x.com/NEWSMAX/status/1940221387559641513,"['https://www.newsmax.com/newsfront/department-of-energy-old-rules-development/2025/07/01/id/1217252/', 'https://www.newsmax.com/newsfront/department-of-energy-old-rules-development/2025/07/01/id/1217252/']",Energy Policy,Climate & Environment,
2025-07-02 01:00:04+00:00,"New York City mayoral candidate Zohran Mamdani responded to President Donald Trump after he threatened to arrest Mamdani over his opposition of Immigration Customs Enforcement operations in the city. 

https://bit.ly/40x0WRq",https://x.com/NEWSMAX/status/1940213852219875823,['https://www.newsmax.com/politics/zohran-mamdani-donald-trump-ice/2025/07/01/id/1217251/'],Politics,Politics,Immigration
2025-07-02 00:30:01+00:00,Former Sen. Scott Brown said that he doesn't have a problem with Republicans who voted against the megabill that passed the Senate.,https://x.com/NEWSMAX/status/1940206291731063132,"['https://www.newsmax.com/newsmax-tv/scottbrown-newhampshire-megabill/2025/07/01/id/1217208/', 'https://www.newsmax.com/newsmax-tv/scottbrown-newhampshire-megabill/2025/07/01/id/1217208/']",Politics,Politics,Politician
2025-07-02 00:00:01+00:00,"Former New York City Mayor Rudy Giuliani said that democratic socialist Zohran Mamdani's victory in the city's Democrat mayoral primary last week is a ""disaster"" for the party, which he described as ""taken over by Karl Marx.""",https://x.com/NEWSMAX/status/1940198742197678297,"['https://www.newsmax.com/newsmax-tv/rudy-giuliani-zohran-mamdani-marx/2025/07/01/id/1217172/', 'https://www.newsmax.com/newsmax-tv/rudy-giuliani-zohran-mamdani-marx/2025/07/01/id/1217172/']",Politics,Politics,Elections
2025-07-01 23:25:21+00:00,"Lidia Curanaj: ""If elected as New York City's next mayor, Zohran Mamdani will not just destroy the city; he will usher in an era of destruction that will metastasize throughout the United States."" 
@LidiaNews",https://x.com/NEWSMAX/status/1940190017940254859,[],Politics,Politics,Elections
2025-07-01 23:15:01+00:00,"Transportation Secretary Sean Duffy on Tuesday called on the nation's governors to remove political messages and artwork, such as rainbow-painted crosswalks, from the nation's roads and highways.",https://x.com/NEWSMAX/status/1940187416096375054,"['https://www.newsmax.com/newsfront/sean-duffy-highways-safe-roads/2025/07/01/id/1217219/', 'https://www.newsmax.com/newsfront/sean-duffy-highways-safe-roads/2025/07/01/id/1217219/']",Politics,Politics,Transportation
2025-07-01 23:00:05+00:00,"President Trump said he would ""take a look"" at possibly arresting former DHS Secretary Alejandro Mayorkas over his actions that led to nearly 10 million migrants entering the U.S. illegally. MORE: https://bit.ly/4nr0UV4",https://x.com/NEWSMAX/status/1940183656901091616,['https://www.newsmax.com/politics/alejandro-mayorkas-immigration-border/2025/07/01/id/1217212/'],Politics,Politics,Immigration
2025-07-01 22:46:15+00:00,"BREAKING NEWS: A jury reached a partial verdict Tuesday in the sex trafficking trial of Sean ""Diddy"" Combs in New York federal court.",https://x.com/NEWSMAX/status/1940180176945783079,[],Crime,Crime,
2025-07-01 22:45:00+00:00,"""Under the guise of procedural garbage, some of Trump's most ardent agenda items were completely stripped.""
@CarlHigbie
 breaks down the Senate's revised version of the 'One, Big, Beautiful Bill.'",https://x.com/NEWSMAX/status/1940179861261492408,[],Politics,Politics,Trump Administration
2025-07-01 22:35:22+00:00,"""This bill is so important for families all across the country.""

House Majority Leader 
@SteveScalise
 expressed confidence that the House will pass the ""One, Big, Beautiful Bill"" on Tuesday's ""The Record with Greta Van Susteren."" 
@greta",https://x.com/NEWSMAX/status/1940177439054839893,[],Legislation,Legislation,
2025-07-01 22:30:01+00:00,"Waffle House is dropping its 50-cents per egg surcharge, the restaurant chain announced.",https://x.com/NEWSMAX/status/1940176090632528011,"['https://www.newsmax.com/newsfront/eggs-waffle-house-surcharge/2025/07/01/id/1217221/', 'https://www.newsmax.com/newsfront/eggs-waffle-house-surcharge/2025/07/01/id/1217221/']",Business,Business & Economy,
2025-07-01 22:15:01+00:00,"California Gov. Gavin Newsom has signed legislation that removes certain development barriers, updates review procedures for critical housing and infrastructure, and creates new tools for accelerating production.",https://x.com/NEWSMAX/status/1940172316086083643,"['https://www.newsmax.com/newsfront/gavin-newsom-california-housing/2025/07/01/id/1217216/', 'https://www.newsmax.com/newsfront/gavin-newsom-california-housing/2025/07/01/id/1217216/']",Politics,Politics,Transportation
2025-07-01 22:14:00+00:00,"""This is not a grassroots candidate"": Forensic Accountant Sam Antar uncovers the money trail behind NYC mayoral candidate Zohran Mamdani.  

""He was engineered in the lab, made for television, okay. But he gets no grassroots results as far as it concerns money.""",https://x.com/NEWSMAX/status/1940172060006760455,[],Politics,Politics,Elections
2025-07-01 22:00:09+00:00,Florida Gov. Ron DeSantis said he supports the GOP-led effort to conduct an immediate census that would ensure only U.S. citizens are counted when revised congressional districts are drawn. MORE: https://bit.ly/40lFqzl,https://x.com/NEWSMAX/status/1940168576524271879,['https://www.newsmax.com/us/florida-census-legislative-districts/2025/07/01/id/1217197/'],Politics,Politics,Immigration
2025-07-01 21:58:52+00:00,"""God willing, we can find these people before they do anything bad.""

Border Czar Tom Homan previewed the activities that will go on at ""Alligator Alcatraz"" to punish criminal illegal aliens on Tuesday's ""Carl Higbie FRONTLINE."" 
@RealTomHoman
 @CarlHigbie",https://x.com/NEWSMAX/status/1940168249951350914,[],Immigration,World,
2025-07-01 21:30:01+00:00,"Italy limited work outdoors, France shut schools and Turkey battled wildfires on Tuesday in a European heatwave that meteorologists said was ""exceptional"" for striking so early this year.",https://x.com/NEWSMAX/status/1940160991469478147,"['https://www.newsmax.com/newsfront/europe-heat/2025/07/01/id/1217218/', 'https://www.newsmax.com/newsfront/europe-heat/2025/07/01/id/1217218/']",Weather,Weather,
2025-07-01 21:20:03+00:00,"COMING UP: House Majority Leader Rep. Steve Scalise joins ""The Record with Greta Van Susteren"" to discuss the Big Beautiful Bill heading back to the House — 6PM ET, on NEWSMAX.

TUNE IN: http://newsmaxtv.com/findus",https://x.com/NEWSMAX/status/1940158481480429716,['https://www.newsmaxtv.com/findus'],Politics,Politics,Politician
