Unnamed: 0,channel_title,video_id,title,description,publishedAt,duration_iso,duration_seconds,duration_hms,url,section,merged_section
0,BBC News,uBV-9zMpKiE,"Humanoid robots competed at a robot football tournament in Beijing, China. #China #Football #BBCNews",,2025-06-30 21:45:02+00:00,PT35S,35,0:00:35,https://www.youtube.com/watch?v=uBV-9zMpKiE,Please provide the text you would like me to analyze.,Unknown
1,BBC News,FR33WALiyUI,"Two firefighters have been shot dead in a “total ambush” in Idaho, US, police said. #BBCNews",,2025-06-30 20:30:05+00:00,PT57S,57,0:00:57,https://www.youtube.com/watch?v=FR33WALiyUI,Please provide the text you would like me to analyze.,Unknown
2,BBC News,KBeAPDOkWQA,Staged protest against US President Donald Trump at Paris Fashion Week. #BBCNews,,2025-06-30 19:00:30+00:00,PT59S,59,0:00:59,https://www.youtube.com/watch?v=KBeAPDOkWQA,Please provide the text you would like me to analyze.,Unknown
3,BBC News,ayf-FbSxgiw,What you need to know about the Land Back movement in New Zealand | BBC News,"The Land Back movement is supporting Indigenous people who want to take back their ancestral land. 
 
So, how does it work and what does it mean for the Māori people, in New Zealand, who have been fighting to reclaim land confiscated more than 150 years ago. 
 
Subscribe here: http://bit.ly/1rbfUog
 
For more news, analysis and features visit: www.bbc.com/news
 
#BBCNews",2025-06-30 18:30:04+00:00,PT7M6S,426,0:07:06,https://www.youtube.com/watch?v=ayf-FbSxgiw,Indigenous Rights,Social Issues
4,BBC News,9VcOBQT4cWg,Why isn't Glastonbury Festival happening in 2026? #GlastonburyFestival #BBCNews,,2025-06-30 18:00:19+00:00,PT47S,47,0:00:47,https://www.youtube.com/watch?v=9VcOBQT4cWg,"I'm sorry, but I need the text you are referring to in order to determine the appropriate section. Please provide the text.",Unknown
5,BBC News,ZTF-PBQywv4,Freed Belarus opposition figure speaks out after five years in prison | BBC News,"Sergei Tikhanovsky was held in solitary confinement in a high security Belarusian prison for five years after he dared to stand up to a dictator.
 
The former opposition blogger is now in enforced exile, freed along with 13 other political prisoners after a senior US delegation paid a rare visit to the authoritarian ruler of Belarus, Alexander Lukashenko.
 
He spoke to the BBC’s Sarah Rainsford about how the last five years have been and reuniting with his family. 
 
Subscribe here: http://bit.ly/1rbfUog
 
For more news, analysis and features visit: www.bbc.com/news
 
#Belarus #BBCNews",2025-06-30 17:00:46+00:00,PT4M19S,259,0:04:19,https://www.youtube.com/watch?v=ZTF-PBQywv4,Politics,Politics
6,BBC News,tH35W_1ySPM,"Hundreds of families displaced by wave of Israeli air strikes on Gaza, witnesses say | BBC News","Israel has carried out a wave of air strikes across the Gaza Strip, which has triggered the mass displacement of hundreds of Palestinian families, witnesses said.
 
Rescue teams recovered the bodies of five people, while dozens of injured civilians were evacuated to Al-Ahli Hospital in Gaza City, according to local reports.
 
The bombardment follows one of the largest evacuation orders issued since the war resumed in March.
 
Israeli Prime Minister Benjamin Netanyahu has received increased pressure, including from the US, to refocus efforts to reach a ceasefire agreement.
 
Subscribe here: http://bit.ly/1rbfUog
 
For more news, analysis and features visit: www.bbc.com/news
 
#BBCNews",2025-06-30 15:01:28+00:00,PT6M46S,406,0:06:46,https://www.youtube.com/watch?v=tH35W_1ySPM,World News,World
7,BBC News,gcqZddaz3_I,"US must rule out more strikes before new talks, Iranian minister says | BBC News","The US must rule out any further strikes on Iran if it wants to resume diplomatic talks, Tehran's deputy foreign minister has told the BBC.
 
Majid Takht-Ravanchi said the Trump administration told Iran through mediators that it wanted to return to negotiations this week, but had not made its position clear on the ""very important question"" of further attacks while talks are taking place.
 
The US and Iran were involved in talks over Iran's nuclear programme when Israel struck Iranian nuclear sites and military infrastructure earlier this month and Iran responded with missiles.
 
The US became directly involved in the conflict on 21 June when it bombed three of Iran's nuclear sites.
 
Subscribe here: http://bit.ly/1rbfUog
 
For more news, analysis and features visit: www.bbc.com/news
 
#Iran #BBCNews",2025-06-30 13:01:27+00:00,PT6M42S,402,0:06:42,https://www.youtube.com/watch?v=gcqZddaz3_I,International Relations,World
8,BBC News,FAiPnw_torA,Residents of Ukraine's Mariupol deny Russian claims occupied city returning to normal | BBC News,"It's been just over three years since Mariupol was taken by Russian forces after a brutal siege and indiscriminate bombardment – a key moment in the early months of Russia's full-scale invasion of Ukraine.

Thousands were killed, and the UN estimated 90% of residential buildings were damaged or destroyed.

In recent months, videos and reels from several pro-Russia influencers have been painting a picture of a glossy city where damaged structures have been repaired and where life has gone back to normal.

But the BBC has spoken to more than half a dozen people - some still living in Mariupol, others who escaped after spending time under occupation - to piece together a real picture of what life is like in the city.

Subscribe here: http://bit.ly/1rbfUog

#BBCNews",2025-06-30 11:30:23+00:00,PT4M24S,264,0:04:24,https://www.youtube.com/watch?v=FAiPnw_torA,International News,World
9,BBC News,xQfwyokKJRo,Spain records 46C as Europe heatwave continues | BBC News,"A heatwave continues to grip large parts of Europe, with authorities in many countries issuing health warnings amid searing temperatures.
 
Southern Spain is the worst-affected region, with temperatures in the mid-40s Celsius recorded in Seville and neighbouring areas.
 
A new heat record for June of 46C was set on Saturday in the town of El Granado, according to Spain's national weather service, which also said this month is on track to be the hottest June on record.
 
Red heat warnings are in force in parts of Portugal, Italy and Croatia, with numerous amber warnings covering areas of Spain, France, Austria, Belgium, Bosnia and Herzegovina, Hungary, Serbia, Slovenia and Switzerland. 

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#Europe #Spain #Heatwave #BBCNews",2025-06-30 07:49:58+00:00,PT6M21S,381,0:06:21,https://www.youtube.com/watch?v=xQfwyokKJRo,Weather,Weather
