Unnamed: 0,channel_title,video_id,title,description,publishedAt,duration_iso,duration_seconds,duration_hms,url,section,merged_section,subsection
0,Breitbart News,mYNJEFbJZK8,"""STOP STOP STOP!"" Beyoncé Gets Stuck in Flying Car Mid-Concert","Beyoncé stopped her concert while repeatedly yelling ""stop!"" as the ""flying"" car she was on appeared to become stuck and tilted, presenting significant danger to the artist. #shorts",2025-06-30 22:30:20+00:00,PT39S,39,0:00:39,https://www.youtube.com/watch?v=mYNJEFbJZK8,Entertainment,Entertainment,
1,Breitbart News,_cnrQcwitlU,"""I Don't Know What Happened!"" Suspect Plays Dumb After Stealing Beer",The Marion County Sheriff's Office out of Florida released footage showing a man being arrested after allegedly stealing beer from a gas station.,2025-06-30 21:00:44+00:00,PT2M30S,150,0:02:30,https://www.youtube.com/watch?v=_cnrQcwitlU,Crime News,Crime,
2,Breitbart News,WGn5VWfbKc0,So Much Winning! Trump's Historic Week,Are you tired of winning yet? Karoline Leavitt detailed just some of President Trump's historic accomplishments in the past week. #shorts,2025-06-30 21:00:42+00:00,PT34S,34,0:00:34,https://www.youtube.com/watch?v=WGn5VWfbKc0,Politics,Politics,Trump Administration
3,Breitbart News,4-Xfj9tif_o,Democrats Would Rather DESTROY Medicaid for Americans than Get Illegals Off It,"""The Democrats in Congress are more concerned with defending illegal aliens than they are hardworking Americans!"" Karoline Leavitt put Democrats on blast for opposing President Trump's Big Beautiful Bill because it would secure the border and kick illegal aliens off Medicaid benefits that should be going to Americans instead.",2025-06-30 20:15:00+00:00,PT1M13S,73,0:01:13,https://www.youtube.com/watch?v=4-Xfj9tif_o,Politics,Politics,Immigration
4,Breitbart News,i8voaRAnU5c,MASSIVE Twisters Caught on Camera Tearing Across South Dakota,"OPE! Tornadoes tore through the area of Gary, South Dakota, on Saturday. #shorts",2025-06-30 19:00:41+00:00,PT2M53S,173,0:02:53,https://www.youtube.com/watch?v=i8voaRAnU5c,Weather,Weather,
5,Breitbart News,W8dTDaxYvOk,"""You're Awful!"" Protester in Senate Says What All Americans Are Thinking",The Senate was jolted into chaos Sunday evening when a protester began screaming in the chamber as the sergeant at arms was called to remove them.,2025-06-30 18:00:37+00:00,PT30S,30,0:00:30,https://www.youtube.com/watch?v=W8dTDaxYvOk,Politics,Politics,Democracy
6,Breitbart News,k4f_bRBg0n8,Aw Sheetz! Two Illegals Arrested at Gas Station,"ICE recently released footage showing agents arrested two illegals at a Sheetz gas station in Fredericksburg, VA. #shorts",2025-06-30 16:45:03+00:00,PT9S,9,0:00:09,https://www.youtube.com/watch?v=k4f_bRBg0n8,Local News,Local News,
7,Breitbart News,1I66wPo1koI,Reporter from Congo Thanks Trump for Peace When Biden Ignored Conflict,"""They know your name"": A reporter from the Democratic Republic of Congo told President Donald Trump that Biden ignored her country's decades-long conflict and that her president wanted to nominate Trump for a Nobel Peace Prize after he brokered a peace agreement with Congo and Rwanda.",2025-06-30 14:30:01+00:00,PT1M37S,97,0:01:37,https://www.youtube.com/watch?v=1I66wPo1koI,International News,World,
8,Breitbart News,MFcplH_Z7pk,"""They're Circling!"" Father and Son Rescued from Gator Infested Lake","The Hillsborough County Sheriff's Office recently released footage of a father and son being rescued from a jet ski that had broken down in the middle of a lake, causing them to be surrounded by alligators.",2025-06-30 12:00:44+00:00,PT43S,43,0:00:43,https://www.youtube.com/watch?v=MFcplH_Z7pk,Local News,Local News,
9,Breitbart News,Oc4568GFu9M,"They're So FAKE! Dem Darlings AOC, Jasmine Crockett Are Just Cringe Theatre Kids","""It's absurd!"" Why are Democrat darlings AOC and Jasmine Crockett ""leaning into the trash"" to put on fake personas? #shorts",2025-06-29 18:30:40+00:00,PT1M10S,70,0:01:10,https://www.youtube.com/watch?v=Oc4568GFu9M,Politics,Politics,Politician
