Unnamed: 0,channel_title,video_id,title,description,publishedAt,duration_iso,duration_seconds,duration_hms,url,section,merged_section,subsection
0,DailyWire+,0ciyJ9CgqBE,"White House Press Briefing | Monday, June 30, 2025","Watch the White House press briefing live as Press Secretary Karoline Leavitt takes the podium with the president on a roll — two peace deals, three SCOTUS wins, and Congress poised to pass his Big, Beautiful Bill.

#DailyWirePlus #DailyWire #News #Politics",2025-06-30 17:58:22+00:00,PT40M48S,2448,0:40:48,https://www.youtube.com/watch?v=0ciyJ9CgqBE,Politics,Politics,Biden Administration
1,DailyWire+,j5G4HQCykOo,Did we just write the song of the summer?,#DailyWirePlus #DailyWire #News #Politics,2025-06-30 17:11:54+00:00,PT27S,27,0:00:27,https://www.youtube.com/watch?v=j5G4HQCykOo,Politics,Politics,Politics
2,DailyWire+,Gabk3MQrXTg,Biden might not remember… but we do.,#DailyWirePlus #DailyWire #News #Politics,2025-06-28 14:44:30+00:00,PT35S,35,0:00:35,https://www.youtube.com/watch?v=Gabk3MQrXTg,Politics,Politics,Politics
3,DailyWire+,i3_Pjg2TBXo,White House News Conference | 06.27.2025,"LIVE NOW: President Trump addresses a major Supreme Court victory impacting birthright citizenship. 

#DailyWirePlus #DailyWire #News #Politics",2025-06-27 17:06:32+00:00,PT56M19S,3379,0:56:19,https://www.youtube.com/watch?v=i3_Pjg2TBXo,Politics,Politics,Immigration
4,DailyWire+,ng0vfKXQMfs,rip nyc,#DailyWirePlus #DailyWire #News #Politics,2025-06-26 19:08:29+00:00,PT8S,8,0:00:08,https://www.youtube.com/watch?v=ng0vfKXQMfs,Politics,Politics,Politics
5,DailyWire+,ea-RW2r7pZ8,"White House Press Briefing | Thursday, June 26, 2025","Watch the White House press briefing live as Press Secretary Karoline Leavitt faces reporters for the first time since President Trump brokered a ceasefire between Iran and Israel, and the administration sets its sights on passing the One Big, Beautiful Bill.

#DailyWirePlus #DailyWire #News #Politics",2025-06-26 17:43:49+00:00,PT40M4S,2404,0:40:04,https://www.youtube.com/watch?v=ea-RW2r7pZ8,Politics,Politics,Trump Administration
6,DailyWire+,UDM6bs6-5_4,who's your daddy?,#DailyWirePlus #DailyWire #News #Politics,2025-06-26 16:04:40+00:00,PT31S,31,0:00:31,https://www.youtube.com/watch?v=UDM6bs6-5_4,Politics,Politics,Politics
7,DailyWire+,kXH8Mj0NCRw,Watch Vance go to LA to support ICE (and enrage Newsom) ✈️🌴,#DailyWirePlus #DailyWire #News #Politics,2025-06-25 22:37:05+00:00,PT51S,51,0:00:51,https://www.youtube.com/watch?v=kXH8Mj0NCRw,Politics,Politics,Politics
8,DailyWire+,XsVSUmdxGZg,Not what you want to see while on vacation,#DailyWirePlus #DailyWire #News #Politics,2025-06-24 18:23:19+00:00,PT18S,18,0:00:18,https://www.youtube.com/watch?v=XsVSUmdxGZg,Politics,Politics,Politics
9,DailyWire+,DWWM4-zdEP4,President Trump is determined to honor the ceasefire in the Middle East.,"Join DailyWire+ and watch all of our ad-free content NOW: https://bit.ly/3RzxiDM

Shop Daily Wire merch here: https://bit.ly/3GhW5u8

#DailyWirePlus #DailyWire #News #Politics",2025-06-24 15:03:32+00:00,PT40S,40,0:00:40,https://www.youtube.com/watch?v=DWWM4-zdEP4,Politics,Politics,Politics
