Unnamed: 0,channel_title,video_id,title,description,publishedAt,duration_iso,duration_seconds,duration_hms,url,section,merged_section,subsection
0,MSNBC,6J6yadnXvJ0,Trump's 'debt bomb!' $3 trillion deficit-busting bill dubbed 'insane' by Musk (Melber report),"The Senate is debating the largest attack on the safety net in modern American history, with President Trump's legislative agenda hanging in the balance. MSNBC’s Ari Melber reports and is joined by MSNBC contributor Jason Johnson and MSNBC political analyst Juanita Tolliver. (Subscribe to Ari’s YouTube now: http://youtube.com/arimelber)

For more context and news coverage of the most important stories of our day click here: https://www.msnbc.com/

» Subscribe to MSNBC: https://www.youtube.com/msnbc
» Subscribe to MSNBC on TikTok https://www.tiktok.com/@msnbc 
» Subscribe to MSNBC on Instagram https://www.instagram.com/msnbc 
Download our new MSNBC app for the latest breaking news and daily headlines at a glance: https://www.msnbc.com/information/download-msnbc-app-n1241692

Follow MSNBC Show Blogs 
MaddowBlog: https://www.msnbc.com/maddowblog

MSNBC delivers breaking news, in-depth analysis of political headlines, commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, The Briefing with Jen Psaki, Morning Joe, The Beat, Deadline: White House, The Weeknight, All In, The Last Word, The 11th Hour, and more.

Connect with MSNBC Online 
Visit msnbc.com: https://www.msnbc.com/ 
Subscribe to the MSNBC Daily Newsletter: https://link.msnbc.com/join/5ck/msnbc-daily-signup

#DonaldTrump #ElonMusk #Republicans",2025-06-30 23:48:56+00:00,PT8M16S,496,0:08:16,https://www.youtube.com/watch?v=6J6yadnXvJ0,Politics,Politics,Trump Administration
1,MSNBC,s9iGbAYUo3Q,Losing! 'MAGA justices' bail out Trump after losing more court cases than any POTUS: Ari Breakdown,"The Republicans on the Supreme Court gave Trump an unusual win by limiting judges on how and when they can pause presidential policies, even when they are found to be illegal. MSNBC’s Ari Melber reports on how the move changes the standard rules that governed Trump and President Biden—and how the MAGA-friendly Supreme Court will change and make up rules for Trump’s benefit. (Subscribe to Ari’s YouTube now: http://youtube.com/arimelber)

For more context and news coverage of the most important stories of our day click here: https://www.msnbc.com/

» Subscribe to MSNBC: https://www.youtube.com/msnbc
» Subscribe to MSNBC on TikTok https://www.tiktok.com/@msnbc 
» Subscribe to MSNBC on Instagram https://www.instagram.com/msnbc 
Download our new MSNBC app for the latest breaking news and daily headlines at a glance: https://www.msnbc.com/information/download-msnbc-app-n1241692

Follow MSNBC Show Blogs 
MaddowBlog: https://www.msnbc.com/maddowblog

MSNBC delivers breaking news, in-depth analysis of political headlines, commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, The Briefing with Jen Psaki, Morning Joe, The Beat, Deadline: White House, The Weeknight, All In, The Last Word, The 11th Hour, and more.

Connect with MSNBC Online 
Visit msnbc.com: https://www.msnbc.com/ 
Subscribe to the MSNBC Daily Newsletter: https://link.msnbc.com/join/5ck/msnbc-daily-signup

#SupremeCourt #Republicans #Trump",2025-06-30 23:32:54+00:00,PT11M33S,693,0:11:33,https://www.youtube.com/watch?v=s9iGbAYUo3Q,Politics,Politics,Trump Administration
2,MSNBC,XWGI9uvK2wE,'An aggressive pen pal': Trump says U.S. will send countries letters to set tariff rate,"University of Michigan professor Justin Wolfers joins Alicia Menendez - in for Nicolle Wallace to discuss President Donald Trump's latest threat to send countries strongly worded letters assigning them their tariff rates.
For more context and news coverage of the most important stories of our day click here: https://www.msnbc.com/

» Subscribe to MSNBC: https://www.youtube.com/msnbc
» Subscribe to MSNBC on TikTok https://www.tiktok.com/@msnbc 
» Subscribe to MSNBC on Instagram https://www.instagram.com/msnbc 
Download our new MSNBC app for the latest breaking news and daily headlines at a glance: https://www.msnbc.com/information/download-msnbc-app-n1241692

Follow MSNBC Show Blogs 
MaddowBlog: https://www.msnbc.com/maddowblog
ReidOut Blog: https://www.msnbc.com/reidoutblog

MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, The Beat with Ari Melber, Deadline: White House, The ReidOut, All In, Last Word, 11th Hour, and Alex Wagner who brings her breadth of reporting experience to MSNBC primetime. 
 
Connect with MSNBC Online 
Visit msnbc.com: https://www.msnbc.com/ 
Subscribe to the MSNBC Daily Newsletter: https://link.msnbc.com/join/5ck/msnbc-daily-signup

#trump #tariffs #economy",2025-06-30 22:15:04+00:00,PT5M9S,309,0:05:09,https://www.youtube.com/watch?v=XWGI9uvK2wE,Politics,Politics,Foreign Policy
3,MSNBC,a7QYBOrwFK0,INSIDE: How a community organization is fighting back as Los Angeles ICE raids ramp up,"NBC News correspondent Jacob Soboroff takes Alicia Menendez - in for Nicolle Wallace - inside the organization that is providing rapid response to the Los Angeles community as they face increased ICE raids and even people impersonating federal agents. 
For more context and news coverage of the most important stories of our day click here: https://www.msnbc.com/

» Subscribe to MSNBC: https://www.youtube.com/msnbc
» Subscribe to MSNBC on TikTok https://www.tiktok.com/@msnbc 
» Subscribe to MSNBC on Instagram https://www.instagram.com/msnbc 
Download our new MSNBC app for the latest breaking news and daily headlines at a glance: https://www.msnbc.com/information/download-msnbc-app-n1241692

Follow MSNBC Show Blogs 
MaddowBlog: https://www.msnbc.com/maddowblog
ReidOut Blog: https://www.msnbc.com/reidoutblog

MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, The Beat with Ari Melber, Deadline: White House, The ReidOut, All In, Last Word, 11th Hour, and Alex Wagner who brings her breadth of reporting experience to MSNBC primetime. 
 
Connect with MSNBC Online 
Visit msnbc.com: https://www.msnbc.com/ 
Subscribe to the MSNBC Daily Newsletter: https://link.msnbc.com/join/5ck/msnbc-daily-signup

#iceraids #immigration #losangeles",2025-06-30 22:00:00+00:00,PT6M26S,386,0:06:26,https://www.youtube.com/watch?v=a7QYBOrwFK0,Immigration,World,
4,MSNBC,kiOf0xmmqYI,"MSNBC ASKS: D.C. reacts to World Pride 'Celebrated, not tolerated'","The monthlong celebration of LGBTQ Pride reached its peak this past weekend as huge crowds gathered from New York to San Francisco for all-day festivities.

MSNBC spoke with attendees at the WorldPride celebration in Washington, D.C., about why Pride matters now — and what message they have for politicians pushing anti-LGBTQ policies.

For more on this, click the link in our bio to read from the digital series ""Finding Pride in a Divided America.""

For more context and news coverage of the most important stories of our day click here: https://www.msnbc.com/

» Subscribe to MSNBC: https://www.youtube.com/msnbc
» Subscribe to MSNBC on TikTok https://www.tiktok.com/@msnbc 
» Subscribe to MSNBC on Instagram https://www.instagram.com/msnbc 
Download our new MSNBC app for the latest breaking news and daily headlines at a glance: https://www.msnbc.com/information/download-msnbc-app-n1241692

Follow MSNBC Show Blogs 
MaddowBlog: https://www.msnbc.com/maddowblog

MSNBC delivers breaking news, in-depth analysis of political headlines, commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Inside with Jen Psaki, Morning Joe, The Beat, Deadline: White House, All In, The Last Word, The 11th Hour, and more.

Connect with MSNBC Online 
Visit msnbc.com: https://www.msnbc.com/ 
Subscribe to the MSNBC Daily Newsletter: https://link.msnbc.com/join/5ck/msnbc-daily-signup

#LGBTQ #pride #pridemonth",2025-06-30 21:45:03+00:00,PT3M,180,0:03:00,https://www.youtube.com/watch?v=kiOf0xmmqYI,LGBTQ+ News,Social Issues,
5,MSNBC,OtmVTrnOarE,'A moral obscenity': Top Democrat sounds off on GOP hypocrisy over Trump's megabill,"Sen. Cory Booker (D-NJ) joins Alicia Menendez - in for Nicolle Wallace - to discuss President Donald Trump's agenda bill and the hypocrisy of GOP senators who have criticized the bill but are choosing to fall in line.
For more context and news coverage of the most important stories of our day click here: https://www.msnbc.com/

» Subscribe to MSNBC: https://www.youtube.com/msnbc
» Subscribe to MSNBC on TikTok https://www.tiktok.com/@msnbc 
» Subscribe to MSNBC on Instagram https://www.instagram.com/msnbc 
Download our new MSNBC app for the latest breaking news and daily headlines at a glance: https://www.msnbc.com/information/download-msnbc-app-n1241692

Follow MSNBC Show Blogs 
MaddowBlog: https://www.msnbc.com/maddowblog
ReidOut Blog: https://www.msnbc.com/reidoutblog

MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, The Beat with Ari Melber, Deadline: White House, The ReidOut, All In, Last Word, 11th Hour, and Alex Wagner who brings her breadth of reporting experience to MSNBC primetime. 
 
Connect with MSNBC Online 
Visit msnbc.com: https://www.msnbc.com/ 
Subscribe to the MSNBC Daily Newsletter: https://link.msnbc.com/join/5ck/msnbc-daily-signup

#trump #corybooker #spendingbill",2025-06-30 21:45:02+00:00,PT11M26S,686,0:11:26,https://www.youtube.com/watch?v=OtmVTrnOarE,Politics,Politics,Trump Administration
6,MSNBC,8kFBCf2B_sM,‘Make or break issue’ for some republicans: Journalist on deficit increase,"Republicans are pushing for the passage of Trump’s megabill, despite pushback from both sides of the aisle. NBC News’ Congressional Correspondent Julie Tsirkin reports more. New York Times Chief White House Correspondent Peter Baker joins Katy Tur to discuss. For more context and news coverage of the most important stories of our day click here: https://www.msnbc.com/

» Subscribe to MSNBC: https://www.youtube.com/msnbc
» Subscribe to MSNBC on TikTok https://www.tiktok.com/@msnbc 
» Subscribe to MSNBC on Instagram https://www.instagram.com/msnbc 
Download our new MSNBC app for the latest breaking news and daily headlines at a glance: https://www.msnbc.com/information/download-msnbc-app-n1241692

Follow MSNBC Show Blogs 
MaddowBlog: https://www.msnbc.com/maddowblog
ReidOut Blog: https://www.msnbc.com/reidoutblog

MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, The Beat with Ari Melber, Deadline: White House, The ReidOut, All In, Last Word, 11th Hour, and Alex Wagner who brings her breadth of reporting experience to MSNBC primetime. 
 
Connect with MSNBC Online 
Visit msnbc.com: https://www.msnbc.com/ 
Subscribe to the MSNBC Daily Newsletter: https://link.msnbc.com/join/5ck/msnbc-daily-signup",2025-06-30 21:30:01+00:00,PT7M4S,424,0:07:04,https://www.youtube.com/watch?v=8kFBCf2B_sM,Politics,Politics,Trump Administration
7,MSNBC,Am09yatOg0w,Humanoid AI robots play 3-on-3 soccer matches in China,"China's first 3-on-3 humanoid robot soccer league kicked off in Beijing, with bots battling, falling, and getting stretchered off the field.

For more context and news coverage of the most important stories of our day click here: https://www.msnbc.com/

» Subscribe to MSNBC: https://www.youtube.com/msnbc
» Subscribe to MSNBC on TikTok https://www.tiktok.com/@msnbc 
» Subscribe to MSNBC on Instagram https://www.instagram.com/msnbc 
Download our new MSNBC app for the latest breaking news and daily headlines at a glance: https://www.msnbc.com/information/download-msnbc-app-n1241692

Follow MSNBC Show Blogs 
MaddowBlog: https://www.msnbc.com/maddowblog

MSNBC delivers breaking news, in-depth analysis of political headlines, commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Inside with Jen Psaki, Morning Joe, The Beat, Deadline: White House, All In, The Last Word, The 11th Hour, and more.

Connect with MSNBC Online 
Visit msnbc.com: https://www.msnbc.com/ 
Subscribe to the MSNBC Daily Newsletter: https://link.msnbc.com/join/5ck/msnbc-daily-signup

#AI #Robot #soccer",2025-06-30 21:23:44+00:00,PT47S,47,0:00:47,https://www.youtube.com/watch?v=Am09yatOg0w,Technology,Technology,
8,MSNBC,lOzOVDxrHUc,‘How complete the purge is now’: Ex-GOP advisor reacts to two lawmakers leaving Congress,"Both a Republican senator and a congressman announced they will not seek re-election amid criticism from President Trump. Former advisor to George W. Bush and John McCain Mark McKinnon, National Affairs Correspondent at The Nation John Nichols, Global Health Policy Expert Dr. Vin Gupta and University of Michigan Economics and Public Policy Professor Justin Wolfers join Katy Tur to weigh in on the possible repercussions surrounding the passage of this bill. For more context and news coverage of the most important stories of our day click here: https://www.msnbc.com/

» Subscribe to MSNBC: https://www.youtube.com/msnbc
» Subscribe to MSNBC on TikTok https://www.tiktok.com/@msnbc 
» Subscribe to MSNBC on Instagram https://www.instagram.com/msnbc 
Download our new MSNBC app for the latest breaking news and daily headlines at a glance: https://www.msnbc.com/information/download-msnbc-app-n1241692

Follow MSNBC Show Blogs 
MaddowBlog: https://www.msnbc.com/maddowblog
ReidOut Blog: https://www.msnbc.com/reidoutblog

MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, The Beat with Ari Melber, Deadline: White House, The ReidOut, All In, Last Word, 11th Hour, and Alex Wagner who brings her breadth of reporting experience to MSNBC primetime. 
 
Connect with MSNBC Online 
Visit msnbc.com: https://www.msnbc.com/ 
Subscribe to the MSNBC Daily Newsletter: https://link.msnbc.com/join/5ck/msnbc-daily-signup",2025-06-30 21:15:06+00:00,PT12M20S,740,0:12:20,https://www.youtube.com/watch?v=lOzOVDxrHUc,Politics,Politics,Elections
9,MSNBC,Otw2CW3NTJY,‘Most deeply immoral piece of legislation I’ve ever voted on’: Sen. Murphy blasts,"As the Senate’s “vote-a-rama” continues on Capitol Hill, Sen. Chris Murphy (D-CT) joins Katy Tur to discuss how Senators, both Democrat and Republican, are attempting to offer amendments to “try to make [the bill] better.” For more context and news coverage of the most important stories of our day click here: https://www.msnbc.com/

» Subscribe to MSNBC: https://www.youtube.com/msnbc
» Subscribe to MSNBC on TikTok https://www.tiktok.com/@msnbc 
» Subscribe to MSNBC on Instagram https://www.instagram.com/msnbc 
Download our new MSNBC app for the latest breaking news and daily headlines at a glance: https://www.msnbc.com/information/download-msnbc-app-n1241692

Follow MSNBC Show Blogs 
MaddowBlog: https://www.msnbc.com/maddowblog
ReidOut Blog: https://www.msnbc.com/reidoutblog

MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show, Morning Joe, The Beat with Ari Melber, Deadline: White House, The ReidOut, All In, Last Word, 11th Hour, and Alex Wagner who brings her breadth of reporting experience to MSNBC primetime. 
 
Connect with MSNBC Online 
Visit msnbc.com: https://www.msnbc.com/ 
Subscribe to the MSNBC Daily Newsletter: https://link.msnbc.com/join/5ck/msnbc-daily-signup",2025-06-30 21:00:33+00:00,PT8M25S,505,0:08:25,https://www.youtube.com/watch?v=Otw2CW3NTJY,Politics,Politics,Democracy
