Unnamed: 0,channel_title,video_id,title,description,publishedAt,duration_iso,duration_seconds,duration_hms,url,section,merged_section,subsection
0,NowThis Impact,iP6dz5sF2Ek,The Impact of Defunding Planned Parenthood,"This was the plan all along, as outlined in Project 2025: Defund Planned Parenthood and instead funnel funding into so-called ‘crisis pregnancy centers’ — clinics that spread misinformation and don’t actually support public health, but exist to promote the MAGA agenda.",2025-06-30 22:30:30+00:00,PT1M22S,82,0:01:22,https://www.youtube.com/watch?v=iP6dz5sF2Ek,Politics,Politics,Reproductive Rights
1,NowThis Impact,o7xlcYyu0Hk,Who Are Republicans Really Working For?,"After criticizing Trump’s bill for taking from the poor to give to the rich, Sen. Warnock asks a crucial question: If 64% of Americans aren’t in favor of the bill, then who are Republicans in Congress really working for?",2025-06-30 21:00:43+00:00,PT1M13S,73,0:01:13,https://www.youtube.com/watch?v=o7xlcYyu0Hk,Politics,Politics,Taxes
2,NowThis Impact,SzQxrdigINI,Supreme Court's Impact on Birthright Citizenship,MSNBC host Symone Sanders erupted following the Supreme Court’s ruling that allows Trump’s unconstitutional executive orders — like his order to halt birthright citizenship guaranteed under the 14th Amendment — to go into effect in jurisdictions that don’t directly challenge the action in court. This could mean citizenship rules vary by state. She went on to say the ruling is an ‘existential threat to the rule of law.’,2025-06-30 19:30:29+00:00,PT21S,21,0:00:21,https://www.youtube.com/watch?v=SzQxrdigINI,Politics,Politics,Immigration
3,NowThis Impact,f3g6wMyF6y4,Performers Protest Trump with One Gay More Parody,"In defiance of Trump’s cancellation of other Pride Month events at the Kennedy Center, Senator Hickenlooper held a celebration anyway last week. The performers wrapped up the night with a parody of ‘One Day More’ from Les Miserables, aptly renamed ‘One Gay More.’",2025-06-30 19:01:04+00:00,PT1M59S,119,0:01:59,https://www.youtube.com/watch?v=f3g6wMyF6y4,Entertainment,Entertainment,
4,NowThis Impact,UHasH8TDj_o,"The Harmful Impact of the GOP’s Big, Ugly Bill","Rep. Brendan Boyle is 100% right. According to multiple independent analyses, including from the Nonpartisan Congressional Budget Office, the GOP’s ‘Big, Ugly Bill’ would kick 13.7 million people off of their health insurance by 2034 to pay for tax cuts that mostly benefit billionaires and the ultra-rich. Ultimately, the bill would result in the largest transfer of wealth from the poor to the rich in U.S. history.",2025-06-30 18:00:48+00:00,PT33S,33,0:00:33,https://www.youtube.com/watch?v=UHasH8TDj_o,Politics,Politics,Healthcare
5,NowThis Impact,VYCW7RpU28w,Comedian Patton Oswalt Takes Aim at ICE in Brutal Takedown,Doesn't a snack sound good?,2025-06-29 16:00:51+00:00,PT1M29S,89,0:01:29,https://www.youtube.com/watch?v=VYCW7RpU28w,Lifestyle,Lifestyle,
6,NowThis Impact,Gp7iB9X1N3k,Scarlett Johansson Speaks Out: Why Planned Parenthood Matters,"As Republicans attempt to defund Planned Parenthood, remember — these clinics provide essential health care for millions of women.",2025-06-28 16:00:39+00:00,PT46S,46,0:00:46,https://www.youtube.com/watch?v=Gp7iB9X1N3k,Politics,Politics,Reproductive Rights
7,NowThis Impact,P0GXXVFwPZM,Queen of the Netherlands Mocks Trump,"Queen Máxima of the Netherlands, we applaud you",2025-06-28 00:00:32+00:00,PT12S,12,0:00:12,https://www.youtube.com/watch?v=P0GXXVFwPZM,Royalty,Royalty,
8,NowThis Impact,SCN-KluP_Qs,CPCs Ordered to Stop Interfering in Ectopic Pregnancy Diagnoses,Crisis pregnancy centers have recently been told to stop performing ultrasounds for ectopic pregnancies.,2025-06-27 23:00:36+00:00,PT1M36S,96,0:01:36,https://www.youtube.com/watch?v=SCN-KluP_Qs,Health,Health,
9,NowThis Impact,2p-pZJ90i84,Murkowski’s Book Launch Interrupted by Activists Urging Climate Action,"Climate Defiance activists showed up at Alaska Sen. Lisa Murkowski’s book launch to call on her to vote against Trump’s tax and spending bill — legislation that would defund initiatives aimed at protecting the environment and combating climate change.

Murkowski, a Republican who has recently considered becoming a Democrat or Independent, is a crucial vote in determining whether the bill passes and is still undecided.",2025-06-27 22:00:48+00:00,PT54S,54,0:00:54,https://www.youtube.com/watch?v=2p-pZJ90i84,Politics,Politics,Environment
