Unnamed: 0,channel_title,video_id,title,description,publishedAt,duration_iso,duration_seconds,duration_hms,url,section,merged_section
0,NPR,2KptHaep8R8,What is a refugee? And how have refugees been impacted since President Trump took office?,,2025-06-30 20:00:01+00:00,PT1M47S,107,0:01:47,https://www.youtube.com/watch?v=2KptHaep8R8,Please provide the text you would like me to analyze.,Unknown
1,NPR,1PdFj_p5dNM,Humanoid robots compete in China soccer tournament,"Four teams of robots competed in a 3-on-3 soccer tournament in China over the weekend. Organizers said that the humanoid robots operated independently and were powered by AI. The winner was Tsing-Hua University, which defeated China Agricultural University, 5-3.

The founder and CEO of Booster Robotics, the company that supplied the robot players, told the Associated Press that sports competitions offer the ideal testing ground for humanoid robots, helping to accelerate the development of both algorithms and integrated hardware-software systems.",2025-06-30 17:45:01+00:00,PT24S,24,0:00:24,https://www.youtube.com/watch?v=1PdFj_p5dNM,Technology,Technology
2,NPR,fM3m4BzFZj4,Two Firefighters Killed In Ambush-Style Attack In Idaho | NPR News Now,"NPR’s “News Now” is a roundup of the top stories of the day. Click “Show More” for a list of today’s stories:

0:00 Today’s Top Stories
0:17 Gunman Dead After Killing Two Firefighters In Idaho
0:46 Senate Moves Forward On Trump-Backed Tax And Spending Bill
1:34 IAEA Director Says Iran Could Enrich Uranium Within Months
2:42 Newsom Scales Back Healthcare For Undocumented Immigrants
3:38 Parades, Political Protests Mark Final Weekend Of Pride Month
4:43 Jury Deliberation Expected To Begin Today In Sean 'Diddy' Combs Trial
5:34 Trump Says There Is A Buyer For TikTok App
6:35 Humanoid Robots Compete In Soccer Tournament In China

NOTE: Captions are auto-generated by YouTube.

Cover Photo: KREM via AP

SUBSCRIBE TO OTHER NPR CHANNELS
NPR Music: https://www.youtube.com/@nprmusic
NPR Podcasts: https://www.youtube.com/@UCuVaB0t5qJRxP55gEl6TuKQ
Fresh Air: https://www.youtube.com/@thisisfreshair

FOLLOW NPR ELSEWHERE
https://www.npr.org
https://www.instagram.com/npr
https://www.tiktok.com/@npr
https://www.facebook.com/NPR

The NPR shows you love are possible thanks to your support. Donate today: https://www.npr.org/donations/support

#tiktok #trump #pridemonth #firefighters",2025-06-30 14:50:00+00:00,PT7M2S,422,0:07:02,https://www.youtube.com/watch?v=fM3m4BzFZj4,News,General News
3,NPR,GyQB8TFDOqM,This summer's most talked-about performance on London's West End doesn't require a ticket.,"The latest production of the musical Evita — about Eva Perón, Argentina's first lady in the 1940s and early 1950s — is playing at London's Palladium theater through early September. But it's what the star does offstage that's creating lots of buzz.

------------------------------------------------------

Follow NPR elsewhere, too:
• Instagram: https://www.instagram.com/npr/
• TikTok: https://www.tiktok.com/@npr
• Facebook: https://www.facebook.com/NPR",2025-06-29 18:00:12+00:00,PT1M4S,64,0:01:04,https://www.youtube.com/watch?v=GyQB8TFDOqM,Arts & Entertainment,Arts & Entertainment
4,NPR,gcoZQAeIgtg,Trump's tariffs raising the price of wedding dresses in the U.S.,"Wedding gown makers and sellers are urging the federal government to exempt formalwear from President Trump's sweeping new global tariffs — China is by far the biggest hub for bridal gowns — and not just dresses, but also trims and crystals, veils and hair pieces.

Many brands have already started raising prices to offset tariff costs. Some stores are still absorbing them; others have begun charging brides.

The bridal retailers association says tariffs will not bring gown-making jobs to the U-S given the highly limited pool of skilled craftsmen for hand-beading, embroidery or lacework.

Tap the link in our bio to read the full story.

------------------------------------------------------

Follow NPR elsewhere, too:
• Instagram: https://www.instagram.com/npr/
• TikTok: https://www.tiktok.com/@npr
• Facebook: https://www.facebook.com/NPR",2025-06-29 16:00:59+00:00,PT1M3S,63,0:01:03,https://www.youtube.com/watch?v=gcoZQAeIgtg,Business,Business & Economy
5,NPR,oaIlb7so4Ws,This is the only prototype of the MingKwai typewriter,"The genius of this rare prototype MingKwai typewriter comes from the way Lin Yutang, its creator, decided to break down Chinese pictographs by their shapes, not by sounds.

------------------------------------------------------

Follow NPR elsewhere, too:
• Instagram: https://www.instagram.com/npr/
• TikTok: https://www.tiktok.com/@npr
• Facebook: https://www.facebook.com/NPR",2025-06-29 11:01:21+00:00,PT1M22S,82,0:01:22,https://www.youtube.com/watch?v=oaIlb7so4Ws,Arts & Culture,Arts & Culture
6,NPR,AK0HMPCNYrg,How pride has evolved and stayed the same,"In 1994, New York's Pride festivities focused on human rights violations affecting gay, lesbian, bisexual and transgender communities around the world. NPR's Jim Zarroli was there in 1994 and interviewed one of the original participants in the Stonewall riots.

Today, NPR's Korva Coleman explores how Pride may have evolved over the years but in many ways the goals of the LGBTQ community have remained the same.

------------------------------------------------------

Follow NPR elsewhere, too:
• Instagram: https://www.instagram.com/npr/
• TikTok: https://www.tiktok.com/@npr
• Facebook: https://www.facebook.com/NPR",2025-06-28 09:00:28+00:00,PT2M5S,125,0:02:05,https://www.youtube.com/watch?v=AK0HMPCNYrg,LGBTQ+ News,Social Issues
7,NPR,JqemKtW2BE0,Hegseth announces new name for USNS Harvey Milk,"The Pentagon has announced that the U.S. Navy is changing the name of one of its ships.

The USNS Harvey Milk will be renamed the Oscar V. Peterson. Defense Secretary Pete Hegseth says the decision was made to take the politics out of ship naming.

Oscar V. Peterson was awarded the medal of honor for heroism during the Battle of the Coral Sea in 1942.

The USNS Harvey Milk was originally named in honor of Harvey Milk, a pioneering gay rights activist and Navy veteran.

------------------------------------------------------

Follow NPR elsewhere, too:
• Instagram: https://www.instagram.com/npr/
• TikTok: https://www.tiktok.com/@npr
• Facebook: https://www.facebook.com/NPR",2025-06-27 23:30:11+00:00,PT37S,37,0:00:37,https://www.youtube.com/watch?v=JqemKtW2BE0,Military News,Defense & Security
8,NPR,2j1cptiMULw,Immigration detentions reach new record highs,"The number of people detained by Immigration and Customs Enforcement has been rapidly growing.

More than 55,000 people are now held in ICE custody, according to data from the administration, numbers that now surpassed the administration's previous high of those detained, which was reached during Trump's first term in 2019.

Historical data collected by The Marshall Project suggest that the number — met just this month — is the highest ever recorded. What’s more, it is nearly 15,000 more people than what ICE is currently funded for.

Immigration experts say a big driver of the growth in how many people are detained comes from a shift in priorities: The Trump administration is arresting more people who haven’t committed any crimes beyond their civil immigration violation. Nearly three out of four people currently in ICE custody have no criminal record — and that includes minor offenses like traffic violations.

------------------------------------------------------

Follow NPR elsewhere, too:
• Instagram: https://www.instagram.com/npr/
• TikTok: https://www.tiktok.com/@npr
• Facebook: https://www.facebook.com/NPR",2025-06-27 21:30:00+00:00,PT1M5S,65,0:01:05,https://www.youtube.com/watch?v=2j1cptiMULw,Immigration,World
9,NPR,P3sWNRizWN0,Anna Wintour to step down as Vogue Editor-in-Chief,"Long-time American “Vogue” editor-in-chief Anna Wintour has announced that she’s moving away from her position, but she’ll continue in her roles at Condé Nast and for “Vogue.”

Wintour’s plate has been full in recent years. In addition to the day-to-day editing of American “Vogue,” she oversees almost all of Conde Nast’s other brands including “Wired,” “Vanity Fair” and “GQ.”

Wintour joined “Vogue” as editor-in-chief in 1988. She went on to launch “Teen Vogue” and “Men’s Vogue.”

------------------------------------------------------

Follow NPR elsewhere, too:
• Instagram: https://www.instagram.com/npr/
• TikTok: https://www.tiktok.com/@npr
• Facebook: https://www.facebook.com/NPR",2025-06-27 20:00:35+00:00,PT59S,59,0:00:59,https://www.youtube.com/watch?v=P3sWNRizWN0,Fashion,Arts & Culture
