,channel_title,video_id,title,description,publishedAt,duration_iso,duration_seconds,duration_hms,url
0,The New York Times,uXGSgp5Mam0,Biden Joins Mourners of Assassinated Lawmaker and Her Husband,"Former President Biden joined thousands of mourners who streamed through the Minnesota State Capitol on Friday to pay their respects to State Representative Melissa Hortman and her husband, Mark. The couple were killed at their home this month in suburban Minneapolis, in what officials have described as a broader plan to assassinate Democratic officials.

Biden knelt briefly and crossed himself in front of the caskets, which flanked an urn containing the remains of the family’s beloved dog, Gilbert, who was also killed in the attack.

Read the story here: https://nyti.ms/4nuppks
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-28T15:01:27Z,PT54S,54,0:00:54,https://www.youtube.com/watch?v=uXGSgp5Mam0
1,The New York Times,-6Pqs-heGkg,What Motherhood Cost Us | NYT Opinion,"Research has shown that 15 years after graduating college, mothers earn 11 percent less than women without children — and a staggering 42 percent less than fathers. There’s a term for this: the “motherhood penalty.” Last year, Times Opinion asked readers to tell us about their path to becoming mothers. Nearly 2,000 women of varying ages and from all corners of the country wrote in, but they weren’t all interested in describing their journey to parenthood. Instead, many shared how having children had put them in a punishing financial bind.

This week, Opinion published a video featuring interviews we conducted over the past several months with some of these women.

Reading through reader submissions, I was most struck by the stories of women who were confronting retirement with paltry financial reserves after leaving ambitious careers. They had found more flexible part-time work or in some cases dropped out of the labor market entirely to stay home with their kids, facing insurmountable child care costs or the demands of caring for children with special needs.

Listening to these women, you can tell they don’t regret having children — despite the sacrifices they’ve had to make. “Was it worth it? 100 percent,” one woman in the video said. It just shouldn’t come at such a high cost.

More from The New York Times Video: 
Opinion Video: https://www.nytimes.com/spotlight/opi...
Subscribe: http://bit.ly/U8Ys7n
Watch all of our videos here: http://nytimes.com/video​​
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-28T14:00:01Z,PT5M4S,304,0:05:04,https://www.youtube.com/watch?v=-6Pqs-heGkg
2,The New York Times,1Za5tYmNatQ,Young Father Announces His Own Death From Cancer,"Tanner Martin documented his five-year-long battle against colon cancer for his hundreds of thousands of followers on social media before passing away at age 30. He left behind his young family and a legacy of candid honesty about living with cancer. #cancer 

Read the story here: https://nyti.ms/4nlcRvs
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-27T17:00:04Z,PT1M27S,87,0:01:27,https://www.youtube.com/watch?v=1Za5tYmNatQ
3,The New York Times,_IGypF0MUeM,Watch Hiccup and Toothless Connect in ‘How to Train Your Dragon’ | Anatomy of a Scene,"In the live-action version of “How to Train Your Dragon,” expressions can speak louder than words.

That’s the case in this early scene from the film, in which Hiccup (Mason Thames) has caught a Night Fury dragon and is conflicted about what to do. He comes from a line of Vikings who kill dragons as part of their warrior tribe, but when Hiccup gets close to the Night Fury, he connects with the dragon (whom he later nicknames Toothless) and can’t muster the will to kill the creature.

Narrating the scene, the director Dean DeBlois (who also directed the 2010 animated film), said, “This is one of the scenes that follows quite closely the animated movie. It’s a handful of scenes that I wanted to recreate almost shot for shot. But in this case we realized we didn’t need a lot of the dialogue that we gave Hiccup in the animated version. So much of it could be played on Mason Thames’s face.”

DeBlois said he spoke with his actor about the emotional way to play the scene.

“I remember on the day talking to Mason before we started rolling cameras, and I said, ‘Don’t forget, this is the moment you reference later in the movie when you looked into his eyes and you saw yourself.’ It seems like a moment of weakness but this is that strength in disguise that causes Hiccup to be a new thinker that can usher in an era of peace that nobody saw coming.”

Read the New York Times review: https://nyti.ms/4lwp9Q8
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-27T15:00:59Z,PT2M36S,156,0:02:36,https://www.youtube.com/watch?v=_IGypF0MUeM
4,The New York Times,LEQYXAPuOLc,Bezos Wedding Divides Venice as Festivities Kick Off,"This week, Jeff Bezos, the founder of Amazon and one of the world’s richest men, is set to marry Lauren Sánchez, a former TV reporter, in Venice, Italy, where some locals are upset about the event. #Venice #wedding 

Read the story here: https://nyti.ms/4loocJt
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-26T17:00:33Z,PT1M40S,100,0:01:40,https://www.youtube.com/watch?v=LEQYXAPuOLc
5,The New York Times,z4a_aUNysj0,How Zohran Mamdani Says He Won,"Emma Fitzsimmons, City Hall bureau chief for The New York Times, speaks with State Assemblyman Zohran Mamdani and explains how he claimed victory over former Gov. Andrew Cuomo in the Democratic mayoral primary. #Mamdani #newyorkcity

Read the story here: https://nyti.ms/44zIOca
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-26T15:30:38Z,PT2M53S,173,0:02:53,https://www.youtube.com/watch?v=z4a_aUNysj0
6,The New York Times,2YnACM4Ct9E,Were the USAID Cuts ‘Efficient?’,"When President Trump took office, USAID was one of the first agencies to be dismantled, as he froze aid funding and Elon Musk's DOGE team cut most staff members. Amy Schoenfeld Walker, our reporter who has been tracking the foreign aid cuts and restorations, shares what she’s learned.

Video by Amy Schoenfeld Walker, Christina Thornell, Nikolay Nikolov, Claire Hogan, Melanie Bencosme, Laura Salaberry. #USAID #aid #Trump #ElonMusk #DOGE

Read the story here: https://nyti.ms/4k73DQB
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-25T23:00:02Z,PT2M25S,145,0:02:25,https://www.youtube.com/watch?v=2YnACM4Ct9E
7,The New York Times,T_gZrvrXKgA,Mamdani Declares Victory in NYC Mayoral Primary,"Zohran Mamdani, a formerly little-known state lawmaker whose progressive platform and campaign trail charisma electrified younger voters, stunned former Gov. Andrew Cuomo in the Democratic primary for mayor of New York City on Tuesday night, building a lead so commanding that Cuomo conceded. 

Mamdani, a 33-year-old democratic socialist from Queens, tapped into a current of anxiety around New York City’s growing affordability crisis. His campaign brought new voters into the fold who rejected the scandal-scarred Cuomo’s ominous characterizations of the city and embraced an economic platform that included free bus service and child care and publicly owned grocery stores. #NewYork #mayor

Read the story here:https://nyti.ms/45A8aaS
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-25T19:30:05Z,PT1M35S,95,0:01:35,https://www.youtube.com/watch?v=T_gZrvrXKgA
8,The New York Times,PoVq6Mv5MpE,The Efforts to Erase Black History,"President Trump’s executive orders have sought to reframe the history of race and culture in America. Erica L. Green, a White House correspondent for The New York Times, describes the efforts to erase Black history. #Trump

Video by Erica L. Green, Karen Hanley, David Jouppi, Alexandra Ostasiewicz and Whitney Shefte/The New York Times

Read the story here: https://nyti.ms/45BXAjB
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-24T20:00:30Z,PT2M28S,148,0:02:28,https://www.youtube.com/watch?v=PoVq6Mv5MpE
9,The New York Times,wIc_NvOiiFA,Andrew Schulz on the Podcast Manosphere,"The comedian and podcaster Andrew Schulz is known for his defiantly anti-woke standup as well as his podcasts. David Marchese, a host of “The Interview” podcast, spoke to Schulz about his growing political influence, his frustrations with the media and what podcasters like him are responsible for now.

Watch the full conversation: https://youtu.be/bnsN7GiCOYE
For more episodes of The Interview: https://youtube.com/playlist?list=PLJI0LFwrJ8Kl8wRL8oqS32EagmpH2yorK

Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",2025-06-24T17:01:17Z,PT2M11S,131,0:02:11,https://www.youtube.com/watch?v=wIc_NvOiiFA
