Unnamed: 0,channel_title,video_id,title,description,publishedAt,duration_iso,duration_seconds,duration_hms,url,section,merged_section
0,Reuters,gketzU8TCxY,French wildfire smoke engulfs highway as blazes spread | REUTERS,"Wildfires broke out in France's southwestern Aude department, where temperatures topped 104 degrees Fahrenheit, burning 400 hectares and forcing some evacuations, authorities said. 
#News #Reuters #Newsfeed #wildfire #europe #france #environment #globalwarming #heatwave 

Read the story here: https://reut.rs/4lb0tgj

👉  Subscribe: http://smarturl.it/reuterssubscribe

Keep up with the latest news from around the world: https://www.reuters.com/
Follow Reuters on Facebook: https://www.facebook.com/Reuters
Follow Reuters on Twitter: https://twitter.com/Reuters
Follow Reuters on Instagram: https://www.instagram.com/reuters/?hl=en",2025-06-30 22:14:14+00:00,PT26S,26,0:00:26,https://www.youtube.com/watch?v=gketzU8TCxY,Environment,Climate & Environment
1,Reuters,zf6YU0hB4os,French wildfire smoke engulfs highway,"Wildfires broke out in France's southwestern Aude department, where temperatures topped 104 degrees Fahrenheit, burning 988 acres and forcing some evacuations, authorities said. 
 
🔗 Read more about the fires ravaging Turkey and France at our link in bio.
 
#wildfire #turkey #france #aude #extremeheat #heatwave 

Read the story here: 

👉  Subscribe: http://smarturl.it/reuterssubscribe

Keep up with the latest news from around the world: https://www.reuters.com/
Follow Reuters on Facebook: https://www.facebook.com/Reuters
Follow Reuters on Twitter: https://twitter.com/Reuters
Follow Reuters on Instagram: https://www.instagram.com/reuters/?hl=en",2025-06-30 21:43:53+00:00,PT26S,26,0:00:26,https://www.youtube.com/watch?v=zf6YU0hB4os,Environment,Climate & Environment
2,Reuters,hvfR5vlLi3U,LIVE: Update on Idaho firefighter shootings,"Kootenai County Sheriff Robert Norris holds a briefing on the forest fire and shooting after a gunman ambushed and shot dead two firefighters responding to a fire in Idaho on Sunday, wounding one other before the suspect was found dead. 
 
#Live #Reuters #News #Koontenaicounty #Idaho #Wildfires 
Keep up with the latest news from around the world: https://www.reuters.com/",2025-06-30 21:36:59+00:00,PT47M38S,2858,0:47:38,https://www.youtube.com/watch?v=hvfR5vlLi3U,Breaking News,Breaking News
3,Reuters,wY6370TNmVg,Who will succeed Daniel Craig as the next James Bond? | REUTERS,"With the announcement of Oscar-nominated director Denis Villeneuve taking the helm of the next 'James Bond' movie, fans hope to soon find out who will follow in Daniel Craig's footsteps.
 
#jamesbond #danielcraig #entertainment #News #Reuters #newsfeed 
👉  Subscribe: http://smarturl.it/reuterssubscribe

Keep up with the latest news from around the world: https://www.reuters.com/
Follow Reuters on Facebook: https://www.facebook.com/Reuters
Follow Reuters on Twitter: https://twitter.com/Reuters
Follow Reuters on Instagram: https://www.instagram.com/reuters/?hl=en",2025-06-30 20:06:22+00:00,PT1M20S,80,0:01:20,https://www.youtube.com/watch?v=wY6370TNmVg,Entertainment,Entertainment
4,Reuters,sG5jXqtKQnw,"Seven killed during Togo protests, human rights activists say | REUTERS","Seven people were killed during anti-government protests in Togo, said human rights activists, who accused security forces of using 'shocking violence' against protesters.

#togo #protests #violence #News #Reuters #Newsfeed 

Read the story here: https://reut.rs/3TkedJo

👉  Subscribe: http://smarturl.it/reuterssubscribe

Keep up with the latest news from around the world: https://www.reuters.com/
Follow Reuters on Facebook: https://www.facebook.com/Reuters
Follow Reuters on Twitter: https://twitter.com/Reuters
Follow Reuters on Instagram: https://www.instagram.com/reuters/?hl=en",2025-06-30 20:06:18+00:00,PT1M22S,82,0:01:22,https://www.youtube.com/watch?v=sG5jXqtKQnw,World News,World
5,Reuters,I5cBTj3SHu8,"WNBA expands teams to Cleveland, Detroit and Philadelphia | REUTERS","The WNBA announced new franchises to Cleveland, Detroit and Philadelphia, rapidly advancing expansion plans in the top-flight North American women's league. 
#News #Reuters #Newsfeed #sports #wnba #basketball #usa #sportsleagues 

Read the story here: https://reut.rs/4lDMLCx

👉  Subscribe: http://smarturl.it/reuterssubscribe

Keep up with the latest news from around the world: https://www.reuters.com/
Follow Reuters on Facebook: https://www.facebook.com/Reuters
Follow Reuters on Twitter: https://twitter.com/Reuters
Follow Reuters on Instagram: https://www.instagram.com/reuters/?hl=en",2025-06-30 19:57:52+00:00,PT1M21S,81,0:01:21,https://www.youtube.com/watch?v=I5cBTj3SHu8,Sports,Sports
6,Reuters,4VzU6Y64-3w,"Senate Republicans move to extend tax cuts, brushing off price tag | REUTERS","US Senate Republicans will try to pass President Donald Trump's sweeping tax-cut and spending bill, despite divisions within the party about its expected $3.3 trillion hit to the nation's debt pile.

#usa #spendingbill #senate #News #Reuters #Newsfeed 

Read the story here: 

👉  Subscribe: http://smarturl.it/reuterssubscribe

Keep up with the latest news from around the world: https://www.reuters.com/
Follow Reuters on Facebook: https://www.facebook.com/Reuters
Follow Reuters on Twitter: https://twitter.com/Reuters
Follow Reuters on Instagram: https://www.instagram.com/reuters/?hl=en",2025-06-30 19:23:38+00:00,PT2M33S,153,0:02:33,https://www.youtube.com/watch?v=4VzU6Y64-3w,Politics,Politics
7,Reuters,FmJIGqjPeHc,LIVE: State Department briefing,"State Department spokesperson Tammy Bruce holds a briefing after an advisory from U.S. government officials said Iranian-affiliated hackers may target U.S. companies and critical infrastructure operators, particularly defense organizations with holdings or relationships with Israeli research and defense firms.
 
#live #News #Reuters #iran #israel #israeliran #StateDepartment #TammyBruce 
Keep up with the latest news from around the world: https://www.reuters.com/",2025-06-30 18:34:11+00:00,PT32M15S,1935,0:32:15,https://www.youtube.com/watch?v=FmJIGqjPeHc,Cybersecurity,Technology
8,Reuters,0ILE0xNWo9g,LIVE: State Department briefing,"State Department spokesperson Tammy Bruce holds a briefing after an advisory from U.S. government officials said Iranian-affiliated hackers may target U.S. companies and critical infrastructure operators, particularly defense organizations with holdings or relationships with Israeli research and defense firms.
 
#live #News #Reuters #iran #israel #israeliran #StateDepartment #TammyBruce 

Keep up with the latest news from around the world: https://www.reuters.com/",2025-06-30 18:34:02+00:00,PT20M31S,1231,0:20:31,https://www.youtube.com/watch?v=0ILE0xNWo9g,National Security,Defense & Security
9,Reuters,IIqaAuDJc4M,Heatwave washes over Western Europe | REUTERS,"In France, electric fans were selling fast and in Seville, people chose to cool off with fans, cold drinks and water from a street fountain, as Europe baked in a heat wave. 
#News #Reuters #Newsfeed #heatwave #portugal #spain #italy #europe 

Read the story here: https://reut.rs/4lBHziy

👉  Subscribe: http://smarturl.it/reuterssubscribe

Keep up with the latest news from around the world: https://www.reuters.com/
Follow Reuters on Facebook: https://www.facebook.com/Reuters
Follow Reuters on Twitter: https://twitter.com/Reuters
Follow Reuters on Instagram: https://www.instagram.com/reuters/?hl=en",2025-06-30 18:24:00+00:00,PT53S,53,0:00:53,https://www.youtube.com/watch?v=IIqaAuDJc4M,Weather,Weather
