,channel_title,video_id,title,description,publishedAt,duration_iso,duration_seconds,duration_hms,url
0,Vox,0IEc6yoVf-s,"If AI can do your classwork, why go to college? | The Gray Area","Sean Illing talks with James Walsh, a features writer for New York Magazine's Intelligencer, about his recent article, ""Everyone is Cheating Their Way Through College."" 

Subscribe to our channel! http://goo.gl/0bsAjO

What’s the point of college if no one’s actually doing the work? It’s not a rhetorical question. In the age of AI, it's incredibly easy for students to offload their assignments. AI tools can write essays, make study guides, and even complete whole assignments.
So what is the point of higher education?

In today’s episode, Sean speaks with journalist James Walsh about his recent article, ""Everyone is Cheating Their Way Through College."" The two discuss how students are using AI to finish their assignments, how colleges are (and aren’t) responding to these challenges, and whether you can learn to think when something else does the thinking for you.

Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.

Watch our full video catalog: http://goo.gl/IZONyE
Follow Vox on Facebook: http://goo.gl/U2g06o
Or Twitter: http://goo.gl/XFrZ5H",2025-06-30T12:00:03Z,PT49M35S,2975,0:49:35,https://www.youtube.com/watch?v=0IEc6yoVf-s
1,Vox,sAS6uY8khuU,RFK Jr. just purged and replaced all of the vaccine advisers at the CDC. #shorts,"Can you still trust the government’s vaccine recommendations?

Subscribe to our channel and turn on notifications (🔔) so you don't miss any videos: http://goo.gl/0bsAjO

Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.

Watch our full video catalog: http://goo.gl/IZONyE
Follow Vox on TikTok: http://tiktok.com/@voxdotcom
Check out our articles: https://www.vox.com/
Listen to our podcasts: https://www.vox.com/podcasts",2025-06-27T19:25:00Z,PT2M7S,127,0:02:07,https://www.youtube.com/watch?v=sAS6uY8khuU
2,Vox,Ka7eVi8qpV8,Why are small towns losing emergency services volunteers? #shorts,"Subscribe to our channel and turn on notifications (🔔) so you don't miss any videos: http://goo.gl/0bsAjO

Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.

Watch our full video catalog: http://goo.gl/IZONyE
Follow Vox on TikTok: http://tiktok.com/@voxdotcom
Check out our articles: https://www.vox.com/
Listen to our podcasts: https://www.vox.com/podcasts",2025-06-25T21:28:38Z,PT1M5S,65,0:01:05,https://www.youtube.com/watch?v=Ka7eVi8qpV8
3,Vox,eds_MxfNw5Q,Should small towns still have volunteer EMS?,"The US volunteer fire and ambulance shortage, explained.

Thanks to our sponsor, T-Mobile: http://t-mobile.com/FirstResponders

In US small towns, emergency fire and ambulance first responder agencies are still mostly staffed by volunteers – a practice put in place in the 1970s and 1980s. But these volunteers are increasingly older, with fewer young people signing up than previous decades. Higher cost of living and a diminishing rural population has made volunteering less appealing than it used to be. We interviewed experts in the field of emergency response to figure out how to get those volunteers back, and the answer may be a simple one: pay them for their time. 

Support our work. Become a Vox Member today: http://www.vox.com/memberships

Subscribe to our channel and turn on notifications (🔔) so you don't miss any videos: http://goo.gl/0bsAjO

Sources and further reading: 

Retention and Recruitment for the Volunteer Emergency Services, US Fire Administration
https://www.usfa.fema.gov/downloads/pdf/publications/retention-and-recruitment-for-volunteer-emergency-services.pdf

U.S. fire department profile, NFPA
https://www.nfpa.org/education-and-research/research/nfpa-research/fire-statistical-reports/us-fire-department-profile

Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.

Watch our full video catalog: http://goo.gl/IZONyE
Follow Vox on Facebook: http://goo.gl/U2g06o
Or Twitter: http://goo.gl/XFrZ5H",2025-06-25T18:36:39Z,PT7M49S,469,0:07:49,https://www.youtube.com/watch?v=eds_MxfNw5Q
4,Vox,5-G1F15XYnw,Does yogurt contain probiotics?,"Ellen, please call me.

Subscribe to our channel and turn on notifications (🔔) so you don't miss any videos: http://goo.gl/0bsAjO

Vox reader Ellen sent in the question: Are probiotic yogurts a gimmick?  Aren’t all yogurts probiotic? Is calling it probiotic just a ploy to get you to pay more for yogurt?

In this video, we break down what probiotics actually are, whether they do what they claim, and how yogurt fits into the picture. Are all yogurts probiotic? Are probiotics even worth it? Or is it all just a marketing scam? 

Want to submit your own question? Head over to vox.com/ask-vox and tell us what you’re curious about.

Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.

Watch our full video catalog: http://goo.gl/IZONyE
Follow Vox on TikTok: http://tiktok.com/@voxdotcom
Check out our articles: https://www.vox.com/
Listen to our podcasts: https://www.vox.com/podcasts",2025-06-24T12:00:09Z,PT1M3S,63,0:01:03,https://www.youtube.com/watch?v=5-G1F15XYnw
5,Vox,oxDJqUHikr0,The consequences of US’s attack on Iran’s nuclear sites #shorts,"Things that could make Trump’s attack on Iran spiral out of control

Subscribe to our channel and turn on notifications (🔔) so you don't miss any videos: http://goo.gl/0bsAjO

Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.

Watch our full video catalog: http://goo.gl/IZONyE
Follow Vox on TikTok: http://tiktok.com/@voxdotcom
Check out our articles: https://www.vox.com/
Listen to our podcasts: https://www.vox.com/podcasts",2025-06-23T22:03:33Z,PT1M52S,112,0:01:52,https://www.youtube.com/watch?v=oxDJqUHikr0
6,Vox,BlJbpZ7-G08,To summer camp or not to summer camp 🤔,"Maybe summer camps are overrated. 🎧 Listen to this episode of Explain It to Me wherever you get your podcasts.

Subscribe to our channel and turn on notifications (🔔) so you don't miss any videos: http://goo.gl/0bsAjO

Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.

Watch our full video catalog: http://goo.gl/IZONyE
Follow Vox on TikTok: http://tiktok.com/@voxdotcom
Check out our articles: https://www.vox.com/
Listen to our podcasts: https://www.vox.com/podcasts",2025-06-22T12:00:23Z,PT58S,58,0:00:58,https://www.youtube.com/watch?v=BlJbpZ7-G08
7,Vox,sYj09lx15ik,Are probiotics in yogurt a gimmick?,"Ellen, please call me.

Subscribe to our channel! http://goo.gl/0bsAjO

Vox reader Ellen sent in the question: Are probiotic yogurts a gimmick?  Aren’t all yogurts probiotic? Is calling it probiotic just a ploy to get you to pay more for yogurt?

Ellen didn’t leave a way to get in contact with her, but it’s a good question! So we thought we’d get to the bottom of it, on behalf of all Ellen’s who may have ever wondered this same thing.

In this video, we break down what probiotics actually are, whether they do what they claim, and how yogurt fits into the picture. Are all yogurts probiotic? Are probiotics even worth it? Or is it all just a marketing scam? 

To find out, I talked to a few experts, dug into the research, and ate more yogurt than I thought possible.

Want to submit your own question to Explain It To me? Head over to vox.com/ask-vox and tell us what you’re curious about.

Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.

Watch our full video catalog: http://goo.gl/IZONyE
Follow Vox on Facebook: http://goo.gl/U2g06o
Or Twitter: http://goo.gl/XFrZ5H",2025-06-17T13:01:38Z,PT7M18S,438,0:07:18,https://www.youtube.com/watch?v=sYj09lx15ik
8,Vox,vf6k_fTkcYM,Is Trump winning? | The Gray Area,"Sean Illing talks with Zack Beauchamp, Vox senior correspondent and the author of the On the Right newsletter. 

Subscribe to our channel! http://goo.gl/0bsAjO

We’re nearly six months into Donald Trump’s second term as president, and a lot of us are still trying to figure out what that actually means. Not just politically. But culturally. What kind of country are we living in? And what kind of future are we heading toward?

In today’s episode, Sean and Vox senior correspondent Zack Beauchamp try to answer these difficult questions. They discuss Trump’s successes and failures, how he appeals to his supporters, and how the left can respond to the Trump administration.

Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.

Watch our full video catalog: http://goo.gl/IZONyE
Follow Vox on Facebook: http://goo.gl/U2g06o
Or Twitter: http://goo.gl/XFrZ5H",2025-06-16T12:01:43Z,PT42M52S,2572,0:42:52,https://www.youtube.com/watch?v=vf6k_fTkcYM
9,Vox,FTA8txZ3id0,The military is getting political #shorts,"A very big, very beautiful military parade is happening on Trump’s birthday. But there's a lot more to it than you think.

Subscribe to our channel and turn on notifications (🔔) so you don't miss any videos: http://goo.gl/0bsAjO

Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com.

Watch our full video catalog: http://goo.gl/IZONyE
Follow Vox on TikTok: http://tiktok.com/@voxdotcom
Check out our articles: https://www.vox.com/
Listen to our podcasts: https://www.vox.com/podcasts",2025-06-13T19:46:29Z,PT1M52S,112,0:01:52,https://www.youtube.com/watch?v=FTA8txZ3id0
