outlet,platform,date,entity,sentiment
bbc,youtube,2025-05-31,Hamas,0.05714285714285715
bbc,youtube,2025-05-31,Earlier this week,0.05714285714285715
bbc,youtube,2025-05-31,the White House,0.05714285714285715
bbc,youtube,2025-05-31,Steve Witkoff's,0.05714285714285715
bbc,youtube,2025-05-31,"At least 54,381",0.05714285714285715
bbc,youtube,2025-05-31,Hamas,0.05714285714285715
bbc,youtube,2025-05-31,Hamas,0.05714285714285715
bbc,youtube,2025-05-31,BBCNews,0.05714285714285715
bbc,youtube,2025-05-31,nine months,0.09761904761904762
bbc,youtube,2025-05-31,Butch Wilmore,0.09761904761904762
bbc,youtube,2025-05-31,Suni Williams,0.09761904761904762
bbc,youtube,2025-05-31,Starliner,0.09761904761904762
bbc,youtube,2025-05-31,Two months,0.09761904761904762
bbc,youtube,2025-05-31,Reagan Morris,0.09761904761904762
bbc,youtube,2025-05-31,BBCNews,0.09761904761904762
bbc,youtube,2025-05-31,BBCNews,0.5
bbc,youtube,2025-05-31,Pete Hegseth,0.19999999999999998
bbc,youtube,2025-05-31,Hegseth,0.19999999999999998
bbc,youtube,2025-05-31,BBCNews,0.19999999999999998
bbc,youtube,2025-05-31,BBCNews,0.5
bbc,youtube,2025-05-31,25% to 50%,0.125
bbc,youtube,2025-05-31,14bn,0.125
bbc,youtube,2025-05-31,US Steel,0.125
bbc,youtube,2025-05-31,Nippon Steel,0.125
bbc,youtube,2025-05-31,BBCNews,0.125
bbc,youtube,2025-05-30,Gerry Adams,-0.025000000000000005
bbc,youtube,2025-05-30,Sinn Féin,-0.025000000000000005
bbc,youtube,2025-05-30,"100,000",-0.025000000000000005
bbc,youtube,2025-05-30,Denis Donaldson,-0.025000000000000005
bbc,youtube,2025-05-30,Donaldson,-0.025000000000000005
bbc,youtube,2025-05-30,Gerry Adams,-0.025000000000000005
bbc,youtube,2025-05-30,Sinn Féin,-0.025000000000000005
bbc,youtube,2025-05-30,BBC News,-0.025000000000000005
bbc,youtube,2025-05-30,Chris Page,-0.025000000000000005
bbc,youtube,2025-05-30,BBCNews,-0.025000000000000005
bbc,youtube,2025-05-30,Tom Fletcher,0.004761904761904763
bbc,youtube,2025-05-30,last week,0.004761904761904763
bbc,youtube,2025-05-30,three-month,0.004761904761904763
bbc,youtube,2025-05-30,two weeks,0.004761904761904763
bbc,youtube,2025-05-30,two-month,0.004761904761904763
bbc,youtube,2025-05-30,Hamas,0.004761904761904763
bbc,youtube,2025-05-30,BBCNews,0.004761904761904763
bbc,youtube,2025-05-30,Vicki,0.25535714285714284
bbc,youtube,2025-05-30,Keir Starmer’s,0.25535714285714284
bbc,youtube,2025-05-30,Nigel Farage,0.25535714285714284
bbc,youtube,2025-05-30,Robert Jenrick,0.25535714285714284
bbc,youtube,2025-05-30,the London Underground,0.25535714285714284
bbc,youtube,2025-05-30,#BBCNews #,0.25535714285714284
bbc,youtube,2025-05-30,PerriKaryal,-0.10000000000000002
bbc,youtube,2025-05-30,MissMikkaa,-0.10000000000000002
bbc,youtube,2025-05-30,Elden Ring,-0.10000000000000002
bbc,youtube,2025-05-30,Nightreign,-0.10000000000000002
bbc,youtube,2025-05-30,Perri,-0.10000000000000002
bbc,youtube,2025-05-30,MissMikka,-0.10000000000000002
bbc,youtube,2025-05-30,MissMikkaa,-0.10000000000000002
bbc,youtube,2025-05-30,Elden Ring: Nightreign,-0.10000000000000002
bbc,youtube,2025-05-30,FromSoftware,-0.10000000000000002
bbc,youtube,2025-05-30,Bandai Namco,-0.10000000000000002
bbc,youtube,2025-05-30,#EldenRing #,-0.10000000000000002
bbc,youtube,2025-05-30,BBCNews,-0.10000000000000002
bbc,youtube,2025-05-30,a day,-0.00714285714285715
bbc,youtube,2025-05-30,the White House,-0.00714285714285715
bbc,youtube,2025-05-30,the US Court of International Trade,-0.00714285714285715
bbc,youtube,2025-05-30,#Tariffs #,-0.00714285714285715
bbc,youtube,2025-05-30,BBCNews,-0.00714285714285715
bbc,youtube,2025-05-29,Caitríona Perry,0.18772136953955137
bbc,youtube,2025-05-29,Americast’s,0.18772136953955137
bbc,youtube,2025-05-29,Gillian Tett,0.18772136953955137
bbc,youtube,2025-05-29,Newscast,0.18772136953955137
bbc,youtube,2025-05-29,Ask BBC Sounds,0.18772136953955137
bbc,youtube,2025-05-29,Newscast,0.18772136953955137
bbc,youtube,2025-05-29,Newscast,0.18772136953955137
bbc,youtube,2025-05-29,every day,0.18772136953955137
bbc,youtube,2025-05-29,BBC Sounds,0.18772136953955137
bbc,youtube,2025-05-29,Adam Fleming,0.18772136953955137
bbc,youtube,2025-05-29,Rufus Gray,0.18772136953955137
bbc,youtube,2025-05-29,Shiler Mahmoudi,0.18772136953955137
bbc,youtube,2025-05-29,Michael Regaard,0.18772136953955137
bbc,youtube,2025-05-29,Chris Gray,0.18772136953955137
bbc,youtube,2025-05-29,Sam Bonham,0.18772136953955137
bbc,youtube,2025-05-29,Lucy Hockings,0.06499999999999999
bbc,youtube,2025-05-29,Vitaly Shevchenko,0.06499999999999999
bbc,youtube,2025-05-29,Taurus,0.06499999999999999
bbc,youtube,2025-05-29,Olga Ivshina,0.06499999999999999
bbc,youtube,2025-05-29,Mikey Kay,0.06499999999999999
bbc,youtube,2025-05-29,BBC News,0.06499999999999999
bbc,youtube,2025-05-29,BBCNews,0.06499999999999999
bbc,youtube,2025-05-29,Paul Doyle,0.05500000000000001
bbc,youtube,2025-05-29,53-year-old,0.05500000000000001
bbc,youtube,2025-05-29,West Derby,0.05500000000000001
bbc,youtube,2025-05-29,Liverpool Magistrates' Court,0.05500000000000001
bbc,youtube,2025-05-29,nine years old,0.05500000000000001
bbc,youtube,2025-05-29,Liverpool FC's,0.05500000000000001
bbc,youtube,2025-05-29,BBCNews,0.05500000000000001
bbc,youtube,2025-05-29,Marco Rubio,0.1142857142857143
bbc,youtube,2025-05-29,the Chinese Communist Party,0.1142857142857143
bbc,youtube,2025-05-29,recent months,0.1142857142857143
bbc,youtube,2025-05-29,BBCNews,0.1142857142857143
bbc,youtube,2025-05-29,two-week,0.06237373737373738
bbc,youtube,2025-05-29,Sergey Lavrov,0.06237373737373738
bbc,youtube,2025-05-29,Marco Rubio,0.06237373737373738
bbc,youtube,2025-05-29,next week,0.06237373737373738
bbc,youtube,2025-05-29,BBCNews,0.06237373737373738
bbc,youtube,2025-05-29,World Food Programme,0.02148760330578512
bbc,youtube,2025-05-29,WFP,0.02148760330578512
bbc,youtube,2025-05-29,Al-Ghafari,0.02148760330578512
bbc,youtube,2025-05-29,Deir Al-Balah,0.02148760330578512
bbc,youtube,2025-05-29,BBCNews,0.02148760330578512
bbc,youtube,2025-05-29,Elon Musk,0.17250000000000001
bbc,youtube,2025-05-29,the Department of Government Efficiency,0.17250000000000001
bbc,youtube,2025-05-29,Doge,0.17250000000000001
bbc,youtube,2025-05-29,Doge,0.17250000000000001
bbc,youtube,2025-05-29,USTariffs,0.17250000000000001
bbc,youtube,2025-05-29,BBCNews,0.17250000000000001
bbc,youtube,2025-05-29,Josef Stalin,0.14772727272727273
bbc,youtube,2025-05-29,the Soviet Union,0.14772727272727273
bbc,youtube,2025-05-29,More than three years,0.14772727272727273
bbc,youtube,2025-05-29,Steve Rosenberg,0.14772727272727273
bbc,youtube,2025-05-29,BBCNews,0.14772727272727273
bbc,youtube,2025-05-29,Lyse Doucet,0.20840548340548343
bbc,youtube,2025-05-29,Rafah,0.20840548340548343
bbc,youtube,2025-05-29,Gaza Humanitarian Foundation,0.20840548340548343
bbc,youtube,2025-05-29,the European Commission,0.20840548340548343
bbc,youtube,2025-05-29,Kaja Kallas,0.20840548340548343
bbc,youtube,2025-05-29,Mark Rowley,0.20840548340548343
bbc,youtube,2025-05-29,the Metropolitan Police,0.20840548340548343
bbc,youtube,2025-05-29,Alex Forsyth,0.20840548340548343
bbc,youtube,2025-05-29,Newscast,0.20840548340548343
bbc,youtube,2025-05-29,Ask BBC Sounds,0.20840548340548343
bbc,youtube,2025-05-29,Newscast,0.20840548340548343
bbc,youtube,2025-05-29,Newscast,0.20840548340548343
bbc,youtube,2025-05-29,every day,0.20840548340548343
bbc,youtube,2025-05-29,BBC Sounds,0.20840548340548343
bbc,youtube,2025-05-29,Adam Fleming,0.20840548340548343
bbc,youtube,2025-05-29,Miranda Slade,0.20840548340548343
bbc,youtube,2025-05-29,Shiler Mahmoudi,0.20840548340548343
bbc,youtube,2025-05-29,Mike Regaard,0.20840548340548343
bbc,youtube,2025-05-29,Chris Gray,0.20840548340548343
bbc,youtube,2025-05-29,Sam Bonham,0.20840548340548343
bbc,youtube,2025-05-28,Rodynske,0.20303030303030303
bbc,youtube,2025-05-28,Yogita Limaye,0.20303030303030303
bbc,youtube,2025-05-28,Rodynske,0.20303030303030303
bbc,youtube,2025-05-28,Zelensky,0.20303030303030303
bbc,youtube,2025-05-28,"more than 50,000",0.20303030303030303
bbc,youtube,2025-05-28,Sumy,0.20303030303030303
bbc,youtube,2025-05-28,Jane Hill,0.20303030303030303
bbc,youtube,2025-05-28,BBC News,0.20303030303030303
bbc,youtube,2025-05-28,Yogita Limaye,0.20303030303030303
bbc,youtube,2025-05-28,Sanjay Ganguly,0.20303030303030303
bbc,youtube,2025-05-28,Imogen Anderson,0.20303030303030303
bbc,youtube,2025-05-28,Jessica Parker,0.20303030303030303
bbc,youtube,2025-05-28,James Waterhouse,0.20303030303030303
bbc,youtube,2025-05-28,BBCNews,0.20303030303030303
bbc,youtube,2025-05-28,BBCNews,0.16
bbc,youtube,2025-05-28,Friedrich Merz,0.09090909090909091
bbc,youtube,2025-05-28,Volodymyr Zelensky,0.09090909090909091
bbc,youtube,2025-05-28,Kyiv,0.09090909090909091
bbc,youtube,2025-05-28,Taurus,0.09090909090909091
bbc,youtube,2025-05-28,earlier this month,0.09090909090909091
bbc,youtube,2025-05-28,Kyiv's Western,0.09090909090909091
bbc,youtube,2025-05-28,BBCNews,0.09090909090909091
bbc,youtube,2025-05-28,Kaja Kallas,0.032196969696969696
bbc,youtube,2025-05-28,Hamas,0.032196969696969696
bbc,youtube,2025-05-28,"3,924",0.032196969696969696
bbc,youtube,2025-05-28,Hamas,0.032196969696969696
bbc,youtube,2025-05-28,health ministry,0.032196969696969696
bbc,youtube,2025-05-28,Hamas,0.032196969696969696
bbc,youtube,2025-05-28,Kallas,0.032196969696969696
bbc,youtube,2025-05-28,BBCNews,0.032196969696969696
bbc,youtube,2025-05-28,PDD Holdings,0.12833333333333333
bbc,youtube,2025-05-28,Temu,0.12833333333333333
bbc,youtube,2025-05-28,50%,0.12833333333333333
bbc,youtube,2025-05-28,more than 13%,0.12833333333333333
bbc,youtube,2025-05-28,the first three months of the year,0.12833333333333333
bbc,youtube,2025-05-28,14.74bn yuan,0.12833333333333333
bbc,youtube,2025-05-28,2.05bn,0.12833333333333333
bbc,youtube,2025-05-28,1.5bn,0.12833333333333333
bbc,youtube,2025-05-28,Earlier this month,0.12833333333333333
bbc,youtube,2025-05-28,less than $800,0.12833333333333333
bbc,youtube,2025-05-28,593,0.12833333333333333
bbc,youtube,2025-05-28,BBCNews,0.12833333333333333
bbc,youtube,2025-05-28,Joel Le Scouarnec,0.12499999999999999
bbc,youtube,2025-05-28,between 1989 and 2014,0.12499999999999999
bbc,youtube,2025-05-28,20 years,0.12499999999999999
bbc,youtube,2025-05-28,Le Scouarnec,0.12499999999999999
bbc,youtube,2025-05-28,December 2020 to 15 years,0.12499999999999999
bbc,youtube,2025-05-28,Brittany,0.12499999999999999
bbc,youtube,2025-05-28,late February,0.12499999999999999
bbc,youtube,2025-05-28,BBCNews,0.12499999999999999
bbc,youtube,2025-05-28,The UN Human Rights Office,0.1512626262626263
bbc,youtube,2025-05-28,Hamas,0.1512626262626263
bbc,youtube,2025-05-28,health ministry,0.1512626262626263
bbc,youtube,2025-05-28,IDF,0.1512626262626263
bbc,youtube,2025-05-28,the Gaza Humanitarian Foundation's,0.1512626262626263
bbc,youtube,2025-05-28,Rafah,0.1512626262626263
bbc,youtube,2025-05-28,BBCNews,0.1512626262626263
bbc,youtube,2025-05-28,the next five years,0.0
bbc,youtube,2025-05-28,the World Meteorological Organization,0.0
bbc,youtube,2025-05-28,BBCNews,0.0
bbc,youtube,2025-05-28,BBCNews,0.11666666666666667
bbc,youtube,2025-05-27,a day earlier,0.06481481481481483
bbc,youtube,2025-05-27,the Gaza Humanitarian Foundation's,0.06481481481481483
bbc,youtube,2025-05-27,GHF,0.06481481481481483
bbc,youtube,2025-05-27,Rafah,0.06481481481481483
bbc,youtube,2025-05-27,GHF,0.06481481481481483
bbc,youtube,2025-05-27,the United Nations,0.06481481481481483
bbc,youtube,2025-05-27,11-week,0.06481481481481483
bbc,youtube,2025-05-27,recent days,0.06481481481481483
bbc,youtube,2025-05-27,Rafah,0.06481481481481483
bbc,youtube,2025-05-27,2.1 million,0.06481481481481483
bbc,youtube,2025-05-27,GHF,0.06481481481481483
bbc,youtube,2025-05-27,Hamas,0.06481481481481483
bbc,youtube,2025-05-27,Ben Brown,0.06481481481481483
bbc,youtube,2025-05-27,BBC News,0.06481481481481483
bbc,youtube,2025-05-27,Lucy Williamson,0.06481481481481483
bbc,youtube,2025-05-27,BBCNews,0.06481481481481483
bbc,youtube,2025-05-27,53 year old,0.14707792207792206
bbc,youtube,2025-05-27,West Derby,0.14707792207792206
bbc,youtube,2025-05-27,Sally Nugent,0.14707792207792206
bbc,youtube,2025-05-27,Tom Symonds,0.14707792207792206
bbc,youtube,2025-05-27,Newscast,0.14707792207792206
bbc,youtube,2025-05-27,Ask BBC Sounds,0.14707792207792206
bbc,youtube,2025-05-27,Newscast,0.14707792207792206
bbc,youtube,2025-05-27,Newscast,0.14707792207792206
bbc,youtube,2025-05-27,every day,0.14707792207792206
