outlet,platform,date,entity,sentiment
foxnews,twitter,2025-07-03,Biden,0.0
foxnews,twitter,2025-07-03,@timburchett,0.425
foxnews,twitter,2025-07-03,@realdonaldtrump,0.425
foxnews,twitter,2025-07-03,Melania Trump,0.625
foxnews,twitter,2025-07-03,Hakeem Jeffries,-0.7
foxnews,twitter,2025-07-03,@FLOTUS,0.0
foxnews,twitter,2025-07-03,the Bunny Mellon Healing Garden,0.0
foxnews,twitter,2025-07-03,July Fourth,0.0
foxnews,twitter,2025-07-03,National Hospital,0.0
foxnews,twitter,2025-07-03,Abrego Garcia,-0.4
foxnews,twitter,2025-07-03,Salvadoran,-0.4
foxnews,twitter,2025-07-03,Fox News True Crime Newsletter,0.175
foxnews,twitter,2025-07-03,Bryan Kohberger's,0.175
foxnews,twitter,2025-07-03,Barry Morphew's,0.175
foxnews,twitter,2025-07-03,Rockefeller,0.175
foxnews,twitter,2025-07-03,Rubio,0.5
foxnews,twitter,2025-07-03,July Fourth weekend,0.2833333333333333
foxnews,twitter,2025-07-03,the Iowa State Fairground,0.2833333333333333
foxnews,twitter,2025-07-03,last day,0.2833333333333333
foxnews,twitter,2025-07-03,California AG,-0.25
foxnews,twitter,2025-07-03,Theron,0.30000000000000004
foxnews,twitter,2025-07-03,26-year-old,0.30000000000000004
foxnews,twitter,2025-07-03,@FLOTUS,0.0
foxnews,twitter,2025-07-03,July Fourth weekend,0.0
foxnews,twitter,2025-07-03,National Hospital,0.0
foxnews,twitter,2025-07-03,Lia Thomas',0.0
foxnews,twitter,2025-07-03,UPenn,0.0
foxnews,twitter,2025-07-03,DNC,0.425
foxnews,twitter,2025-07-03,Dem,0.425
foxnews,twitter,2025-07-03,Clayton Kershaw,0.0
foxnews,twitter,2025-07-03,MLB,0.0
foxnews,twitter,2025-07-03,"3,000",0.0
foxnews,twitter,2025-07-03,July Fourth,0.2833333333333333
foxnews,twitter,2025-07-03,Brad Pitt,0.3333333333333333
foxnews,twitter,2025-07-03,Bradley Cooper,0.3333333333333333
foxnews,twitter,2025-07-03,PGA,0.15
foxnews,twitter,2025-07-03,Justin Thomas,0.15
foxnews,twitter,2025-07-03,@realDonaldTrump,0.4
foxnews,twitter,2025-07-03,@FLOTUS,0.4
foxnews,twitter,2025-07-03,Edan Alexander,0.4
foxnews,twitter,2025-07-03,the White House,0.4
foxnews,twitter,2025-07-03,Hamas,0.4
foxnews,twitter,2025-07-03,584 days,0.4
foxnews,twitter,2025-07-03,July Fourth,0.2125
foxnews,twitter,2025-07-03,Julio César Chávez Jr.,0.0
foxnews,twitter,2025-07-03,ICE days,0.0
foxnews,twitter,2025-07-03,Jake Paul,0.0
foxnews,twitter,2025-07-03,Sarah Michelle Gellar,0.0
foxnews,twitter,2025-07-03,the White House,0.06818181818181818
foxnews,twitter,2025-07-03,@realDonaldTrump,0.06818181818181818
foxnews,twitter,2025-07-03,"59,070",0.06818181818181818
foxnews,twitter,2025-07-03,"225,700",0.06818181818181818
foxnews,twitter,2025-07-03,Shark Tank',-0.4
foxnews,twitter,2025-07-03,Barbara Corcoran,-0.4
foxnews,twitter,2025-07-03,July Fourth,0.2125
foxnews,twitter,2025-07-03,Fox News ‘Antisemitism Exposed’ Newsletter,-0.45
foxnews,twitter,2025-07-03,Phil’s,0.0
foxnews,twitter,2025-07-03,Merit Street Media,0.0
foxnews,twitter,2025-07-03,Trinity Broadcasting,0.0
foxnews,twitter,2025-07-03,Coast Guard,0.3
foxnews,twitter,2025-07-03,Alito,0.0
foxnews,twitter,2025-07-03,Hakeem Jeffries,0.425
foxnews,twitter,2025-07-03,Kevin McCarthy,0.425
foxnews,twitter,2025-07-03,July Fourth,0.2125
foxnews,twitter,2025-07-03,Alcatraz,-0.1
foxnews,twitter,2025-07-03,all-night,0.2833333333333333
foxnews,twitter,2025-07-03,Reservoir Dogs',-0.2
foxnews,twitter,2025-07-03,Michael Madsen,-0.2
foxnews,twitter,2025-07-03,George Takei,-0.25
foxnews,twitter,2025-07-03,Imane Khelif,0.0
foxnews,twitter,2025-07-03,Biden-era,0.0
foxnews,twitter,2025-07-03,DEI,0.0
foxnews,twitter,2025-07-03,Colby,0.0
foxnews,twitter,2025-07-03,"@realDonaldTrump
 's",0.02500000000000001
foxnews,twitter,2025-07-03,the Supreme Court's,0.02500000000000001
foxnews,twitter,2025-07-03,"@realDonaldTrump
 's",0.0
foxnews,twitter,2025-07-03,Guardians,0.0
foxnews,twitter,2025-07-03,Luis Ortiz,0.0
foxnews,twitter,2025-07-03,MLB,0.0
foxnews,twitter,2025-07-03,Mel Owens,0.3
foxnews,twitter,2025-07-03,2028,0.0
foxnews,twitter,2025-07-03,"147,000",0.08611111111111111
foxnews,twitter,2025-07-03,last month,0.08611111111111111
foxnews,twitter,2025-07-03,John Brennan,-0.2
foxnews,twitter,2025-07-03,Trump Russia,-0.2
foxnews,twitter,2025-07-03,Bryan Dean Wright,0.25
foxnews,twitter,2025-07-03,Brennan,0.25
foxnews,twitter,2025-07-03,Steele,0.25
foxnews,twitter,2025-07-03,Brennan,0.25
foxnews,twitter,2025-07-03,ICA,0.25
foxnews,twitter,2025-07-03,John Brennan,-0.2
foxnews,twitter,2025-07-03,anti-Israel,0.13125
foxnews,twitter,2025-07-03,Diddy,0.15000000000000002
foxnews,twitter,2025-07-03,a year,0.15000000000000002
foxnews,twitter,2025-07-03,Mark Geragos,0.15000000000000002
foxnews,twitter,2025-07-03,Ex-CBS,-0.5
foxnews,twitter,2025-07-03,Dan Rather,-0.5
