outlet,platform,date,entity,sentiment
huffpost,tiktok,2025-06-04,Karoline Leavitt,-0.5
huffpost,tiktok,2025-06-06,Alexandria Ocasio-Cortez,0.0
huffpost,tiktok,2025-06-06,AOC,0.0
huffpost,tiktok,2025-06-09,Ellen Lee,0.2452020202020202
huffpost,tiktok,2025-06-09,New York Liberty,0.2452020202020202
huffpost,tiktok,2025-06-09,Elephant,0.2452020202020202
huffpost,tiktok,2025-06-09,Shana Stephenson,0.2452020202020202
huffpost,tiktok,2025-06-09,Gavin Newson,0.0
huffpost,tiktok,2025-06-09,the National Guard,0.0
huffpost,tiktok,2025-06-10,Kristi Noem,0.0
huffpost,tiktok,2025-06-10,Californians,0.0
huffpost,tiktok,2025-06-10,Gavin Newsom,0.0
huffpost,tiktok,2025-06-10,the National Guard,0.0
huffpost,tiktok,2025-06-11,Karoline Leavitt,-0.175
huffpost,tiktok,2025-06-11,Sydney Kamlager-Dove,-1.0
huffpost,tiktok,2025-06-11,C-SPAN,-1.0
huffpost,tiktok,2025-06-11,DonaldTrump,-1.0
huffpost,tiktok,2025-06-11,Brittany Wong,0.21666666666666667
huffpost,tiktok,2025-06-12,Maxwell Frost,0.0
huffpost,tiktok,2025-06-12,Marjorie Taylor Greene,0.0
huffpost,tiktok,2025-06-12,Kristi Noem,0.0
huffpost,tiktok,2025-06-12,Alex Padilla,0.0
huffpost,tiktok,2025-06-12,Noem,0.0
huffpost,tiktok,2025-06-12,Alex Padilla,0.5
huffpost,tiktok,2025-06-12,Kristi Noem,0.5
huffpost,tiktok,2025-06-12,MSNBC,0.5
huffpost,tiktok,2025-06-12,Stacey Plaskett,0.0
huffpost,tiktok,2025-06-12,Scott Bessent,0.0
huffpost,tiktok,2025-06-13,Ryan Martin,0.03749999999999999
huffpost,tiktok,2025-06-13,🔗 @Ryan,0.03749999999999999
huffpost,tiktok,2025-06-13,Alexandria Ocasio-Cortez,-0.12333333333333334
huffpost,tiktok,2025-06-13,Tim Burchett,-0.12333333333333334
huffpost,tiktok,2025-06-13,the United States,-0.12333333333333334
huffpost,tiktok,2025-06-13,Ocasio-Cortez,-0.12333333333333334
huffpost,tiktok,2025-06-17,NYC,0.13636363636363635
huffpost,tiktok,2025-06-17,Brad Lander,0.13636363636363635
huffpost,tiktok,2025-06-17,#nyc #,0.13636363636363635
huffpost,tiktok,2025-06-18,Two weeks ago,0.1616161616161616
huffpost,tiktok,2025-06-18,Jen Hamilton,0.1616161616161616
huffpost,tiktok,2025-06-18,Matthew 25,0.1616161616161616
huffpost,tiktok,2025-06-18,MAGA,0.1616161616161616
huffpost,tiktok,2025-06-18,more than 8.6 million,0.1616161616161616
huffpost,tiktok,2025-06-18,MAGA,0.1616161616161616
huffpost,tiktok,2025-06-18,Jen Hamilton/Instagram,0.1616161616161616
huffpost,tiktok,2025-06-18,Brittany Wong,0.1616161616161616
huffpost,tiktok,2025-06-18,Elissa Slotkin,0.0
huffpost,tiktok,2025-06-18,Pete Hegseth,0.0
huffpost,tiktok,2025-06-18,the Senate Armed Services Committee,0.0
huffpost,tiktok,2025-06-18,Jennifer Bendery,-0.016666666666666663
huffpost,tiktok,2025-06-19,Alex Padilla,0.1375
huffpost,tiktok,2025-06-19,Padilla,0.1375
huffpost,tiktok,2025-06-19,Kristi Noem,0.1375
huffpost,tiktok,2025-06-19,last week,0.1375
huffpost,tiktok,2025-06-19,🖊,0.1375
huffpost,tiktok,2025-06-20,Tini,0.0
huffpost,tiktok,2025-06-20,CookingHacks #Pantry,0.0
huffpost,tiktok,2025-06-20,Freezer,0.0
huffpost,tiktok,2025-06-20,Flour,0.0
huffpost,tiktok,2025-06-20,National Intelligence Tulsi Gabbard’s,0.0
huffpost,tiktok,2025-06-20,TulsiGabbard,0.0
huffpost,tiktok,2025-06-20,Tini,0.0
huffpost,tiktok,2025-06-20,CookingHacks,0.0
huffpost,tiktok,2025-06-20,Edith Bracho-Sánchez,0.24444444444444444
huffpost,tiktok,2025-06-25,Elephant,0.13636363636363635
huffpost,tiktok,2025-06-25,the New York Liberty,0.13636363636363635
huffpost,tiktok,2025-06-25,Mark Rutte,0.0
huffpost,tiktok,2025-06-26,Jasmine Crockett,0.125
huffpost,tiktok,2025-06-26,House Judiciary Committee,0.125
huffpost,tiktok,2025-06-26,Melania Trump,0.125
huffpost,tiktok,2025-06-26,S.V. Date,0.0
huffpost,tiktok,2025-06-27,the White House,0.0
huffpost,tiktok,2025-06-27,AG Pam Bondi,0.0
huffpost,tiktok,2025-06-27,the Supreme Court,0.0
huffpost,tiktok,2025-06-27,Sandoval,0.09999999999999998
huffpost,tiktok,2025-06-27,Latino,0.09999999999999998
huffpost,tiktok,2025-06-27,@Alejandro Sandoval,0.09999999999999998
huffpost,tiktok,2025-06-27,#Latino #,0.09999999999999998
huffpost,tiktok,2025-06-28,Parliamentarian,0.0
huffpost,tiktok,2025-06-28,Arthur Delaney,0.0
huffpost,tiktok,2025-06-28,MAGA,0.2
huffpost,tiktok,2025-06-28,Arthur Delaney,0.2
huffpost,tiktok,2025-06-28,Congrats,0.0
huffpost,tiktok,2025-06-28,GordonRamsay,0.0
