outlet,platform,date,entity,sentiment
huffpost,youtube,2025-05-23,Ellen Lee,0.3666666666666667
huffpost,youtube,2025-05-23,Koichi,0.3666666666666667
huffpost,youtube,2025-05-23,Dolly Parton,0.06818181818181818
huffpost,youtube,2025-05-13,90-day,0.4
huffpost,youtube,2025-05-12,20 years ago,0.5681818181818181
huffpost,youtube,2025-05-06,2025,-0.16666666666666666
huffpost,youtube,2025-05-05,Meet The Press,-0.125
huffpost,youtube,2025-05-01,Michael Waltz,0.0
huffpost,youtube,2025-05-01,Donald Trump’s,0.0
huffpost,youtube,2025-05-01,just over a month,0.0
huffpost,youtube,2025-05-01,NewsNation,0.25
