outlet,platform,date,entity,sentiment
msnbc,tiktok,2025-06-02,Nicolle Wallace's,0.4621212121212121
msnbc,tiktok,2025-06-02,The Best People with Nicolle Wallace,0.4621212121212121
msnbc,tiktok,2025-06-02,Jason Bateman,0.4621212121212121
msnbc,tiktok,2025-06-02,Rachel Maddow,0.4621212121212121
msnbc,tiktok,2025-06-02,Soliman,-0.1375
msnbc,tiktok,2025-06-02,the District of,-0.1375
msnbc,tiktok,2025-06-02,Mohamed Sabry Soliman,-0.1375
msnbc,tiktok,2025-06-02,52 to 88,-0.1375
msnbc,tiktok,2025-06-02,hundreds of thousands,-0.03888888888888889
msnbc,tiktok,2025-06-02,pridemonth,-0.03888888888888889
msnbc,tiktok,2025-06-02,Sicily’s Mount Etna,0.0
msnbc,tiktok,2025-06-02,several kilometers,0.0
msnbc,tiktok,2025-06-02,Boulder,-0.33181818181818185
msnbc,tiktok,2025-06-02,Hamas,-0.33181818181818185
msnbc,tiktok,2025-06-02,NBC News',-0.33181818181818185
msnbc,tiktok,2025-06-02,Morgan Chesky,-0.33181818181818185
msnbc,tiktok,2025-06-02,PDB,0.24
msnbc,tiktok,2025-06-02,Courtney Kube,0.24
msnbc,tiktok,2025-06-02,Joni Ernst,-0.03888888888888889
msnbc,tiktok,2025-06-02,last week,-0.03888888888888889
msnbc,tiktok,2025-06-02,Ernst,-0.03888888888888889
msnbc,tiktok,2025-06-02,the Tooth Fairy,-0.03888888888888889
msnbc,tiktok,2025-06-02,MorningJoe,-0.03888888888888889
msnbc,tiktok,2025-06-02,Joe Scarborough,-0.03888888888888889
msnbc,tiktok,2025-06-02,Boulder,-0.075
msnbc,tiktok,2025-06-02,Phil Weiser,-0.075
msnbc,tiktok,2025-06-02,Cabrera,-0.075
msnbc,tiktok,2025-06-02,Ukraine’s Security Service,0.03461538461538462
msnbc,tiktok,2025-06-02,at least 40,0.03461538461538462
msnbc,tiktok,2025-06-02,the years,0.03461538461538462
msnbc,tiktok,2025-06-02,Siberia,0.03461538461538462
msnbc,tiktok,2025-06-02,"2,500 miles",0.03461538461538462
msnbc,tiktok,2025-06-02,pro-Russian,0.03461538461538462
msnbc,tiktok,2025-06-02,Pearl Harbor,0.03461538461538462
msnbc,tiktok,2025-06-02,#ukraine #,0.03461538461538462
msnbc,tiktok,2025-06-02,#zelenskyy #,0.03461538461538462
msnbc,tiktok,2025-06-02,Mike Johnson,0.2625
msnbc,tiktok,2025-06-02,nearly $4 trillion,0.2625
