outlet,platform,date,entity,sentiment
nowthis,youtube,2025-05-31,Daniel Forkkio,0.5
nowthis,youtube,2025-05-31,the Elevate Prize Foundation’s Make Good Famous Summit,0.5
nowthis,youtube,2025-05-30,Biden,-0.2517857142857143
nowthis,youtube,2025-05-30,earlier this month,-0.2517857142857143
nowthis,youtube,2025-05-30,Classy,-0.2517857142857143
nowthis,youtube,2025-05-30,Dan Bongino,-0.3888888888888889
nowthis,youtube,2025-05-30,Savannah Chrisley,0.8
nowthis,youtube,2025-05-30,Jimmy Kimmel,0.8
nowthis,youtube,2025-05-30,Trump’s,0.0
nowthis,youtube,2025-05-30,Chambers of Mothers,0.25
nowthis,youtube,2025-05-29,Ashley Hinson,0.0
nowthis,youtube,2025-05-29,Hinson,0.0
nowthis,youtube,2025-05-29,Elon Musk’s,0.15625
nowthis,youtube,2025-05-29,the White House,0.15625
nowthis,youtube,2025-05-29,Lawrence O’Donnell,0.24888888888888888
nowthis,youtube,2025-05-29,The Last Word,0.24888888888888888
nowthis,youtube,2025-05-29,HHS,0.0
nowthis,youtube,2025-05-29,RFK Jr.,0.0
nowthis,youtube,2025-05-28,Sesame,0.25666666666666665
nowthis,youtube,2025-05-28,the Elevate Catalyst Award,0.25666666666666665
nowthis,youtube,2025-05-28,the Make Good Famous Summit,0.25666666666666665
nowthis,youtube,2025-05-28,Elevate Prize Foundation,0.25666666666666665
nowthis,youtube,2025-05-28,Carolina Garcia Jayaram,0.25666666666666665
nowthis,youtube,2025-05-28,"250,000",0.25666666666666665
nowthis,youtube,2025-05-28,Sesame Workshop,0.25666666666666665
nowthis,youtube,2025-05-28,@carolinagarciajayaram,0.25666666666666665
nowthis,youtube,2025-05-28,26 years old,0.18
nowthis,youtube,2025-05-28,Kat Abughazaleh,0.18
nowthis,youtube,2025-05-27,Jasmine Crockett,0.0
nowthis,youtube,2025-05-27,Trump’s West Point,0.0
nowthis,youtube,2025-05-27,About 27 minutes,-0.03333333333333333
nowthis,youtube,2025-05-27,Jay Bhattacharya,-0.03333333333333333
nowthis,youtube,2025-05-27,NIH,-0.03333333333333333
nowthis,youtube,2025-05-27,NIH,-0.03333333333333333
nowthis,youtube,2025-05-27,COVID,-0.03333333333333333
nowthis,youtube,2025-05-27,NIH,-0.03333333333333333
nowthis,youtube,2025-05-27,EcoHealth Alliance,-0.03333333333333333
nowthis,youtube,2025-05-27,the Wuhan Institute of Virology,-0.03333333333333333
nowthis,youtube,2025-05-27,NIH,-0.03333333333333333
nowthis,youtube,2025-05-27,SARS-CoV-2,-0.03333333333333333
nowthis,youtube,2025-05-27,COVID,-0.03333333333333333
nowthis,youtube,2025-05-27,more than 20,0.15
nowthis,youtube,2025-05-27,Hannah Fried,0.15
nowthis,youtube,2025-05-27,All Voting is Local,0.15
nowthis,youtube,2025-05-27,NowThis Impact,0.15
nowthis,youtube,2025-05-27,the Elevate Prize Foundation’s Make Good Famous Summit,0.15
nowthis,youtube,2025-05-25,Kermit,0.5
nowthis,youtube,2025-05-25,Mac Miller,-0.06666666666666667
nowthis,youtube,2025-05-24,Steve Madden,0.0
nowthis,youtube,2025-05-24,@thecuttingroomfloor,0.0
nowthis,youtube,2025-05-23,hurricane season,-0.3333333333333333
nowthis,youtube,2025-05-23,the National Weather Service,-0.3333333333333333
nowthis,youtube,2025-05-23,"5,200",0.125
nowthis,youtube,2025-05-23,2.9B,0.125
nowthis,youtube,2025-05-23,The Washington Post,0.11875
nowthis,youtube,2025-05-23,Elon Musk’s,0.11875
nowthis,youtube,2025-05-23,Internal State Department,0.11875
nowthis,youtube,2025-05-23,Starlink,0.11875
nowthis,youtube,2025-05-23,25%,0.16022727272727275
