outlet,platform,date,entity,sentiment
reuters,twitter,2025-07-01,Lithuania,0.0
reuters,twitter,2025-07-01,2025,-0.05555555555555555
reuters,twitter,2025-07-01,Danish,-0.05
reuters,twitter,2025-07-01,Circle Internet Group,0.38
reuters,twitter,2025-07-01,SEC,-0.1
reuters,twitter,2025-07-01,SPAC,-0.1
reuters,twitter,2025-07-01,Zohran Mamdani,0.043181818181818175
reuters,twitter,2025-07-01,Immigration and Customs Enforcement,0.043181818181818175
reuters,twitter,2025-07-01,13 years,0.0
reuters,twitter,2025-07-01,Novo Nordisk,0.0
reuters,twitter,2025-07-01,Afshar,0.0
reuters,twitter,2025-07-01,Bloomberg News,0.0
reuters,twitter,2025-07-01,Reuters Econ World,-0.06666666666666667
reuters,twitter,2025-07-01,Carmel Crimmins,-0.06666666666666667
reuters,twitter,2025-07-01,Andalusia,-0.31666666666666665
reuters,twitter,2025-07-01,Congo,0.0
reuters,twitter,2025-07-01,WTO,0.2
reuters,twitter,2025-07-01,Lucy Letby,-0.05
reuters,twitter,2025-07-01,The US Senate,0.25
reuters,twitter,2025-07-01,$3.3 trillion,0.25
reuters,twitter,2025-07-01,last month,0.05
reuters,twitter,2025-07-01,the European Central Bank's,0.05
reuters,twitter,2025-07-01,2%,0.05
reuters,twitter,2025-07-01,US Senate,0.0
reuters,twitter,2025-07-01,Model Y,0.3
reuters,twitter,2025-07-01,a sixth straight month,0.3
reuters,twitter,2025-07-01,Hezbollah,0.0
reuters,twitter,2025-07-01,Kandersteg,0.0
reuters,twitter,2025-07-01,weeks ago,0.0
reuters,twitter,2025-07-01,Vertex,0.0
reuters,twitter,2025-07-01,14 years,-0.5
reuters,twitter,2025-07-01,HSBC,-0.15
reuters,twitter,2025-07-01,2025,-0.15
reuters,twitter,2025-07-01,2026,-0.15
reuters,twitter,2025-07-01,Joby Aviation,0.103125
reuters,twitter,2025-07-01,next year,0.103125
reuters,twitter,2025-07-01,NYSE,0.0
reuters,twitter,2025-07-01,first-half,0.0
reuters,twitter,2025-07-01,Constitutional Court,0.0
reuters,twitter,2025-07-01,Paetongtarn Shinawatra,0.0
reuters,twitter,2025-07-01,Izhevsk,-0.2
reuters,twitter,2025-07-01,Alcatraz,-0.1
reuters,twitter,2025-07-01,Chair Powell,-0.0625
reuters,twitter,2025-07-01,ECB Forum,-0.0625
reuters,twitter,2025-07-01,Elon Musk,0.0
reuters,twitter,2025-07-01,Breakingviews - BBVA,0.0
reuters,twitter,2025-07-01,Superhuman,0.0
reuters,twitter,2025-07-01,Mali,-0.2
reuters,twitter,2025-07-01,61%,0.13636363636363635
reuters,twitter,2025-07-01,$5 billion,0.5
reuters,twitter,2025-07-01,Aviva-Direct Line,0.5
reuters,twitter,2025-07-01,LME,-0.155
reuters,twitter,2025-07-01,Renault,0.02777777777777778
reuters,twitter,2025-07-01,about $11 billion,0.02777777777777778
reuters,twitter,2025-07-01,Nissan,0.02777777777777778
reuters,twitter,2025-07-01,the first half,0.02777777777777778
reuters,twitter,2025-07-01,US Senate,-0.30000000000000004
reuters,twitter,2025-07-01,VP Vance,-0.30000000000000004
reuters,twitter,2025-07-01,BoE,0.0
reuters,twitter,2025-07-01,US Supreme Court,0.0
reuters,twitter,2025-07-01,Cinthia Murphy,0.26666666666666666
reuters,twitter,2025-07-01,2026,0.0
reuters,twitter,2025-07-01,Joby,0.0
reuters,twitter,2025-07-01,Kristi Noem,0.0
reuters,twitter,2025-07-01,the Justice Department,0.0
reuters,twitter,2025-07-01,Immigration and Customs Enforcement,0.0
reuters,twitter,2025-07-01,Petrofac,0.0
reuters,twitter,2025-07-01,Susie Wiles,0.0
reuters,twitter,2025-07-01,Lindsey Halligan,0.0
reuters,twitter,2025-07-01,Roger Stone,0.0
reuters,twitter,2025-07-01,Stormy Daniels,0.0
reuters,twitter,2025-07-01,the University of Oxford,0.1517857142857143
reuters,twitter,2025-07-01,July 1,-0.05
reuters,twitter,2025-07-01,SAS,0.3
reuters,twitter,2025-07-01,Embraer,0.3
reuters,twitter,2025-07-01,Xiaomi,0.3121212121212121
reuters,twitter,2025-07-01,more than a year,0.3121212121212121
reuters,twitter,2025-07-01,safety weeks,0.0
reuters,twitter,2025-07-01,Air India,0.0
reuters,twitter,2025-07-01,the Supreme Court,0.03333333333333333
reuters,twitter,2025-07-01,Lithuania,0.0
reuters,twitter,2025-07-01,2025,-0.05555555555555555
reuters,twitter,2025-07-01,@krishnadasassam,0.0
reuters,twitter,2025-07-01,the Reuters World News,0.0
reuters,twitter,2025-07-01,935,0.07499999999999998
reuters,twitter,2025-07-01,12-day,0.07499999999999998
reuters,twitter,2025-07-01,Luhansk,0.07499999999999998
reuters,twitter,2025-07-01,Danish,-0.05
reuters,twitter,2025-07-01,SEC,-0.1
reuters,twitter,2025-07-01,SPAC,-0.1
reuters,twitter,2025-07-01,Alcatraz,0.0
reuters,twitter,2025-07-01,bill deadline,0.0
reuters,twitter,2025-07-01,Novo Nordisk,0.0
reuters,twitter,2025-07-01,the Reuters World News,0.5
reuters,twitter,2025-07-01,Congo,0.0
reuters,twitter,2025-07-01,the Eiffel Tower,0.0
reuters,twitter,2025-07-01,Andalusia,-0.31666666666666665
reuters,twitter,2025-07-01,$3.3 trillion,0.0
reuters,twitter,2025-07-01,second day,0.0
reuters,twitter,2025-07-01,WTO,0.2
reuters,twitter,2025-07-01,Lucy Letby,-0.05
reuters,twitter,2025-07-01,Reuters World News,-0.0625
reuters,twitter,2025-07-01,US Senate,0.0
reuters,twitter,2025-07-01,Model Y http://reut.rs/3I72QlG,0.0
reuters,twitter,2025-07-01,the Reuters World News,0.0
reuters,twitter,2025-07-01,Donald Trump's,0.25
reuters,twitter,2025-07-01,$1.7 billion,0.0
reuters,twitter,2025-07-01,Constitutional Court,0.0
reuters,twitter,2025-07-01,Paetongtarn Shinawatra,0.0
reuters,twitter,2025-07-01,LNG,0.25
reuters,twitter,2025-07-01,Reliance Industries,0.0
reuters,twitter,2025-07-01,recent weeks,0.125
reuters,twitter,2025-07-01,the Reuters World News,0.125
reuters,twitter,2025-07-01,Elon Musk's,0.0
reuters,twitter,2025-07-01,Hero Motors,0.0
reuters,twitter,2025-07-01,up to $140 million,0.0
reuters,twitter,2025-07-01,IPO,0.0
reuters,twitter,2025-07-01,Landmark EU,0.0
reuters,twitter,2025-07-01,every morning,0.5
reuters,twitter,2025-07-01,KKR,-0.2
reuters,twitter,2025-07-01,The US Senate's,0.5
reuters,twitter,2025-07-01,another day,0.5
reuters,twitter,2025-07-01,the Reuters World News,0.5
reuters,twitter,2025-07-01,Renault,0.008730158730158723
reuters,twitter,2025-07-01,about $11 billion,0.008730158730158723
reuters,twitter,2025-07-01,Nissan Motor,0.008730158730158723
