outlet,platform,date,entity,sentiment
vice,tiktok,2025-06-01,Leafer Seyer,0.22499999999999998
vice,tiktok,2025-06-01,13 years old,0.22499999999999998
vice,tiktok,2025-06-01,Mormon,0.05909090909090909
vice,tiktok,2025-06-01,100 years ago,0.05909090909090909
vice,tiktok,2025-06-01,the Kingston Clan,0.05909090909090909
vice,tiktok,2025-06-01,Kingstons,0.05909090909090909
vice,tiktok,2025-06-01,Salt Lake City,0.05909090909090909
vice,tiktok,2025-06-01,Joe Robinson,0.05909090909090909
vice,tiktok,2025-06-01,Macklemore,0.35
vice,tiktok,2025-06-01,The People vs Mac Miller,0.35
vice,tiktok,2025-06-03,the Big Apple,0.21534090909090908
vice,tiktok,2025-06-03,Beyond the Influence,0.21534090909090908
vice,tiktok,2025-06-04,May of 2019,0.015625
vice,tiktok,2025-06-04,the First Amendment,0.015625
vice,tiktok,2025-06-04,Lake City,0.015625
vice,tiktok,2025-06-05,Mac Miller,0.18333333333333335
vice,tiktok,2025-06-06,Keith Ape,0.3875
vice,tiktok,2025-06-06,Revisit,0.3875
vice,tiktok,2025-06-06,Noisey Raps,0.3875
vice,tiktok,2025-06-09,Vanessa Carlton’s,0.06666666666666665
vice,tiktok,2025-06-10,Greg Kading,0.25
vice,tiktok,2025-06-10,Biggie,0.25
vice,tiktok,2025-06-11,Caitlin AKA @manicpixiemom,0.32
vice,tiktok,2025-06-11,Xasthur,0.10833333333333335
vice,tiktok,2025-06-11,Leviathan,0.10833333333333335
vice,tiktok,2025-06-11,Striborg,0.10833333333333335
vice,tiktok,2025-06-11,Black Metal’s Unexplored Fringes,0.10833333333333335
vice,tiktok,2025-06-12,the beginning of f*ckboy summer,0.09318181818181817
vice,tiktok,2025-06-12,Coney Island's,0.09318181818181817
vice,tiktok,2025-06-12,Mermaid Parade,0.09318181818181817
vice,tiktok,2025-06-12,GATHERINGS,0.09318181818181817
vice,tiktok,2025-06-12,Jackson Garrett,0.09318181818181817
vice,tiktok,2025-06-12,Coney Island,0.09318181818181817
vice,tiktok,2025-06-12,NYC,0.09318181818181817
vice,tiktok,2025-06-13,Striborg,0.29404761904761906
vice,tiktok,2025-06-13,Xasthur,0.29404761904761906
vice,tiktok,2025-06-13,Leviathan,0.29404761904761906
vice,tiktok,2025-06-13,Striborg,0.29404761904761906
vice,tiktok,2025-06-13,Black Metal’s Unexplored Fringes,0.29404761904761906
vice,tiktok,2025-06-13,Gucci Mane,0.5
vice,tiktok,2025-06-14,Metro Boomin,0.39999999999999997
vice,tiktok,2025-06-14,Coney Island's,0.18939393939393936
vice,tiktok,2025-06-14,Mermaid Parade,0.18939393939393936
vice,tiktok,2025-06-14,New York's,0.18939393939393936
vice,tiktok,2025-06-14,GATHERINGS,0.18939393939393936
vice,tiktok,2025-06-14,Jackson Garrett,0.18939393939393936
vice,tiktok,2025-06-14,NYC,0.18939393939393936
vice,tiktok,2025-06-14,Mermaid Parade,0.18939393939393936
vice,tiktok,2025-06-15,@officialrickastley,0.09166666666666667
vice,tiktok,2025-06-15,Never Gon,0.09166666666666667
vice,tiktok,2025-06-16,WiFi,0.01870370370370371
vice,tiktok,2025-06-16,Shirley Manson,-0.125
vice,tiktok,2025-06-16,Revisit,-0.125
vice,tiktok,2025-06-16,Manson,-0.125
vice,tiktok,2025-06-16,Beyoncé,-0.125
vice,tiktok,2025-06-17,Ed Sheeran,0.2833333333333333
vice,tiktok,2025-06-18,Post Malone,0.01874999999999999
vice,tiktok,2025-06-18,The People vs. Post Malone,0.01874999999999999
vice,tiktok,2025-06-20,Kerry King,0.55
vice,tiktok,2025-06-20,King Diamond,0.55
vice,tiktok,2025-06-20,the spring of 2019,0.09727272727272726
vice,tiktok,2025-06-20,Pagan,0.09727272727272726
vice,tiktok,2025-06-20,Troy Harris,0.09727272727272726
vice,tiktok,2025-06-20,Pagans,0.09727272727272726
vice,tiktok,2025-06-20,Pagans,0.09727272727272726
vice,tiktok,2025-06-20,the Sutar Soldiers,0.09727272727272726
vice,tiktok,2025-06-20,United Gangs of America,0.09727272727272726
vice,tiktok,2025-06-20,9P,0.09727272727272726
vice,tiktok,2025-06-20,Xasthur,0.15138888888888888
vice,tiktok,2025-06-20,Xasthur,0.15138888888888888
vice,tiktok,2025-06-20,Leviathan,0.15138888888888888
vice,tiktok,2025-06-20,Striborg,0.15138888888888888
vice,tiktok,2025-06-20,Black Metal’s Unexplored Fringes,0.15138888888888888
vice,tiktok,2025-06-21,Bufo,0.06000000000000001
vice,tiktok,2025-06-22,n’t,0.3833333333333333
vice,tiktok,2025-06-22,The People vs Mac Miller,0.3833333333333333
vice,tiktok,2025-06-22,@ameliadimz,0.13999999999999999
vice,tiktok,2025-06-22,Costa Rica,0.13999999999999999
vice,tiktok,2025-06-22,Envision Festival,0.13999999999999999
vice,tiktok,2025-06-22,Buddhist,0.13999999999999999
vice,tiktok,2025-06-22,Gangsta Rap International,0.11875
vice,tiktok,2025-06-23,Nepalese Mad Honey,-0.09669421487603304
vice,tiktok,2025-06-23,Nepal’s Gurung,-0.09669421487603304
vice,tiktok,2025-06-23,Annapurna,-0.09669421487603304
vice,tiktok,2025-06-23,Annapurna,-0.09669421487603304
vice,tiktok,2025-06-23,Gurung,-0.09669421487603304
vice,tiktok,2025-06-23,Mad Honey's,-0.09669421487603304
vice,tiktok,2025-06-24,14-year-old,0.3625
vice,tiktok,2025-06-24,Jaden Smith,0.3625
vice,tiktok,2025-06-24,Skating,0.3625
vice,tiktok,2025-06-24,Jaden,0.3625
vice,tiktok,2025-06-25,Delaware,-0.03333333333333334
vice,tiktok,2025-06-25,CZW,-0.03333333333333334
vice,tiktok,2025-06-25,Tournament of Death,-0.03333333333333334
vice,tiktok,2025-06-25,Vanessa Carlton,0.016666666666666646
vice,tiktok,2025-06-26,Leafar Seyer,0.3625
vice,tiktok,2025-06-26,Prayers And The Cholo Goth Movement,0.3625
vice,tiktok,2025-06-26,FLDS,0.12272727272727273
vice,tiktok,2025-06-26,Short Creek,0.12272727272727273
vice,tiktok,2025-06-26,Warren Jeffs,0.12272727272727273
vice,tiktok,2025-06-26,20 years,0.12272727272727273
vice,tiktok,2025-06-26,ages 12,0.12272727272727273
vice,tiktok,2025-06-26,Short Creek,0.12272727272727273
vice,tiktok,2025-06-26,Short Creek,0.12272727272727273
vice,tiktok,2025-06-29,a sh*t day,-0.10277777777777779
vice,tiktok,2025-06-29,Thong Song,0.19999999999999998
