outlet,platform,date,entity,sentiment
vice,youtube,2025-05-30,the year,0.16835618085618087
vice,youtube,2025-05-30,2025,0.16835618085618087
vice,youtube,2025-05-30,Puerto Rico,0.16835618085618087
vice,youtube,2025-05-30,Taji,0.16835618085618087
vice,youtube,2025-05-30,June 2,0.16835618085618087
vice,youtube,2025-05-30,Taji,0.16835618085618087
vice,youtube,2025-05-30,nearly seven years,0.16835618085618087
vice,youtube,2025-05-30,The Definitive Guide To Enlightening Information,0.16835618085618087
vice,youtube,2025-05-30,@VICE,0.240625
vice,youtube,2025-05-30,The Definitive Guide To Enlightening Information,0.240625
vice,youtube,2025-05-30,A few years ago,0.02727272727272726
vice,youtube,2025-05-30,Flakka,0.02727272727272726
vice,youtube,2025-05-30,Flakka,0.02727272727272726
vice,youtube,2025-05-30,@VICE,0.02727272727272726
vice,youtube,2025-05-30,zombie,0.02727272727272726
vice,youtube,2025-05-28,Rick Astley,0.4333333333333333
vice,youtube,2025-05-28,Never Gonna Give You Up',0.4333333333333333
vice,youtube,2025-05-28,Rick’s meteoric,0.4333333333333333
vice,youtube,2025-05-28,RickRoll,0.4333333333333333
vice,youtube,2025-05-28,@VICE,0.4333333333333333
vice,youtube,2025-05-27,Gatherings,0.19062500000000002
vice,youtube,2025-05-27,Jackson Garrett,0.19062500000000002
vice,youtube,2025-05-27,Clown Cult,0.19062500000000002
vice,youtube,2025-05-27,@VICE,0.19062500000000002
vice,youtube,2025-05-27,The Definitive Guide To Enlightening Information,0.19062500000000002
vice,youtube,2025-05-26,@VICE,0.16574074074074074
vice,youtube,2025-05-26,The Definitive Guide To Enlightening Information,0.16574074074074074
vice,youtube,2025-05-26,#rehabilitation #,0.16574074074074074
vice,youtube,2025-05-25,Amelia Dimoldenberg,0.14722222222222223
vice,youtube,2025-05-25,Costa Rica,0.14722222222222223
vice,youtube,2025-05-25,Envision Festival,0.14722222222222223
vice,youtube,2025-05-25,Buddhist,0.14722222222222223
vice,youtube,2025-05-25,@VICE,0.14722222222222223
vice,youtube,2025-05-25,The Definitive Guide To Enlightening Information,0.14722222222222223
vice,youtube,2025-05-25,#festival #,0.14722222222222223
vice,youtube,2025-05-24,@VICE,0.165625
vice,youtube,2025-05-24,The Definitive Guide To Enlightening Information,0.165625
vice,youtube,2025-05-24,@VICE,0.21071428571428572
vice,youtube,2025-05-24,The Definitive Guide To Enlightening Information,0.21071428571428572
vice,youtube,2025-05-22,Phil Hammond,0.03269230769230769
vice,youtube,2025-05-22,Spartan Bare Knuckle Fight Club,0.03269230769230769
vice,youtube,2025-05-22,seven years,0.03269230769230769
vice,youtube,2025-05-22,Spartan,0.03269230769230769
vice,youtube,2025-05-22,Phil Hammond,0.03269230769230769
vice,youtube,2025-05-22,Fight Fest,0.03269230769230769
vice,youtube,2025-05-22,the year,0.03269230769230769
vice,youtube,2025-05-22,@VICE,0.03269230769230769
vice,youtube,2025-05-22,The Definitive Guide To Enlightening Information,0.03269230769230769
vice,youtube,2025-05-21,Daniel Rushing,0.17500000000000002
vice,youtube,2025-05-21,Krispy Kreme,0.17500000000000002
vice,youtube,2025-05-21,@VICE,0.17500000000000002
vice,youtube,2025-05-21,The Definitive Guide To Enlightening Information,0.17500000000000002
vice,youtube,2025-05-21,#krispykreme #,0.17500000000000002
vice,youtube,2025-05-21,Jackson Garrett's,0.2159090909090909
vice,youtube,2025-05-21,Clown Cult,0.2159090909090909
vice,youtube,2025-05-21,Chuckie Sleaze,0.2159090909090909
vice,youtube,2025-05-21,Humanette,0.2159090909090909
vice,youtube,2025-05-21,@VICE,0.2159090909090909
vice,youtube,2025-05-21,The Definitive Guide To Enlightening Information,0.2159090909090909
vice,youtube,2025-05-19,Georgio,0.17272727272727273
vice,youtube,2025-05-19,NYC,0.17272727272727273
vice,youtube,2025-05-19,Georgio,0.17272727272727273
vice,youtube,2025-05-19,@VICE,0.17272727272727273
vice,youtube,2025-05-19,The Definitive Guide To Enlightening Information,0.17272727272727273
vice,youtube,2025-05-18,Jon Gallagher,0.15075757575757576
vice,youtube,2025-05-18,Asperger,0.15075757575757576
vice,youtube,2025-05-18,@VICE,0.15075757575757576
vice,youtube,2025-05-18,The Definitive Guide To Enlightening Information,0.15075757575757576
vice,youtube,2025-05-17,F500,0.24318181818181817
vice,youtube,2025-05-17,@VICE,0.24318181818181817
vice,youtube,2025-05-17,The Definitive Guide To Enlightening Information,0.24318181818181817
vice,youtube,2025-05-17,YouTube Network,0.24318181818181817
vice,youtube,2025-05-17,Noisey,0.24318181818181817
vice,youtube,2025-05-16,Gatherings,0.19184848484848485
vice,youtube,2025-05-16,Jackson Garrett,0.19184848484848485
vice,youtube,2025-05-16,creepy,0.19184848484848485
