create_time,username,video_description,view_count,like_count,share_count,comment_count,region_code,id,section,merged_section
2025-06-02 21:41:42,bbcnews,"‘Zara’, not her real name, was allegedly groomed and raped by a British Pakistani man when still a young teenager. He goes on trial later this year. BBC Newsnight’s Victoria Derbyshire went to Rotherham, Yorkshire, to speak to her. We are protecting ‘Zara’s’ identity because she's giving evidence in that case. Her first abuser is currently serving a 24 year jail sentence. #Rotherham #Yorkshire #Police #UKPolice #BBCNewsnight #Newsnight #News #BBCNews",64303,1400,17,0,GB,7511470436652256534,Crime,Crime
2025-06-02 19:13:16,bbcnews,"The last search for Madeleine McCann was two years ago, at a remote reservoir 31 miles from where she went missing. #MadeleineMcCann #Portugal #praiadaluz #Algarve #Lagos #MissingPerson #Police #News #BBCNews ",927181,48363,2667,949,GB,7511432193693011222,News,General News
2025-06-02 19:45:00,bbcnews,Seven officers were injured and five police cars damaged in the crash caused by 20-year-old Mazyar Azarbonyad. #Newcastle #A1 #CountyDurham #Stanley #Crash #Motorway #BBCNews,742286,39810,2924,732,GB,7511429348629499158,Local News,Local News
2025-06-02 20:30:00,bbcnews,"A government proposal says AI developers should have access to all content unless its individual owners choose to opt out, but the House of Lords feel AI firms should have to licence the content from copyright holders. #Jade #AI #AIMusic #LittleMix #MusicNews #TechnologyNews #Copyright #CopyrightMusic #MusicCopyright #ArtificialIntelligence #UKGovernment #HouseOfLords #HouseOfCommons #BBCNews",446416,31766,185,141,GB,7511416664366353686,Technology News,Technology
2025-06-02 17:58:02,bbcnews,"Nearly 60 MPs from Labour, the Conservatives, Liberal Democrats, Green Party and Plaid Cymru have put their names to Antoniazzi's amendment. #Abortion #Pregnancy #CrimeAndPolicing #Law #England #Wales #BBCNews",451361,26104,854,740,GB,7511412804126051606,Politics,Politics
2025-06-02 17:05:37,bbcnews,"UK Prime Minister Keir Starmer has promised a 'battle-ready' Britain after warning of the threat Russia can pose to the UK and Europe, but at what cost is his defence spending review? #UK #UKNews #UKPolitics #Russia #Ukraine #Defence #Military #Submarines #Warfare #UKGovernment #UKPolitics #BBCNews",339861,6047,689,491,GB,7511399293321006358,Politics,Politics
2025-06-02 15:50:00,bbcnews,"Around 20,000 people are expected to attend the Gran Tomatina Colombia food-fight festival, where tomatoes that aren't suitable to eat are thrown in celebration of the local economy. #GranTomatina #Sutamarchan #Colombia #FoodFight #Tomatoes #Tomato #Tomatina #SouthAmerica #News #BBCNews",341326,10377,1204,315,GB,7511369419201826070,Lifestyle,Lifestyle
2025-06-02 15:10:00,bbcnews,"A lawyer, who brought the case on behalf of the council, told the judge that his client's injuries were akin to that of ""serious knife crime"". #BBL #Cosmetics #Surgery #Health #Injection #England #Trafford #Wales #BBCNews",501721,22504,1168,168,GB,7511365035961158934,Health,Health
2025-06-02 14:30:00,bbcnews,The cast have recieved both praise and backlash for their portrayal of Mormonism on the show. #SecretLivesOfMormonWives #MormonWives #MomTok #JessiNgatikaura #WhitneyLeavitt #LDS #DisneyPlus #RealityTV #RealityShow #Hulu #BBCNews,383333,24289,373,99,GB,7511352782788611350,Entertainment,Entertainment
2025-06-02 13:40:00,bbcnews,Dozens of flights had to be diverted when Mount Etna last erupted in February. #Etna #Volcano #MountEtna #Italy #Sicily #BBCNews,1207185,61788,2836,841,GB,7511337829222468886,Breaking News,Breaking News
2025-06-02 12:57:03,bbcnews,Will the ban stop you from vaping? #Vape #Vaping #VapingBan #ECigarettes #Smoking #Disposable #Vaper #SingleUse #Environment #Health #News #BBCNews,1356208,90527,7101,1815,GB,7511335237964631318,Health,Health
2025-06-02 12:00:00,bbcnews,"Leah and Joe were 17 and 18 when they were aboard the Smiler ride at Alton Towers that crashed on June 2, 2015, leaving them both with life changing injuries. In this interview with their solicitors, they reveal how their lives have changed over the last 10 years. Alton Tower's operator, Merlin, were fined £5m and compensation paid to 16 victims of the crash. #AltonTowers #Smiler #Rollercoaster #Merlin #ThemePark #LeahWashington #JoePugh #SmilerCrash #AirAmbulance #BBCNews",8107099,478835,30762,3074,GB,7511312630812790038,News,General News
2025-06-02 11:21:05,bbcnews,"Russian citizens are being encouraged to report those who they view as expressing anti-Russia and anti-war thoughts to the authorities. Those reported can then face prosecution, and even prison sentences. #Russia #UkraineWar #RussiaUkraineWar #War #News #BBCEye #BBCNews",53821,1760,20,65,GB,7511310500882386198,World News,World
2025-06-02 09:50:00,bbcnews,What's the 286 conspiracy theory surrounding Luigi Mangione? #LuigiMangione #Trial #Court #Texas #HealthcareCEO #Conspiracy #ConspiracyTheory #MangioneConspiracy #286 #Disinformation #Disinfo #BBCSounds #BBCNews,47312,1181,14,30,GB,7511277525100743958,Conspiracy Theories,Conspiracy Theories
2025-06-02 09:00:00,bbcnews,"Sam Gardiner, who appeared on Race Across The World with his mum in 2020, died after a car crash. #RaceAcrossTheWorld #RATW #SamGardiner #Manchester #SouthAmerica #TV #TVShow #RealityTV #BBCNews",1909119,58633,6300,471,GB,7511265412827467030,Entertainment News,Entertainment
2025-06-02 08:19:53,bbcnews,"The PM said he 'hopes' the UK doesn't have to deploy troops to help stop the threat of Russia during his premiership, but says ""we have to be ready."" #Ukraine #Russia #UK #Defence #KeirStarmer #Military #BBCNews",2219903,59901,12114,7609,GB,7511263794471996694,Politics,Politics
2025-06-02 08:01:47,bbcnews,"South Koreans will elect a new leader on 3 June, after the former president was removed from office due to a short-lived martial law declaration. #SouthKorea #MartialLaw #Asia #LeeJaemyung #KimMoonsoo #Seoul #BBCNews",240438,11907,183,137,GB,7511259132700167426,Politics,Politics
2025-06-02 06:36:46,bbcnews,"Multiple people were injured after a man threw Molotov cocktails at a gathering in support of Israeli hostages in Colorado, in what the FBI is calling a suspected terror attack. #Colorado #Boulder #Israel #FBI #Investigation #LatestNews #BBCNews",80434,1742,31,210,GB,7511237224948600086,Breaking News,Breaking News
2025-06-01 17:00:00,bbcnews,Did you know single-use disposable vapes have now been banned in the UK? #Vaping #Vaper #Disposable #SingleUse #Manchester #England #Wales #Scotland #NorthernIreland #UK #Health #Environment #BBCNews,2977210,173433,2597,584,GB,7511017621144374530,Health,Health
2025-06-01 16:02:44,bbcnews,Cars were burned in the disorder after PSG won the largest-ever victory in a Champions League final. #Paris #PSG #France #ChampionsLeague #Sport #News #BBCNews,103793,3650,157,98,GB,7511012004685958422,Sports,Sports
2025-06-01 14:00:59,bbcnews,Ukraine claims to have hit more than 40 Russian bomber planes in a drone attack. #Ukraine #Russia #Kyiv #Moscow #Siberia #Putin #Zelensky #Ceasefire #News #BBCNews,2186743,61839,2204,4686,GB,7510980632365829399,World News,World
2025-06-01 11:44:40,bbcnews,Critics accused shadow justice secretary Robert Jenrick of trying to 'become a social media influencer'. #UK #London #Politics #Conservative #Labour #TfL #Transport #News #BBCNews,214866,10065,112,150,GB,7510945507221458198,Politics,Politics
2025-06-01 09:44:00,bbcnews,"Two people have died and hundreds have been arrested across France after Paris Saint-Germain (PSG) fans celebrated the club's victory in the Champions League final, according to the French interior ministry. #PSG #Paris #France #ChampionsLeague #BBCNews",8236381,503028,97398,7294,GB,7510914406721555734,Sports News,Sports
2025-06-01 08:49:52,bbcnews,"At least 26 people have been killed, and others injured, near a US-backed aid distribution site near Gaza's southern city of Rafah, according to medics and residents. #Gaza #Israel #US #Aid #Rafah #BBCNews",115048,5446,261,334,GB,7510900451282390294,World News,World
2025-06-01 09:30:00,bbcnews,Succession writer Jesse Armstrong takes on the tech bros in his new film Mountainhead. #HBO #SteveCarrell #Movies #FilmTok #Succession #Mountainhead #JesseArmstrong #Film #Tech #Musk #JasonSchwartzman #CoryMichaelSmith #RamyYoussef #BBCNews,40681,651,17,42,GB,7510885353520205078,Entertainment,Entertainment
