create_time,username,video_description,view_count,like_count,share_count,comment_count,region_code,id,section,merged_section
2025-06-02 23:03:49,cnn,"The suspect charged in the antisemitic attack in Boulder, Colorado, Mohamed Sabry Soliman, appeared in court today. CNN's Whitney Wild reports from outside the courthouse in Boulder, breaking down the latest from law enforcement.",3608922,147738,4965,3309,US,7511491420860108078,Crime,Crime
2025-06-02 22:13:49,cnn,"The Palestinian health ministry, hospital officials and multiple eyewitnesses say deadly gunfire killed dozens of Palestinians near an aid distribution site in Gaza on Sunday, with Israel’s military denying that its troops fired “within or near” the aid site. CNN Jerusalem correspondent Jeremy Diamond brings you up to speed on what we know about the weekend chaos. #CNN #news #Gaza",181059,31375,1837,1227,US,7511478539762502958,World News,World
2025-06-02 21:44:42,cnn,"Europe's tallest and most active volcano, Mount Etna has erupted again, spewing a plume of ash and rock “several kilometers high,” according to authorities. Video posted to social media showed tourists fleeing the scene. About a dozen tour operators work on Etna at any given time, the Sicilian Civil Protection Agency told CNN. All tourists and trekkers on the volcano when it erupted have been evacuated safely, according to the National Institute of Geophysics and Volcanology Observatory. #cnn #news #etna #mountetna #italy #volcano",1074483,18965,1209,306,US,7511471045887495470,Breaking News,Breaking News
2025-06-02 20:37:28,cnn,"Ukraine launched an audacious drone attack deep inside Russia, with some targets 4,500 kilometers (2,800 miles) from Ukraine's border. The attack used at least 117 drones, according to Ukrainian President Volodymyr Zelensky, hitting 34% of Russia's strategic bomber aircraft. CNN's chief international security correspondent Nick Paton Walsh breaks down what this means for Russia militarily, and for morale. #cnn #news #",254737,4581,91,366,US,7511453755347307822,International News,World
2025-06-02 18:14:26,cnn,"O-T Fagbenle reflects on wrapping ""The Handmaid’s Tale,"" Luke’s evolution, and the emotional final scene with June as the series ends after six seasons. #handmaidstale #handmaidstaletiktok #juneandluke #tv #cnn #news",87869,1020,30,45,US,7511416864283741486,Entertainment,Entertainment
2025-06-02 17:55:15,cnn,Researchers from the Woods Hole Oceanographic Institution captured close-up images of a WWI-era submarine lost at sea 108 years ago. #cnn #news #submarines #submarinewreck #ocean,270352,13965,216,71,US,7511411901310569771,Science,Science
2025-06-02 17:38:24,cnn,"First responders in Boulder, Colorado, were “bombarded” with 911 calls after a man used a flamethrower and Molotov cocktails to set people on fire at a Jewish community event. #cnn #news",46865,931,43,58,US,7511407529897905451,Breaking News,Breaking News
2025-06-02 13:57:10,cnn,"A transgender athlete, whose participation sparked a national controversy and a temporary rule change, took first place in two of her three events in the California High School Track and Field Championship. #cnn #news",8409469,488956,27101,23970,US,7511350463204199722,Sports,Sports
2025-06-02 12:40:55,cnn,"Ukrainian forces have destroyed dozens of Russian warplanes at air bases thousands of miles from the front lines, in one of Kyiv’s most audacious and sophisticated assaults since the beginning of the war. #cnn #news",243653,7583,340,523,US,7511330734989430062,Military News,Defense & Security
2025-06-02 06:01:56,cnn,"Six people were injured in what officials are describing an antisemitic attack in Boulder, Colorado. The suspect in custody, identified as 45-year-old Mohamed Sabry Soliman, allegedly used a makeshift flamethrower and threw an incendiary device into the crowd. He also yelled “Free Palestine,” according to the FBI. #cnn #news #colorado",462366,23200,1263,532,US,7511228025665588522,Breaking News,Breaking News
2025-06-02 01:46:55,cnn,Two business owners recorded and confronted masked federal law enforcement officers who were detaining a local gardener at his job site.,1164149,75869,2029,5104,US,7511162444614470954,Local News,Local News
2025-06-01 19:38:50,cnn,"MIT 2025 class president Megha Vemuri told CNN that after her Pro-Palestine speech, the university’s senior leadership informed her she was not allowed to attend Friday’s commencement ceremony and was barred from campus until the event concluded. #CNN #News",949071,64192,1264,2425,US,7511067538017602862,Campus News,Education
2025-06-01 17:03:08,cnn,"CNN’s Dana Bash presses Office of Management and Budget Director Russ Vought on the Trump administration’s proposal to cut non-defense spending by more than 22% — including deep reductions to education, food assistance, and billions in cancer research funding. As Vought defends the cuts and criticizes the NIH, Bash challenges him on the real-world impact to life-saving medical research. #trump #budget #cancer #research #cnn #news",332301,8931,188,1861,US,7511027367004097838,Politics,Politics
2025-06-01 07:35:03,cnn,"Video shows a mother in Khan Younis, Gaza, desperately trying to gather as much flour off the ground as possible. UN agencies are warning of impending famine without a drastic scaling up of aid entering the territory with Israel only partially relaxing a blockade on the enclave. #cnn #news #gaza",2852121,294626,23944,17017,US,7510880860107722030,World News,World
2025-06-01 04:02:30,cnn,"A doorbell camera captured the terrifying moment a car fatally struck a high school teacher and injured another pedestrian after it lost control following a highway patrol chase in Oakland, California. #cnn #news #california #oakland",659142,17895,297,236,US,7510826282150726958,Breaking News,Breaking News
2025-06-01 02:08:37,cnn,"Millions of bees escape after a truck carrying honeybee hives overturned in Whatcom County, Washington, and rolled into a ditch. Local beekeepers were called to the scene.",205849,3054,206,127,US,7510796906231090474,Local News,Local News
2025-06-03 23:34:19,cnn,"Mexico City was hit with record rainfall that didn't relent for more than five hours Monday night, marking the heaviest rain since 2017, according to water management officials. CNN's Valeria León walks a flooded avenue of the nation's capital after emergency crews worked through the night to rescue several trapped drivers. #cnn #news #mexico #mexicocity #flooding #rain #weather ",273117,11235,3290,208,US,7511870409709505835,Weather,Weather
2025-06-03 22:16:12,cnn,Elon Musk lashed out at President Donald Trump’s agenda bill — which the president is pressuring GOP senators to support — calling it a “disgusting abomination.” CNN's Kaitlan Collins reports. #cnn #news,458578,21730,448,784,US,7511850258532453675,Politics,Politics
2025-06-03 21:04:30,cnn,"CNN's Elizabeth Wagmeister breaks down the lengths Sean ""Diddy"" Combs allegedly took in an attempt to cover up the 2016 hotel assault video of Cassie Ventura that was obtained by CNN.",452796,18807,802,616,US,7511831778185907502,Entertainment News,Entertainment
2025-06-03 20:47:35,cnn,"For a third consecutive day, Palestinians came under fire while trying to receive aid from a distribution site in Gaza. According to the Palestinian Ministry of Health and Nasser hospital, at least 27 people were killed and dozens injured on June 3. #cnn #news #gaza #israel",53132,17619,138,227,US,7511827429619420459,World News,World
2025-06-03 18:20:42,cnn,"Costume Designer Brenda Abbandandolo mixed vintage, thrifted clothing with precise recreations of 1950s style to bring the Broadway play Good Night, and Good Luck to life. She tells CNN how she approached dressing George Clooney and Ilana Glazer with historic authenticity. Tune in to CNN on Saturday, June 7 at 7pm to watch the play broadcast live from Broadway’s Winter Garden Theatre. ",13110,271,2,22,US,7511789534821076266,Entertainment,Entertainment
2025-06-03 17:45:36,cnn,CNN's Jim Sciutto explains why Ukraine's large-scale drone attack on Russian air bases thousands of miles behind the front lines struck fear into the heart of every global superpower. #russia #ukraine #cnn #news ,62226,2186,58,145,US,7511780476328135978,World News,World
2025-06-03 17:43:16,cnn,"A video posted online appears to show Antoine Massey, one of two men who remains on the run after escaping a New Orleans jail, declaring his innocence. Deputy US Marshal Brian Fair told CNN that the US Marshals Service received the video Monday and that the agency is looking into it. #cnn #news ",199461,9786,189,109,US,7511779908578708782,Crime,Crime
