date,content,tweet_url,embedded_links
2025-07-01T04:10:04.000Z,Editorial: Is Brandon Johnson pitching Wall Streeters on moving to Chicago post-Mamdani? We thought not.,https://x.com/chicagotribune/status/1939899277712445780,"['https://www.chicagotribune.com/2025/06/30/editorial-new-york-brandon-johnson-mamdani-ken-griffin/', 'https://www.chicagotribune.com/2025/06/30/editorial-new-york-brandon-johnson-mamdani-ken-griffin/']"
2025-07-01T03:40:03.000Z,"As Madhuri Shekar’s play “Dhaba on Devon Avenue” makes clear, Devon Avenue has been changing; restaurants have been facing well-documented headwinds when it comes to food and labor costs and the formality of the restaurants in the 20th century has shifted.",https://x.com/chicagotribune/status/1939891724572144102,"['https://www.chicagotribune.com/2025/06/30/review-dhaba-devon-writers-theatre/', 'https://www.chicagotribune.com/2025/06/30/review-dhaba-devon-writers-theatre/']"
2025-07-01T03:20:05.000Z,Chicago Housing Authority gives another big payout to terminated executive,https://x.com/chicagotribune/status/1939886701628764240,"['https://www.chicagotribune.com/2025/06/30/chicago-housing-authority-additional-exec-payout/', 'https://www.chicagotribune.com/2025/06/30/chicago-housing-authority-additional-exec-payout/']"
2025-07-01T02:46:06.000Z,"A more defensive Pride: Activists say celebrations are more critical as US, conservative states such as Indiana rescind LGBTQ protections",https://x.com/chicagotribune/status/1939878149321335247,"['https://www.chicagotribune.com/2025/06/30/pride-under-attack/', 'https://www.chicagotribune.com/2025/06/30/pride-under-attack/']"
2025-07-01T02:32:07.000Z,The 52-page filing is the first sentencing request in the so-called “ComEd Four” case and comes as former ComEd executive John Hooker and his three co-defendants are finally nearing sentencing more than two years after they were convicted at trial.,https://x.com/chicagotribune/status/1939874628102406217,"['https://www.chicagotribune.com/2025/06/30/feds-want-nearly-5-years-for-ex-comed-exec-john-hooker/', 'https://www.chicagotribune.com/2025/06/30/feds-want-nearly-5-years-for-ex-comed-exec-john-hooker/']"
2025-07-01T02:18:04.000Z,"South and southwest suburban school districts are using the summer to prepare to implement several artificial intelligence tools, training or guidelines in the classroom, embracing the technology as it becomes harder to outright ban it.",https://x.com/chicagotribune/status/1939871092635545712,"['https://www.chicagotribune.com/2025/06/30/south-southwest-suburban-schools-ai-programs/', 'https://www.chicagotribune.com/2025/06/30/south-southwest-suburban-schools-ai-programs/']"
2025-07-01T01:47:04.000Z,Gov. JB Pritzker is running for reelection. Who will he pick as his No. 2?,https://x.com/chicagotribune/status/1939863294161883373,"['https://www.chicagotribune.com/2025/06/30/gov-jb-pritzker-running-mate-pick/', 'https://www.chicagotribune.com/2025/06/30/gov-jb-pritzker-running-mate-pick/']"
2025-07-01T01:43:56.000Z,"The Senate’s long day of voting churned toward evening Monday, with Republican leaders grasping for ways to shore up support for President Donald Trump’s big bill of tax breaks and spending cuts.",https://x.com/chicagotribune/status/1939862502533107912,"['https://www.chicagotribune.com/2025/06/30/senate-republicans-trump-big-bill/', 'https://www.chicagotribune.com/2025/06/30/senate-republicans-trump-big-bill/']"
2025-07-01T01:34:05.000Z,"For the second time in three years, Charles Leto has claimed he opened fire in self-defense.

Over the weekend, prosecutors say, he shot at three unarmed teenagers in Douglass Park, killing a 15-year-old boy and seriously wounding a 14-year-old.",https://x.com/chicagotribune/status/1939860026258038865,"['https://www.chicagotribune.com/2025/06/30/man-charged-in-douglass-park-shooting-that-killed-one-is-linked-to-prior-self-defense-claim-in-shooting-of-dogs/', 'https://www.chicagotribune.com/2025/06/30/man-charged-in-douglass-park-shooting-that-killed-one-is-linked-to-prior-self-defense-claim-in-shooting-of-dogs/']"
2025-07-01T01:16:03.000Z,"While the Italian American restaurant Void does whimsy well, most evident with its Spaghetti Uh-O’s and No-Lört, it’s become one of the best restaurants in Chicago right now, writes Tribune food critic Louisa Kung Liu Chu.",https://x.com/chicagotribune/status/1939855485340905598,"['https://www.chicagotribune.com/2025/06/30/restaurant-review-void-chicago/', 'https://www.chicagotribune.com/2025/06/30/restaurant-review-void-chicago/']"
2025-07-01T01:00:08.000Z,"CHA has been hemorrhaging staff in recent months, with eight high-ranking officials having left the agency since August.",https://x.com/chicagotribune/status/1939851482737651776,"['https://www.chicagotribune.com/2025/06/30/chicago-housing-authority-additional-exec-payout/', 'https://www.chicagotribune.com/2025/06/30/chicago-housing-authority-additional-exec-payout/']"
2025-07-01T00:33:06.000Z,"The indictment made public Monday charges him with five counts of wire fraud and seeks forfeiture of a $4.9 million home in Miami, as well as properties in Alsip, Burr Ridge, Homer Glen and South Holland.",https://x.com/chicagotribune/status/1939844676682449393,"['https://www.chicagotribune.com/2025/06/30/loretto-hospital-indictment-covid-fraud/', 'https://www.chicagotribune.com/2025/06/30/loretto-hospital-indictment-covid-fraud/']"
2025-07-01T00:15:07.000Z,"Mayor Brandon Johnson’s inner circle worked with outside lobbyists who were not registered to lobby on behalf of the city in the Illinois General Assembly, a practice his office defended after repeated inquiries into the makeup of his team.",https://x.com/chicagotribune/status/1939840151213003225,"['https://www.chicagotribune.com/2025/06/30/mayor-brandon-johnson-springfield-lobbying-questions/', 'https://www.chicagotribune.com/2025/06/30/mayor-brandon-johnson-springfield-lobbying-questions/']"
2025-07-01T00:00:08.000Z,"Commentary: The Donald Trump administration’s attack on higher education is both wide-ranging and carefully targeted at certain institutions. It has included, figuratively speaking, cluster bombs and surgical strikes.",https://x.com/chicagotribune/status/1939836383423549634,"['https://www.chicagotribune.com/2025/06/30/column-michael-roth-wesleyan-university-donald-trump-higher-education-shaw/', 'https://www.chicagotribune.com/2025/06/30/column-michael-roth-wesleyan-university-donald-trump-higher-education-shaw/']"
2025-06-30T23:52:41.000Z,Northwestern University President Michael Schill is slated to appear for a second time before a congressional committee over alleged antisemitism on campus.,https://x.com/chicagotribune/status/1939834507101610328,"['https://www.chicagotribune.com/2025/06/30/northwestern-university-president-congress/', 'https://www.chicagotribune.com/2025/06/30/northwestern-university-president-congress/']"
2025-06-30T23:49:04.000Z,"This summer, residents of Glenview will be able to drop off more than borrowed books at their public library.",https://x.com/chicagotribune/status/1939833595754861005,"['https://www.chicagotribune.com/2025/06/30/glenview-starts-composting-joining-glencoe-skokie-northbrook-evanston-with-programs/', 'https://www.chicagotribune.com/2025/06/30/glenview-starts-composting-joining-glencoe-skokie-northbrook-evanston-with-programs/']"
2025-06-30T23:39:26.000Z,"Bryan Kohberger has agreed to plead guilty to murdering four University of Idaho students as part of a deal with prosecutors to avoid the death penalty, multiple media outlets reported Monday.",https://x.com/chicagotribune/status/1939831170700542413,"['https://www.chicagotribune.com/2025/06/30/idaho-student-killings/', 'https://www.chicagotribune.com/2025/06/30/idaho-student-killings/']"
2025-06-30T23:33:02.000Z,The future of NASCAR in Chicago is murky going into its third edition on the first weekend in July.,https://x.com/chicagotribune/status/1939829561811730816,"['https://www.chicagotribune.com/2025/06/30/future-of-nascar-chicago-race/', 'https://www.chicagotribune.com/2025/06/30/future-of-nascar-chicago-race/']"
2025-06-30T23:23:50.000Z,"Mayor Brandon Johnson’s already gaping budget hole will be even tougher to fill heading into next year as City Hall officials on Monday closed the book on the 2024 fiscal year, showing the city’s general fund was $161 million underwater.",https://x.com/chicagotribune/status/1939827245310181771,"['https://www.chicagotribune.com/2025/06/30/chicago-ended-2024-with-a-161m-deficit/', 'https://www.chicagotribune.com/2025/06/30/chicago-ended-2024-with-a-161m-deficit/']"
2025-06-30T23:13:03.000Z,"A growing number of civic and business groups are highlighting the St. Louis metropolitan area’s stagnant population as an urgent problem, and they’re pushing the region’s planning organization to do something about it.",https://x.com/chicagotribune/status/1939824532606325216,"['https://www.chicagotribune.com/2025/06/30/st-louis-regions-slowing-population-growth-spurs-call-for-action/', 'https://www.chicagotribune.com/2025/06/30/st-louis-regions-slowing-population-growth-spurs-call-for-action/']"
2025-06-30T23:12:53.000Z,"The WNBA is expanding to 18 teams over the next five years, with Cleveland, Detroit and Philadelphia all set to join the league by 2030.",https://x.com/chicagotribune/status/1939824490394894665,"['https://www.chicagotribune.com/2025/06/30/wnba-expansion-cleveland-detroit-philadelphia/', 'https://www.chicagotribune.com/2025/06/30/wnba-expansion-cleveland-detroit-philadelphia/']"
2025-06-30T22:51:01.000Z,Chicago Sky star Angel Reese will have to wait another week to see if she’s selected as an All-Star for the second consecutive season.,https://x.com/chicagotribune/status/1939818989321920584,"['https://www.chicagotribune.com/2025/06/30/angel-reese-chicago-sky-wnba-all-star-game/', 'https://www.chicagotribune.com/2025/06/30/angel-reese-chicago-sky-wnba-all-star-game/']"
